"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isSubstitution","isBaseRunningPlay","details.disengagementNum","replacedPlayer.id","replacedPlayer.link","result.isOut","about.isTopInning","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link"
717264,"2023-07-25",2,"2023-07-26T02:36:38.205Z","2023-07-26T02:36:45.535Z",TRUE,"pitch","cddeee10-80ab-437c-9403-47ba1c80611d",3,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,1,2,NA,NA,3.31,1.7,NA,108.48,169.9,"fly_ball","medium","7",66.24,80.88,NA,NA,NA,NA,NA,NA,NA,NA,"80","atBat","Flyout","field_out","Alex Kirilloff flies out to left fielder Cade Marlowe.",0,9,7,80,"bottom",9,"2023-07-26T02:36:04.062Z","2023-07-26T02:36:45.535Z",TRUE,FALSE,FALSE,TRUE,0,1,1,3,666135,"Alex Kirilloff","/api/v1/people/666135","L","Left",623149,"Paul Sewald","/api/v1/people/623149","R","Right","vs_RHP","vs_LHB","Empty",NA,"Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Seattle Mariners","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",91.9,83.8,5,0.9,0.4106,6.4865,29.0279,-19.7998,-5.7773,6.8699,0.2236,2.5511,11.4624,-133.4426,-1.2156,-3.3792,50.0036,4.4406,-10.4089,21.6,4.8,24,2535,238,92.7,27,329,NA,NA,NA,TRUE,-20.2,12.4,7.9,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717264,"2023-07-25",1,"2023-07-26T02:36:18.457Z","2023-07-26T02:36:21.615Z",TRUE,"pitch","060ed718-d94b-437f-8002-3148ed946d90",2,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,1,2,NA,NA,3.31,1.7,NA,121.31,171.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"80","atBat","Flyout","field_out","Alex Kirilloff flies out to left fielder Cade Marlowe.",0,9,7,80,"bottom",9,"2023-07-26T02:36:04.062Z","2023-07-26T02:36:45.535Z",TRUE,FALSE,FALSE,TRUE,0,1,1,3,666135,"Alex Kirilloff","/api/v1/people/666135","L","Left",623149,"Paul Sewald","/api/v1/people/623149","R","Right","vs_RHP","vs_LHB","Empty",NA,"Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Seattle Mariners","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",91.4,84.1,5,0.9,0.4113,6.4964,25.8016,-20.2452,-7.4553,6.6254,-0.1129,2.4909,11.2884,-132.6799,-1.1045,-3.4351,50.0006,4.3743,-13.4198,28.8,4.8,24,2463,239,NA,NA,NA,NA,NA,NA,FALSE,-20.6,12,11.3,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717264,"2023-07-25",0,"2023-07-26T02:36:04.866Z","2023-07-26T02:36:09.375Z",TRUE,"pitch","22747935-0d50-4c86-9df0-eff477c695c7",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,2,NA,NA,3.3317,1.6951,NA,94.52,200.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"80","atBat","Flyout","field_out","Alex Kirilloff flies out to left fielder Cade Marlowe.",0,9,7,80,"bottom",9,"2023-07-26T02:36:04.062Z","2023-07-26T02:36:45.535Z",TRUE,FALSE,FALSE,TRUE,0,1,1,3,666135,"Alex Kirilloff","/api/v1/people/666135","L","Left",623149,"Paul Sewald","/api/v1/people/623149","R","Right","vs_RHP","vs_LHB","Empty",NA,"Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Seattle Mariners","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",91.4,84.2,14,0.9,0.4117,6.7967,25.7561,-18.8185,-6.9029,7.4321,0.5898,1.4326,12.7753,-132.5402,-3.9843,-3.3747,50.0004,4.3125,-12.401,27.6,4.8,24,2524,241,NA,NA,NA,NA,NA,NA,FALSE,-19.9,12.8,10.1,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717264,"2023-07-25",0,"2023-07-26T02:35:31.011Z","2023-07-26T02:35:38.113Z",TRUE,"pitch","c18869be-7e5e-4150-aeb5-c4c17d2326cf",1,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,0,1,NA,NA,3.47,1.6,NA,93.35,173.81,"line_drive","hard","8",136.66,57.38,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Lineout","field_out","Kyle Farmer lines out sharply to center fielder Julio Rodriguez.",0,9,7,79,"bottom",9,"2023-07-26T02:35:30.559Z","2023-07-26T02:35:38.113Z",TRUE,FALSE,FALSE,TRUE,0,0,0,2,571657,"Kyle Farmer","/api/v1/people/571657","R","Right",623149,"Paul Sewald","/api/v1/people/623149","R","Right","vs_RHP","vs_RHB","Empty",NA,"Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Seattle Mariners","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",91.1,83.5,6,0.89,0.4139,6.724,27.1723,-18.8584,-4.3612,7.5027,0.6204,2.4063,11.8929,-132.1474,-1.6591,-3.3645,50.0049,4.4223,-7.7436,15.6,4.8,24,2544,235,100.9,20,353,NA,NA,NA,TRUE,-19.7,13.4,5.4,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717264,"2023-07-25",2,"2023-07-26T02:34:59.268Z","2023-07-26T02:35:06.787Z",TRUE,"pitch","7aa16ac8-79d0-46a4-81bf-6bf60c328d05",3,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,1,0,NA,NA,3.58,1.72,NA,72.88,176.97,"ground_ball","medium","6",114.32,159.67,NA,NA,NA,NA,NA,NA,NA,NA,"78","atBat","Groundout","field_out","Carlos Correa grounds out, shortstop J. P. Crawford to first baseman Ty France.",0,9,7,78,"bottom",9,"2023-07-26T02:34:24.591Z","2023-07-26T02:35:06.787Z",TRUE,FALSE,FALSE,TRUE,0,1,1,1,621043,"Carlos Correa","/api/v1/people/621043","R","Right",623149,"Paul Sewald","/api/v1/people/623149","R","Right","vs_RHP","vs_RHB","Empty",NA,"Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Seattle Mariners","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",91.1,84.5,14,0.89,0.412,6.5986,23.4422,-20.5273,-5.9103,6.4786,1.1574,2.2892,13.8104,-132.0581,-1.5893,-3.3312,50.0028,4.3825,-10.6268,21.6,4.8,24,2549,237,72.2,-13,11,NA,NA,NA,TRUE,-21.1,11.6,8.3,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717264,"2023-07-25",1,"2023-07-26T02:34:44.546Z","2023-07-26T02:34:48.488Z",TRUE,"pitch","3927af25-a1b6-4efe-9401-b0f423e7ebde",2,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",1,1,0,NA,NA,3.5356,1.7151,NA,101.01,189.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"78","atBat","Groundout","field_out","Carlos Correa grounds out, shortstop J. P. Crawford to first baseman Ty France.",0,9,7,78,"bottom",9,"2023-07-26T02:34:24.591Z","2023-07-26T02:35:06.787Z",TRUE,FALSE,FALSE,TRUE,0,1,1,1,621043,"Carlos Correa","/api/v1/people/621043","R","Right",623149,"Paul Sewald","/api/v1/people/623149","R","Right","vs_RHP","vs_RHB","Empty",NA,"Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Seattle Mariners","false",NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",83.5,76.9,9,0.88,0.4505,6.8824,22.9257,-22.147,1.0847,6.6935,0.4196,1.8268,9.0756,-121.4125,-1.8198,-3.5021,50.0052,4.5062,1.625,8.4,6,24,2536,97,NA,NA,NA,NA,NA,NA,FALSE,-27.2,12,-4.1,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717264,"2023-07-25",0,"2023-07-26T02:34:29.524Z","2023-07-26T02:34:34.355Z",TRUE,"pitch","f906994f-c759-48a3-adff-de2a1bacf4ab",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,0,NA,NA,3.58,1.72,NA,157.44,158.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"78","atBat","Groundout","field_out","Carlos Correa grounds out, shortstop J. P. Crawford to first baseman Ty France.",0,9,7,78,"bottom",9,"2023-07-26T02:34:24.591Z","2023-07-26T02:35:06.787Z",TRUE,FALSE,FALSE,TRUE,0,1,1,1,621043,"Carlos Correa","/api/v1/people/621043","R","Right",623149,"Paul Sewald","/api/v1/people/623149","R","Right","vs_RHP","vs_RHB","Empty",NA,"Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Seattle Mariners","false",NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",83.5,77,11,0.87,0.449,6.6895,22.0992,-22.1376,0.8054,6.6464,-1.0609,2.9816,5.8768,-121.6305,0.5737,-3.6052,50.0033,4.6506,1.2148,6,6,24,2428,106,NA,NA,NA,NA,NA,NA,FALSE,-26.5,12.5,-2.8,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717264,"2023-07-25",7,"2023-07-26T02:33:42.916Z","2023-07-26T02:34:06.216Z",TRUE,"pitch","7e7038d4-01f8-442d-b6a1-1cb8a3615b12",6,"In play, run(s)",NA,NA,NA,NA,FALSE,"E","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"E","In play, run(s)",2,2,0,NA,NA,3.43,1.61,NA,102.35,186.5,"fly_ball","medium","78",50.47,44.26,NA,NA,NA,NA,NA,NA,NA,NA,"77","atBat","Home Run","home_run","Michael A. Taylor homers (12) on a fly ball to left center field.",1,9,7,77,"bottom",9,"2023-07-26T02:32:13.729Z","2023-07-26T02:34:06.216Z",TRUE,TRUE,FALSE,FALSE,38,2,2,0,572191,"Michael A. Taylor","/api/v1/people/572191","R","Right",623149,"Paul Sewald","/api/v1/people/623149","R","Right","vs_RHP","vs_RHB","Empty",NA,"Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Seattle Mariners",NA,NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",83.2,76.6,9,0.91,0.4529,6.5973,23.9944,-26.2821,8.7967,3.9816,0.3844,1.9363,6.8939,-121.018,-0.8633,-3.6461,50.0057,4.6035,13.025,28.8,8.4,24,2581,96,105.1,27,424,NA,NA,NA,FALSE,-32.3,7.2,-17.6,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717264,"2023-07-25",6,"2023-07-26T02:33:27.065Z","2023-07-26T02:33:30.486Z",TRUE,"pitch","eb4c4542-9967-4b72-a4f5-815dbfa37c9d",5,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,2,0,NA,NA,3.4773,1.6052,NA,48.93,171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"77","atBat","Home Run","home_run","Michael A. Taylor homers (12) on a fly ball to left center field.",1,9,7,77,"bottom",9,"2023-07-26T02:32:13.729Z","2023-07-26T02:34:06.216Z",TRUE,TRUE,FALSE,FALSE,38,2,2,0,572191,"Michael A. Taylor","/api/v1/people/572191","R","Right",623149,"Paul Sewald","/api/v1/people/623149","R","Right","vs_RHP","vs_RHB","Empty",NA,"Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Seattle Mariners",NA,NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",83.9,76.7,14,0.9,0.451,6.6007,25.7319,-24.7993,6.4208,4.9457,1.7859,2.5104,10.4715,-121.8253,0.0577,-3.4157,50.0015,4.6443,9.5728,25.2,7.2,24,2499,95,NA,NA,NA,NA,NA,NA,FALSE,-30,9.2,-14.3,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717264,"2023-07-25",5,"2023-07-26T02:33:12.450Z","2023-07-26T02:33:15.967Z",TRUE,"pitch","6192256b-cb47-48f8-830f-008b52f700df",4,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,2,0,NA,NA,3.449,1.606,NA,45.05,213.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"77","atBat","Home Run","home_run","Michael A. Taylor homers (12) on a fly ball to left center field.",1,9,7,77,"bottom",9,"2023-07-26T02:32:13.729Z","2023-07-26T02:34:06.216Z",TRUE,TRUE,FALSE,FALSE,38,2,2,0,572191,"Michael A. Taylor","/api/v1/people/572191","R","Right",623149,"Paul Sewald","/api/v1/people/623149","R","Right","vs_RHP","vs_RHB","Empty",NA,"Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Seattle Mariners",NA,NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",84,77.2,14,0.9,0.4499,6.5998,24.6249,-19.8243,4.3346,8.2316,1.8875,0.9476,11.3181,-121.8751,-4.1162,-3.385,50.0002,4.3769,6.4977,22.8,6,24,2467,114,NA,NA,NA,NA,NA,NA,FALSE,-25,14,-10.6,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
