"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.disengagementNum","isSubstitution","isBaseRunningPlay","replacedPlayer.id","replacedPlayer.link","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","reviewDetails.isOverturned","reviewDetails.inProgress","reviewDetails.reviewType","reviewDetails.challengeTeamId"
717057,"2023-08-10",2,"2023-08-10T04:19:51.994Z","2023-08-10T04:20:01.272Z",TRUE,"pitch","0f07bf3e-0557-408f-9968-a6eb71a03a7c",2,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,0,2,NA,NA,3.53,1.68,NA,104.18,166.87,"fly_ball","medium","8",124.89,75.92,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Flyout","field_out","Jake McCarthy flies out to center fielder Chris Taylor.",0,2,0,70,"bottom",9,"2023-08-10T04:19:34.676Z","2023-08-10T04:20:01.272Z",TRUE,FALSE,FALSE,TRUE,0,1,0,3,664983,"Jake McCarthy","/api/v1/people/664983","L","Left",623465,"Evan Phillips","/api/v1/people/623465","R","Right","vs_RHP","vs_LHB","Empty",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks","Los Angeles Dodgers",NA,NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",92.6,85.7,6,0.9,0.4044,6.4281,26.0794,-19.2479,-0.3085,6.9403,0.3363,2.6632,6.3112,-134.8223,-3.026,-1.9832,50.003,5.1398,-0.5751,1.2,4.8,24,2421,212,92.1,43,308,NA,NA,NA,TRUE,-19.3,12.2,-0.6,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717057,"2023-08-10",1,"2023-08-10T04:19:37.050Z","2023-08-10T04:19:41.977Z",TRUE,"pitch","ec8f93c4-3046-4c82-8621-ff45abc4fa43",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,2,NA,NA,3.6101,1.68,NA,141.45,124.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Flyout","field_out","Jake McCarthy flies out to center fielder Chris Taylor.",0,2,0,70,"bottom",9,"2023-08-10T04:19:34.676Z","2023-08-10T04:20:01.272Z",TRUE,FALSE,FALSE,TRUE,0,1,0,3,664983,"Jake McCarthy","/api/v1/people/664983","L","Left",623465,"Evan Phillips","/api/v1/people/623465","R","Right","vs_RHP","vs_LHB","Empty",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks","Los Angeles Dodgers",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.7,87.4,11,0.67,0.3931,6.5199,31.0151,-16.7383,-4.5444,7.85,-0.6415,4.2424,5.1342,-139.2925,-0.0646,-1.9173,50.0053,5.3717,-8.9395,25.2,3.6,24,2417,215,NA,NA,NA,NA,NA,NA,FALSE,-15.5,14.4,7.2,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717057,"2023-08-10",0,"2023-08-10T04:19:18.195Z","2023-08-10T04:19:37.050Z",FALSE,"action",NA,NA,"Offensive Substitution: Pinch-hitter Jake McCarthy replaces Jose Herrera.","Offensive Substitution",2,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,2,664983,"/api/v1/people/664983",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"offensive_substitution",NA,"11","Pinch Hitter","Hitter","PH","801","70","atBat","Flyout","field_out","Jake McCarthy flies out to center fielder Chris Taylor.",0,2,0,70,"bottom",9,"2023-08-10T04:19:34.676Z","2023-08-10T04:20:01.272Z",TRUE,FALSE,FALSE,TRUE,0,1,0,3,664983,"Jake McCarthy","/api/v1/people/664983","L","Left",623465,"Evan Phillips","/api/v1/people/623465","R","Right","vs_RHP","vs_LHB","Empty",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks","Los Angeles Dodgers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,TRUE,NA,645444,"/api/v1/people/645444",TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717057,"2023-08-10",5,"2023-08-10T04:18:50.403Z","2023-08-10T04:18:59.021Z",TRUE,"pitch","edef055a-72ec-49c3-ba59-f319d271d69a",6,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",3,2,1,NA,NA,3.29,1.5,NA,124.74,173.09,"ground_ball","medium","6",116.69,144.03,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Groundout","field_out","Alek Thomas grounds out, shortstop Miguel Rojas to first baseman Freddie Freeman.",0,2,0,69,"bottom",9,"2023-08-10T04:17:11.808Z","2023-08-10T04:18:59.021Z",TRUE,FALSE,FALSE,TRUE,0,3,2,2,677950,"Alek Thomas","/api/v1/people/677950","L","Left",623465,"Evan Phillips","/api/v1/people/623465","R","Right","vs_RHP","vs_LHB","Empty",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks","Los Angeles Dodgers","true",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",92,85.5,5,0.88,0.4063,6.4529,25.0937,-25.7301,1.0896,3.4917,-0.2029,2.4331,4.6163,-134.0919,-2.425,-2.0785,50.0057,5.1579,2.0129,6,6,24,2478,188,98.7,6,150,NA,NA,NA,TRUE,-25.8,6.1,-2.9,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717057,"2023-08-10",4,"2023-08-10T04:18:33.426Z","2023-08-10T04:18:40.696Z",TRUE,"pitch","2d05d928-be88-48d2-8b2a-8b101a02bbcf",5,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",3,2,1,NA,NA,3.2663,1.4498,NA,155.54,124.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Groundout","field_out","Alek Thomas grounds out, shortstop Miguel Rojas to first baseman Freddie Freeman.",0,2,0,69,"bottom",9,"2023-08-10T04:17:11.808Z","2023-08-10T04:18:59.021Z",TRUE,FALSE,FALSE,TRUE,0,3,2,2,677950,"Alek Thomas","/api/v1/people/677950","L","Left",623465,"Evan Phillips","/api/v1/people/623465","R","Right","vs_RHP","vs_LHB","Empty",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks","Los Angeles Dodgers","false",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",91.5,84.8,11,0.9,0.4083,6.3007,24.5978,-24.7967,0.0883,4.0318,-1.0111,4.2314,3.0564,-133.3775,1.7412,-2.176,50.001,5.3402,0.1609,1.2,6,24,2366,193,NA,NA,NA,NA,NA,NA,FALSE,-24.4,7.8,-0.7,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717057,"2023-08-10",3,"2023-08-10T04:18:18.568Z","2023-08-10T04:18:23.551Z",TRUE,"pitch","0e2d7433-0e6a-45ec-9bd3-2c3fb1da842b",4,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,2,1,NA,NA,3.2611,1.3914,NA,107.56,206.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Groundout","field_out","Alek Thomas grounds out, shortstop Miguel Rojas to first baseman Freddie Freeman.",0,2,0,69,"bottom",9,"2023-08-10T04:17:11.808Z","2023-08-10T04:18:59.021Z",TRUE,FALSE,FALSE,TRUE,0,3,2,2,677950,"Alek Thomas","/api/v1/people/677950","L","Left",623465,"Evan Phillips","/api/v1/people/623465","R","Right","vs_RHP","vs_LHB","Empty",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks","Los Angeles Dodgers","false",NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",84.4,77.8,14,0.91,0.4461,6.3779,25.0407,-34.5712,7.2763,-1.5745,0.2477,1.1918,3.6806,-122.9116,-2.326,-2.2158,50.0016,5.0946,11.0972,18,9.6,24,2596,63,NA,NA,NA,NA,NA,NA,FALSE,-41.5,-3.1,-14,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717057,"2023-08-10",2,"2023-08-10T04:17:58.737Z","2023-08-10T04:18:05.030Z",TRUE,"pitch","92331837-3a94-4efd-a1b0-582753a61c40",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,2,1,NA,NA,3.3367,1.5471,NA,78.61,226.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Groundout","field_out","Alek Thomas grounds out, shortstop Miguel Rojas to first baseman Freddie Freeman.",0,2,0,69,"bottom",9,"2023-08-10T04:17:11.808Z","2023-08-10T04:18:59.021Z",TRUE,FALSE,FALSE,TRUE,0,3,2,2,677950,"Alek Thomas","/api/v1/people/677950","L","Left",623465,"Evan Phillips","/api/v1/people/623465","R","Right","vs_RHP","vs_LHB","Empty",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks","Los Angeles Dodgers","false",NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",85.2,78.6,14,0.92,0.4425,6.3351,25.9766,-32.0367,10.5807,0.0859,1.0071,0.438,4.2911,-124.0148,-4.6451,-2.1225,50.0014,5.0229,16.3939,27.6,9.6,24,2687,58,NA,NA,NA,NA,NA,NA,FALSE,-38.5,-0.7,-20.2,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717057,"2023-08-10",1,"2023-08-10T04:17:41.131Z","2023-08-10T04:17:47.518Z",TRUE,"pitch","5b157085-f274-4bbf-8a2d-8735cb6cba12",2,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,2,1,NA,NA,3.29,1.5,NA,169.58,193.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Groundout","field_out","Alek Thomas grounds out, shortstop Miguel Rojas to first baseman Freddie Freeman.",0,2,0,69,"bottom",9,"2023-08-10T04:17:11.808Z","2023-08-10T04:18:59.021Z",TRUE,FALSE,FALSE,TRUE,0,3,2,2,677950,"Alek Thomas","/api/v1/people/677950","L","Left",623465,"Evan Phillips","/api/v1/people/623465","R","Right","vs_RHP","vs_LHB","Empty",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks","Los Angeles Dodgers","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",94.6,87.3,13,0.9,0.3966,6.4519,28.8351,-26.5719,-10.1592,2.8956,-1.3794,1.6896,5.5671,-137.7679,-4.279,-2.0999,50.0016,5.0456,-19.648,33.6,7.2,24,2278,230,NA,NA,NA,NA,NA,NA,FALSE,-25.8,4.6,17.3,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717057,"2023-08-10",0,"2023-08-10T04:17:26.431Z","2023-08-10T04:17:30.339Z",TRUE,"pitch","c07370bb-5723-43fb-9237-ddf134d7c05e",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,1,NA,NA,3.348,1.4512,NA,112.13,159.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Groundout","field_out","Alek Thomas grounds out, shortstop Miguel Rojas to first baseman Freddie Freeman.",0,2,0,69,"bottom",9,"2023-08-10T04:17:11.808Z","2023-08-10T04:18:59.021Z",TRUE,FALSE,FALSE,TRUE,0,3,2,2,677950,"Alek Thomas","/api/v1/people/677950","L","Left",623465,"Evan Phillips","/api/v1/people/623465","R","Right","vs_RHP","vs_LHB","Empty",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks","Los Angeles Dodgers","false",NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",83.8,76.8,2,0.92,0.4496,6.2982,24.744,-32.3554,9.5125,-0.1219,0.1277,2.9336,2.6361,-121.9844,1.0105,-2.2035,50.0025,5.3107,14.2859,25.2,9.6,24,2541,64,NA,NA,NA,NA,NA,NA,FALSE,-38.8,0.2,-17.9,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717057,"2023-08-10",5,"2023-08-10T04:16:50.375Z","2023-08-10T04:16:57.528Z",TRUE,"pitch","5798232f-23a9-4300-b53f-ab10486bc1e1",4,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,2,0,NA,NA,3.24,1.53,NA,121.7,181.13,"line_drive","medium","6",117.32,129.01,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Lineout","field_out","Jace Peterson lines out to shortstop Miguel Rojas.",0,2,0,68,"bottom",9,"2023-08-10T04:15:50.808Z","2023-08-10T04:16:57.528Z",TRUE,FALSE,FALSE,TRUE,0,1,2,1,607054,"Jace Peterson","/api/v1/people/607054","L","Left",623465,"Evan Phillips","/api/v1/people/623465","R","Right","vs_RHP","vs_LHB","Empty",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks","Los Angeles Dodgers",NA,NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",84.8,78,5,0.91,0.4437,6.328,25.0619,-33.9372,7.1034,-1.147,-0.1232,2.1353,2.8581,-123.5322,-0.5322,-2.2185,50.0009,5.2114,10.9538,18,9.6,24,2606,63,77.7,15,182,NA,NA,NA,TRUE,-40,-1.9,-13.6,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
