"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.disengagementNum","isBaseRunningPlay","isSubstitution","replacedPlayer.id","replacedPlayer.link","base","result.isOut","about.isTopInning","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link"
745764,"2024-04-05",0,"2024-04-05T20:04:29.871Z","2024-04-05T20:04:39.447Z",TRUE,"pitch","5eb6e8c0-52a3-416f-8a19-0dc93edea0b4",1,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,0,2,NA,NA,3.52,1.56,NA,92.87,179.66,"fly_ball","hard","9",165.78,61.69,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Flyout","field_out","Alex Verdugo flies out sharply to right fielder George Springer.",0,3,0,72,"bottom",9,"2024-04-05T20:04:21.396Z","2024-04-05T20:04:39.447Z",TRUE,FALSE,FALSE,TRUE,0,0,0,3,657077,"Alex Verdugo","/api/v1/people/657077","L","Left",643338,"Chad Green","/api/v1/people/643338","R","Right","vs_RHP","vs_LHB","Empty",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees","Toronto Blue Jays","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.1,85.9,6,0.89,0.3987,6.6143,34.6969,-10.2169,-4.1335,11.5229,0.633,2.1896,6.6595,-138.1121,-8.3243,-1.2878,50.0036,5.9555,-7.8774,26.4,2.4,24,2503,204,100.3,38,355,NA,NA,NA,TRUE,-11.6,19,5.9,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745764,"2024-04-05",4,"2024-04-05T20:03:53.355Z","2024-04-05T20:04:03.742Z",TRUE,"pitch","be97ba41-04f1-4f0e-8ef5-54eb0cc45067",5,"In play, no out",NA,NA,NA,NA,FALSE,"D","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"D","In play, no out",2,2,2,NA,NA,3.34,1.62,NA,102.09,177.7,"ground_ball","medium","9",175.09,108.44,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Single","single","Anthony Volpe singles on a ground ball to right fielder George Springer. Anthony Rizzo to 2nd.",0,3,0,71,"bottom",9,"2024-04-05T20:02:32.561Z","2024-04-05T20:04:03.742Z",TRUE,FALSE,FALSE,FALSE,33,2,2,2,683011,"Anthony Volpe","/api/v1/people/683011","R","Right",643338,"Chad Green","/api/v1/people/643338","R","Right","vs_RHP","vs_RHB","RISP",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees","Toronto Blue Jays","true",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",85.7,78.8,6,2,0.4393,6.6691,25.7326,-31.7213,0.8026,0.2878,0.3911,2.2623,4.2051,-124.8087,-2.9644,-1.4217,50.0022,6.0847,1.2628,3.6,8.4,24,2206,56,100.1,5,120,NA,NA,NA,FALSE,-37.2,0.1,-2.4,NA,NA,NA,NA,NA,NA,FALSE,FALSE,519203,"Anthony Rizzo","/api/v1/people/519203",NA,NA,NA,683011,"Anthony Volpe","/api/v1/people/683011"
745764,"2024-04-05",3,"2024-04-05T20:03:36.522Z","2024-04-05T20:03:41.126Z",TRUE,"pitch","bc89a0a9-76fa-4501-a744-9c28913a26f7",4,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",2,2,2,NA,NA,3.34,1.62,NA,105.42,169.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Single","single","Anthony Volpe singles on a ground ball to right fielder George Springer. Anthony Rizzo to 2nd.",0,3,0,71,"bottom",9,"2024-04-05T20:02:32.561Z","2024-04-05T20:04:03.742Z",TRUE,FALSE,FALSE,FALSE,33,2,2,2,683011,"Anthony Volpe","/api/v1/people/683011","R","Right",643338,"Chad Green","/api/v1/people/643338","R","Right","vs_RHP","vs_RHB","RISP",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees","Toronto Blue Jays","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94.8,86.6,6,0.9,0.3976,6.7187,30.8513,-10.3293,-4.0878,11.3672,0.3039,2.5727,5.8021,-137.8164,-7.4053,-1.2984,50.0068,5.9938,-7.8591,28.8,2.4,24,2395,209,NA,NA,NA,NA,NA,NA,FALSE,-11.3,19.2,6.1,NA,NA,NA,NA,NA,NA,FALSE,FALSE,519203,"Anthony Rizzo","/api/v1/people/519203",NA,NA,NA,NA,NA,NA
745764,"2024-04-05",2,"2024-04-05T20:03:20.981Z","2024-04-05T20:03:24.985Z",TRUE,"pitch","4f16cd25-b645-4a8f-b40b-bb5f6e0912b8",3,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",2,1,2,NA,NA,3.4217,1.5547,NA,111.19,157.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Single","single","Anthony Volpe singles on a ground ball to right fielder George Springer. Anthony Rizzo to 2nd.",0,3,0,71,"bottom",9,"2024-04-05T20:02:32.561Z","2024-04-05T20:04:03.742Z",TRUE,FALSE,FALSE,FALSE,33,2,2,2,683011,"Anthony Volpe","/api/v1/people/683011","R","Right",643338,"Chad Green","/api/v1/people/643338","R","Right","vs_RHP","vs_RHB","RISP",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees","Toronto Blue Jays","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",85.9,78.7,2,2,0.4386,6.5984,25.9507,-31.0765,1.4012,0.6974,0.1523,3.0261,3.0687,-125.0448,-1.4176,-1.2744,50.0054,6.1575,2.2115,4.8,8.4,24,2100,106,NA,NA,NA,NA,NA,NA,FALSE,-36,1.2,-3.2,NA,NA,NA,NA,NA,NA,FALSE,FALSE,519203,"Anthony Rizzo","/api/v1/people/519203",NA,NA,NA,NA,NA,NA
745764,"2024-04-05",1,"2024-04-05T20:03:03.814Z","2024-04-05T20:03:08.023Z",TRUE,"pitch","0a4cf69c-71c7-456d-a4ea-b05c4e2c8187",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,0,2,NA,NA,3.4742,1.6069,NA,82.9,202.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Single","single","Anthony Volpe singles on a ground ball to right fielder George Springer. Anthony Rizzo to 2nd.",0,3,0,71,"bottom",9,"2024-04-05T20:02:32.561Z","2024-04-05T20:04:03.742Z",TRUE,FALSE,FALSE,FALSE,33,2,2,2,683011,"Anthony Volpe","/api/v1/people/683011","R","Right",643338,"Chad Green","/api/v1/people/643338","R","Right","vs_RHP","vs_RHB","RISP",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees","Toronto Blue Jays","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",87,79.7,14,2,0.4341,6.776,27.2853,-27.5147,0.6051,2.892,0.8946,1.3454,5.4494,-126.4744,-6.0645,-1.3721,50.0026,5.9988,0.9727,3.6,7.2,24,2133,137,NA,NA,NA,NA,NA,NA,FALSE,-32.4,4,-2.4,NA,NA,NA,NA,NA,NA,FALSE,FALSE,519203,"Anthony Rizzo","/api/v1/people/519203",NA,NA,NA,NA,NA,NA
745764,"2024-04-05",0,"2024-04-05T20:02:49.590Z","2024-04-05T20:02:53.822Z",TRUE,"pitch","d72c4bf5-36fd-4351-8607-4694792830b3",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,2,NA,NA,3.4479,1.633,NA,69.1,186.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Single","single","Anthony Volpe singles on a ground ball to right fielder George Springer. Anthony Rizzo to 2nd.",0,3,0,71,"bottom",9,"2024-04-05T20:02:32.561Z","2024-04-05T20:04:03.742Z",TRUE,FALSE,FALSE,FALSE,33,2,2,2,683011,"Anthony Volpe","/api/v1/people/683011","R","Right",643338,"Chad Green","/api/v1/people/643338","R","Right","vs_RHP","vs_RHB","RISP",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees","Toronto Blue Jays","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",86.3,79.7,14,2,0.436,6.7856,24.9108,-29.8229,1.0082,1.4702,1.2566,1.9514,5.939,-125.5309,-4.3107,-1.2689,50.004,6.1131,1.6111,4.8,7.2,24,2112,112,NA,NA,NA,NA,NA,NA,FALSE,-34.8,1.9,-3.1,NA,NA,NA,NA,NA,NA,FALSE,FALSE,519203,"Anthony Rizzo","/api/v1/people/519203",NA,NA,NA,NA,NA,NA
745764,"2024-04-05",0,"2024-04-05T20:02:09.339Z","2024-04-05T20:02:21.011Z",TRUE,"pitch","50abc2b6-403e-44d7-a950-673c05a462b0",1,"In play, no out",NA,NA,NA,NA,FALSE,"D","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"D","In play, no out",0,0,2,NA,NA,3.69,1.73,NA,103.44,176.65,"line_drive","hard","9",192.62,82.94,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Single","single","Anthony Rizzo singles on a sharp line drive to right fielder George Springer.",0,3,0,70,"bottom",9,"2024-04-05T20:01:54.159Z","2024-04-05T20:02:21.011Z",TRUE,FALSE,FALSE,FALSE,33,0,0,2,519203,"Anthony Rizzo","/api/v1/people/519203","L","Left",643338,"Chad Green","/api/v1/people/643338","R","Right","vs_RHP","vs_LHB","Men_On",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees","Toronto Blue Jays","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94.4,85.2,9,0.89,0.4018,6.8199,34.095,-9.5967,-6.2655,12.0323,0.3557,2.3011,6.7985,-137.0401,-8.1699,-1.3594,50.0015,6.001,-11.7557,40.8,3.6,24,2405,213,102.1,21,332,NA,NA,NA,FALSE,-11.3,19.9,9.7,NA,NA,NA,NA,NA,NA,FALSE,FALSE,519203,"Anthony Rizzo","/api/v1/people/519203",NA,NA,NA,519203,"Anthony Rizzo","/api/v1/people/519203"
745764,"2024-04-05",1,"2024-04-05T20:01:33.508Z","2024-04-05T20:01:43.020Z",TRUE,"pitch","0c8e830c-7889-488c-a205-32c3a53bf84a",2,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,1,1,NA,NA,3.58,1.75,NA,106.55,153.48,"fly_ball","medium","9",195,117.33,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Flyout","field_out","Giancarlo Stanton flies out to right fielder George Springer.",0,3,0,69,"bottom",9,"2024-04-05T20:01:10.019Z","2024-04-05T20:01:43.020Z",TRUE,FALSE,FALSE,TRUE,0,0,1,2,519317,"Giancarlo Stanton","/api/v1/people/519317","R","Right",643338,"Chad Green","/api/v1/people/643338","R","Right","vs_RHP","vs_RHB","Empty",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees","Toronto Blue Jays","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.7,87.6,2,0.92,0.393,6.8206,30.6401,-10.1933,-4.8888,11.1694,0.2742,3.1591,6.0695,-139.2566,-6.173,-1.2963,50.0058,6.0758,-9.6241,36,2.4,24,2346,208,93.3,51,266,NA,NA,NA,TRUE,-10.7,19.2,7.7,NA,NA,NA,NA,NA,NA,TRUE,FALSE,519203,"Anthony Rizzo","/api/v1/people/519203",NA,NA,NA,NA,NA,NA
745764,"2024-04-05",0,"2024-04-05T20:01:17.072Z","2024-04-05T20:01:22.028Z",TRUE,"pitch","5ddc39d0-b83e-4fcc-9858-e1ad83cf05ee",1,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,1,1,NA,NA,3.58,1.75,NA,86.2,144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Flyout","field_out","Giancarlo Stanton flies out to right fielder George Springer.",0,3,0,69,"bottom",9,"2024-04-05T20:01:10.019Z","2024-04-05T20:01:43.020Z",TRUE,FALSE,FALSE,TRUE,0,0,1,2,519317,"Giancarlo Stanton","/api/v1/people/519317","R","Right",643338,"Chad Green","/api/v1/people/643338","R","Right","vs_RHP","vs_RHB","Empty",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees","Toronto Blue Jays","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94.6,85.7,3,0.9,0.3995,6.8006,32.8079,-8.6225,-4.6511,12.3966,0.808,3.5103,7.372,-137.5202,-5.5102,-1.3132,50.0011,6.1356,-8.8357,36,2.4,24,2384,212,NA,NA,NA,NA,NA,NA,FALSE,-9.5,21.4,6.7,NA,NA,NA,NA,NA,NA,TRUE,FALSE,519203,"Anthony Rizzo","/api/v1/people/519203",NA,NA,NA,NA,NA,NA
745764,"2024-04-05",4,"2024-04-05T20:00:49.943Z","2024-04-05T20:00:57.597Z",TRUE,"pitch","f2574912-3c86-430b-940f-3a6659292a1c",3,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,1,0,NA,NA,3.99,1.84,NA,108.84,180.48,"ground_ball","medium","5",97.05,156.87,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Groundout","field_out","Aaron Judge grounds out, third baseman Ernie Clement to first baseman Vladimir Guerrero Jr.",0,3,0,68,"bottom",9,"2024-04-05T20:00:13.714Z","2024-04-05T20:00:57.597Z",TRUE,FALSE,FALSE,TRUE,0,1,1,1,592450,"Aaron Judge","/api/v1/people/592450","R","Right",643338,"Chad Green","/api/v1/people/643338","R","Right","vs_RHP","vs_RHB","Empty",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees","Toronto Blue Jays",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",86.6,79.6,8,2,0.4348,6.7114,25.8906,-28.7011,-0.1807,2.1621,0.214,2.1592,4.0375,-126.0328,-3.9764,-1.3861,50.0045,6.0786,-0.2911,1.2,7.2,24,2173,84,81.8,-11,12,NA,NA,NA,TRUE,-33.2,3.2,-0.6,NA,NA,NA,NA,NA,NA,TRUE,FALSE,519203,"Anthony Rizzo","/api/v1/people/519203",NA,NA,NA,NA,NA,NA
