"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isSubstitution","base","replacedPlayer.id","replacedPlayer.link","details.disengagementNum","isBaseRunningPlay","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link"
717845,"2023-06-08",1,"2023-06-08T19:17:33.726Z","2023-06-08T19:17:42.502Z",TRUE,"pitch","1a374580-39ac-4278-8fdb-c47acb374f52",2,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,1,2,NA,NA,3.44,1.65,NA,91.99,169.13,"fly_ball","medium","9",181.88,57.46,NA,NA,NA,NA,NA,NA,NA,NA,"61","atBat","Flyout","field_out","Royce Lewis flies out to right fielder Josh Lowe.",0,2,4,61,"top",9,"2023-06-08T19:17:13.252Z","2023-06-08T19:17:42.502Z",TRUE,FALSE,FALSE,TRUE,0,0,1,3,668904,"Royce Lewis","/api/v1/people/668904","R","Right",592094,"Jason Adam","/api/v1/people/592094","R","Right","vs_RHP","vs_RHB","Empty",NA,"Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Tampa Bay Rays","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.1,85.8,6,0.9,0.3986,6.8714,34.3319,-9.7723,-5.5839,11.7483,0.656,2.5796,6.5101,-138.0798,-6.7645,-1.0208,50.0026,5.7386,-10.6478,38.4,3.6,24,2680,207,99.7,29,377,NA,NA,NA,TRUE,-10.9,19.8,8.5,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717845,"2023-06-08",0,"2023-06-08T19:17:18.325Z","2023-06-08T19:17:22.266Z",TRUE,"pitch","647f6270-3e44-4be9-82dc-63703b95082e",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,2,NA,NA,3.4903,1.6253,NA,118.34,188.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"61","atBat","Flyout","field_out","Royce Lewis flies out to right fielder Josh Lowe.",0,2,4,61,"top",9,"2023-06-08T19:17:13.252Z","2023-06-08T19:17:42.502Z",TRUE,FALSE,FALSE,TRUE,0,0,1,3,668904,"Royce Lewis","/api/v1/people/668904","R","Right",592094,"Jason Adam","/api/v1/people/592094","R","Right","vs_RHP","vs_RHB","Empty",NA,"Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Tampa Bay Rays","false",NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",78.6,71.2,8,0.9,0.4835,6.9866,25.4882,-36.7037,12.4413,-3.5016,-0.0351,1.8719,0.1466,-114.2803,0.054,-1.711,50.0039,5.5221,16.0853,24,13.2,24,2732,53,NA,NA,NA,NA,NA,NA,FALSE,-51,-5.9,-22.4,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717845,"2023-06-08",5,"2023-06-08T19:16:48.452Z","2023-06-08T19:16:53.450Z",TRUE,"pitch","c3157718-d266-4512-8b3b-5f87cb956f3d",6,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,3,1,NA,NA,3.28,1.53,NA,36.15,194.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"60","atBat","Strikeout","strikeout","Kyle Farmer strikes out swinging.",0,2,4,60,"top",9,"2023-06-08T19:15:08.158Z","2023-06-08T19:16:53.450Z",TRUE,FALSE,FALSE,TRUE,14,1,3,2,571657,"Kyle Farmer","/api/v1/people/571657","R","Right",592094,"Jason Adam","/api/v1/people/592094","R","Right","vs_RHP","vs_RHB","Empty",NA,"Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Tampa Bay Rays","true",NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",79.8,72.5,14,0.9,0.476,7.4882,26.2626,-33.5936,11.7519,-1.0646,2.121,1.6539,4.6182,-116.0797,-1.2712,-1.4342,50.002,5.4729,15.6774,26.4,12,24,2713,47,NA,NA,NA,NA,NA,NA,TRUE,-45.7,-1.9,-22.6,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717845,"2023-06-08",4,"2023-06-08T19:16:25.731Z","2023-06-08T19:16:29.415Z",TRUE,"pitch","51282d8f-92cc-4b48-8b9e-cd269603b634",5,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,2,1,NA,NA,3.28,1.53,NA,96.13,154.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"60","atBat","Strikeout","strikeout","Kyle Farmer strikes out swinging.",0,2,4,60,"top",9,"2023-06-08T19:15:08.158Z","2023-06-08T19:16:53.450Z",TRUE,FALSE,FALSE,TRUE,14,1,3,2,571657,"Kyle Farmer","/api/v1/people/571657","R","Right",592094,"Jason Adam","/api/v1/people/592094","R","Right","vs_RHP","vs_RHB","Empty",NA,"Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Tampa Bay Rays","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.4,87.1,3,0.9,0.3948,6.9097,31.5272,-10.9758,-2.5271,10.8783,0.5476,3.1345,5.5914,-138.8273,-5.2753,-1.1656,50.0042,5.7921,-4.9255,16.8,2.4,24,2622,204,NA,NA,NA,NA,NA,NA,FALSE,-11.3,18.7,3.4,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717845,"2023-06-08",3,"2023-06-08T19:16:06.456Z","2023-06-08T19:16:09.978Z",TRUE,"pitch","e9eb91d6-e1c5-49e6-b2bc-b6fafafbbc80",4,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,2,1,NA,NA,3.28,1.53,NA,89.33,186.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"60","atBat","Strikeout","strikeout","Kyle Farmer strikes out swinging.",0,2,4,60,"top",9,"2023-06-08T19:15:08.158Z","2023-06-08T19:16:53.450Z",TRUE,FALSE,FALSE,TRUE,14,1,3,2,571657,"Kyle Farmer","/api/v1/people/571657","R","Right",592094,"Jason Adam","/api/v1/people/592094","R","Right","vs_RHP","vs_RHB","Empty",NA,"Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Tampa Bay Rays","false",NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",79.1,71.9,9,0.9,0.4792,6.505,24.8553,-32.1629,12.4056,0.0111,0.7258,1.9277,1.5643,-115.071,-0.7806,-1.575,50.0046,5.4362,16.3449,27.6,10.8,24,2716,58,NA,NA,NA,NA,NA,NA,FALSE,-44.2,0.1,-22.8,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717845,"2023-06-08",2,"2023-06-08T19:15:49.079Z","2023-06-08T19:15:52.395Z",TRUE,"pitch","4e5852d5-4a25-4b6f-8fa3-9461860d2578",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,2,1,NA,NA,3.4794,1.555,NA,52.14,212.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"60","atBat","Strikeout","strikeout","Kyle Farmer strikes out swinging.",0,2,4,60,"top",9,"2023-06-08T19:15:08.158Z","2023-06-08T19:16:53.450Z",TRUE,FALSE,FALSE,TRUE,14,1,3,2,571657,"Kyle Farmer","/api/v1/people/571657","R","Right",592094,"Jason Adam","/api/v1/people/592094","R","Right","vs_RHP","vs_RHB","Empty",NA,"Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Tampa Bay Rays","false",NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",82.5,75.8,14,0.89,0.4582,6.7598,25.2824,-32.539,9.1603,-0.253,1.7016,0.9768,4.4679,-119.9796,-3.6835,-1.3804,50.0033,5.4612,13.2261,22.8,9.6,24,2700,45,NA,NA,NA,NA,NA,NA,FALSE,-41.6,-1.2,-17.8,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717845,"2023-06-08",1,"2023-06-08T19:15:30.634Z","2023-06-08T19:15:34.730Z",TRUE,"pitch","56fd248c-1653-4643-896e-600bec611b02",2,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,2,1,NA,NA,3.28,1.53,NA,91.12,210.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"60","atBat","Strikeout","strikeout","Kyle Farmer strikes out swinging.",0,2,4,60,"top",9,"2023-06-08T19:15:08.158Z","2023-06-08T19:16:53.450Z",TRUE,FALSE,FALSE,TRUE,14,1,3,2,571657,"Kyle Farmer","/api/v1/people/571657","R","Right",592094,"Jason Adam","/api/v1/people/592094","R","Right","vs_RHP","vs_RHB","Empty",NA,"Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Tampa Bay Rays","false",NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",79.3,72.7,14,0.9,0.4763,6.8448,23.6508,-31.0933,11.1736,0.8077,0.679,1.0612,1.5303,-115.481,-2.9495,-1.4442,50.0021,5.3787,14.9288,25.2,10.8,24,2652,53,NA,NA,NA,NA,NA,NA,FALSE,-42.8,1,-20.6,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717845,"2023-06-08",0,"2023-06-08T19:15:13.711Z","2023-06-08T19:15:17.993Z",TRUE,"pitch","e1041af1-673a-4874-b55a-79476cc496c9",1,"Foul Tip",NA,NA,NA,NA,FALSE,"T","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"T","Foul Tip",0,1,1,NA,NA,3.28,1.53,NA,104.81,164.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"60","atBat","Strikeout","strikeout","Kyle Farmer strikes out swinging.",0,2,4,60,"top",9,"2023-06-08T19:15:08.158Z","2023-06-08T19:16:53.450Z",TRUE,FALSE,FALSE,TRUE,14,1,3,2,571657,"Kyle Farmer","/api/v1/people/571657","R","Right",592094,"Jason Adam","/api/v1/people/592094","R","Right","vs_RHP","vs_RHB","Empty",NA,"Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Tampa Bay Rays","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94.8,86.3,3,0.9,0.398,7.2353,31.5473,-9.5853,-4.019,11.784,0.3198,2.7432,5.3217,-137.8004,-6.2036,-1.1172,50.0054,5.6762,-7.706,31.2,2.4,24,2668,212,NA,NA,NA,NA,NA,NA,FALSE,-10.4,20.2,6.1,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717845,"2023-06-08",7,"2023-06-08T19:14:39.839Z","2023-06-08T19:14:47.732Z",TRUE,"pitch","315de3f5-030d-48d0-b78b-77c0ca6a4944",5,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",2,2,0,NA,NA,3.45,1.7,NA,77.68,187.23,"ground_ball","medium","1",128.26,173.8,NA,NA,NA,NA,NA,NA,NA,NA,"59","atBat","Groundout","field_out","Carlos Correa grounds out, pitcher Jason Adam to first baseman Luke Raley.",0,2,4,59,"top",9,"2023-06-08T19:12:01.688Z","2023-06-08T19:14:47.732Z",TRUE,FALSE,FALSE,TRUE,0,2,2,1,621043,"Carlos Correa","/api/v1/people/621043","R","Right",592094,"Jason Adam","/api/v1/people/592094","R","Right","vs_RHP","vs_RHB","Empty",NA,"Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Tampa Bay Rays",NA,NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",78.3,71.1,14,0.9,0.4844,6.9467,24.8828,-33.4787,11.6608,-1.0093,1.0317,1.9094,2.5753,-113.9652,-0.2213,-1.6327,50.0045,5.3719,15.0302,25.2,12,24,2684,58,62.9,-44,4,NA,NA,NA,TRUE,-46.8,-1.6,-21.7,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717845,"2023-06-08",4,"2023-06-08T19:12:59.803Z","2023-06-08T19:13:03.027Z",TRUE,"pitch","80d2f085-97af-405a-afcc-f2df6e64a038",4,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",2,2,0,NA,NA,3.45,1.7,NA,165.38,167.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"59","atBat","Groundout","field_out","Carlos Correa grounds out, pitcher Jason Adam to first baseman Luke Raley.",0,2,4,59,"top",9,"2023-06-08T19:12:01.688Z","2023-06-08T19:14:47.732Z",TRUE,FALSE,FALSE,TRUE,0,2,2,1,621043,"Carlos Correa","/api/v1/people/621043","R","Right",592094,"Jason Adam","/api/v1/people/592094","R","Right","vs_RHP","vs_RHB","Empty",NA,"Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Tampa Bay Rays",NA,NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",90.1,82.1,11,0.88,0.4187,6.6179,29.5397,-24.5435,-9.2745,4.408,-1.2693,2.6386,3.2156,-131.1534,-3.1414,-1.3114,50.001,5.6965,-16.0424,31.2,7.2,24,2376,229,NA,NA,NA,NA,NA,NA,FALSE,-26.4,7.4,16,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
