"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.disengagementNum","isSubstitution","isBaseRunningPlay","base","replacedPlayer.id","replacedPlayer.link","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","reviewDetails.isOverturned","reviewDetails.inProgress","reviewDetails.reviewType","reviewDetails.challengeTeamId"
718181,"2023-05-14",4,"2023-05-14T20:41:47.580Z","2023-05-14T20:41:58.187Z",TRUE,"pitch","78cc52fc-237a-488f-9207-c66b2e4a0855",4,"In play, run(s)",NA,NA,NA,NA,FALSE,"E","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"E","In play, run(s)",2,1,2,NA,NA,3.15,1.5,NA,153.61,181.27,"ground_ball","medium","7",94.48,117.53,NA,NA,NA,NA,NA,NA,NA,NA,"86","atBat","Single","single","Danny Jansen singles on a ground ball to left fielder Kevin Pillar. Vladimir Guerrero Jr. scores. Matt Chapman scores. Nathan Lukes to 2nd.",2,5,6,86,"bottom",9,"2023-05-14T20:40:34.229Z","2023-05-14T20:41:58.187Z",TRUE,TRUE,FALSE,FALSE,60,2,1,2,643376,"Danny Jansen","/api/v1/people/643376","R","Right",628452,"Raisel Iglesias","/api/v1/people/628452","R","Right","vs_RHP","vs_RHB","RISP",NA,"Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Toronto Blue Jays","Atlanta Braves",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",93,84.2,13,2,0.4067,6.223,32.8993,-22.5174,-10.5171,5.2748,-0.9604,2.1299,5.4886,-135.2968,-3.865,-1.6623,50.0044,5.1787,-19.2602,37.2,6,24,2434,213,85.1,3,72,NA,NA,NA,FALSE,-23.2,8.8,17.6,NA,NA,NA,NA,NA,NA,FALSE,FALSE,643376,"Danny Jansen","/api/v1/people/643376",664770,"Nathan Lukes","/api/v1/people/664770",NA,NA,NA,NA,NA,NA,NA
718181,"2023-05-14",3,"2023-05-14T20:41:28.557Z","2023-05-14T20:41:32.035Z",TRUE,"pitch","1f7d5e2d-a4ad-478a-9bbd-39f3dd93ce69",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,1,2,NA,NA,3.1752,1.4983,NA,73.5,208.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"86","atBat","Single","single","Danny Jansen singles on a ground ball to left fielder Kevin Pillar. Vladimir Guerrero Jr. scores. Matt Chapman scores. Nathan Lukes to 2nd.",2,5,6,86,"bottom",9,"2023-05-14T20:40:34.229Z","2023-05-14T20:41:58.187Z",TRUE,TRUE,FALSE,FALSE,60,2,1,2,643376,"Danny Jansen","/api/v1/people/643376","R","Right",628452,"Raisel Iglesias","/api/v1/people/628452","R","Right","vs_RHP","vs_RHB","RISP",NA,"Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Toronto Blue Jays","Atlanta Braves",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",93.1,84.1,14,2,0.4079,6.3567,32.4901,-16.6218,-9.9093,8.5438,1.1413,1.1319,11.7823,-134.8609,-6.3564,-2.0208,50.0052,4.7149,-18.0446,39.6,4.8,24,2337,234,NA,NA,NA,NA,NA,NA,FALSE,-18.1,14,15.1,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718181,"2023-05-14",2,"2023-05-14T20:40:54.394Z","2023-05-14T20:40:58.010Z",TRUE,"pitch","c40d6cb1-c244-4fa8-aa65-b094c902da94",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,2,NA,NA,3.2025,1.4983,NA,197.74,184.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"86","atBat","Single","single","Danny Jansen singles on a ground ball to left fielder Kevin Pillar. Vladimir Guerrero Jr. scores. Matt Chapman scores. Nathan Lukes to 2nd.",2,5,6,86,"bottom",9,"2023-05-14T20:40:34.229Z","2023-05-14T20:41:58.187Z",TRUE,TRUE,FALSE,FALSE,60,2,1,2,643376,"Danny Jansen","/api/v1/people/643376","R","Right",628452,"Raisel Iglesias","/api/v1/people/628452","R","Right","vs_RHP","vs_RHB","RISP",NA,"Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Toronto Blue Jays","Atlanta Braves",NA,NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",88.2,80.4,13,2,0.4282,6.0128,28.5742,-26.8496,-12.4086,3.2171,-2.1181,2.0257,3.2865,-128.3139,-2.7058,-1.8102,50.0011,5.2038,-20.5195,36,8.4,24,1913,244,NA,NA,NA,NA,NA,NA,FALSE,-30,5.4,21.6,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718181,"2023-05-14",1,"2023-05-14T20:40:36.550Z","2023-05-14T20:40:39.627Z",TRUE,"pitch","14686c4e-2101-4b7f-a311-f840eb6d7d7d",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,2,NA,NA,3.2299,1.4983,NA,115.09,187.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"86","atBat","Single","single","Danny Jansen singles on a ground ball to left fielder Kevin Pillar. Vladimir Guerrero Jr. scores. Matt Chapman scores. Nathan Lukes to 2nd.",2,5,6,86,"bottom",9,"2023-05-14T20:40:34.229Z","2023-05-14T20:41:58.187Z",TRUE,TRUE,FALSE,FALSE,60,2,1,2,643376,"Danny Jansen","/api/v1/people/643376","R","Right",628452,"Raisel Iglesias","/api/v1/people/628452","R","Right","vs_RHP","vs_RHB","RISP",NA,"Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Toronto Blue Jays","Atlanta Braves",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",92.7,84.2,8,2,0.4077,6.1054,31.4339,-14.5714,-7.7137,9.6468,0.0501,1.8944,6.8121,-134.7476,-6.0749,-1.5184,50.0015,5.222,-14.0723,38.4,4.8,24,2278,219,NA,NA,NA,NA,NA,NA,FALSE,-15.8,16.2,12.4,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718181,"2023-05-14",0,"2023-05-14T20:40:17.451Z","2023-05-14T20:40:36.550Z",FALSE,"action",NA,NA,"Offensive Substitution: Pinch-runner Nathan Lukes replaces Brandon Belt.","Offensive Substitution",5,4,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,2,664770,"/api/v1/people/664770",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"offensive_substitution",NA,"12","Pinch Runner","Runner","PR","701","86","atBat","Single","single","Danny Jansen singles on a ground ball to left fielder Kevin Pillar. Vladimir Guerrero Jr. scores. Matt Chapman scores. Nathan Lukes to 2nd.",2,5,6,86,"bottom",9,"2023-05-14T20:40:34.229Z","2023-05-14T20:41:58.187Z",TRUE,TRUE,FALSE,FALSE,60,2,1,2,643376,"Danny Jansen","/api/v1/people/643376","R","Right",628452,"Raisel Iglesias","/api/v1/people/628452","R","Right","vs_RHP","vs_RHB","RISP",NA,"Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Toronto Blue Jays","Atlanta Braves",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,TRUE,NA,1,474832,"/api/v1/people/474832",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718181,"2023-05-14",0,"2023-05-14T20:39:30.445Z","2023-05-14T20:39:38.922Z",TRUE,"pitch","dc02c9d6-d813-4e5f-af20-2577b963da2d",1,"In play, no out",NA,NA,NA,NA,FALSE,"D","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"D","In play, no out",0,0,2,NA,NA,3.17,1.51,NA,150.59,175.09,"ground_ball","medium","6",105.37,146.44,NA,NA,NA,NA,NA,NA,NA,NA,"85","atBat","Single","single","Brandon Belt singles on a ground ball to shortstop Orlando Arcia. Vladimir Guerrero Jr. to 3rd. Matt Chapman to 2nd.",0,5,4,85,"bottom",9,"2023-05-14T20:39:16.818Z","2023-05-14T20:39:38.922Z",TRUE,FALSE,FALSE,FALSE,33,0,0,2,474832,"Brandon Belt","/api/v1/people/474832","L","Left",628452,"Raisel Iglesias","/api/v1/people/628452","R","Right","vs_RHP","vs_LHB","Loaded",NA,"Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Toronto Blue Jays","Atlanta Braves","true",NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",86.9,77.8,11,2,0.4382,6.1326,32.0278,-31.3703,-12.4235,0.5162,-0.8812,2.3588,6.2145,-126.282,-0.6435,-1.7948,50.0059,5.1999,-19.5402,30,9.6,24,1938,233,60.9,-43,5,NA,NA,NA,FALSE,-36,1.1,20.5,NA,NA,NA,NA,NA,NA,FALSE,FALSE,474832,"Brandon Belt","/api/v1/people/474832",656305,"Matt Chapman","/api/v1/people/656305",665489,"Vladimir Guerrero Jr.","/api/v1/people/665489",NA,NA,NA,NA
718181,"2023-05-14",1,"2023-05-14T20:38:51.346Z","2023-05-14T20:39:04.822Z",TRUE,"pitch","2910f678-e0e0-4666-9e90-8014022e8643",1,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,0,1,NA,NA,3.3,1.56,NA,141.22,175.16,"fly_ball","medium","7",107.96,111.45,NA,NA,NA,NA,NA,NA,NA,NA,"84","atBat","Flyout","field_out","Whit Merrifield flies out to left fielder Kevin Pillar.",0,5,4,84,"bottom",9,"2023-05-14T20:38:30.618Z","2023-05-14T20:39:04.822Z",TRUE,FALSE,FALSE,TRUE,0,0,0,2,593160,"Whit Merrifield","/api/v1/people/593160","R","Right",628452,"Raisel Iglesias","/api/v1/people/628452","R","Right","vs_RHP","vs_RHB","RISP",NA,"Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Toronto Blue Jays","Atlanta Braves",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",80.4,73.6,4,2,0.4685,5.9677,23.2096,-26.1189,4.2376,4.3764,-0.6353,2.3564,1.5538,-117.1544,-1.0735,-1.8585,50.0015,5.2735,5.8585,13.2,8.4,24,2728,93,91.7,52,227,NA,NA,NA,TRUE,-34.4,7.9,-8,NA,NA,NA,NA,NA,NA,TRUE,FALSE,656305,"Matt Chapman","/api/v1/people/656305",665489,"Vladimir Guerrero Jr.","/api/v1/people/665489",NA,NA,NA,NA,NA,NA,NA
718181,"2023-05-14",0,"2023-05-14T20:38:30.618Z","2023-05-14T20:38:35.618Z",FALSE,"stepoff","6df98771-8aad-4afe-9a2f-068e27e5ac62",NA,"Pitcher Step Off",NA,NA,NA,NA,FALSE,"PSO",NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"84","atBat","Flyout","field_out","Whit Merrifield flies out to left fielder Kevin Pillar.",0,5,4,84,"bottom",9,"2023-05-14T20:38:30.618Z","2023-05-14T20:39:04.822Z",TRUE,FALSE,FALSE,TRUE,0,0,0,2,593160,"Whit Merrifield","/api/v1/people/593160","R","Right",628452,"Raisel Iglesias","/api/v1/people/628452","R","Right","vs_RHP","vs_RHB","RISP",NA,"Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Toronto Blue Jays","Atlanta Braves",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,1,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718181,"2023-05-14",4,"2023-05-14T20:37:59.331Z","2023-05-14T20:38:03.630Z",TRUE,"pitch","6b80bf8b-4c01-44a0-98eb-9ddcb5088434",5,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",4,1,1,NA,NA,3.4626,1.6382,NA,155.38,142.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"83","atBat","Walk","walk","Matt Chapman walks. Vladimir Guerrero Jr. to 2nd.",0,5,4,83,"bottom",9,"2023-05-14T20:36:40.430Z","2023-05-14T20:38:03.630Z",TRUE,FALSE,FALSE,FALSE,0,4,1,1,656305,"Matt Chapman","/api/v1/people/656305","R","Right",628452,"Raisel Iglesias","/api/v1/people/628452","R","Right","vs_RHP","vs_RHB","RISP",NA,"Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Toronto Blue Jays","Atlanta Braves","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",92.8,84.2,11,2,0.4066,6.0928,31.1784,-14.955,-4.534,9.3865,-1.0069,3.5607,3.1327,-135.0405,-2.1165,-1.5967,50.0063,5.4145,-8.3215,26.4,3.6,24,2276,218,NA,NA,NA,NA,NA,NA,FALSE,-15.2,16.7,7.4,NA,NA,NA,NA,NA,NA,FALSE,FALSE,656305,"Matt Chapman","/api/v1/people/656305",665489,"Vladimir Guerrero Jr.","/api/v1/people/665489",NA,NA,NA,NA,NA,NA,NA
718181,"2023-05-14",3,"2023-05-14T20:37:39.325Z","2023-05-14T20:37:43.681Z",TRUE,"pitch","2bbfbda2-a308-4a6c-a901-236bb0153ecb",4,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",3,1,1,NA,NA,3.4626,1.6382,NA,189.66,159.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"83","atBat","Walk","walk","Matt Chapman walks. Vladimir Guerrero Jr. to 2nd.",0,5,4,83,"bottom",9,"2023-05-14T20:36:40.430Z","2023-05-14T20:38:03.630Z",TRUE,FALSE,FALSE,FALSE,0,4,1,1,656305,"Matt Chapman","/api/v1/people/656305","R","Right",628452,"Raisel Iglesias","/api/v1/people/628452","R","Right","vs_RHP","vs_RHB","RISP",NA,"Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Toronto Blue Jays","Atlanta Braves","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",92.2,83.8,11,2,0.4089,6.1115,31.0293,-15.7381,-3.724,9.0621,-1.9062,2.924,0.2799,-134.3063,-3.6572,-1.5288,50.0035,5.4335,-6.7546,21.6,3.6,24,2264,212,NA,NA,NA,NA,NA,NA,FALSE,-16.6,15.7,6.7,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
