"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.disengagementNum","isSubstitution","replacedPlayer.id","replacedPlayer.link","base","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link"
747203,"2024-05-15",0,"2024-05-15T21:39:27.849Z","2024-05-15T21:39:38.250Z",TRUE,"pitch","30b51b48-4bcc-45d0-b9ff-b08e700c7613",1,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,0,2,NA,NA,3.48,1.67,NA,125.64,157.98,"fly_ball","medium","9",168.81,116.06,NA,NA,NA,NA,NA,NA,NA,NA,"62","atBat","Flyout","field_out","Jeimer Candelario flies out to right fielder Jake McCarthy.",0,1,2,62,"top",9,"2024-05-15T21:39:15.513Z","2024-05-15T21:39:38.250Z",TRUE,FALSE,FALSE,TRUE,0,0,0,3,600869,"Jeimer Candelario","/api/v1/people/600869","L","Left",623149,"Paul Sewald","/api/v1/people/623149","R","Right","vs_RHP","vs_LHB","Empty",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds","Arizona Diamondbacks","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",90,81.6,2,0.9,0.4203,6.2629,29.209,-20.6138,-8.4606,6.7335,-0.2268,2.9926,10.4313,-130.6353,0.0804,-3.1847,50.0039,4.5195,-14.5289,31.2,6,24,2524,239,96.9,55,235,NA,NA,NA,TRUE,-21.7,12.5,12.8,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA
747203,"2024-05-15",1,"2024-05-15T21:38:53.580Z","2024-05-15T21:39:02.369Z",TRUE,"pitch","11e3c7ce-1da8-40a4-aecc-8775d45eb3f3",2,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,0,1,NA,NA,3.32,1.6,NA,141.52,183.04,"popup","medium","3",172.79,170.05,NA,NA,NA,NA,NA,NA,NA,NA,"61","atBat","Pop Out","field_out","Spencer Steer pops out to first baseman Christian Walker in foul territory.",0,1,2,61,"top",9,"2024-05-15T21:38:23.179Z","2024-05-15T21:39:02.369Z",TRUE,FALSE,FALSE,TRUE,0,1,0,2,668715,"Spencer Steer","/api/v1/people/668715","R","Right",623149,"Paul Sewald","/api/v1/people/623149","R","Right","vs_RHP","vs_RHB","Empty",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds","Arizona Diamondbacks","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",90,81.8,7,0.9,0.4198,6.58,28.5014,-19.2373,-8.818,7.5099,-0.6433,2.0645,9.6899,-130.6591,-2.2404,-3.2609,50.003,4.3846,-15.1901,33.6,6,24,2487,237,61.9,58,139,NA,NA,NA,TRUE,-20.8,13.3,13.7,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA
747203,"2024-05-15",0,"2024-05-15T21:38:39.141Z","2024-05-15T21:38:44.554Z",TRUE,"pitch","3943cdaa-5e8c-40d5-a1c8-c89534e436f8",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,1,NA,NA,3.3297,1.6745,NA,62.46,191.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"61","atBat","Pop Out","field_out","Spencer Steer pops out to first baseman Christian Walker in foul territory.",0,1,2,61,"top",9,"2024-05-15T21:38:23.179Z","2024-05-15T21:39:02.369Z",TRUE,FALSE,FALSE,TRUE,0,1,0,2,668715,"Spencer Steer","/api/v1/people/668715","R","Right",623149,"Paul Sewald","/api/v1/people/623149","R","Right","vs_RHP","vs_RHB","Empty",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds","Arizona Diamondbacks","false",NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",82.1,74.7,14,0.9,0.4618,6.2108,25.2536,-22.8039,3.6728,6.593,1.4309,1.7539,9.7422,-119.1177,-1.5068,-3.2075,50.0031,4.4787,5.2164,16.8,7.2,24,2541,83,NA,NA,NA,NA,NA,NA,FALSE,-29.4,11.8,-9.2,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA
747203,"2024-05-15",8,"2024-05-15T21:38:03.216Z","2024-05-15T21:38:11.756Z",TRUE,"pitch","3e2bda80-99ad-433e-9177-40799f0d9c82",5,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",3,1,0,NA,NA,3.32,1.56,NA,117.76,168.91,"ground_ball","medium","3",164.99,150.56,NA,NA,NA,NA,NA,NA,NA,NA,"60","atBat","Groundout","field_out","Mike Ford grounds out to first baseman Christian Walker.",0,1,2,60,"top",9,"2024-05-15T21:37:00.350Z","2024-05-15T21:38:11.756Z",TRUE,FALSE,FALSE,TRUE,0,3,1,1,645801,"Mike Ford","/api/v1/people/645801","L","Left",623149,"Paul Sewald","/api/v1/people/623149","R","Right","vs_RHP","vs_LHB","Empty",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds","Arizona Diamondbacks",NA,NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",81.4,74,5,0.91,0.4649,6.345,25.1331,-27.3951,8.1452,3.4055,-0.02,2.5879,5.2127,-118.3689,0.8806,-3.3177,50.0004,4.7429,11.4156,24,8.4,24,2413,94,105.9,4,95,NA,NA,NA,TRUE,-35,6.7,-16.1,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA
747203,"2024-05-15",7,"2024-05-15T21:37:46.573Z","2024-05-15T21:37:50.643Z",TRUE,"pitch","67a6599e-2f92-44dd-a9c4-0976747c38b2",4,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",3,1,0,NA,NA,3.2906,1.4928,NA,129.47,122.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"60","atBat","Groundout","field_out","Mike Ford grounds out to first baseman Christian Walker.",0,1,2,60,"top",9,"2024-05-15T21:37:00.350Z","2024-05-15T21:38:11.756Z",TRUE,FALSE,FALSE,TRUE,0,3,1,1,645801,"Mike Ford","/api/v1/people/645801","L","Left",623149,"Paul Sewald","/api/v1/people/623149","R","Right","vs_RHP","vs_LHB","Empty",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds","Arizona Diamondbacks",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",90.5,82,11,0.9,0.418,6.2009,29.1085,-20.2368,-8.6069,6.875,-0.3272,4.2981,10.1967,-131.285,3.0369,-3.1525,50.004,4.6364,-14.9492,32.4,6,24,2405,236,NA,NA,NA,NA,NA,NA,FALSE,-20.3,13.4,13.2,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA
747203,"2024-05-15",6,"2024-05-15T21:37:29.669Z","2024-05-15T21:37:35.693Z",TRUE,"pitch","26b5fc61-5f50-44ec-a84c-153eba02cf01",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,1,0,NA,NA,3.2907,1.5483,NA,93.64,130.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"60","atBat","Groundout","field_out","Mike Ford grounds out to first baseman Christian Walker.",0,1,2,60,"top",9,"2024-05-15T21:37:00.350Z","2024-05-15T21:38:11.756Z",TRUE,FALSE,FALSE,TRUE,0,3,1,1,645801,"Mike Ford","/api/v1/people/645801","L","Left",623149,"Paul Sewald","/api/v1/people/623149","R","Right","vs_RHP","vs_LHB","Empty",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds","Arizona Diamondbacks",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",90.1,81.6,12,0.9,0.42,6.4309,28.9749,-18.0106,-7.1326,8.2353,0.6127,4.0026,11.8637,-130.6841,1.7766,-3.0707,50.0038,4.6716,-12.2708,28.8,4.8,24,2472,236,NA,NA,NA,NA,NA,NA,FALSE,-18.5,15.6,10.1,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA
747203,"2024-05-15",5,"2024-05-15T21:37:15.661Z","2024-05-15T21:37:19.270Z",TRUE,"pitch","69c128ab-419c-4f6d-a25b-18177e5de3b9",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,0,NA,NA,3.2905,1.507,NA,124.45,113.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"60","atBat","Groundout","field_out","Mike Ford grounds out to first baseman Christian Walker.",0,1,2,60,"top",9,"2024-05-15T21:37:00.350Z","2024-05-15T21:38:11.756Z",TRUE,FALSE,FALSE,TRUE,0,3,1,1,645801,"Mike Ford","/api/v1/people/645801","L","Left",623149,"Paul Sewald","/api/v1/people/623149","R","Right","vs_RHP","vs_LHB","Empty",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds","Arizona Diamondbacks",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",90.7,82.2,11,0.9,0.4169,6.3115,29.2112,-20.2511,-5.7403,6.8274,-0.1956,4.6348,9.8355,-131.6177,3.476,-3.2433,50.0002,4.8002,-10.0221,21.6,4.8,24,2530,237,NA,NA,NA,NA,NA,NA,FALSE,-20.2,13.4,8.2,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA
747203,"2024-05-15",4,"2024-05-15T21:37:02.462Z","2024-05-15T21:37:06.761Z",TRUE,"pitch","88f9a044-0c6d-45da-a218-35436c03dfe6",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,0,NA,NA,3.1982,1.4466,NA,152.53,158.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"60","atBat","Groundout","field_out","Mike Ford grounds out to first baseman Christian Walker.",0,1,2,60,"top",9,"2024-05-15T21:37:00.350Z","2024-05-15T21:38:11.756Z",TRUE,FALSE,FALSE,TRUE,0,3,1,1,645801,"Mike Ford","/api/v1/people/645801","L","Left",623149,"Paul Sewald","/api/v1/people/623149","R","Right","vs_RHP","vs_LHB","Empty",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds","Arizona Diamondbacks",NA,NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",80.6,73.7,11,0.91,0.4676,6.1956,23.4043,-28.5669,7.8675,2.6011,-0.9321,2.9855,3.2203,-117.3946,1.8594,-3.3462,50.0049,4.8531,10.9182,21.6,8.4,24,2371,89,NA,NA,NA,NA,NA,NA,FALSE,-36.7,5.5,-15.1,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA
747203,"2024-05-15",0,"2024-05-15T21:35:31.945Z","2024-05-15T21:35:31.997Z",FALSE,"action",NA,NA,"Corbin Carroll remains in the game as the center fielder.","Defensive Switch",1,2,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,682998,"/api/v1/people/682998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"defensive_switch",NA,"8","Outfielder","Outfielder","CF","202","60","atBat","Groundout","field_out","Mike Ford grounds out to first baseman Christian Walker.",0,1,2,60,"top",9,"2024-05-15T21:37:00.350Z","2024-05-15T21:38:11.756Z",TRUE,FALSE,FALSE,TRUE,0,3,1,1,645801,"Mike Ford","/api/v1/people/645801","L","Left",623149,"Paul Sewald","/api/v1/people/623149","R","Right","vs_RHP","vs_LHB","Empty",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds","Arizona Diamondbacks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,TRUE,656976,"/api/v1/people/656976",NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA
747203,"2024-05-15",1,"2024-05-15T21:35:31.997Z","2024-05-15T21:35:32.003Z",FALSE,"action",NA,NA,"Defensive switch from center field to right field for Jake McCarthy.","Defensive Switch",1,2,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,664983,"/api/v1/people/664983",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"defensive_switch",NA,"9","Outfielder","Outfielder","RF","800","60","atBat","Groundout","field_out","Mike Ford grounds out to first baseman Christian Walker.",0,1,2,60,"top",9,"2024-05-15T21:37:00.350Z","2024-05-15T21:38:11.756Z",TRUE,FALSE,FALSE,TRUE,0,3,1,1,645801,"Mike Ford","/api/v1/people/645801","L","Left",623149,"Paul Sewald","/api/v1/people/623149","R","Right","vs_RHP","vs_LHB","Empty",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds","Arizona Diamondbacks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,TRUE,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA
