"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.disengagementNum","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","isSubstitution","isBaseRunningPlay","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link"
718661,"2023-04-08",3,"2023-04-08T22:49:54.793Z","2023-04-08T22:50:02.228Z",TRUE,"pitch","1a635058-9224-43e4-88a9-8fdf31d63cbc",4,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,2,2,NA,NA,3.63,1.76,NA,123.82,151,"ground_ball","medium","5",113.81,159.41,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Groundout","field_out","Jazz Chisholm Jr. grounds out, third baseman Eduardo Escobar to first baseman Mark Canha.",0,2,5,73,"top",9,"2023-04-08T22:48:48.079Z","2023-04-08T22:50:02.228Z",TRUE,FALSE,FALSE,TRUE,0,1,2,3,665862,"Jazz Chisholm Jr.","/api/v1/people/665862","L","Left",502085,"David Robertson","/api/v1/people/502085","R","Right","vs_RHP","vs_LHB","Empty",NA,"New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins","New York Mets","true",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",94.1,86,2,2,0.4002,6.5886,30.0564,-9.8378,-1.219,11.7752,-0.1788,3.2511,7.1499,-136.8278,-4.5324,-2.6668,50.0025,5.6025,-2.3123,3.6,2.4,24,2541,201,62.1,2,42,NA,NA,NA,TRUE,-10.3,20.5,0.7,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718661,"2023-04-08",2,"2023-04-08T22:49:38.767Z","2023-04-08T22:49:42.569Z",TRUE,"pitch","3ae4a963-5b3a-43e6-9f2e-7e8be1f86232",3,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",1,2,2,NA,NA,3.53,1.5989,NA,96.93,182.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Groundout","field_out","Jazz Chisholm Jr. grounds out, third baseman Eduardo Escobar to first baseman Mark Canha.",0,2,5,73,"top",9,"2023-04-08T22:48:48.079Z","2023-04-08T22:50:02.228Z",TRUE,FALSE,FALSE,TRUE,0,1,2,3,665862,"Jazz Chisholm Jr.","/api/v1/people/665862","L","Left",502085,"David Robertson","/api/v1/people/502085","R","Right","vs_RHP","vs_LHB","Empty",NA,"New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins","New York Mets","false",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",94.1,86.6,9,0.91,0.3996,6.6495,28.5218,-10.9755,0.2038,11.1275,0.5266,2.0885,8.0364,-136.7584,-7.46,-2.4696,50.0055,5.5945,0.3868,9.6,2.4,24,2612,206,NA,NA,NA,NA,NA,NA,FALSE,-12,18.8,-1.9,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718661,"2023-04-08",1,"2023-04-08T22:49:24.206Z","2023-04-08T22:49:28.791Z",TRUE,"pitch","05c5336d-ca1b-4064-8a43-d3193d92ca14",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,2,NA,NA,3.53,1.5989,NA,99.58,199.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Groundout","field_out","Jazz Chisholm Jr. grounds out, third baseman Eduardo Escobar to first baseman Mark Canha.",0,2,5,73,"top",9,"2023-04-08T22:48:48.079Z","2023-04-08T22:50:02.228Z",TRUE,FALSE,FALSE,TRUE,0,1,2,3,665862,"Jazz Chisholm Jr.","/api/v1/people/665862","L","Left",502085,"David Robertson","/api/v1/people/502085","R","Right","vs_RHP","vs_LHB","Empty",NA,"New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins","New York Mets","false",NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",86.8,79.8,14,2,0.4342,6.8224,24.6035,-21.9672,-10.0046,6.3269,0.4569,1.4454,10.1824,-125.9382,-5.6905,-2.331,50.0019,5.5012,-16.1358,31.2,7.2,24,2246,230,NA,NA,NA,NA,NA,NA,FALSE,-26,10.3,16,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718661,"2023-04-08",0,"2023-04-08T22:49:11.121Z","2023-04-08T22:49:15.026Z",TRUE,"pitch","fdb0dbe6-ef04-48d3-8a74-a2cabd7a0257",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,2,NA,NA,3.53,1.5989,NA,121.88,187.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Groundout","field_out","Jazz Chisholm Jr. grounds out, third baseman Eduardo Escobar to first baseman Mark Canha.",0,2,5,73,"top",9,"2023-04-08T22:48:48.079Z","2023-04-08T22:50:02.228Z",TRUE,FALSE,FALSE,TRUE,0,1,2,3,665862,"Jazz Chisholm Jr.","/api/v1/people/665862","L","Left",502085,"David Robertson","/api/v1/people/502085","R","Right","vs_RHP","vs_LHB","Empty",NA,"New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins","New York Mets","false",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",92.6,84.7,8,0.91,0.4071,6.5259,29.314,-11.375,0.8207,11.3456,-0.128,1.9151,6.1331,-134.5733,-7.5946,-2.5436,50.003,5.5803,1.505,12,2.4,24,2606,197,NA,NA,NA,NA,NA,NA,FALSE,-13,19.1,-2.8,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718661,"2023-04-08",1,"2023-04-08T22:48:36.294Z","2023-04-08T22:48:45.675Z",TRUE,"pitch","d5cd5050-f54b-4f47-bf45-e66d1c47c60d",2,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,1,1,NA,NA,3.25,1.52,NA,139.28,180.16,"ground_ball","medium","6",109.07,153.72,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Groundout","field_out","Jon Berti grounds out, shortstop Francisco Lindor to first baseman Mark Canha.",0,2,5,72,"top",9,"2023-04-08T22:48:03.775Z","2023-04-08T22:48:45.675Z",TRUE,FALSE,FALSE,TRUE,0,0,1,2,542932,"Jon Berti","/api/v1/people/542932","R","Right",502085,"David Robertson","/api/v1/people/502085","R","Right","vs_RHP","vs_RHB","Empty",NA,"New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins","New York Mets","true",NA,"rgba(153, 171, 0, 1.0)","KC","Knuckle Curve",83.1,76.8,4,2,0.4528,6.5838,23.6028,-41.0817,2.4908,-6.0132,-0.5845,2.1712,3.8641,-120.9693,-0.1961,-2.526,50.0009,5.8547,3.6908,6,10.8,24,2516,47,81.5,-13,9,NA,NA,NA,TRUE,-50.3,-10.7,-5.4,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718661,"2023-04-08",0,"2023-04-08T22:48:22.003Z","2023-04-08T22:48:26.353Z",TRUE,"pitch","b1ea2368-5568-430e-ac00-129b53199242",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,1,NA,NA,3.4147,1.5125,NA,97.72,188.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Groundout","field_out","Jon Berti grounds out, shortstop Francisco Lindor to first baseman Mark Canha.",0,2,5,72,"top",9,"2023-04-08T22:48:03.775Z","2023-04-08T22:48:45.675Z",TRUE,FALSE,FALSE,TRUE,0,0,1,2,542932,"Jon Berti","/api/v1/people/542932","R","Right",502085,"David Robertson","/api/v1/people/502085","R","Right","vs_RHP","vs_RHB","Empty",NA,"New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins","New York Mets","false",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",92.4,84.9,9,0.9,0.4073,6.7237,28.15,-12.0598,0.1494,10.9694,0.5057,1.8587,7.7257,-134.3178,-7.5517,-2.423,50.0035,5.5578,0.2715,7.2,3.6,24,2508,187,NA,NA,NA,NA,NA,NA,FALSE,-13.6,18.5,-1.9,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718661,"2023-04-08",5,"2023-04-08T22:47:54.660Z","2023-04-08T22:47:58.817Z",TRUE,"pitch","5a5ce118-1935-4f60-b8f5-b319f221003b",5,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",2,3,0,NA,NA,3.22,1.48,NA,111.3,191.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Strikeout","strikeout","Nick Fortes strikes out swinging.",0,2,5,71,"top",9,"2023-04-08T22:46:51.578Z","2023-04-08T22:47:58.817Z",TRUE,FALSE,FALSE,TRUE,14,2,3,1,663743,"Nick Fortes","/api/v1/people/663743","R","Right",502085,"David Robertson","/api/v1/people/502085","R","Right","vs_RHP","vs_RHB","Empty",NA,"New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins","New York Mets",NA,NA,"rgba(153, 171, 0, 1.0)","KC","Knuckle Curve",82.7,76,8,2,0.4565,6.4421,25.1015,-41.2368,2.0808,-6.225,0.1496,1.7489,5.3912,-120.3544,-0.9791,-2.3971,50.0035,5.8388,3.0284,6,12,24,2552,46,NA,NA,NA,NA,NA,NA,TRUE,-51.5,-11.2,-5.2,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718661,"2023-04-08",4,"2023-04-08T22:47:41.316Z","2023-04-08T22:47:46.137Z",TRUE,"pitch","e864f654-ba3b-4384-8702-67d328b357ae",4,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,2,0,NA,NA,3.2418,1.5413,NA,54.49,186.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Strikeout","strikeout","Nick Fortes strikes out swinging.",0,2,5,71,"top",9,"2023-04-08T22:46:51.578Z","2023-04-08T22:47:58.817Z",TRUE,FALSE,FALSE,TRUE,14,2,3,1,663743,"Nick Fortes","/api/v1/people/663743","R","Right",502085,"David Robertson","/api/v1/people/502085","R","Right","vs_RHP","vs_RHB","Empty",NA,"New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins","New York Mets",NA,NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",93,85.6,14,0.9,0.4051,6.8173,28.155,-13.2212,1.2277,10.2259,1.64,1.9212,10.0128,-134.9873,-7.2908,-2.2701,50.0039,5.5794,2.2764,15.6,3.6,24,2774,192,NA,NA,NA,NA,NA,NA,FALSE,-14.5,17.2,-4.3,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718661,"2023-04-08",3,"2023-04-08T22:47:19.148Z","2023-04-08T22:47:25.620Z",TRUE,"pitch","109b5c52-de1d-426a-be1c-a713a0c5d7f4",3,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,2,0,NA,NA,3.22,1.48,NA,124.83,150.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Strikeout","strikeout","Nick Fortes strikes out swinging.",0,2,5,71,"top",9,"2023-04-08T22:46:51.578Z","2023-04-08T22:47:58.817Z",TRUE,FALSE,FALSE,TRUE,14,2,3,1,663743,"Nick Fortes","/api/v1/people/663743","R","Right",502085,"David Robertson","/api/v1/people/502085","R","Right","vs_RHP","vs_RHB","Empty",NA,"New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins","New York Mets",NA,NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",91.8,84.4,2,0.9,0.409,6.6556,27.3196,-11.8339,0.1279,11.185,-0.2055,3.2624,6.0277,-133.6403,-4.1969,-2.5017,50.0037,5.6957,0.2329,6,2.4,24,2597,191,NA,NA,NA,NA,NA,NA,FALSE,-12.7,19.6,-1.4,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718661,"2023-04-08",2,"2023-04-08T22:47:06.396Z","2023-04-08T22:47:11.266Z",TRUE,"pitch","58d4b7e1-28bd-47ec-b563-7a115de09811",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,0,NA,NA,3.2706,1.5701,NA,68.4,205.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Strikeout","strikeout","Nick Fortes strikes out swinging.",0,2,5,71,"top",9,"2023-04-08T22:46:51.578Z","2023-04-08T22:47:58.817Z",TRUE,FALSE,FALSE,TRUE,14,2,3,1,663743,"Nick Fortes","/api/v1/people/663743","R","Right",502085,"David Robertson","/api/v1/people/502085","R","Right","vs_RHP","vs_RHB","Empty",NA,"New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins","New York Mets",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",85.4,79,14,2,0.441,6.5984,24.3135,-30.8312,1.9805,0.8555,1.275,1.2234,8.3043,-124.088,-4.553,-2.369,50.0006,5.6442,3.0933,8.4,8.4,24,2713,107,NA,NA,NA,NA,NA,NA,FALSE,-36.8,0.7,-5.5,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
