"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isBaseRunningPlay","isSubstitution","details.disengagementNum","replacedPlayer.id","replacedPlayer.link","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","reviewDetails.isOverturned","reviewDetails.inProgress","reviewDetails.reviewType","reviewDetails.challengeTeamId"
717450,"2023-07-08",3,"2023-07-08T23:34:56.378Z","2023-07-08T23:35:04.058Z",TRUE,"pitch","3f932654-de7b-4292-8181-16d6d2b7655b",3,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,1,2,NA,NA,3.6,1.76,NA,93.19,173.58,"ground_ball","medium","4",152.19,153.64,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Groundout","field_out","Leody Taveras grounds out, second baseman Luis Garcia to first baseman Dominic Smith.",0,3,8,71,"top",9,"2023-07-08T23:33:56.280Z","2023-07-08T23:35:04.058Z",TRUE,FALSE,FALSE,TRUE,0,1,1,3,665750,"Leody Taveras","/api/v1/people/665750","L","Left",686294,"Amos Willingham","/api/v1/people/686294","R","Right","vs_RHP","vs_LHB","Empty",NA,"Washington Nationals",1,"Major League Baseball",NA,NA,104,"National League","Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers","Washington Nationals",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96.1,88.2,6,2,0.3915,6.7993,30.2902,-13.2664,-5.1384,9.5264,0.6246,2.4148,6.9496,-139.7058,-7.1547,-1.223,50,5.8735,-10.1964,30,3.6,24,2102,205,93.4,-21,7,NA,NA,NA,TRUE,-13.6,16,7.9,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717450,"2023-07-08",1,"2023-07-08T23:34:29.248Z","2023-07-08T23:34:35.038Z",TRUE,"pitch","4c7fb715-81f0-476a-a99c-e1ca044378fa",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,2,NA,NA,3.6948,1.761,NA,130.46,205.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Groundout","field_out","Leody Taveras grounds out, second baseman Luis Garcia to first baseman Dominic Smith.",0,3,8,71,"top",9,"2023-07-08T23:33:56.280Z","2023-07-08T23:35:04.058Z",TRUE,FALSE,FALSE,TRUE,0,1,1,3,665750,"Leody Taveras","/api/v1/people/665750","L","Left",686294,"Amos Willingham","/api/v1/people/686294","R","Right","vs_RHP","vs_LHB","Empty",NA,"Washington Nationals",1,"Major League Baseball",NA,NA,104,"National League","Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers","Washington Nationals",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96.8,88.2,13,2,0.3907,6.6368,33.4472,-13.4346,-6.0533,9.4237,-0.3532,1.2183,5.3206,-140.4989,-10.4224,-1.4901,50.0034,5.8616,-12.0369,34.8,3.6,24,2219,215,NA,NA,NA,NA,NA,NA,FALSE,-14.5,15,9.8,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717450,"2023-07-08",0,"2023-07-08T23:34:01.741Z","2023-07-08T23:34:05.636Z",TRUE,"pitch","f5155c83-b60b-4743-9944-bbcfdf929694",1,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,1,2,NA,NA,3.6,1.76,NA,93.67,185.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Groundout","field_out","Leody Taveras grounds out, second baseman Luis Garcia to first baseman Dominic Smith.",0,3,8,71,"top",9,"2023-07-08T23:33:56.280Z","2023-07-08T23:35:04.058Z",TRUE,FALSE,FALSE,TRUE,0,1,1,3,665750,"Leody Taveras","/api/v1/people/665750","L","Left",686294,"Amos Willingham","/api/v1/people/686294","R","Right","vs_RHP","vs_LHB","Empty",NA,"Washington Nationals",1,"Major League Baseball",NA,NA,104,"National League","Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers","Washington Nationals",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",84.1,77.2,9,2,0.448,6.6431,25.4372,-30.724,5.3328,0.9614,0.612,1.9845,3.3395,-122.5089,-2.9883,-1.4643,50.004,5.861,8.0622,15.6,8.4,24,2011,72,NA,NA,NA,NA,NA,NA,FALSE,-37.4,1.2,-10.4,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717450,"2023-07-08",2,"2023-07-08T23:34:47.624Z","2023-07-08T23:34:56.378Z",FALSE,"action",NA,NA,"Batter Timeout.","Batter Timeout",3,8,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,1,1,2,665750,"/api/v1/people/665750",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"batter_timeout",NA,NA,NA,NA,NA,NA,"71","atBat","Groundout","field_out","Leody Taveras grounds out, second baseman Luis Garcia to first baseman Dominic Smith.",0,3,8,71,"top",9,"2023-07-08T23:33:56.280Z","2023-07-08T23:35:04.058Z",TRUE,FALSE,FALSE,TRUE,0,1,1,3,665750,"Leody Taveras","/api/v1/people/665750","L","Left",686294,"Amos Willingham","/api/v1/people/686294","R","Right","vs_RHP","vs_LHB","Empty",NA,"Washington Nationals",1,"Major League Baseball",NA,NA,104,"National League","Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers","Washington Nationals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717450,"2023-07-08",2,"2023-07-08T23:33:33.426Z","2023-07-08T23:33:39.754Z",TRUE,"pitch","69d2101b-cd55-4f1b-b1e1-8932ea566488",3,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",2,0,1,NA,NA,3.34,1.61,NA,99.64,181.28,"line_drive","hard","6",102.89,135.87,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Lineout","field_out","Ezequiel Duran lines out sharply to shortstop CJ Abrams.",0,3,8,70,"top",9,"2023-07-08T23:33:08.775Z","2023-07-08T23:33:39.754Z",TRUE,FALSE,FALSE,TRUE,0,2,0,2,677649,"Ezequiel Duran","/api/v1/people/677649","R","Right",686294,"Amos Willingham","/api/v1/people/686294","R","Right","vs_RHP","vs_RHB","Empty",NA,"Washington Nationals",1,"Major League Baseball",NA,NA,104,"National League","Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers","Washington Nationals","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95,87.1,9,2,0.3963,7.0559,30.0131,-14.7747,-5.015,8.9921,0.4555,2.1296,6.2827,-138.0638,-7.4348,-1.1954,50.0063,5.847,-9.7081,27.6,3.6,24,2122,205,100.5,11,173,NA,NA,NA,TRUE,-15.4,14.9,7.8,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717450,"2023-07-08",1,"2023-07-08T23:33:21.563Z","2023-07-08T23:33:26.167Z",TRUE,"pitch","a6ae25c6-20e8-464a-a514-e75daec012b6",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,0,1,NA,NA,3.2853,1.5806,NA,115.49,131.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Lineout","field_out","Ezequiel Duran lines out sharply to shortstop CJ Abrams.",0,3,8,70,"top",9,"2023-07-08T23:33:08.775Z","2023-07-08T23:33:39.754Z",TRUE,FALSE,FALSE,TRUE,0,2,0,2,677649,"Ezequiel Duran","/api/v1/people/677649","R","Right",686294,"Amos Willingham","/api/v1/people/686294","R","Right","vs_RHP","vs_RHB","Empty",NA,"Washington Nationals",1,"Major League Baseball",NA,NA,104,"National League","Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers","Washington Nationals","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.1,86.8,12,2,0.3959,6.8379,31.1108,-13.5147,-4.6856,9.6262,0.0395,3.9655,5.571,-138.4047,-3.1005,-1.3914,50.0027,6.0062,-9.0834,28.8,3.6,24,2148,211,NA,NA,NA,NA,NA,NA,FALSE,-13.3,16.9,7.3,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717450,"2023-07-08",0,"2023-07-08T23:33:11.155Z","2023-07-08T23:33:15.767Z",TRUE,"pitch","58bd1667-18e6-4326-94d4-44207d7a5d79",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,1,NA,NA,3.3896,1.5045,NA,115.19,128.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Lineout","field_out","Ezequiel Duran lines out sharply to shortstop CJ Abrams.",0,3,8,70,"top",9,"2023-07-08T23:33:08.775Z","2023-07-08T23:33:39.754Z",TRUE,FALSE,FALSE,TRUE,0,2,0,2,677649,"Ezequiel Duran","/api/v1/people/677649","R","Right",686294,"Amos Willingham","/api/v1/people/686294","R","Right","vs_RHP","vs_RHB","Empty",NA,"Washington Nationals",1,"Major League Baseball",NA,NA,104,"National League","Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers","Washington Nationals","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96.3,87.8,12,2,0.391,6.6565,32.1912,-12.0746,-4.2251,10.1169,0.0475,4.0822,5.143,-140.1903,-3.2937,-1.2634,50.0064,6.0625,-8.3977,30,3.6,24,2239,210,NA,NA,NA,NA,NA,NA,FALSE,-11.6,17.8,6.6,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717450,"2023-07-08",6,"2023-07-08T23:32:41.559Z","2023-07-08T23:32:49.046Z",TRUE,"pitch","91f3a746-f892-40c1-a344-08f26cd4bb6a",6,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",2,2,0,NA,NA,3.47,1.7,NA,125.6,143.73,"ground_ball","medium","6",126.42,135.68,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Groundout","field_out","Travis Jankowski grounds out, shortstop CJ Abrams to first baseman Dominic Smith.",0,3,8,69,"top",9,"2023-07-08T23:31:31.002Z","2023-07-08T23:32:49.046Z",TRUE,FALSE,FALSE,TRUE,0,2,2,1,608671,"Travis Jankowski","/api/v1/people/608671","L","Left",686294,"Amos Willingham","/api/v1/people/686294","R","Right","vs_RHP","vs_LHB","Empty",NA,"Washington Nationals",1,"Major League Baseball",NA,NA,104,"National League","Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers","Washington Nationals",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.5,87.7,2,2,0.3933,6.6653,29.8221,-17.2218,-6.0465,7.6046,-0.2256,3.5205,5.2172,-139.0238,-3.702,-1.3367,50.0052,6.0056,-11.8922,31.2,4.8,24,2055,217,97.8,-11,16,NA,NA,NA,TRUE,-16.7,13.2,10,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717450,"2023-07-08",5,"2023-07-08T23:32:22.486Z","2023-07-08T23:32:28.619Z",TRUE,"pitch","5cbb7428-cb75-472c-8a23-74b9801311db",5,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",2,2,0,NA,NA,3.47,1.7,NA,132.64,141.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Groundout","field_out","Travis Jankowski grounds out, shortstop CJ Abrams to first baseman Dominic Smith.",0,3,8,69,"top",9,"2023-07-08T23:31:31.002Z","2023-07-08T23:32:49.046Z",TRUE,FALSE,FALSE,TRUE,0,2,2,1,608671,"Travis Jankowski","/api/v1/people/608671","L","Left",686294,"Amos Willingham","/api/v1/people/686294","R","Right","vs_RHP","vs_LHB","Empty",NA,"Washington Nationals",1,"Major League Baseball",NA,NA,104,"National League","Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers","Washington Nationals",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96.1,88.6,11,2,0.3898,6.4881,28.7652,-13.1045,-4.8137,9.5172,-0.4104,3.6104,4.4813,-139.9946,-4.028,-1.3991,50.0045,5.9131,-9.6475,32.4,3.6,24,2126,216,NA,NA,NA,NA,NA,NA,FALSE,-12.6,16.7,7.9,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717450,"2023-07-08",4,"2023-07-08T23:32:06.463Z","2023-07-08T23:32:10.790Z",TRUE,"pitch","a78edf62-2f2c-45f4-9284-c3b0b3b9abe8",4,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",2,2,0,NA,NA,3.47,1.7,NA,133.96,143.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Groundout","field_out","Travis Jankowski grounds out, shortstop CJ Abrams to first baseman Dominic Smith.",0,3,8,69,"top",9,"2023-07-08T23:31:31.002Z","2023-07-08T23:32:49.046Z",TRUE,FALSE,FALSE,TRUE,0,2,2,1,608671,"Travis Jankowski","/api/v1/people/608671","L","Left",686294,"Amos Willingham","/api/v1/people/686294","R","Right","vs_RHP","vs_LHB","Empty",NA,"Washington Nationals",1,"Major League Baseball",NA,NA,104,"National League","Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers","Washington Nationals",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.4,87.3,1,2,0.3942,6.7503,30.4996,-13.8175,-4.8012,9.3842,-0.445,3.5271,4.256,-138.8323,-4.0756,-1.3725,50.0029,5.9311,-9.3914,30,3.6,24,2237,214,NA,NA,NA,NA,NA,NA,FALSE,-13.7,16.3,7.8,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
