"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isBaseRunningPlay","details.disengagementNum","isSubstitution","base","replacedPlayer.id","replacedPlayer.link","reviewDetails.isOverturned","reviewDetails.inProgress","reviewDetails.reviewType","reviewDetails.challengeTeamId","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link"
746799,"2024-05-14",2,"2024-05-15T02:19:26.722Z","2024-05-15T02:19:33.730Z",TRUE,"pitch","8188e408-eeb3-4162-9c3a-bd84604cc05d",3,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,2,2,NA,NA,3.52,1.68,NA,130.82,184.84,"line_drive","medium","7",86.59,83.26,NA,NA,NA,NA,NA,NA,NA,NA,"64","atBat","Lineout","field_out","Jesse Winker lines out to left fielder Andrew Benintendi.",0,0,4,64,"top",9,"2024-05-15T02:18:40.623Z","2024-05-15T02:19:33.730Z",TRUE,FALSE,FALSE,TRUE,0,0,2,3,608385,"Jesse Winker","/api/v1/people/608385","L","Left",656629,"Michael Kopech","/api/v1/people/656629","R","Right","vs_RHP","vs_LHB","Empty",NA,"Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Washington Nationals",1,"Major League Baseball",NA,NA,104,"National League","Washington Nationals","Chicago White Sox","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",100.5,91.5,7,0.9,0.3757,7.0594,35.5019,-9.8386,-6.3273,10.387,-0.3626,1.9979,7.9924,-145.9734,-7.9919,-2.3186,50.0043,5.3695,-13.6078,44.4,3.6,24,2704,215,93.9,19,305,NA,NA,NA,TRUE,-10,17.3,9.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746799,"2024-05-14",1,"2024-05-15T02:19:04.544Z","2024-05-15T02:19:08.026Z",TRUE,"pitch","809c4fb2-7d7c-40a6-9a5a-b35705756093",2,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,2,2,NA,NA,3.3157,1.4614,NA,112.06,179.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"64","atBat","Lineout","field_out","Jesse Winker lines out to left fielder Andrew Benintendi.",0,0,4,64,"top",9,"2024-05-15T02:18:40.623Z","2024-05-15T02:19:33.730Z",TRUE,FALSE,FALSE,TRUE,0,0,2,3,608385,"Jesse Winker","/api/v1/people/608385","L","Left",656629,"Michael Kopech","/api/v1/people/656629","R","Right","vs_RHP","vs_LHB","Empty",NA,"Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Washington Nationals",1,"Major League Baseball",NA,NA,104,"National League","Washington Nationals","Chicago White Sox","false",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",89.8,83.5,5,0.72,0.4169,6.5089,24.5555,-31.0466,2.0335,0.6432,0.1297,2.179,6.2456,-130.7963,-2.4906,-2.5421,50.0021,5.4444,3.5645,8.4,7.2,24,2432,103,NA,NA,NA,NA,NA,NA,FALSE,-32.6,0.8,-4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746799,"2024-05-14",0,"2024-05-15T02:18:49.382Z","2024-05-15T02:18:52.620Z",TRUE,"pitch","5b025661-b31b-4950-830a-174e3f6be115",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,2,NA,NA,3.3473,1.4058,NA,103.14,151.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"64","atBat","Lineout","field_out","Jesse Winker lines out to left fielder Andrew Benintendi.",0,0,4,64,"top",9,"2024-05-15T02:18:40.623Z","2024-05-15T02:19:33.730Z",TRUE,FALSE,FALSE,TRUE,0,0,2,3,608385,"Jesse Winker","/api/v1/people/608385","L","Left",656629,"Michael Kopech","/api/v1/people/656629","R","Right","vs_RHP","vs_LHB","Empty",NA,"Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Washington Nationals",1,"Major League Baseball",NA,NA,104,"National League","Washington Nationals","Chicago White Sox","false",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",92.4,85.6,3,0.94,0.4053,6.6681,26.1598,-26.9043,1.5044,2.8402,0.3635,3.2315,6.6759,-134.5824,-1.4493,-2.3334,50.0029,5.6626,2.7882,8.4,6,24,2486,146,NA,NA,NA,NA,NA,NA,FALSE,-26.6,5,-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746799,"2024-05-14",5,"2024-05-15T02:18:09.652Z","2024-05-15T02:18:19.054Z",TRUE,"pitch","fdb24ba5-f81e-4349-a611-89be6dcb2633",4,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,2,1,NA,NA,3.37,1.58,NA,97.73,151.55,"popup","medium","2",119.2,217.36,NA,NA,NA,NA,NA,NA,NA,NA,"63","atBat","Pop Out","field_out","Keibert Ruiz pops out to catcher Martín Maldonado in foul territory.",0,0,4,63,"top",9,"2024-05-15T02:16:54.865Z","2024-05-15T02:18:19.054Z",TRUE,FALSE,FALSE,TRUE,0,1,2,2,660688,"Keibert Ruiz","/api/v1/people/660688","L","Left",656629,"Michael Kopech","/api/v1/people/656629","R","Right","vs_RHP","vs_LHB","RISP",NA,"Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Washington Nationals",1,"Major League Baseball",NA,NA,104,"National League","Washington Nationals","Chicago White Sox",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",98.6,89.7,3,0.91,0.3829,6.6761,33.8869,-9.2835,-5.7814,11.0505,0.5056,3.2307,9.7332,-143.2033,-5.1122,-2.1902,50.0037,5.6231,-11.9778,43.2,2.4,24,2567,211,74.2,89,40,NA,NA,NA,TRUE,-9.2,19.1,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,608841,"Joey Meneses","/api/v1/people/608841",671277,"Luis García Jr.","/api/v1/people/671277"
746799,"2024-05-14",4,"2024-05-15T02:17:48.329Z","2024-05-15T02:17:51.920Z",TRUE,"pitch","cfbc7c63-57cd-450d-a1d8-ab0b502dc5d4",3,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,2,1,NA,NA,3.37,1.58,NA,144.95,149.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"63","atBat","Pop Out","field_out","Keibert Ruiz pops out to catcher Martín Maldonado in foul territory.",0,0,4,63,"top",9,"2024-05-15T02:16:54.865Z","2024-05-15T02:18:19.054Z",TRUE,FALSE,FALSE,TRUE,0,1,2,2,660688,"Keibert Ruiz","/api/v1/people/660688","L","Left",656629,"Michael Kopech","/api/v1/people/656629","R","Right","vs_RHP","vs_LHB","RISP",NA,"Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Washington Nationals",1,"Major League Baseball",NA,NA,104,"National League","Washington Nationals","Chicago White Sox",NA,NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",90.7,84.1,1,0.89,0.4124,6.9756,25.1954,-31.1564,1.9498,0.568,-0.7333,3.3069,4.1155,-132.2264,-0.25,-2.5563,50.0025,5.6669,3.4912,7.2,7.2,24,2366,144,NA,NA,NA,NA,NA,NA,FALSE,-31.7,1.2,-4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746799,"2024-05-14",3,"2024-05-15T02:17:31.018Z","2024-05-15T02:17:34.194Z",TRUE,"pitch","7c16020b-0424-4a19-a67d-3cbbdee7dbbf",2,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",1,1,1,NA,NA,3.499,1.6494,NA,106.91,158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"63","atBat","Pop Out","field_out","Keibert Ruiz pops out to catcher Martín Maldonado in foul territory.",0,0,4,63,"top",9,"2024-05-15T02:16:54.865Z","2024-05-15T02:18:19.054Z",TRUE,FALSE,FALSE,TRUE,0,1,2,2,660688,"Keibert Ruiz","/api/v1/people/660688","L","Left",656629,"Michael Kopech","/api/v1/people/656629","R","Right","vs_RHP","vs_LHB","RISP",NA,"Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Washington Nationals",1,"Major League Baseball",NA,NA,104,"National League","Washington Nationals","Chicago White Sox",NA,NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",90.2,83.7,2,0.82,0.4151,6.5885,24.5957,-29.5333,2.3786,1.4954,0.2646,2.9917,6.5626,-131.3319,-0.9366,-2.5635,50.0053,5.5255,4.2055,9.6,7.2,24,2461,156,NA,NA,NA,NA,NA,NA,FALSE,-30.5,2.8,-5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746799,"2024-05-14",1,"2024-05-15T02:16:57.249Z","2024-05-15T02:17:08.071Z",TRUE,"pitch","0b1c37b4-9c0c-4d1a-a2ff-a60bbe761831",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,1,NA,NA,3.5386,1.5299,NA,162.36,103.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"63","atBat","Pop Out","field_out","Keibert Ruiz pops out to catcher Martín Maldonado in foul territory.",0,0,4,63,"top",9,"2024-05-15T02:16:54.865Z","2024-05-15T02:18:19.054Z",TRUE,FALSE,FALSE,TRUE,0,1,2,2,660688,"Keibert Ruiz","/api/v1/people/660688","L","Left",656629,"Michael Kopech","/api/v1/people/656629","R","Right","vs_RHP","vs_LHB","RISP",NA,"Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Washington Nationals",1,"Major League Baseball",NA,NA,104,"National League","Washington Nationals","Chicago White Sox",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",98.1,88.4,11,0.91,0.3856,6.5402,36.9338,-9.4765,-5.4186,11.1445,-1.1899,5.0262,4.9776,-142.7679,-0.2705,-2.2634,50.0069,5.7258,-11.0404,45.6,2.4,24,2535,213,NA,NA,NA,NA,NA,NA,FALSE,-8.4,20.3,8.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746799,"2024-05-14",0,"2024-05-15T02:15:55.857Z","2024-05-15T02:16:57.249Z",FALSE,"action",NA,NA,"Mound Visit.","Mound Visit",0,4,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mound_visit",NA,NA,NA,NA,NA,NA,"63","atBat","Pop Out","field_out","Keibert Ruiz pops out to catcher Martín Maldonado in foul territory.",0,0,4,63,"top",9,"2024-05-15T02:16:54.865Z","2024-05-15T02:18:19.054Z",TRUE,FALSE,FALSE,TRUE,0,1,2,2,660688,"Keibert Ruiz","/api/v1/people/660688","L","Left",656629,"Michael Kopech","/api/v1/people/656629","R","Right","vs_RHP","vs_LHB","RISP",NA,"Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Washington Nationals",1,"Major League Baseball",NA,NA,104,"National League","Washington Nationals","Chicago White Sox",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746799,"2024-05-14",2,"2024-05-15T02:17:13.641Z","2024-05-15T02:17:31.018Z",FALSE,"action",NA,NA,"Wild pitch by pitcher Michael Kopech. Joey Meneses to 3rd. Luis García Jr. to 2nd.","Wild Pitch",0,4,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,1,0,1,608841,"/api/v1/people/608841",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0b1c37b4-9c0c-4d1a-a2ff-a60bbe761831","wild_pitch",NA,NA,NA,NA,NA,NA,"63","atBat","Pop Out","field_out","Keibert Ruiz pops out to catcher Martín Maldonado in foul territory.",0,0,4,63,"top",9,"2024-05-15T02:16:54.865Z","2024-05-15T02:18:19.054Z",TRUE,FALSE,FALSE,TRUE,0,1,2,2,660688,"Keibert Ruiz","/api/v1/people/660688","L","Left",656629,"Michael Kopech","/api/v1/people/656629","R","Right","vs_RHP","vs_LHB","RISP",NA,"Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Washington Nationals",1,"Major League Baseball",NA,NA,104,"National League","Washington Nationals","Chicago White Sox",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746799,"2024-05-14",6,"2024-05-15T02:15:41.936Z","2024-05-15T02:15:46.741Z",TRUE,"pitch","7d47c4a1-ec61-4f21-99cd-d43cb4f4e815",6,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",4,2,1,NA,NA,3.4657,1.5444,NA,155.67,133.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"62","atBat","Walk","walk","Luis García Jr. walks.",0,0,4,62,"top",9,"2024-05-15T02:13:28.108Z","2024-05-15T02:15:46.741Z",TRUE,FALSE,FALSE,FALSE,0,4,2,1,671277,"Luis García Jr.","/api/v1/people/671277","L","Left",656629,"Michael Kopech","/api/v1/people/656629","R","Right","vs_RHP","vs_LHB","RISP",NA,"Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Washington Nationals",1,"Major League Baseball",NA,NA,104,"National League","Washington Nationals","Chicago White Sox",NA,NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",91.3,84.3,11,0.93,0.4104,6.8266,26.441,-31.9697,2.1,0.1143,-1.0146,3.9051,3.9523,-133.0532,1.2945,-2.7876,50.0037,5.7155,3.7945,8.4,7.2,24,2408,88,NA,NA,NA,NA,NA,NA,FALSE,-31.8,0.7,-4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,671277,"Luis García Jr.","/api/v1/people/671277",NA,NA,NA,608841,"Joey Meneses","/api/v1/people/608841"
