"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isSubstitution","isBaseRunningPlay","replacedPlayer.id","replacedPlayer.link","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link"
717956,"2023-05-31",8,"2023-05-31T02:40:59.443Z","2023-05-31T02:41:04.532Z",TRUE,"pitch","2586a1d5-a97f-47a7-bb52-b277e21d739e",8,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",3,3,2,NA,NA,3.39,1.63,NA,121.18,144.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Strikeout","strikeout","Joey Gallo strikes out swinging.",0,1,5,69,"top",9,"2023-05-31T02:37:47.243Z","2023-05-31T02:41:04.532Z",TRUE,FALSE,FALSE,TRUE,14,3,3,3,608336,"Joey Gallo","/api/v1/people/608336","L","Left",606160,"Rafael Montero","/api/v1/people/606160","R","Right","vs_RHP","vs_LHB","Empty",NA,"Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Houston Astros",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",97.5,88.4,2,0.91,0.3871,6.1189,34.7438,-15.7136,-6.1314,8.1312,-0.1096,3.4893,5.0477,-141.9155,-1.3718,-1.1214,50.0035,4.9877,-12.4138,34.8,3.6,24,2307,220,NA,NA,NA,NA,NA,NA,TRUE,-14.3,14.6,10,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717956,"2023-05-31",7,"2023-05-31T02:40:31.407Z","2023-05-31T02:40:36.037Z",TRUE,"pitch","c7ef04ca-cb2d-46fb-bb23-5c3a691f2752",7,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",3,2,2,NA,NA,3.39,1.63,NA,119.78,194.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Strikeout","strikeout","Joey Gallo strikes out swinging.",0,1,5,69,"top",9,"2023-05-31T02:37:47.243Z","2023-05-31T02:41:04.532Z",TRUE,FALSE,FALSE,TRUE,14,3,3,3,608336,"Joey Gallo","/api/v1/people/608336","L","Left",606160,"Rafael Montero","/api/v1/people/606160","R","Right","vs_RHP","vs_LHB","Empty",NA,"Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Houston Astros",NA,NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",92.7,84.7,8,0.89,0.4069,6.2994,30.3628,-29.9687,-10.2122,1.1999,-0.073,1.6569,6.5593,-134.8183,-2.6032,-1.2156,50.0015,4.7586,-18.7251,30,7.2,24,2082,227,NA,NA,NA,NA,NA,NA,FALSE,-30.1,1.8,17,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717956,"2023-05-31",6,"2023-05-31T02:40:00.955Z","2023-05-31T02:40:07.625Z",TRUE,"pitch","8bb83b8e-719a-4ae3-8021-0dd5b0eb265c",6,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",3,2,2,NA,NA,3.39,1.63,NA,154.48,192.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Strikeout","strikeout","Joey Gallo strikes out swinging.",0,1,5,69,"top",9,"2023-05-31T02:37:47.243Z","2023-05-31T02:41:04.532Z",TRUE,FALSE,FALSE,TRUE,14,3,3,3,608336,"Joey Gallo","/api/v1/people/608336","L","Left",606160,"Rafael Montero","/api/v1/people/606160","R","Right","vs_RHP","vs_LHB","Empty",NA,"Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Houston Astros",NA,NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",90.6,82.6,13,0.91,0.4163,6.001,29.5789,-25.9788,-10.8487,3.5394,-0.9832,1.7158,4.557,-131.8724,-2.7285,-1.3298,50.0048,4.6924,-18.997,33.6,7.2,24,2020,237,NA,NA,NA,NA,NA,NA,FALSE,-27.5,6,18.6,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717956,"2023-05-31",5,"2023-05-31T02:39:38.740Z","2023-05-31T02:39:43.818Z",TRUE,"pitch","a699a3c5-beae-4ff1-88f2-076626e4afd9",5,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",3,2,2,NA,NA,3.3285,1.551,NA,64.15,143.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Strikeout","strikeout","Joey Gallo strikes out swinging.",0,1,5,69,"top",9,"2023-05-31T02:37:47.243Z","2023-05-31T02:41:04.532Z",TRUE,FALSE,FALSE,TRUE,14,3,3,3,608336,"Joey Gallo","/api/v1/people/608336","L","Left",606160,"Rafael Montero","/api/v1/people/606160","R","Right","vs_RHP","vs_LHB","Empty",NA,"Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Houston Astros",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96.7,88.1,12,0.91,0.3896,6.2536,32.4397,-13.5303,-5.4292,9.3205,1.3865,3.5302,8.1792,-140.6716,-1.8,-0.8558,50.0058,5.0573,-10.8643,32.4,3.6,24,2314,225,NA,NA,NA,NA,NA,NA,FALSE,-12.6,16.7,8.2,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717956,"2023-05-31",4,"2023-05-31T02:39:14.306Z","2023-05-31T02:39:19.586Z",TRUE,"pitch","e998f4d4-f2b4-4cfa-931d-792d73899117",4,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",2,2,2,NA,NA,3.273,1.4955,NA,122.63,195.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Strikeout","strikeout","Joey Gallo strikes out swinging.",0,1,5,69,"top",9,"2023-05-31T02:37:47.243Z","2023-05-31T02:41:04.532Z",TRUE,FALSE,FALSE,TRUE,14,3,3,3,608336,"Joey Gallo","/api/v1/people/608336","L","Left",606160,"Rafael Montero","/api/v1/people/606160","R","Right","vs_RHP","vs_LHB","Empty",NA,"Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Houston Astros",NA,NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",92,84.2,8,0.89,0.4097,6.473,29.4217,-29.062,-9.0321,1.7242,-0.1478,1.5881,6.4603,-133.8054,-2.8514,-1.4224,50.0064,4.7544,-16.3477,26.4,7.2,24,2016,232,NA,NA,NA,NA,NA,NA,FALSE,-29.8,2.6,14.9,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717956,"2023-05-31",2,"2023-05-31T02:38:49.042Z","2023-05-31T02:38:58.768Z",TRUE,"pitch","af959efe-6a4a-4a09-ab3a-78583d3da128",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,1,2,NA,NA,3.39,1.6143,NA,169.87,120.25,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,"69","atBat","Strikeout","strikeout","Joey Gallo strikes out swinging.",0,1,5,69,"top",9,"2023-05-31T02:37:47.243Z","2023-05-31T02:41:04.532Z",TRUE,FALSE,FALSE,TRUE,14,3,3,3,608336,"Joey Gallo","/api/v1/people/608336","L","Left",606160,"Rafael Montero","/api/v1/people/606160","R","Right","vs_RHP","vs_LHB","Empty",NA,"Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Houston Astros",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96.9,87.7,11,0.9,0.3897,5.7801,34.9011,-14.6088,-5.9938,8.8039,-1.3871,4.39,1.8848,-141.0433,0.3966,-1.2891,50.007,5.1965,-11.965,38.4,3.6,24,2411,218,NA,NA,NA,NA,NA,NA,FALSE,-13.1,16.2,10.4,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717956,"2023-05-31",1,"2023-05-31T02:38:25.113Z","2023-05-31T02:38:28.609Z",TRUE,"pitch","0a3007c7-af28-4b3c-b04e-49f83b5b3699",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,2,NA,NA,3.39,1.6108,NA,170.34,193.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Strikeout","strikeout","Joey Gallo strikes out swinging.",0,1,5,69,"top",9,"2023-05-31T02:37:47.243Z","2023-05-31T02:41:04.532Z",TRUE,FALSE,FALSE,TRUE,14,3,3,3,608336,"Joey Gallo","/api/v1/people/608336","L","Left",606160,"Rafael Montero","/api/v1/people/606160","R","Right","vs_RHP","vs_LHB","Empty",NA,"Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Houston Astros",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",96.8,88.1,13,0.94,0.3899,6.1433,34.2474,-22.8293,-10.2968,4.6855,-1.3992,1.693,3.2726,-140.8831,-5.0124,-1.2434,50.0046,4.9857,-20.5451,39.6,6,24,2181,215,NA,NA,NA,NA,NA,NA,FALSE,-21.8,7.6,17.9,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717956,"2023-05-31",0,"2023-05-31T02:37:56.111Z","2023-05-31T02:38:00.306Z",TRUE,"pitch","36cdfa50-2712-4dca-bb17-2ea03e9e6e9e",1,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,1,2,NA,NA,3.39,1.63,NA,116.05,150.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Strikeout","strikeout","Joey Gallo strikes out swinging.",0,1,5,69,"top",9,"2023-05-31T02:37:47.243Z","2023-05-31T02:41:04.532Z",TRUE,FALSE,FALSE,TRUE,14,3,3,3,608336,"Joey Gallo","/api/v1/people/608336","L","Left",606160,"Rafael Montero","/api/v1/people/606160","R","Right","vs_RHP","vs_LHB","Empty",NA,"Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Houston Astros",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",97.3,87.9,2,0.92,0.3887,6.1428,35.6388,-12.864,-4.2548,9.6248,0.025,3.2592,5.291,-141.531,-2.8176,-1.3257,50.0013,5.1038,-8.5355,27.6,3.6,24,2344,218,NA,NA,NA,NA,NA,NA,FALSE,-12.2,16.9,6.5,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717956,"2023-05-31",3,"2023-05-31T02:39:04.491Z","2023-05-31T02:39:14.306Z",FALSE,"action",NA,NA,"Christian Vazquez advances to 2nd on defensive indifference.","Defensive Indiff",1,5,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,2,1,2,543877,"/api/v1/people/543877",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"af959efe-6a4a-4a09-ab3a-78583d3da128","defensive_indiff",NA,NA,NA,NA,NA,NA,"69","atBat","Strikeout","strikeout","Joey Gallo strikes out swinging.",0,1,5,69,"top",9,"2023-05-31T02:37:47.243Z","2023-05-31T02:41:04.532Z",TRUE,FALSE,FALSE,TRUE,14,3,3,3,608336,"Joey Gallo","/api/v1/people/608336","L","Left",606160,"Rafael Montero","/api/v1/people/606160","R","Right","vs_RHP","vs_LHB","Empty",NA,"Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Houston Astros",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,TRUE,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717956,"2023-05-31",0,"2023-05-31T02:37:19.247Z","2023-05-31T02:37:30.976Z",TRUE,"pitch","d732099e-a541-4a00-845b-8c6aed7138c9",1,"In play, no out",NA,NA,NA,NA,FALSE,"D","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"D","In play, no out",0,0,2,NA,NA,3.11,1.52,NA,153.86,167.66,"line_drive","medium","8",140.06,98.67,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Single","single","Christian Vazquez singles on a line drive to center fielder Chas McCormick.",0,1,5,68,"top",9,"2023-05-31T02:37:19.236Z","2023-05-31T02:37:30.976Z",TRUE,FALSE,FALSE,FALSE,33,0,0,2,543877,"Christian Vázquez","/api/v1/people/543877","R","Right",606160,"Rafael Montero","/api/v1/people/606160","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Houston Astros","true",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",96.7,87.9,11,0.91,0.3901,6.2018,33.8188,-19.4737,-9.0647,6.3693,-0.967,2.6341,3.9257,-140.7472,-3.1604,-1.2071,50.0023,5.0422,-18.0711,40.8,6,24,2219,217,68.4,22,196,NA,NA,NA,FALSE,-18.4,11,15.5,NA,NA,NA,NA,FALSE,TRUE,543877,"Christian Vázquez","/api/v1/people/543877",NA,NA,NA,NA,NA,NA
