"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","details.disengagementNum","isBaseRunningPlay","isSubstitution","replacedPlayer.id","replacedPlayer.link","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","reviewDetails.isOverturned","reviewDetails.inProgress","reviewDetails.reviewType"
746963,"2024-05-11",6,"2024-05-11T22:23:33.923Z","2024-05-11T22:23:37.650Z",TRUE,"pitch","9cb9034f-ae10-402a-8ac9-3762a0d2ef41",6,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",2,3,2,NA,NA,3.2945,1.5084,NA,141.79,186.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"63","atBat","Strikeout","strikeout","Jesse Winker called out on strikes.",0,2,4,63,"top",9,"2024-05-11T22:21:08.976Z","2024-05-11T22:23:37.650Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,608385,"Jesse Winker","/api/v1/people/608385","L","Left",445276,"Kenley Jansen","/api/v1/people/445276","R","Right","vs_RHP","vs_LHB","Empty",NA,"Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Washington Nationals",1,"Major League Baseball",NA,NA,104,"National League","Washington Nationals","Boston Red Sox",NA,NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",93.8,85.6,7,0.91,0.4024,6.9373,30.9193,-10.5835,3.4233,11.5172,-0.6504,1.9228,2.1906,-136.2912,-9.3581,-1.9103,50.0043,6.139,6.4183,28.8,3.6,24,2697,173,NA,NA,NA,NA,NA,NA,TRUE,-12.2,19,-6.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
746963,"2024-05-11",4,"2024-05-11T22:22:36.744Z","2024-05-11T22:22:39.967Z",TRUE,"pitch","d3f90cad-5526-41e8-9b2d-0002f1f64bf8",5,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",2,2,2,NA,NA,3.59,1.68,NA,100.22,160.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"63","atBat","Strikeout","strikeout","Jesse Winker called out on strikes.",0,2,4,63,"top",9,"2024-05-11T22:21:08.976Z","2024-05-11T22:23:37.650Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,608385,"Jesse Winker","/api/v1/people/608385","L","Left",445276,"Kenley Jansen","/api/v1/people/445276","R","Right","vs_RHP","vs_LHB","Empty",NA,"Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Washington Nationals",1,"Major League Baseball",NA,NA,104,"National League","Washington Nationals","Boston Red Sox",NA,NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",93.1,85.2,6,0.91,0.4048,6.693,29.7868,-10.3073,3.7408,11.7963,0.4403,2.8926,4.6948,-135.3532,-7.2114,-1.8034,50.0055,6.3149,6.9348,33.6,3.6,24,2778,164,NA,NA,NA,NA,NA,NA,FALSE,-11.6,20,-7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
746963,"2024-05-11",3,"2024-05-11T22:22:16.285Z","2024-05-11T22:22:20.770Z",TRUE,"pitch","d41309af-96cb-45f0-b6df-fb681a83279c",4,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,2,2,NA,NA,3.1579,1.5932,NA,144.07,201.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"63","atBat","Strikeout","strikeout","Jesse Winker called out on strikes.",0,2,4,63,"top",9,"2024-05-11T22:21:08.976Z","2024-05-11T22:23:37.650Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,608385,"Jesse Winker","/api/v1/people/608385","L","Left",445276,"Kenley Jansen","/api/v1/people/445276","R","Right","vs_RHP","vs_LHB","Empty",NA,"Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Washington Nationals",1,"Major League Baseball",NA,NA,104,"National League","Washington Nationals","Boston Red Sox",NA,NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",93.3,85.5,13,0.91,0.4042,6.6886,29.6615,-10.8832,3.9537,11.4486,-0.7101,1.3974,1.7909,-135.515,-10.692,-1.8931,50.0016,6.1546,7.3513,30,3.6,24,2709,167,NA,NA,NA,NA,NA,NA,FALSE,-12.8,18.6,-7.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
746963,"2024-05-11",2,"2024-05-11T22:21:50.104Z","2024-05-11T22:21:54.599Z",TRUE,"pitch","f949f7b8-5118-4f1a-9fb4-6b95e81b9905",3,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,2,2,NA,NA,3.59,1.68,NA,103.45,172.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"63","atBat","Strikeout","strikeout","Jesse Winker called out on strikes.",0,2,4,63,"top",9,"2024-05-11T22:21:08.976Z","2024-05-11T22:23:37.650Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,608385,"Jesse Winker","/api/v1/people/608385","L","Left",445276,"Kenley Jansen","/api/v1/people/445276","R","Right","vs_RHP","vs_LHB","Empty",NA,"Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Washington Nationals",1,"Major League Baseball",NA,NA,104,"National League","Washington Nationals","Boston Red Sox",NA,NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",90.9,83.1,6,0.89,0.415,6.682,29.3995,-15.5915,5.4217,9.4066,0.3554,2.4441,3.9834,-132.2196,-6.8138,-1.8773,50.0013,6.2082,9.5522,31.2,4.8,24,2678,165,NA,NA,NA,NA,NA,NA,FALSE,-17.5,15.7,-10.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
746963,"2024-05-11",1,"2024-05-11T22:21:32.570Z","2024-05-11T22:21:36.348Z",TRUE,"pitch","e1f0b93d-e94b-48f9-85b4-11f73119d646",2,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",1,1,2,NA,NA,3.3574,1.68,NA,131.62,158.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"63","atBat","Strikeout","strikeout","Jesse Winker called out on strikes.",0,2,4,63,"top",9,"2024-05-11T22:21:08.976Z","2024-05-11T22:23:37.650Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,608385,"Jesse Winker","/api/v1/people/608385","L","Left",445276,"Kenley Jansen","/api/v1/people/445276","R","Right","vs_RHP","vs_LHB","Empty",NA,"Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Washington Nationals",1,"Major League Baseball",NA,NA,104,"National League","Washington Nationals","Boston Red Sox",NA,NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",91.1,83.2,1,0.89,0.4137,6.8381,29.3883,-15.0308,5.5568,9.6652,-0.3835,2.972,2.3115,-132.5987,-5.7223,-1.9895,50.0031,6.2619,9.8558,32.4,4.8,24,2631,165,NA,NA,NA,NA,NA,NA,FALSE,-16.7,16.4,-10.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
746963,"2024-05-11",0,"2024-05-11T22:21:14.618Z","2024-05-11T22:21:20.778Z",TRUE,"pitch","9c58f698-a5a9-4528-afd3-78f7c3cab276",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,2,NA,NA,3.3918,1.5921,NA,136.56,199.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"63","atBat","Strikeout","strikeout","Jesse Winker called out on strikes.",0,2,4,63,"top",9,"2024-05-11T22:21:08.976Z","2024-05-11T22:23:37.650Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,608385,"Jesse Winker","/api/v1/people/608385","L","Left",445276,"Kenley Jansen","/api/v1/people/445276","R","Right","vs_RHP","vs_LHB","Empty",NA,"Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Washington Nationals",1,"Major League Baseball",NA,NA,104,"National League","Washington Nationals","Boston Red Sox",NA,NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",91.8,84.1,13,0.91,0.4109,6.8972,28.6859,-10.0892,2.8839,12.2728,-0.5131,1.4477,2.5509,-133.2974,-10.2847,-1.8571,50.0013,6.0847,5.1877,25.2,3.6,24,2675,163,NA,NA,NA,NA,NA,NA,FALSE,-12.4,20.2,-5.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
746963,"2024-05-11",5,"2024-05-11T22:23:05.735Z","2024-05-11T22:23:33.923Z",FALSE,"action",NA,NA,"Mound Visit.","Mound Visit",2,4,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mound_visit",NA,NA,NA,NA,NA,NA,"63","atBat","Strikeout","strikeout","Jesse Winker called out on strikes.",0,2,4,63,"top",9,"2024-05-11T22:21:08.976Z","2024-05-11T22:23:37.650Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,608385,"Jesse Winker","/api/v1/people/608385","L","Left",445276,"Kenley Jansen","/api/v1/people/445276","R","Right","vs_RHP","vs_LHB","Empty",NA,"Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Washington Nationals",1,"Major League Baseball",NA,NA,104,"National League","Washington Nationals","Boston Red Sox",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
746963,"2024-05-11",2,"2024-05-11T22:20:45.755Z","2024-05-11T22:20:49.381Z",TRUE,"pitch","d9bd4ca7-c150-42dc-b1b2-3d80e33de4d2",3,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,3,1,NA,NA,3.76,1.8,NA,123.45,165.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"62","atBat","Strikeout","strikeout","Joey Meneses strikes out swinging.",0,2,4,62,"top",9,"2024-05-11T22:19:45.470Z","2024-05-11T22:20:49.381Z",TRUE,FALSE,FALSE,TRUE,14,0,3,2,608841,"Joey Meneses","/api/v1/people/608841","R","Right",445276,"Kenley Jansen","/api/v1/people/445276","R","Right","vs_RHP","vs_RHB","Empty",NA,"Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Washington Nationals",1,"Major League Baseball",NA,NA,104,"National League","Washington Nationals","Boston Red Sox","true",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",94.1,85.4,5,0.91,0.402,6.9193,32.7889,-10.2013,3.5677,11.7094,-0.1692,2.7294,2.6406,-136.7544,-7.7472,-1.6138,50.002,6.3155,6.693,31.2,3.6,24,2738,174,NA,NA,NA,NA,NA,NA,TRUE,-11.6,19.6,-7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
746963,"2024-05-11",1,"2024-05-11T22:20:19.992Z","2024-05-11T22:20:25.956Z",TRUE,"pitch","7d33768b-5b06-4ad0-adf7-c26bc0504097",2,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,2,1,NA,NA,3.76,1.8,NA,126.96,148.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"62","atBat","Strikeout","strikeout","Joey Meneses strikes out swinging.",0,2,4,62,"top",9,"2024-05-11T22:19:45.470Z","2024-05-11T22:20:49.381Z",TRUE,FALSE,FALSE,TRUE,14,0,3,2,608841,"Joey Meneses","/api/v1/people/608841","R","Right",445276,"Kenley Jansen","/api/v1/people/445276","R","Right","vs_RHP","vs_RHB","Empty",NA,"Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Washington Nationals",1,"Major League Baseball",NA,NA,104,"National League","Washington Nationals","Boston Red Sox","false",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",93,85.1,2,0.91,0.4047,6.7505,29.3373,-11.7363,4.8183,11.0115,-0.2614,3.3264,2.261,-135.3143,-5.8123,-1.7334,50.0002,6.3234,8.9378,36,3.6,24,2689,166,NA,NA,NA,NA,NA,NA,FALSE,-12.7,19,-9.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
746963,"2024-05-11",0,"2024-05-11T22:20:01.752Z","2024-05-11T22:20:05.575Z",TRUE,"pitch","633f1f34-3d7b-4eb5-b448-8033a63be7da",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,1,NA,NA,3.7181,1.7999,NA,120.73,166.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"62","atBat","Strikeout","strikeout","Joey Meneses strikes out swinging.",0,2,4,62,"top",9,"2024-05-11T22:19:45.470Z","2024-05-11T22:20:49.381Z",TRUE,FALSE,FALSE,TRUE,14,0,3,2,608841,"Joey Meneses","/api/v1/people/608841","R","Right",445276,"Kenley Jansen","/api/v1/people/445276","R","Right","vs_RHP","vs_RHB","Empty",NA,"Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Washington Nationals",1,"Major League Baseball",NA,NA,104,"National League","Washington Nationals","Boston Red Sox","false",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",92.9,85.4,5,0.9,0.4045,6.849,28.3258,-12.7957,3.6444,10.4285,-0.0978,2.6892,3.3809,-135.1844,-6.9736,-1.8364,50.004,6.193,6.7741,27.6,3.6,24,2543,181,NA,NA,NA,NA,NA,NA,FALSE,-13.9,17.6,-7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
