"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.disengagementNum","isBaseRunningPlay","reviewDetails.isOverturned","reviewDetails.inProgress","reviewDetails.reviewType","reviewDetails.challengeTeamId","isSubstitution","replacedPlayer.id","replacedPlayer.link","base","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link"
717628,"2023-06-24",3,"2023-06-24T23:19:53.050Z","2023-06-24T23:20:14.926Z",TRUE,"pitch","9adc2bf6-aa30-4d33-a09b-0a54b50cba37",4,"In play, run(s)",NA,NA,NA,NA,FALSE,"E","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"E","In play, run(s)",2,1,1,NA,NA,3.33,1.58,NA,110.33,167.43,"fly_ball","medium","89",191.48,53.77,NA,NA,NA,NA,NA,NA,NA,NA,"78","atBat","Home Run","home_run","Ryan McKenna homers (2) on a fly ball to right center field. Cedric Mullins scores.",2,4,6,78,"bottom",10,"2023-06-24T23:18:28.831Z","2023-06-24T23:20:14.926Z",TRUE,TRUE,FALSE,FALSE,75,2,1,1,663630,"Ryan McKenna","/api/v1/people/663630","R","Right",623437,"Justin Topa","/api/v1/people/623437","R","Right","vs_RHP","vs_RHB","Empty",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Baltimore Orioles","Seattle Mariners","true",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",95.1,87.1,5,0.9,0.396,6.1997,30.4424,-30.4857,-10.1137,0.8691,0.1751,2.6425,9.4447,-138.2619,-0.6458,-1.9689,50.001,4.9225,-19.6052,30,7.2,24,2169,256,105.9,22,393,NA,NA,NA,FALSE,-28.7,1.7,16.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717628,"2023-06-24",2,"2023-06-24T23:19:31.439Z","2023-06-24T23:19:34.647Z",TRUE,"pitch","7ad972d4-1c98-4fc1-8792-e62bc953cc14",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,1,1,NA,NA,3.2118,1.5549,NA,159.46,135.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"78","atBat","Home Run","home_run","Ryan McKenna homers (2) on a fly ball to right center field. Cedric Mullins scores.",2,4,6,78,"bottom",10,"2023-06-24T23:18:28.831Z","2023-06-24T23:20:14.926Z",TRUE,TRUE,FALSE,FALSE,75,2,1,1,663630,"Ryan McKenna","/api/v1/people/663630","R","Right",623437,"Justin Topa","/api/v1/people/623437","R","Right","vs_RHP","vs_RHB","Empty",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Baltimore Orioles","Seattle Mariners","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",95.3,87.5,11,0.91,0.3942,6.184,29.2915,-31.4157,-9.6711,0.3892,-1.114,3.8374,6.3471,-138.6308,2.3245,-2.1698,50.0048,5.0769,-18.9364,30,7.2,24,2080,246,NA,NA,NA,NA,NA,NA,FALSE,-28.7,1.3,16.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717628,"2023-06-24",1,"2023-06-24T23:19:10.888Z","2023-06-24T23:19:14.457Z",TRUE,"pitch","82ff8710-891a-4a84-b9b4-f3f701af8b61",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,1,NA,NA,3.2351,1.5783,NA,171,180.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"78","atBat","Home Run","home_run","Ryan McKenna homers (2) on a fly ball to right center field. Cedric Mullins scores.",2,4,6,78,"bottom",10,"2023-06-24T23:18:28.831Z","2023-06-24T23:20:14.926Z",TRUE,TRUE,FALSE,FALSE,75,2,1,1,663630,"Ryan McKenna","/api/v1/people/663630","R","Right",623437,"Justin Topa","/api/v1/people/623437","R","Right","vs_RHP","vs_RHB","Empty",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Baltimore Orioles","Seattle Mariners","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",95.1,87.8,13,0.88,0.3942,6.0616,28.6459,-31.647,-9.4085,0.2726,-1.4166,2.1759,5.3209,-138.5267,-1.6431,-2.1318,50.006,4.8765,-18.4339,28.8,7.2,24,2042,250,NA,NA,NA,NA,NA,NA,FALSE,-29.6,0.4,16.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717628,"2023-06-24",0,"2023-06-24T23:18:47.240Z","2023-06-24T23:18:50.250Z",TRUE,"pitch","8d866b5e-c793-4c7e-87c0-4f0cb3abdb7d",1,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,1,1,NA,NA,3.33,1.58,NA,121.33,174.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"78","atBat","Home Run","home_run","Ryan McKenna homers (2) on a fly ball to right center field. Cedric Mullins scores.",2,4,6,78,"bottom",10,"2023-06-24T23:18:28.831Z","2023-06-24T23:20:14.926Z",TRUE,TRUE,FALSE,FALSE,75,2,1,1,663630,"Ryan McKenna","/api/v1/people/663630","R","Right",623437,"Justin Topa","/api/v1/people/623437","R","Right","vs_RHP","vs_RHB","Empty",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Baltimore Orioles","Seattle Mariners","false",NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",83.5,76.8,5,2,0.4503,6.1611,23.657,-31.6835,5.8996,0.3291,-0.1135,2.3844,3.5164,-121.5927,0.5611,-2.3446,50.0042,4.898,8.8411,16.8,8.4,24,2645,77,NA,NA,NA,NA,NA,NA,FALSE,-38.2,1,-11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717628,"2023-06-24",4,"2023-06-24T23:18:02.832Z","2023-06-24T23:18:15.110Z",TRUE,"pitch","1ab0b685-45b7-415b-a783-004559fa993c",3,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,1,0,NA,NA,3.33,1.61,NA,114.12,177.14,"fly_ball","medium","8",139.45,75.22,NA,NA,NA,NA,NA,NA,NA,NA,"77","atBat","Flyout","field_out","Adley Rutschman flies out to center fielder Julio Rodriguez.",0,4,4,77,"bottom",10,"2023-06-24T23:17:23.272Z","2023-06-24T23:18:15.110Z",TRUE,FALSE,FALSE,TRUE,0,1,1,1,668939,"Adley Rutschman","/api/v1/people/668939","L","Left",623437,"Justin Topa","/api/v1/people/623437","R","Right","vs_RHP","vs_LHB","RISP",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Baltimore Orioles","Seattle Mariners",NA,NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",82.6,75.5,5,2,0.4568,6.4177,25.1128,-31.5183,7.1782,0.4542,0.0755,2.2828,3.4007,-120.2727,0.4645,-2.2931,50.0055,4.9009,10.4303,19.2,9.6,24,2699,62,91,43,311,NA,NA,NA,TRUE,-39.1,1.2,-13.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,656775,"Cedric Mullins","/api/v1/people/656775",NA,NA,NA
717628,"2023-06-24",3,"2023-06-24T23:17:43.780Z","2023-06-24T23:17:48.501Z",TRUE,"pitch","15bbd949-5ed1-4024-889d-0179fdbd0e4b",2,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,1,0,NA,NA,3.33,1.61,NA,87.9,194.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"77","atBat","Flyout","field_out","Adley Rutschman flies out to center fielder Julio Rodriguez.",0,4,4,77,"bottom",10,"2023-06-24T23:17:23.272Z","2023-06-24T23:18:15.110Z",TRUE,FALSE,FALSE,TRUE,0,1,1,1,668939,"Adley Rutschman","/api/v1/people/668939","L","Left",623437,"Justin Topa","/api/v1/people/623437","R","Right","vs_RHP","vs_LHB","RISP",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Baltimore Orioles","Seattle Mariners",NA,NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",82.3,75.5,9,2,0.4584,6.3726,24.7062,-32.4502,7.6273,-0.1889,0.7635,1.644,5.2278,-119.8165,-0.8926,-2.4432,50.0045,4.9397,11.0102,20.4,9.6,24,2764,66,NA,NA,NA,NA,NA,NA,FALSE,-40.8,-0.2,-15.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717628,"2023-06-24",2,"2023-06-24T23:17:25.595Z","2023-06-24T23:17:28.992Z",TRUE,"pitch","8758603b-3721-4fef-bded-5ae5f238575d",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,0,NA,NA,3.2818,1.6318,NA,186.88,149.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"77","atBat","Flyout","field_out","Adley Rutschman flies out to center fielder Julio Rodriguez.",0,4,4,77,"bottom",10,"2023-06-24T23:17:23.272Z","2023-06-24T23:18:15.110Z",TRUE,FALSE,FALSE,TRUE,0,1,1,1,668939,"Adley Rutschman","/api/v1/people/668939","L","Left",623437,"Justin Topa","/api/v1/people/623437","R","Right","vs_RHP","vs_LHB","RISP",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Baltimore Orioles","Seattle Mariners",NA,NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",83.2,76.4,11,2,0.4518,5.9811,23.2135,-33.5797,6.7585,-0.9476,-1.8332,3.2955,-0.3219,-121.1463,2.7658,-2.5769,50.0004,5.0702,10.0642,16.8,9.6,24,2625,79,NA,NA,NA,NA,NA,NA,FALSE,-40.2,-0.8,-12.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717628,"2023-06-24",0,"2023-06-24T23:15:48.558Z","2023-06-24T23:16:41.035Z",FALSE,"action",NA,NA,"Pitching Change: Justin Topa replaces Paul Sewald.","Pitching Substitution",4,4,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,623437,"/api/v1/people/623437",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pitching_substitution",NA,"1","Pitcher","Pitcher","P",NA,"77","atBat","Flyout","field_out","Adley Rutschman flies out to center fielder Julio Rodriguez.",0,4,4,77,"bottom",10,"2023-06-24T23:17:23.272Z","2023-06-24T23:18:15.110Z",TRUE,FALSE,FALSE,TRUE,0,1,1,1,668939,"Adley Rutschman","/api/v1/people/668939","L","Left",623437,"Justin Topa","/api/v1/people/623437","R","Right","vs_RHP","vs_LHB","RISP",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Baltimore Orioles","Seattle Mariners",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717628,"2023-06-24",1,"2023-06-24T23:16:41.035Z","2023-06-24T23:17:25.595Z",FALSE,"action",NA,NA,"Cedric Mullins starts inning at 2nd base.","Runner Placed On Base",4,4,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,656775,"/api/v1/people/656775",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"runner_placed",NA,NA,NA,NA,NA,NA,"77","atBat","Flyout","field_out","Adley Rutschman flies out to center fielder Julio Rodriguez.",0,4,4,77,"bottom",10,"2023-06-24T23:17:23.272Z","2023-06-24T23:18:15.110Z",TRUE,FALSE,FALSE,TRUE,0,1,1,1,668939,"Adley Rutschman","/api/v1/people/668939","L","Left",623437,"Justin Topa","/api/v1/people/623437","R","Right","vs_RHP","vs_LHB","RISP",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Baltimore Orioles","Seattle Mariners",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717628,"2023-06-24",3,"2023-06-24T23:14:25.017Z","2023-06-24T23:14:28.648Z",TRUE,"pitch","c3e2ec67-0896-4a07-a4f4-3aee019962cb",4,"Swinging Strike (Blocked)",NA,NA,NA,NA,FALSE,"W","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"W","Swinging Strike (Blocked)",1,3,2,NA,NA,3.18,1.47,NA,111,215.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Strikeout","strikeout","Ty France strikes out swinging.",0,4,4,76,"top",10,"2023-06-24T23:12:50.977Z","2023-06-24T23:14:28.648Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,664034,"Ty France","/api/v1/people/664034","R","Right",657508,"Mike Baumann","/api/v1/people/657508","R","Right","vs_RHP","vs_RHB","Empty",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners","Baltimore Orioles","true",NA,"rgba(153, 171, 0, 1.0)","KC","Knuckle Curve",88,82,14,0.91,0.4262,6.6098,24.5287,-37.5157,0.0662,-3.1886,0.1575,0.8587,4.4054,-128.141,-5.2044,-1.5869,50.0016,5.8211,0.1106,1.2,9.6,24,2146,39,NA,NA,NA,NA,NA,NA,TRUE,-41.8,-6.7,-1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
