"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.disengagementNum","isSubstitution","replacedPlayer.id","replacedPlayer.link","base","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link"
746648,"2024-04-14",4,"2024-04-14T20:48:44.786Z","2024-04-14T20:48:53.787Z",TRUE,"pitch","84286952-924d-4dd7-a288-55a7e35518bb",4,"In play, run(s)",NA,NA,NA,NA,FALSE,"E","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"E","In play, run(s)",1,2,1,NA,NA,3.18,1.46,NA,134.44,182.33,"line_drive","medium","9",180.24,90.83,NA,NA,NA,NA,NA,NA,NA,NA,"87","atBat","Sac Fly","sac_fly","Andrés Giménez out on a sacrifice fly to right fielder Juan Soto. David Fry scores.",1,7,8,87,"bottom",10,"2024-04-14T20:47:47.016Z","2024-04-14T20:48:53.787Z",TRUE,TRUE,FALSE,TRUE,0,1,2,2,665926,"Andrés Giménez","/api/v1/people/665926","L","Left",657571,"Caleb Ferguson","/api/v1/people/657571","L","Left","vs_LHP","vs_LHB","Men_On",NA,"Cleveland Guardians",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Cleveland Guardians","New York Yankees",NA,NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",87.4,82.5,4,0.91,0.4251,6.4859,18.5917,-27.6771,-2.0187,2.6546,-0.4575,2.0906,-5.9385,-127.3658,-2.8115,2.1383,50.0031,5.329,-3.4172,8.4,7.2,24,2625,211,95.1,19,302,NA,NA,NA,TRUE,-30.4,4.6,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,686823,"Will Brennan","/api/v1/people/686823",NA,NA,NA,NA,NA,NA
746648,"2024-04-14",3,"2024-04-14T20:48:24.595Z","2024-04-14T20:48:28.037Z",TRUE,"pitch","9acaf65b-dd4d-401d-b5a1-26dc4f2f2b23",3,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,2,1,NA,NA,3.18,1.46,NA,115.35,180.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"87","atBat","Sac Fly","sac_fly","Andrés Giménez out on a sacrifice fly to right fielder Juan Soto. David Fry scores.",1,7,8,87,"bottom",10,"2024-04-14T20:47:47.016Z","2024-04-14T20:48:53.787Z",TRUE,TRUE,FALSE,TRUE,0,1,2,2,665926,"Andrés Giménez","/api/v1/people/665926","L","Left",657571,"Caleb Ferguson","/api/v1/people/657571","L","Left","vs_LHP","vs_LHB","Men_On",NA,"Cleveland Guardians",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Cleveland Guardians","New York Yankees",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",93.5,86.7,5,0.82,0.4001,6.53,25.9378,-15.8126,2.9212,8.5936,0.0433,2.1424,-6.5802,-136.1489,-5.7475,2.0968,50.0028,5.35,5.5623,14.4,3.6,24,2255,148,NA,NA,NA,NA,NA,NA,FALSE,-16.2,14.8,-4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,686823,"Will Brennan","/api/v1/people/686823",NA,NA,NA,NA,NA,NA
746648,"2024-04-14",2,"2024-04-14T20:48:07.090Z","2024-04-14T20:48:12.753Z",TRUE,"pitch","9ae5ccd8-0a9b-44f1-aa6a-0f15bbb408c4",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,1,NA,NA,3.2279,1.3954,NA,62.55,179.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"87","atBat","Sac Fly","sac_fly","Andrés Giménez out on a sacrifice fly to right fielder Juan Soto. David Fry scores.",1,7,8,87,"bottom",10,"2024-04-14T20:47:47.016Z","2024-04-14T20:48:53.787Z",TRUE,TRUE,FALSE,TRUE,0,1,2,2,665926,"Andrés Giménez","/api/v1/people/665926","L","Left",657571,"Caleb Ferguson","/api/v1/people/657571","L","Left","vs_LHP","vs_LHB","Men_On",NA,"Cleveland Guardians",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Cleveland Guardians","New York Yankees",NA,NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",86.4,80.6,14,0.9,0.4321,6.2907,21.5226,-30.4528,-1.4096,1.0533,1.4284,2.2006,-1.9258,-125.9496,-1.9319,2.3812,50.0028,5.4007,-2.3026,4.8,7.2,24,2669,238,NA,NA,NA,NA,NA,NA,FALSE,-34.3,1.8,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,686823,"Will Brennan","/api/v1/people/686823",NA,NA,NA,NA,NA,NA
746648,"2024-04-14",1,"2024-04-14T20:47:49.272Z","2024-04-14T20:47:53.786Z",TRUE,"pitch","8db972d6-b347-46ed-8352-8a8e780cfbe6",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,1,NA,NA,3.3287,1.4972,NA,151.09,195.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"87","atBat","Sac Fly","sac_fly","Andrés Giménez out on a sacrifice fly to right fielder Juan Soto. David Fry scores.",1,7,8,87,"bottom",10,"2024-04-14T20:47:47.016Z","2024-04-14T20:48:53.787Z",TRUE,TRUE,FALSE,TRUE,0,1,2,2,665926,"Andrés Giménez","/api/v1/people/665926","L","Left",657571,"Caleb Ferguson","/api/v1/people/657571","L","Left","vs_LHP","vs_LHB","Men_On",NA,"Cleveland Guardians",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Cleveland Guardians","New York Yankees",NA,NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",87.3,82.2,13,0.9,0.4268,6.5446,20.2543,-30.3784,-1.6393,1.0702,-0.8944,1.5917,-7.1549,-127.1917,-3.5347,2.1411,50.0034,5.348,-2.7485,7.2,7.2,24,2734,212,NA,NA,NA,NA,NA,NA,FALSE,-33.7,1.6,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,686823,"Will Brennan","/api/v1/people/686823",NA,NA,NA,NA,NA,NA
746648,"2024-04-14",0,"2024-04-14T20:46:49.493Z","2024-04-14T20:47:49.272Z",FALSE,"action",NA,NA,"Mound Visit.","Mound Visit",7,7,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mound_visit",NA,NA,NA,NA,NA,NA,"87","atBat","Sac Fly","sac_fly","Andrés Giménez out on a sacrifice fly to right fielder Juan Soto. David Fry scores.",1,7,8,87,"bottom",10,"2024-04-14T20:47:47.016Z","2024-04-14T20:48:53.787Z",TRUE,TRUE,FALSE,TRUE,0,1,2,2,665926,"Andrés Giménez","/api/v1/people/665926","L","Left",657571,"Caleb Ferguson","/api/v1/people/657571","L","Left","vs_LHP","vs_LHB","Men_On",NA,"Cleveland Guardians",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Cleveland Guardians","New York Yankees",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,686823,"Will Brennan","/api/v1/people/686823",NA,NA,NA,NA,NA,NA
746648,"2024-04-14",2,"2024-04-14T20:45:49.897Z","2024-04-14T20:45:57.005Z",TRUE,"pitch","d9dc5835-8f46-4520-953d-1cca13016d91",3,"In play, run(s)",NA,NA,NA,NA,FALSE,"E","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"E","In play, run(s)",2,0,1,NA,NA,3.28,1.49,NA,103.99,179.44,"ground_ball","medium","4",148.15,155.72,NA,NA,NA,NA,NA,NA,NA,NA,"86","atBat","Fielders Choice","fielders_choice","Will Brennan reaches on a fielder's choice, fielded by second baseman Gleyber Torres. Josh Naylor scores. David Fry to 3rd.",1,7,7,86,"bottom",10,"2024-04-14T20:44:58.011Z","2024-04-14T20:45:57.005Z",TRUE,TRUE,FALSE,FALSE,46,2,0,1,686823,"Will Brennan","/api/v1/people/686823","L","Left",657571,"Caleb Ferguson","/api/v1/people/657571","L","Left","vs_LHP","vs_LHB","RISP",NA,"Cleveland Guardians",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Cleveland Guardians","New York Yankees","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",93.9,87.4,6,0.86,0.3976,6.4952,24.6549,-16.3023,3.2941,8.2236,0.3413,2.1979,-5.9557,-136.737,-5.5086,2.1006,50.0061,5.3233,6.3609,16.8,3.6,24,2169,143,89.2,3,62,NA,NA,NA,FALSE,-16.3,14.2,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,686823,"Will Brennan","/api/v1/people/686823",681807,"David Fry","/api/v1/people/681807",NA,NA,NA
746648,"2024-04-14",1,"2024-04-14T20:45:31.689Z","2024-04-14T20:45:35.542Z",TRUE,"pitch","6319b9e7-b274-4cf2-83a8-a6f47cd1645e",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,0,1,NA,NA,3.2581,1.4385,NA,93.45,218.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"86","atBat","Fielders Choice","fielders_choice","Will Brennan reaches on a fielder's choice, fielded by second baseman Gleyber Torres. Josh Naylor scores. David Fry to 3rd.",1,7,7,86,"bottom",10,"2024-04-14T20:44:58.011Z","2024-04-14T20:45:57.005Z",TRUE,TRUE,FALSE,FALSE,46,2,0,1,686823,"Will Brennan","/api/v1/people/686823","L","Left",657571,"Caleb Ferguson","/api/v1/people/657571","L","Left","vs_LHP","vs_LHB","RISP",NA,"Cleveland Guardians",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Cleveland Guardians","New York Yankees","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",94.2,86.9,14,0.98,0.3991,6.6222,28.2201,-21.2167,8.1664,5.7314,0.6178,0.7559,-7.1221,-136.8854,-8.1037,2.1834,50.0007,5.1899,15.6052,32.4,6,24,2208,140,NA,NA,NA,NA,NA,NA,FALSE,-21.8,9,-13.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,686823,"Will Brennan","/api/v1/people/686823",NA,NA,NA,NA,NA,NA
746648,"2024-04-14",0,"2024-04-14T20:45:14.135Z","2024-04-14T20:45:18.554Z",TRUE,"pitch","200a4160-060a-45c3-90d0-16b64676b985",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,1,NA,NA,3.3846,1.4781,NA,84.08,149.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"86","atBat","Fielders Choice","fielders_choice","Will Brennan reaches on a fielder's choice, fielded by second baseman Gleyber Torres. Josh Naylor scores. David Fry to 3rd.",1,7,7,86,"bottom",10,"2024-04-14T20:44:58.011Z","2024-04-14T20:45:57.005Z",TRUE,TRUE,FALSE,FALSE,46,2,0,1,686823,"Will Brennan","/api/v1/people/686823","L","Left",657571,"Caleb Ferguson","/api/v1/people/657571","L","Left","vs_LHP","vs_LHB","RISP",NA,"Cleveland Guardians",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Cleveland Guardians","New York Yankees","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94.1,87,12,0.85,0.3976,6.4242,27.1024,-16.0314,2.5802,8.3761,0.8637,3.3069,-4.1666,-137.1804,-3.0078,2.0591,50.0067,5.495,4.9753,14.4,3.6,24,2195,148,NA,NA,NA,NA,NA,NA,FALSE,-15.7,14.9,-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,686823,"Will Brennan","/api/v1/people/686823",NA,NA,NA,NA,NA,NA
746648,"2024-04-14",3,"2024-04-14T20:44:19.977Z","2024-04-14T20:44:36.150Z",TRUE,"pitch","96ea4822-ab04-4a02-acef-355d58eec04a",3,"In play, no out",NA,NA,NA,NA,FALSE,"D","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"D","In play, no out",1,1,1,NA,NA,3.35,1.55,NA,116.17,156.47,"fly_ball","hard","8",89.42,40.97,NA,NA,NA,NA,NA,NA,NA,NA,"85","atBat","Double","double","David Fry doubles (2) on a sharp fly ball to center fielder Aaron Judge. Josh Naylor to 3rd.",0,7,6,85,"bottom",10,"2024-04-14T20:42:55.113Z","2024-04-14T20:44:36.150Z",TRUE,FALSE,FALSE,FALSE,34,1,1,1,681807,"David Fry","/api/v1/people/681807","R","Right",657571,"Caleb Ferguson","/api/v1/people/657571","L","Left","vs_LHP","vs_RHB","RISP",NA,"Cleveland Guardians",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Cleveland Guardians","New York Yankees",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94.1,87.4,2,0.87,0.3971,6.4731,25.5875,-16.804,2.9753,7.9463,0.0217,3.0486,-6.7489,-137.0788,-3.2419,2.111,50.0042,5.37,5.7565,14.4,3.6,24,2144,147,103.8,34,401,NA,NA,NA,FALSE,-16.4,14,-4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,686823,"Will Brennan","/api/v1/people/686823",647304,"Josh Naylor","/api/v1/people/647304",681807,"David Fry","/api/v1/people/681807"
746648,"2024-04-14",2,"2024-04-14T20:43:59.767Z","2024-04-14T20:44:03.010Z",TRUE,"pitch","dd53810f-8b56-493d-b1be-5c2b2cb87b35",2,"Foul Tip",NA,NA,NA,NA,FALSE,"T","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"T","Foul Tip",1,1,1,NA,NA,3.35,1.55,NA,144.84,155.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"85","atBat","Double","double","David Fry doubles (2) on a sharp fly ball to center fielder Aaron Judge. Josh Naylor to 3rd.",0,7,6,85,"bottom",10,"2024-04-14T20:42:55.113Z","2024-04-14T20:44:36.150Z",TRUE,FALSE,FALSE,FALSE,34,1,1,1,681807,"David Fry","/api/v1/people/681807","R","Right",657571,"Caleb Ferguson","/api/v1/people/657571","L","Left","vs_LHP","vs_RHB","RISP",NA,"Cleveland Guardians",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Cleveland Guardians","New York Yankees",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",93.8,86.7,1,0.89,0.3995,6.6098,26.5098,-14.5134,3.5171,9.2475,-0.7304,3.0911,-8.1807,-136.4633,-3.6874,1.8326,50.0013,5.4423,6.7168,19.2,3.6,24,2285,147,NA,NA,NA,NA,NA,NA,FALSE,-14.5,16.3,-4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,686823,"Will Brennan","/api/v1/people/686823",NA,NA,NA,NA,NA,NA
