"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.disengagementNum","isSubstitution","replacedPlayer.id","replacedPlayer.link","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link"
717237,"2023-07-28",2,"2023-07-29T04:12:40.744Z","2023-07-29T04:13:14.916Z",TRUE,"pitch","00909475-78f3-49a0-ae4c-3fb44011bfb9",3,"In play, run(s)",NA,NA,NA,NA,FALSE,"E","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"E","In play, run(s)",2,0,1,NA,NA,3.38,1.63,NA,115.88,204.44,"fly_ball","medium","89",207.29,46.52,NA,NA,NA,NA,NA,NA,NA,NA,"62","atBat","Home Run","home_run","Anthony Santander homers (18) on a fly ball to right center field.",1,0,1,62,"bottom",9,"2023-07-29T04:11:37.368Z","2023-07-29T04:13:14.916Z",TRUE,TRUE,FALSE,FALSE,65,2,0,1,623993,"Anthony Santander","/api/v1/people/623993","L","Left",592454,"Tommy Kahnle","/api/v1/people/592454","R","Right","vs_RHP","vs_LHB","Empty",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Baltimore Orioles","New York Yankees","true",NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",89.7,82.7,14,0.9,0.4195,6.7647,26.6817,-29.7611,-6.2265,1.3988,0.0295,1.2718,8.034,-130.4303,-4.7834,-2.2775,50.0047,5.3661,-10.7607,16.8,7.2,24,1285,253,107.9,30,425,NA,NA,NA,FALSE,-32.3,1.7,9.6,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA
717237,"2023-07-28",1,"2023-07-29T04:12:19.411Z","2023-07-29T04:12:23.881Z",TRUE,"pitch","9bf7c77c-bae7-404c-903f-d24ebd9477e0",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,0,1,NA,NA,3.2726,1.5223,NA,130.07,218.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"62","atBat","Home Run","home_run","Anthony Santander homers (18) on a fly ball to right center field.",1,0,1,62,"bottom",9,"2023-07-29T04:11:37.368Z","2023-07-29T04:13:14.916Z",TRUE,TRUE,FALSE,FALSE,65,2,0,1,623993,"Anthony Santander","/api/v1/people/623993","L","Left",592454,"Tommy Kahnle","/api/v1/people/592454","R","Right","vs_RHP","vs_LHB","Empty",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Baltimore Orioles","New York Yankees","false",NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",89.5,82.1,13,0.89,0.4219,6.7355,28.5707,-33.4253,-8.8988,-0.7358,-0.3429,0.7369,7.7335,-130.0854,-5.6147,-2.2055,50.0022,5.4724,-15.1743,21.6,8.4,24,1468,252,NA,NA,NA,NA,NA,NA,FALSE,-36.8,-2.4,14.3,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA
717237,"2023-07-28",0,"2023-07-29T04:12:01.679Z","2023-07-29T04:12:05.564Z",TRUE,"pitch","5f99939d-a04b-46be-addf-f7ab6e2e16ea",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,1,NA,NA,3.2726,1.5484,NA,151.28,157.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"62","atBat","Home Run","home_run","Anthony Santander homers (18) on a fly ball to right center field.",1,0,1,62,"bottom",9,"2023-07-29T04:11:37.368Z","2023-07-29T04:13:14.916Z",TRUE,TRUE,FALSE,FALSE,65,2,0,1,623993,"Anthony Santander","/api/v1/people/623993","L","Left",592454,"Tommy Kahnle","/api/v1/people/592454","R","Right","vs_RHP","vs_LHB","Empty",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Baltimore Orioles","New York Yankees","false",NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",88.2,80.9,11,0.9,0.4264,6.8153,25.8377,-27.262,-8.1577,2.9378,-0.8992,3.026,5.9863,-128.3065,-1.1925,-2.1994,50.0026,5.6156,-13.6401,24,7.2,24,1168,254,NA,NA,NA,NA,NA,NA,FALSE,-29.8,5.3,13.4,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA
717237,"2023-07-28",5,"2023-07-29T04:11:32.230Z","2023-07-29T04:11:36.471Z",TRUE,"pitch","e5fc8f64-16dc-487e-8f17-c727c1f68174",5,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",2,3,0,NA,NA,3.3,1.62,NA,99.78,194.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"61","atBat","Strikeout","strikeout","Adley Rutschman strikes out swinging.",0,0,0,61,"bottom",9,"2023-07-29T04:10:15.814Z","2023-07-29T04:11:36.471Z",TRUE,FALSE,FALSE,TRUE,14,2,3,1,668939,"Adley Rutschman","/api/v1/people/668939","L","Left",592454,"Tommy Kahnle","/api/v1/people/592454","R","Right","vs_RHP","vs_LHB","Empty",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Baltimore Orioles","New York Yankees",NA,NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",89.5,82.7,9,0.9,0.4199,6.7174,25.2791,-30.1126,-8.2616,1.1956,0.4519,1.6304,9.2079,-130.0662,-4.0905,-2.0478,50.0038,5.487,-14.2669,22.8,8.4,24,1290,256,NA,NA,NA,NA,NA,NA,TRUE,-32.5,1.4,13.1,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA
717237,"2023-07-28",4,"2023-07-29T04:11:10.792Z","2023-07-29T04:11:14.115Z",TRUE,"pitch","2824789a-f017-4d0d-ad62-98e7a5f5ab0e",4,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,2,0,NA,NA,3.3481,1.6945,NA,99.83,228.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"61","atBat","Strikeout","strikeout","Adley Rutschman strikes out swinging.",0,0,0,61,"bottom",9,"2023-07-29T04:10:15.814Z","2023-07-29T04:11:36.471Z",TRUE,FALSE,FALSE,TRUE,14,2,3,1,668939,"Adley Rutschman","/api/v1/people/668939","L","Left",592454,"Tommy Kahnle","/api/v1/people/592454","R","Right","vs_RHP","vs_LHB","Empty",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Baltimore Orioles","New York Yankees",NA,NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",90.7,84,14,0.9,0.4148,6.9267,25.9207,-28.6768,-9.1616,1.9787,0.4504,0.3885,9.8542,-131.6549,-7.5343,-2.137,50.006,5.3871,-16.2114,25.2,7.2,24,1320,254,NA,NA,NA,NA,NA,NA,FALSE,-31.1,2.2,14.6,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA
717237,"2023-07-28",3,"2023-07-29T04:10:52.465Z","2023-07-29T04:10:55.515Z",TRUE,"pitch","4e3eea89-8927-4c34-9a83-eb7608ac7eaa",3,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,2,0,NA,NA,3.3,1.62,NA,127.67,204.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"61","atBat","Strikeout","strikeout","Adley Rutschman strikes out swinging.",0,0,0,61,"bottom",9,"2023-07-29T04:10:15.814Z","2023-07-29T04:11:36.471Z",TRUE,FALSE,FALSE,TRUE,14,2,3,1,668939,"Adley Rutschman","/api/v1/people/668939","L","Left",592454,"Tommy Kahnle","/api/v1/people/592454","R","Right","vs_RHP","vs_LHB","Empty",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Baltimore Orioles","New York Yankees",NA,NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",89.5,82.6,13,0.9,0.4202,6.6547,26.2477,-30.4612,-8.0585,0.9917,-0.2799,1.2873,7.753,-130.136,-4.8731,-2.2448,50.0015,5.4804,-13.8788,21.6,8.4,24,1313,248,NA,NA,NA,NA,NA,NA,FALSE,-33.1,1,13,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA
717237,"2023-07-28",2,"2023-07-29T04:10:34.817Z","2023-07-29T04:10:38.342Z",TRUE,"pitch","8d7335d2-9e4b-4421-ada7-ae1cf748b268",2,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",1,1,0,NA,NA,3.2185,1.5644,NA,89.6,185.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"61","atBat","Strikeout","strikeout","Adley Rutschman strikes out swinging.",0,0,0,61,"bottom",9,"2023-07-29T04:10:15.814Z","2023-07-29T04:11:36.471Z",TRUE,FALSE,FALSE,TRUE,14,2,3,1,668939,"Adley Rutschman","/api/v1/people/668939","L","Left",592454,"Tommy Kahnle","/api/v1/people/592454","R","Right","vs_RHP","vs_LHB","Empty",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Baltimore Orioles","New York Yankees",NA,NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",89.4,82.6,9,0.9,0.4205,6.6679,25.1899,-28.2945,-7.856,2.253,0.7188,1.9674,9.6829,-129.8576,-3.9642,-2.024,50.0036,5.6474,-13.5245,21.6,7.2,24,1451,247,NA,NA,NA,NA,NA,NA,FALSE,-30.7,3.5,12.2,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA
717237,"2023-07-28",1,"2023-07-29T04:10:18.141Z","2023-07-29T04:10:22.716Z",TRUE,"pitch","3c97a24a-8fe3-4969-8327-371b455cfc61",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,0,NA,NA,3.2704,1.5384,NA,147.9,201.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"61","atBat","Strikeout","strikeout","Adley Rutschman strikes out swinging.",0,0,0,61,"bottom",9,"2023-07-29T04:10:15.814Z","2023-07-29T04:11:36.471Z",TRUE,FALSE,FALSE,TRUE,14,2,3,1,668939,"Adley Rutschman","/api/v1/people/668939","L","Left",592454,"Tommy Kahnle","/api/v1/people/592454","R","Right","vs_RHP","vs_LHB","Empty",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Baltimore Orioles","New York Yankees",NA,NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",88,81.5,13,0.9,0.4264,6.5068,24.5716,-29.0681,-7.9247,1.8525,-0.8107,1.3838,6.3359,-128.0896,-4.7515,-2.2775,50.002,5.5155,-13.2683,21.6,8.4,24,1311,259,NA,NA,NA,NA,NA,NA,FALSE,-32.5,2.5,13.1,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA
717237,"2023-07-28",0,"2023-07-29T04:08:37.754Z","2023-07-29T04:10:18.141Z",FALSE,"action",NA,NA,"Pitching Change: Tommy Kahnle replaces Wandy Peralta.","Pitching Substitution",0,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,592454,"/api/v1/people/592454",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pitching_substitution",NA,"1","Pitcher","Pitcher","P",NA,"61","atBat","Strikeout","strikeout","Adley Rutschman strikes out swinging.",0,0,0,61,"bottom",9,"2023-07-29T04:10:15.814Z","2023-07-29T04:11:36.471Z",TRUE,FALSE,FALSE,TRUE,14,2,3,1,668939,"Adley Rutschman","/api/v1/people/668939","L","Left",592454,"Tommy Kahnle","/api/v1/people/592454","R","Right","vs_RHP","vs_LHB","Empty",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Baltimore Orioles","New York Yankees",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,TRUE,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA
717237,"2023-07-28",4,"2023-07-29T04:07:04.437Z","2023-07-29T04:07:08.986Z",TRUE,"pitch","dd735603-486b-4c10-a433-7c4ca6af5d0e",4,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,3,2,NA,NA,3.1,1.47,NA,115.58,143.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"60","atBat","Strikeout","strikeout","Billy McKinney strikes out swinging.",0,0,0,60,"top",9,"2023-07-29T04:05:11.264Z","2023-07-29T04:07:08.986Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,641856,"Billy McKinney","/api/v1/people/641856","L","Left",642585,"Félix Bautista","/api/v1/people/642585","R","Right","vs_RHP","vs_LHB","Empty",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees","Baltimore Orioles",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",101.7,92.5,12,2,0.3709,6.4589,36.8081,-5.2991,-3.0363,12.1854,0.0372,3.5167,0.6773,-147.9201,-8.8839,0.1991,50.0067,6.8769,-6.6988,40.8,2.4,24,2519,184,NA,NA,NA,NA,NA,NA,TRUE,-6.1,20.4,5.4,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA
