"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.disengagementNum","isBaseRunningPlay","reviewDetails.isOverturned.x","reviewDetails.inProgress.x","reviewDetails.reviewType.x","reviewDetails.challengeTeamId.x","isSubstitution","base","replacedPlayer.id","replacedPlayer.link","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","reviewDetails.isOverturned.y","reviewDetails.inProgress.y","reviewDetails.reviewType.y","reviewDetails.challengeTeamId.y"
718085,"2023-05-21",4,"2023-05-21T18:03:59.945Z","2023-05-21T18:04:07.459Z",TRUE,"pitch","7101b495-36d7-4c79-a8ee-4f70fd2b0c05",3,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,1,2,NA,NA,3.71,1.84,NA,98.34,148.85,"ground_ball","medium","1",128.26,183.75,NA,NA,NA,NA,NA,NA,NA,NA,"67","atBat","Groundout","field_out","Will Benson grounds out, pitcher Clay Holmes to first baseman Anthony Rizzo.",0,4,1,67,"bottom",9,"2023-05-21T18:03:04.390Z","2023-05-21T18:04:07.459Z",TRUE,FALSE,FALSE,TRUE,0,1,1,3,666181,"Will Benson","/api/v1/people/666181","L","Left",605280,"Clay Holmes","/api/v1/people/605280","R","Right","vs_RHP","vs_LHB","Empty",NA,"Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Cincinnati Reds","New York Yankees",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",96.9,88.6,3,0.91,0.3888,5.9167,32.4394,-26.2901,-9.3304,2.929,0.4896,3.3309,6.1002,-140.9457,-4.2747,-0.492,50.0048,6.5678,-18.7491,32.4,6,24,NA,NA,62.2,-41,4,NA,NA,NA,TRUE,-24.6,4.6,15.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718085,"2023-05-21",3,"2023-05-21T18:03:40.269Z","2023-05-21T18:03:44.533Z",TRUE,"pitch","840c4d7d-8a05-4dad-8a11-08edda5ce2dc",2,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",1,1,2,NA,NA,3.6346,1.8422,NA,111.14,168.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"67","atBat","Groundout","field_out","Will Benson grounds out, pitcher Clay Holmes to first baseman Anthony Rizzo.",0,4,1,67,"bottom",9,"2023-05-21T18:03:04.390Z","2023-05-21T18:04:07.459Z",TRUE,FALSE,FALSE,TRUE,0,1,1,3,666181,"Will Benson","/api/v1/people/666181","L","Left",605280,"Clay Holmes","/api/v1/people/605280","R","Right","vs_RHP","vs_LHB","Empty",NA,"Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Cincinnati Reds","New York Yankees",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",96.3,88.4,5,0.92,0.3909,6.0842,31.5303,-26.1046,-10.7881,3.0501,0.1537,2.6047,6.0624,-140.099,-5.9529,-0.6363,50.001,6.4622,-21.4516,36,7.2,24,2203,229,NA,NA,NA,NA,NA,NA,FALSE,-25.1,4.4,18.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718085,"2023-05-21",2,"2023-05-21T18:03:18.155Z","2023-05-21T18:03:22.542Z",TRUE,"pitch","a90522cb-c7df-409c-9838-bd9f63edfa62",1,"Ball In Dirt",NA,NA,NA,NA,FALSE,"*B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"*B","Ball In Dirt",1,0,2,NA,NA,3.6346,1.8422,NA,70.65,234.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"67","atBat","Groundout","field_out","Will Benson grounds out, pitcher Clay Holmes to first baseman Anthony Rizzo.",0,4,1,67,"bottom",9,"2023-05-21T18:03:04.390Z","2023-05-21T18:04:07.459Z",TRUE,FALSE,FALSE,TRUE,0,1,1,3,666181,"Will Benson","/api/v1/people/666181","L","Left",605280,"Clay Holmes","/api/v1/people/605280","R","Right","vs_RHP","vs_LHB","Empty",NA,"Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Cincinnati Reds","New York Yankees",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",87.6,80.4,14,0.9,0.4325,5.9075,28.8357,-34.3886,-0.6284,-1.3684,1.216,0.1671,4.13,-127.2002,-8.8745,-0.3549,50.003,6.4703,-1.0188,0,9.6,24,2612,51,NA,NA,NA,NA,NA,NA,FALSE,-40.6,-4.4,0.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718085,"2023-05-21",0,"2023-05-21T18:02:04.152Z","2023-05-21T18:03:04.390Z",FALSE,"action",NA,NA,"Mound Visit.","Mound Visit",4,1,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mound_visit",NA,NA,NA,NA,NA,NA,"67","atBat","Groundout","field_out","Will Benson grounds out, pitcher Clay Holmes to first baseman Anthony Rizzo.",0,4,1,67,"bottom",9,"2023-05-21T18:03:04.390Z","2023-05-21T18:04:07.459Z",TRUE,FALSE,FALSE,TRUE,0,1,1,3,666181,"Will Benson","/api/v1/people/666181","L","Left",605280,"Clay Holmes","/api/v1/people/605280","R","Right","vs_RHP","vs_LHB","Empty",NA,"Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Cincinnati Reds","New York Yankees",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718085,"2023-05-21",1,"2023-05-21T18:03:04.390Z","2023-05-21T18:03:09.390Z",FALSE,"stepoff","d53a2dea-5015-41c5-8504-4a8cde90d40f",NA,"Pitcher Step Off",NA,NA,NA,NA,FALSE,"PSO",NA,NA,NA,NA,NA,NA,0,0,2,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"67","atBat","Groundout","field_out","Will Benson grounds out, pitcher Clay Holmes to first baseman Anthony Rizzo.",0,4,1,67,"bottom",9,"2023-05-21T18:03:04.390Z","2023-05-21T18:04:07.459Z",TRUE,FALSE,FALSE,TRUE,0,1,1,3,666181,"Will Benson","/api/v1/people/666181","L","Left",605280,"Clay Holmes","/api/v1/people/605280","R","Right","vs_RHP","vs_LHB","Empty",NA,"Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Cincinnati Reds","New York Yankees",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718085,"2023-05-21",5,"2023-05-21T18:01:52.351Z","2023-05-21T18:01:56.595Z",TRUE,"pitch","8305c4d3-a839-4fe2-b4a3-7e0c9343cd72",4,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",4,0,2,NA,NA,3.4165,1.5922,NA,161.98,155.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66","atBat","Walk","walk","Stuart Fairchild walks. Jake Fraley to 3rd. Spencer Steer to 2nd.",0,4,1,66,"bottom",9,"2023-05-21T17:59:21.916Z","2023-05-21T18:01:56.595Z",TRUE,FALSE,FALSE,FALSE,0,4,0,2,656413,"Stuart Fairchild","/api/v1/people/656413","R","Right",605280,"Clay Holmes","/api/v1/people/605280","R","Right","vs_RHP","vs_RHB","Loaded",NA,"Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Cincinnati Reds","New York Yankees",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",96,88,11,0.91,0.3921,5.8986,31.6675,-24.293,-9.7875,3.989,-1.18,3.0684,2.2046,-139.7357,-5.0227,-0.7078,50.0044,6.4865,-19.345,36,6,24,2569,197,NA,NA,NA,NA,NA,NA,FALSE,-23.3,6.4,17.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,656413,"Stuart Fairchild","/api/v1/people/656413",668715,"Spencer Steer","/api/v1/people/668715",641584,"Jake Fraley","/api/v1/people/641584",NA,NA,NA,NA
718085,"2023-05-21",3,"2023-05-21T18:00:21.610Z","2023-05-21T18:00:25.715Z",TRUE,"pitch","4cf09fbb-6c8c-4b5b-810d-1343054f207c",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",3,0,2,NA,NA,3.286,1.5922,NA,168.37,126.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66","atBat","Walk","walk","Stuart Fairchild walks. Jake Fraley to 3rd. Spencer Steer to 2nd.",0,4,1,66,"bottom",9,"2023-05-21T17:59:21.916Z","2023-05-21T18:01:56.595Z",TRUE,FALSE,FALSE,FALSE,0,4,0,2,656413,"Stuart Fairchild","/api/v1/people/656413","R","Right",605280,"Clay Holmes","/api/v1/people/605280","R","Right","vs_RHP","vs_RHB","Loaded",NA,"Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Cincinnati Reds","New York Yankees",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.4,87,11,2,0.3951,5.8959,33.072,-27.9271,-9.8299,2.1884,-1.3477,4.1709,1.7436,-138.9889,-1.5604,-0.709,50.0061,6.606,-19.1084,33.6,7.2,24,2341,337,NA,NA,NA,NA,NA,NA,FALSE,-26.3,3.8,17.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718085,"2023-05-21",1,"2023-05-21T17:59:47.946Z","2023-05-21T17:59:53.604Z",TRUE,"pitch","212aba1b-952f-4808-9ab4-6b84421ad13f",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,0,2,NA,NA,3.3382,1.5922,NA,163.54,163.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66","atBat","Walk","walk","Stuart Fairchild walks. Jake Fraley to 3rd. Spencer Steer to 2nd.",0,4,1,66,"bottom",9,"2023-05-21T17:59:21.916Z","2023-05-21T18:01:56.595Z",TRUE,FALSE,FALSE,FALSE,0,4,0,2,656413,"Stuart Fairchild","/api/v1/people/656413","R","Right",605280,"Clay Holmes","/api/v1/people/605280","R","Right","vs_RHP","vs_RHB","Loaded",NA,"Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Cincinnati Reds","New York Yankees",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",95.9,87.6,11,0.91,0.3932,5.9862,33.2685,-26.8852,-9.8041,2.6933,-1.221,2.7849,1.9559,-139.6208,-5.2761,-0.6602,50.0001,6.4824,-19.2321,33.6,7.2,24,2247,217,NA,NA,NA,NA,NA,NA,FALSE,-25.9,4,17.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718085,"2023-05-21",0,"2023-05-21T17:59:28.985Z","2023-05-21T17:59:32.875Z",TRUE,"pitch","0cb4315d-ce95-4336-a1e3-60ab965b4596",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,2,NA,NA,3.4165,1.5922,NA,134.66,131.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66","atBat","Walk","walk","Stuart Fairchild walks. Jake Fraley to 3rd. Spencer Steer to 2nd.",0,4,1,66,"bottom",9,"2023-05-21T17:59:21.916Z","2023-05-21T18:01:56.595Z",TRUE,FALSE,FALSE,FALSE,0,4,0,2,656413,"Stuart Fairchild","/api/v1/people/656413","R","Right",605280,"Clay Holmes","/api/v1/people/605280","R","Right","vs_RHP","vs_RHB","Loaded",NA,"Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Cincinnati Reds","New York Yankees",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",96.1,87.5,11,0.89,0.3924,5.9801,33.1672,-23.945,-8.1468,4.1753,-0.4633,3.9811,3.5174,-139.8748,-2.6689,-0.6826,50.001,6.527,-16.0528,32.4,6,24,2122,232,NA,NA,NA,NA,NA,NA,FALSE,-22.6,7.2,13.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718085,"2023-05-21",2,"2023-05-21T17:59:56.628Z","2023-05-21T18:00:21.610Z",FALSE,"pickoff",NA,NA,"Pickoff Attempt 1B",NA,NA,NA,NA,FALSE,"1",NA,NA,NA,NA,NA,NA,2,0,2,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,"212aba1b-952f-4808-9ab4-6b84421ad13f",NA,NA,NA,NA,NA,NA,NA,"66","atBat","Walk","walk","Stuart Fairchild walks. Jake Fraley to 3rd. Spencer Steer to 2nd.",0,4,1,66,"bottom",9,"2023-05-21T17:59:21.916Z","2023-05-21T18:01:56.595Z",TRUE,FALSE,FALSE,FALSE,0,4,0,2,656413,"Stuart Fairchild","/api/v1/people/656413","R","Right",605280,"Clay Holmes","/api/v1/people/605280","R","Right","vs_RHP","vs_RHB","Loaded",NA,"Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Cincinnati Reds","New York Yankees",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
