"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.disengagementNum","isSubstitution","replacedPlayer.id","replacedPlayer.link","base","result.isOut","about.isTopInning","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link"
746478,"2024-05-01",8,"2024-05-01T19:31:44.217Z","2024-05-01T19:31:48.008Z",TRUE,"pitch","dc8d74fa-2c1c-448b-9881-ed61ddff3db2",8,"Foul Tip",NA,NA,NA,NA,FALSE,"T","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"T","Foul Tip",2,3,2,NA,NA,3.41,1.62,NA,123.72,153.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65","atBat","Strikeout","strikeout","Alec Burleson strikes out on a foul tip.",0,1,4,65,"top",9,"2024-05-01T19:28:56.269Z","2024-05-01T19:31:48.008Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,676475,"Alec Burleson","/api/v1/people/676475","L","Left",656638,"Alex Lange","/api/v1/people/656638","R","Right","vs_RHP","vs_LHB","Empty",NA,"Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals","Detroit Tigers",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96.5,88.1,2,0.88,0.3901,6.4113,31.9833,-17.1431,-4.871,7.5298,-0.1763,3.1537,6.8365,-140.4396,-3.2095,-2.01,50.0046,5.4273,-9.7261,25.2,3.6,24,2266,224,NA,NA,NA,NA,NA,NA,TRUE,-16.2,13.2,7.4,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746478,"2024-05-01",7,"2024-05-01T19:31:21.908Z","2024-05-01T19:31:25.541Z",TRUE,"pitch","ddecff83-11fa-4642-8a1b-2e7a37e38415",7,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",2,2,2,NA,NA,3.41,1.62,NA,132.45,175.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65","atBat","Strikeout","strikeout","Alec Burleson strikes out on a foul tip.",0,1,4,65,"top",9,"2024-05-01T19:28:56.269Z","2024-05-01T19:31:48.008Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,676475,"Alec Burleson","/api/v1/people/676475","L","Left",656638,"Alex Lange","/api/v1/people/656638","R","Right","vs_RHP","vs_LHB","Empty",NA,"Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals","Detroit Tigers",NA,NA,"rgba(153, 171, 0, 1.0)","KC","Knuckle Curve",88.6,81.6,4,2,0.4241,6.3261,26.0637,-32.6595,-0.5004,-0.2824,-0.4054,2.3364,4.1897,-128.9958,-1.8614,-1.9836,50.0064,5.578,-0.8463,0,8.4,24,2280,30,NA,NA,NA,NA,NA,NA,FALSE,-35.4,-0.7,0,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746478,"2024-05-01",6,"2024-05-01T19:31:03.522Z","2024-05-01T19:31:07.148Z",TRUE,"pitch","83e6c4e0-d0e1-457f-a515-661e19bcaffa",6,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,2,2,NA,NA,3.301,1.4872,NA,174.7,177.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65","atBat","Strikeout","strikeout","Alec Burleson strikes out on a foul tip.",0,1,4,65,"top",9,"2024-05-01T19:28:56.269Z","2024-05-01T19:31:48.008Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,676475,"Alec Burleson","/api/v1/people/676475","L","Left",656638,"Alex Lange","/api/v1/people/656638","R","Right","vs_RHP","vs_LHB","Empty",NA,"Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals","Detroit Tigers",NA,NA,"rgba(153, 171, 0, 1.0)","KC","Knuckle Curve",88.7,81.8,13,2,0.4232,6.399,25.8375,-32.3414,-1.6002,-0.0932,-1.5137,2.2583,2.4941,-129.2127,-1.5733,-2.2817,50.0062,5.35,-2.718,3.6,8.4,24,2224,27,NA,NA,NA,NA,NA,NA,FALSE,-34.9,-0.2,2.4,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746478,"2024-05-01",5,"2024-05-01T19:30:35.583Z","2024-05-01T19:30:39.886Z",TRUE,"pitch","417be977-9fc2-4b6f-b323-97a877cedb96",5,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,2,2,NA,NA,3.41,1.62,NA,145.63,207.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65","atBat","Strikeout","strikeout","Alec Burleson strikes out on a foul tip.",0,1,4,65,"top",9,"2024-05-01T19:28:56.269Z","2024-05-01T19:31:48.008Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,676475,"Alec Burleson","/api/v1/people/676475","L","Left",656638,"Alex Lange","/api/v1/people/656638","R","Right","vs_RHP","vs_LHB","Empty",NA,"Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals","Detroit Tigers",NA,NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",89.6,82.7,13,0.91,0.4194,6.4135,26.0341,-28.0735,-9.4416,2.368,-0.7511,1.1671,6.1063,-130.3477,-5.4045,-1.8911,50.0017,5.373,-16.3321,27.6,7.2,24,1582,250,NA,NA,NA,NA,NA,NA,FALSE,-30.6,3.4,15.8,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746478,"2024-05-01",4,"2024-05-01T19:30:12.054Z","2024-05-01T19:30:15.725Z",TRUE,"pitch","eefabf94-bbc3-4417-9aad-b406bf32743d",4,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,2,2,NA,NA,3.41,1.62,NA,129.92,195.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65","atBat","Strikeout","strikeout","Alec Burleson strikes out on a foul tip.",0,1,4,65,"top",9,"2024-05-01T19:28:56.269Z","2024-05-01T19:31:48.008Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,676475,"Alec Burleson","/api/v1/people/676475","L","Left",656638,"Alex Lange","/api/v1/people/656638","R","Right","vs_RHP","vs_LHB","Empty",NA,"Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals","Detroit Tigers",NA,NA,"rgba(153, 171, 0, 1.0)","KC","Knuckle Curve",89,81.5,7,2,0.4236,6.4588,28.4471,-31.1343,-0.9558,0.6162,-0.3389,1.6136,4.9784,-129.5645,-3.5254,-2.1657,50.0052,5.3853,-1.6174,1.2,7.2,24,2245,320,NA,NA,NA,NA,NA,NA,FALSE,-34.1,0.5,0.6,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746478,"2024-05-01",2,"2024-05-01T19:29:46.197Z","2024-05-01T19:29:50.514Z",TRUE,"pitch","01e1c8c9-d0e2-4f6b-a3a5-81c4037f1a5f",3,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",1,2,2,NA,NA,3.5068,1.7447,NA,153.33,167.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65","atBat","Strikeout","strikeout","Alec Burleson strikes out on a foul tip.",0,1,4,65,"top",9,"2024-05-01T19:28:56.269Z","2024-05-01T19:31:48.008Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,676475,"Alec Burleson","/api/v1/people/676475","L","Left",656638,"Alex Lange","/api/v1/people/656638","R","Right","vs_RHP","vs_LHB","Empty",NA,"Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals","Detroit Tigers",NA,NA,"rgba(153, 171, 0, 1.0)","KC","Knuckle Curve",88.8,81.5,11,2,0.4236,6.3193,26.8382,-31.2281,-1.1353,0.5586,-0.9531,2.6508,3.2613,-129.2789,-1.2219,-2.0832,50.0027,5.5256,-1.9229,2.4,7.2,24,2240,346,NA,NA,NA,NA,NA,NA,FALSE,-33.7,1,1.3,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746478,"2024-05-01",1,"2024-05-01T19:29:30.955Z","2024-05-01T19:29:34.677Z",TRUE,"pitch","861f1755-5162-41bb-b1f7-bf3ca9fbe09a",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,2,NA,NA,3.5064,1.6157,NA,182.09,152.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65","atBat","Strikeout","strikeout","Alec Burleson strikes out on a foul tip.",0,1,4,65,"top",9,"2024-05-01T19:28:56.269Z","2024-05-01T19:31:48.008Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,676475,"Alec Burleson","/api/v1/people/676475","L","Left",656638,"Alex Lange","/api/v1/people/656638","R","Right","vs_RHP","vs_LHB","Empty",NA,"Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals","Detroit Tigers",NA,NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",89.7,82.7,11,0.91,0.4181,6.4492,26.0829,-30.427,-8.8621,1.0033,-1.7076,3.2056,3.9769,-130.7248,-0.3026,-2.0925,50.0032,5.596,-15.4257,25.2,8.4,24,1676,249,NA,NA,NA,NA,NA,NA,FALSE,-31.8,1.9,15.2,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746478,"2024-05-01",0,"2024-05-01T19:29:06.327Z","2024-05-01T19:29:10.797Z",TRUE,"pitch","f6105fde-a3da-432a-837d-d2dfb6474cd1",1,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,1,2,NA,NA,3.41,1.62,NA,124.1,216.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65","atBat","Strikeout","strikeout","Alec Burleson strikes out on a foul tip.",0,1,4,65,"top",9,"2024-05-01T19:28:56.269Z","2024-05-01T19:31:48.008Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,676475,"Alec Burleson","/api/v1/people/676475","L","Left",656638,"Alex Lange","/api/v1/people/656638","R","Right","vs_RHP","vs_LHB","Empty",NA,"Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals","Detroit Tigers",NA,NA,"rgba(153, 171, 0, 1.0)","KC","Knuckle Curve",88.3,82.8,13,2,0.4226,6.3617,21.8501,-30.06,-1.4534,1.2399,-0.1862,0.823,5.1976,-128.6613,-5.8662,-2.0269,50.0061,5.4072,-2.485,3.6,7.2,24,2207,293,NA,NA,NA,NA,NA,NA,FALSE,-33.1,1.3,1.7,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746478,"2024-05-01",3,"2024-05-01T19:29:58.891Z","2024-05-01T19:30:12.054Z",FALSE,"action",NA,NA,"Batter Timeout.","Batter Timeout",1,4,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,1,2,2,676475,"/api/v1/people/676475",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"batter_timeout",NA,NA,NA,NA,NA,NA,"65","atBat","Strikeout","strikeout","Alec Burleson strikes out on a foul tip.",0,1,4,65,"top",9,"2024-05-01T19:28:56.269Z","2024-05-01T19:31:48.008Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,676475,"Alec Burleson","/api/v1/people/676475","L","Left",656638,"Alex Lange","/api/v1/people/656638","R","Right","vs_RHP","vs_LHB","Empty",NA,"Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals","Detroit Tigers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746478,"2024-05-01",4,"2024-05-01T19:28:38.519Z","2024-05-01T19:28:42.056Z",TRUE,"pitch","507d8dfa-e2d1-477e-b3ec-d69479b482fd",5,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",4,1,2,NA,NA,3.5321,1.6414,NA,103.89,202.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"64","atBat","Walk","walk","Paul Goldschmidt walks.",0,1,4,64,"top",9,"2024-05-01T19:27:13.881Z","2024-05-01T19:28:42.056Z",TRUE,FALSE,FALSE,FALSE,0,4,1,2,502671,"Paul Goldschmidt","/api/v1/people/502671","R","Right",656638,"Alex Lange","/api/v1/people/656638","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals","Detroit Tigers","true",NA,"rgba(153, 171, 0, 1.0)","KC","Knuckle Curve",89,84,14,2,0.4179,6.3138,20.2162,-30.7426,-0.6397,0.8179,0.3439,1.3542,5.9791,-129.742,-4.9664,-1.8811,50.0049,5.5632,-1.1221,0,7.2,24,2252,299,NA,NA,NA,NA,NA,NA,FALSE,-32.9,0.8,0.2,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,502671,"Paul Goldschmidt","/api/v1/people/502671"
