"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.disengagementNum","isBaseRunningPlay","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","isSubstitution","replacedPlayer.id","replacedPlayer.link","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","reviewDetails.isOverturned","reviewDetails.inProgress","reviewDetails.reviewType","reviewDetails.challengeTeamId"
716733,"2023-09-03",1,"2023-09-03T21:07:06.147Z","2023-09-03T21:07:14.341Z",TRUE,"pitch","82f7cb95-5f6a-465a-a7a1-573c343fb6f7",1,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,0,2,NA,NA,3.43,1.65,NA,134.16,156.32,"fly_ball","medium","7",56.25,69.33,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Flyout","field_out","Joshua Palacios flies out to left fielder Richie Palacios.",0,4,6,76,"top",9,"2023-09-03T21:07:03.776Z","2023-09-03T21:07:14.341Z",TRUE,FALSE,FALSE,TRUE,0,0,0,3,641943,"Joshua Palacios","/api/v1/people/641943","L","Left",606149,"Giovanny Gallegos","/api/v1/people/606149","R","Right","vs_RHP","vs_LHB","Empty",NA,"St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Pittsburgh Pirates","St. Louis Cardinals",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",93,84.9,1,0.88,0.4052,5.6792,30.117,-14.4084,-4.1353,9.6071,-0.4501,3.054,4.7489,-135.2702,-6.373,-1.693,50.0003,6.4546,-7.6456,22.8,3.6,24,2257,205,98.6,28,364,NA,NA,NA,TRUE,-15.5,16.2,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716733,"2023-09-03",0,"2023-09-03T21:06:55.505Z","2023-09-03T21:07:06.147Z",FALSE,"action",NA,NA,"Offensive Substitution: Pinch-hitter Joshua Palacios replaces Jason Delay.","Offensive Substitution",4,6,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,2,641943,"/api/v1/people/641943",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"offensive_substitution",NA,"11","Pinch Hitter","Hitter","PH","901","76","atBat","Flyout","field_out","Joshua Palacios flies out to left fielder Richie Palacios.",0,4,6,76,"top",9,"2023-09-03T21:07:03.776Z","2023-09-03T21:07:14.341Z",TRUE,FALSE,FALSE,TRUE,0,0,0,3,641943,"Joshua Palacios","/api/v1/people/641943","L","Left",606149,"Giovanny Gallegos","/api/v1/people/606149","R","Right","vs_RHP","vs_LHB","Empty",NA,"St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Pittsburgh Pirates","St. Louis Cardinals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,641511,"/api/v1/people/641511",TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716733,"2023-09-03",2,"2023-09-03T21:06:31.634Z","2023-09-03T21:06:38.081Z",TRUE,"pitch","5e66adc7-b149-4d63-af18-81936470b7c0",2,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,1,1,NA,NA,3.25,1.58,NA,144.27,182.66,"ground_ball","medium","4",152.62,155.98,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Groundout","field_out","Endy Rodriguez grounds out, second baseman Nolan Gorman to first baseman Alec Burleson.",0,4,6,75,"top",9,"2023-09-03T21:06:13.433Z","2023-09-03T21:06:38.081Z",TRUE,FALSE,FALSE,TRUE,0,0,1,2,682848,"Endy Rodríguez","/api/v1/people/682848","L","Left",606149,"Giovanny Gallegos","/api/v1/people/606149","R","Right","vs_RHP","vs_LHB","Empty",NA,"St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Pittsburgh Pirates","St. Louis Cardinals",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",84.6,79.9,7,0.91,0.4397,5.6266,18.7914,-32.8697,1.3644,-0.4423,-0.7155,2.0784,2.2655,-123.3917,-4.1513,-1.8141,50.0021,6.4784,2.1558,3.6,8.4,24,2415,47,83.7,-22,6,NA,NA,NA,TRUE,-38.6,-1.3,-2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716733,"2023-09-03",1,"2023-09-03T21:06:15.796Z","2023-09-03T21:06:20.056Z",TRUE,"pitch","0b9989c7-9a30-45e9-a813-e2801e06131b",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,1,NA,NA,3.3026,1.6338,NA,102.73,188.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Groundout","field_out","Endy Rodriguez grounds out, second baseman Nolan Gorman to first baseman Alec Burleson.",0,4,6,75,"top",9,"2023-09-03T21:06:13.433Z","2023-09-03T21:06:38.081Z",TRUE,FALSE,FALSE,TRUE,0,0,1,2,682848,"Endy Rodríguez","/api/v1/people/682848","L","Left",606149,"Giovanny Gallegos","/api/v1/people/606149","R","Right","vs_RHP","vs_LHB","Empty",NA,"St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Pittsburgh Pirates","St. Louis Cardinals",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",93.7,87.1,9,0.9,0.3996,5.9204,25.3939,-15.0892,-4.1192,8.9464,0.3744,1.8456,6.7715,-136.2396,-9.387,-1.59,50.0067,6.3418,-7.8706,21.6,3.6,24,2369,203,NA,NA,NA,NA,NA,NA,FALSE,-16.1,14.8,6.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716733,"2023-09-03",0,"2023-09-03T21:06:01.880Z","2023-09-03T21:06:15.796Z",FALSE,"action",NA,NA,"Offensive Substitution: Pinch-hitter Endy Rodriguez replaces Vinny Capra.","Offensive Substitution",4,6,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,1,682848,"/api/v1/people/682848",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"offensive_substitution",NA,"11","Pinch Hitter","Hitter","PH","801","75","atBat","Groundout","field_out","Endy Rodriguez grounds out, second baseman Nolan Gorman to first baseman Alec Burleson.",0,4,6,75,"top",9,"2023-09-03T21:06:13.433Z","2023-09-03T21:06:38.081Z",TRUE,FALSE,FALSE,TRUE,0,0,1,2,682848,"Endy Rodríguez","/api/v1/people/682848","L","Left",606149,"Giovanny Gallegos","/api/v1/people/606149","R","Right","vs_RHP","vs_LHB","Empty",NA,"St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Pittsburgh Pirates","St. Louis Cardinals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,681962,"/api/v1/people/681962",TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716733,"2023-09-03",5,"2023-09-03T21:05:44.017Z","2023-09-03T21:05:50.110Z",TRUE,"pitch","5dc12875-f291-4a15-8f19-3a7927503f28",5,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",2,3,0,NA,NA,3.51,1.63,NA,144.93,142.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Strikeout","strikeout","Jack Suwinski strikes out swinging.",0,4,6,74,"top",9,"2023-09-03T21:04:33.888Z","2023-09-03T21:05:50.110Z",TRUE,FALSE,FALSE,TRUE,14,2,3,1,669261,"Jack Suwinski","/api/v1/people/669261","L","Left",606149,"Giovanny Gallegos","/api/v1/people/606149","R","Right","vs_RHP","vs_LHB","Empty",NA,"St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Pittsburgh Pirates","St. Louis Cardinals",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",93.3,85,1,0.89,0.404,5.7004,30.7826,-14.696,-4.4982,9.3987,-0.7326,3.57,4.06,-135.773,-5.0792,-1.6657,50.0065,6.4942,-8.3681,25.2,3.6,24,2181,206,NA,NA,NA,NA,NA,NA,TRUE,-15.5,16.1,7.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716733,"2023-09-03",4,"2023-09-03T21:05:26.923Z","2023-09-03T21:05:30.101Z",TRUE,"pitch","f5cb17bd-3750-4403-b506-9973ca4a5605",4,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,2,0,NA,NA,3.6193,1.7315,NA,172.4,105.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Strikeout","strikeout","Jack Suwinski strikes out swinging.",0,4,6,74,"top",9,"2023-09-03T21:04:33.888Z","2023-09-03T21:05:50.110Z",TRUE,FALSE,FALSE,TRUE,14,2,3,1,669261,"Jack Suwinski","/api/v1/people/669261","L","Left",606149,"Giovanny Gallegos","/api/v1/people/606149","R","Right","vs_RHP","vs_LHB","Empty",NA,"St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Pittsburgh Pirates","St. Louis Cardinals",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",92.8,85,11,0.87,0.4048,5.6153,28.7349,-16.8997,-4.4113,8.2358,-1.4533,4.9279,2.8327,-135.1593,-1.4902,-1.9403,50.0054,6.67,-8.1842,24,3.6,24,2302,204,NA,NA,NA,NA,NA,NA,FALSE,-16.8,14.8,7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716733,"2023-09-03",3,"2023-09-03T21:05:09.704Z","2023-09-03T21:05:16.137Z",TRUE,"pitch","5a2ddc31-c3b8-4761-b72f-075655e84cfb",3,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,2,0,NA,NA,3.51,1.63,NA,133.8,157.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Strikeout","strikeout","Jack Suwinski strikes out swinging.",0,4,6,74,"top",9,"2023-09-03T21:04:33.888Z","2023-09-03T21:05:50.110Z",TRUE,FALSE,FALSE,TRUE,14,2,3,1,669261,"Jack Suwinski","/api/v1/people/669261","L","Left",606149,"Giovanny Gallegos","/api/v1/people/606149","R","Right","vs_RHP","vs_LHB","Empty",NA,"St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Pittsburgh Pirates","St. Louis Cardinals",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",83.6,78.3,1,0.91,0.446,5.6454,19.7321,-31.1661,1.3567,0.6551,-0.4408,3.0166,2.9266,-121.9295,-2.2346,-1.824,50.0012,6.5855,2.0808,4.8,8.4,24,2352,77,NA,NA,NA,NA,NA,NA,FALSE,-37.4,1,-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716733,"2023-09-03",2,"2023-09-03T21:04:52.463Z","2023-09-03T21:04:57.043Z",TRUE,"pitch","318995c3-a798-4adc-b8d9-5e793b7f940a",2,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,1,0,NA,NA,3.51,1.63,NA,121.73,157.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Strikeout","strikeout","Jack Suwinski strikes out swinging.",0,4,6,74,"top",9,"2023-09-03T21:04:33.888Z","2023-09-03T21:05:50.110Z",TRUE,FALSE,FALSE,TRUE,14,2,3,1,669261,"Jack Suwinski","/api/v1/people/669261","L","Left",606149,"Giovanny Gallegos","/api/v1/people/606149","R","Right","vs_RHP","vs_LHB","Empty",NA,"St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Pittsburgh Pirates","St. Louis Cardinals",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",93,85.2,2,0.88,0.4048,5.8061,29.0617,-14.742,-4.7425,9.3969,-0.1241,3.0029,6.1648,-135.2296,-6.3322,-1.8155,50.0037,6.4064,-8.7985,25.2,3.6,24,2256,206,NA,NA,NA,NA,NA,NA,FALSE,-15.7,15.8,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716733,"2023-09-03",1,"2023-09-03T21:04:36.038Z","2023-09-03T21:04:42.851Z",TRUE,"pitch","5ced751f-c849-4418-8fdc-a7fceccc0068",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,0,NA,NA,3.5097,1.7315,NA,148.7,120.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Strikeout","strikeout","Jack Suwinski strikes out swinging.",0,4,6,74,"top",9,"2023-09-03T21:04:33.888Z","2023-09-03T21:05:50.110Z",TRUE,FALSE,FALSE,TRUE,14,2,3,1,669261,"Jack Suwinski","/api/v1/people/669261","L","Left",606149,"Giovanny Gallegos","/api/v1/people/606149","R","Right","vs_RHP","vs_LHB","Empty",NA,"St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Pittsburgh Pirates","St. Louis Cardinals",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",82.2,76.8,11,0.91,0.4534,5.5363,18.9266,-31.0494,3.6,0.7591,-0.8316,4.3859,1.3597,-119.9,0.6691,-1.8707,50.003,6.8318,5.3443,9.6,8.4,24,2239,65,NA,NA,NA,NA,NA,NA,FALSE,-37.9,1.7,-6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
