"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.disengagementNum","isSubstitution","replacedPlayer.id","replacedPlayer.link","base","result.isOut","about.isTopInning","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","reviewDetails.isOverturned","reviewDetails.inProgress","reviewDetails.reviewType","reviewDetails.challengeTeamId"
717810,"2023-06-11",3,"2023-06-12T02:01:46.321Z","2023-06-12T02:01:51.489Z",TRUE,"pitch","3fa1ac6c-06fd-4ea4-ac64-a13f47dc7b58",4,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,3,2,NA,NA,3.19,1.52,NA,79.2,185.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Strikeout","strikeout","Anthony Volpe strikes out swinging.",0,3,2,72,"bottom",10,"2023-06-12T02:00:10.557Z","2023-06-12T02:01:51.489Z",TRUE,FALSE,FALSE,TRUE,14,0,3,3,683011,"Anthony Volpe","/api/v1/people/683011","R","Right",455119,"Chris Martin","/api/v1/people/455119","R","Right","vs_RHP","vs_RHB","Empty",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees","Boston Red Sox","true",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",92.6,85.2,14,0.91,0.407,6.4055,28.413,-23.0855,0.0318,4.9552,0.9916,1.9836,9.846,-134.4278,-6.1723,-2.7188,50.0058,5.9422,0.0575,4.8,4.8,24,2103,199,NA,NA,NA,NA,NA,NA,TRUE,-24.1,7.8,-2.2,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717810,"2023-06-11",2,"2023-06-12T02:01:19.411Z","2023-06-12T02:01:22.941Z",TRUE,"pitch","0ff06ef8-d067-44f8-a21d-518e306644a4",3,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,2,2,NA,NA,3.19,1.52,NA,134.86,143.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Strikeout","strikeout","Anthony Volpe strikes out swinging.",0,3,2,72,"bottom",10,"2023-06-12T02:00:10.557Z","2023-06-12T02:01:51.489Z",TRUE,FALSE,FALSE,TRUE,14,0,3,3,683011,"Anthony Volpe","/api/v1/people/683011","R","Right",455119,"Chris Martin","/api/v1/people/455119","R","Right","vs_RHP","vs_RHB","Empty",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees","Boston Red Sox","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96.7,89,11,0.91,0.3882,6.7134,30.2407,-19.5539,-2.8616,6.2494,-0.4686,3.5469,7.0502,-140.7887,-3.8421,-2.627,50.0017,6.1855,-5.7785,12,3.6,24,2162,209,NA,NA,NA,NA,NA,NA,FALSE,-18.4,10.8,3.8,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717810,"2023-06-11",1,"2023-06-12T02:00:54.060Z","2023-06-12T02:00:57.807Z",TRUE,"pitch","f5981eaf-f2ac-41c3-b7d7-fa332a3022d0",2,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,2,2,NA,NA,3.1287,1.6203,NA,102.1,161.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Strikeout","strikeout","Anthony Volpe strikes out swinging.",0,3,2,72,"bottom",10,"2023-06-12T02:00:10.557Z","2023-06-12T02:01:51.489Z",TRUE,FALSE,FALSE,TRUE,14,0,3,3,683011,"Anthony Volpe","/api/v1/people/683011","R","Right",455119,"Chris Martin","/api/v1/people/455119","R","Right","vs_RHP","vs_RHB","Empty",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees","Boston Red Sox","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",95.2,86.8,3,0.94,0.3969,6.4677,31.5864,-22.2949,-8.9616,5.1252,0.391,2.8553,11.5085,-138.1531,-4.5624,-2.6698,50.0018,6.0321,-17.2734,32.4,6,24,2075,208,NA,NA,NA,NA,NA,NA,FALSE,-22,8.4,13.8,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717810,"2023-06-11",0,"2023-06-12T02:00:33.243Z","2023-06-12T02:00:37.018Z",TRUE,"pitch","eefedb6c-5efb-498c-a50c-95d882cd01ca",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,2,NA,NA,3.0759,1.5939,NA,144.69,174.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Strikeout","strikeout","Anthony Volpe strikes out swinging.",0,3,2,72,"bottom",10,"2023-06-12T02:00:10.557Z","2023-06-12T02:01:51.489Z",TRUE,FALSE,FALSE,TRUE,14,0,3,3,683011,"Anthony Volpe","/api/v1/people/683011","R","Right",455119,"Chris Martin","/api/v1/people/455119","R","Right","vs_RHP","vs_RHB","Empty",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees","Boston Red Sox","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",95,86.8,4,0.94,0.397,6.563,31.2106,-23.2768,-8.6603,4.6181,-0.7264,2.3819,8.6985,-138.0627,-5.2263,-2.7952,50.0045,5.8695,-16.6929,31.2,6,24,1973,211,NA,NA,NA,NA,NA,NA,FALSE,-23,7.4,13.8,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717810,"2023-06-11",5,"2023-06-12T02:00:02.956Z","2023-06-12T02:00:07.740Z",TRUE,"pitch","99df1fcc-ecd8-4514-8e2d-56734e25a001",5,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,3,1,NA,NA,2.95,1.34,NA,90.4,157.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Strikeout","strikeout","Jose Trevino strikes out swinging.",0,3,2,71,"bottom",10,"2023-06-12T01:57:55.418Z","2023-06-12T02:00:07.740Z",TRUE,FALSE,FALSE,TRUE,14,1,3,2,624431,"Jose Trevino","/api/v1/people/624431","R","Right",455119,"Chris Martin","/api/v1/people/455119","R","Right","vs_RHP","vs_RHB","RISP",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees","Boston Red Sox",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96.8,88.6,3,2,0.3894,6.5034,31.4391,-15.5587,-3.7317,8.2853,0.6978,3.0141,10.0539,-140.5939,-5.8532,-2.4372,50.0003,6.1302,-7.4828,18,3.6,24,2087,209,NA,NA,NA,NA,NA,NA,TRUE,-15.4,13.9,4.7,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,518934,"DJ LeMahieu","/api/v1/people/518934",NA,NA,NA,NA,NA,NA,NA
717810,"2023-06-11",4,"2023-06-12T01:59:36.480Z","2023-06-12T01:59:39.609Z",TRUE,"pitch","ac8c4214-28d8-4671-bbd3-5466f3c6d00b",4,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,2,1,NA,NA,2.95,1.34,NA,199.52,158.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Strikeout","strikeout","Jose Trevino strikes out swinging.",0,3,2,71,"bottom",10,"2023-06-12T01:57:55.418Z","2023-06-12T02:00:07.740Z",TRUE,FALSE,FALSE,TRUE,14,1,3,2,624431,"Jose Trevino","/api/v1/people/624431","R","Right",455119,"Chris Martin","/api/v1/people/455119","R","Right","vs_RHP","vs_RHB","RISP",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees","Boston Red Sox",NA,NA,"rgba(119, 0, 152, 1.0)","FS","Splitter",87.2,80.7,11,0.85,0.4299,6.5766,24.1997,-32.7082,-3.915,-0.3218,-2.1648,2.9688,3.173,-127.0478,-1.4312,-2.9167,50.0043,6.1211,-6.4486,9.6,8.4,24,1138,231,NA,NA,NA,NA,NA,NA,FALSE,-36.4,-0.7,6.5,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717810,"2023-06-11",3,"2023-06-12T01:59:11.887Z","2023-06-12T01:59:15.344Z",TRUE,"pitch","adc9e4f7-23f0-402f-bb7c-526087d91c2a",3,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,2,1,NA,NA,2.95,1.34,NA,175.53,148.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Strikeout","strikeout","Jose Trevino strikes out swinging.",0,3,2,71,"bottom",10,"2023-06-12T01:57:55.418Z","2023-06-12T02:00:07.740Z",TRUE,FALSE,FALSE,TRUE,14,1,3,2,624431,"Jose Trevino","/api/v1/people/624431","R","Right",455119,"Chris Martin","/api/v1/people/455119","R","Right","vs_RHP","vs_RHB","RISP",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees","Boston Red Sox",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",94,85.7,11,0.93,0.4012,6.3762,30.8605,-22.7537,-8.8475,4.996,-1.5354,3.3456,7.0061,-136.672,-2.8669,-2.9859,50.0063,5.9755,-16.6972,32.4,6,24,2053,210,NA,NA,NA,NA,NA,NA,FALSE,-22.4,8.6,14.5,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717810,"2023-06-11",2,"2023-06-12T01:58:50.588Z","2023-06-12T01:58:54.273Z",TRUE,"pitch","84f62e92-0ae2-44b1-a73e-4187c2ea2acb",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,1,NA,NA,2.9503,1.357,NA,59.35,187.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Strikeout","strikeout","Jose Trevino strikes out swinging.",0,3,2,71,"bottom",10,"2023-06-12T01:57:55.418Z","2023-06-12T02:00:07.740Z",TRUE,FALSE,FALSE,TRUE,14,1,3,2,624431,"Jose Trevino","/api/v1/people/624431","R","Right",455119,"Chris Martin","/api/v1/people/455119","R","Right","vs_RHP","vs_RHB","RISP",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees","Boston Red Sox",NA,NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",91.9,85.7,14,0.9,0.408,6.4541,24.3263,-25.2063,0.2914,3.8012,1.5125,1.8903,11.2772,-133.4193,-5.8044,-2.7781,50.0002,5.8715,0.5333,4.8,6,24,2087,195,NA,NA,NA,NA,NA,NA,FALSE,-26.2,6,-2.5,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717810,"2023-06-11",0,"2023-06-12T01:58:20.334Z","2023-06-12T01:58:23.669Z",TRUE,"pitch","ca25841b-01a5-4a76-bea7-7d3214b3221b",1,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,1,1,NA,NA,2.95,1.34,NA,154.74,144.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Strikeout","strikeout","Jose Trevino strikes out swinging.",0,3,2,71,"bottom",10,"2023-06-12T01:57:55.418Z","2023-06-12T02:00:07.740Z",TRUE,FALSE,FALSE,TRUE,14,1,3,2,624431,"Jose Trevino","/api/v1/people/624431","R","Right",455119,"Chris Martin","/api/v1/people/455119","R","Right","vs_RHP","vs_RHB","RISP",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees","Boston Red Sox",NA,NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",92.1,85.8,11,0.89,0.4052,6.752,24.3162,-28.1085,0.1797,2.187,-0.99,3.4982,5.34,-134.2743,-1.9132,-3.0133,50.0008,6.1861,0.3336,2.4,6,24,2103,183,NA,NA,NA,NA,NA,NA,FALSE,-27.8,3.8,-1.3,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717810,"2023-06-11",1,"2023-06-12T01:58:31.178Z","2023-06-12T01:58:50.588Z",FALSE,"action",NA,NA,"Batter Timeout.","Batter Timeout",3,2,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,1,1,624431,"/api/v1/people/624431",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"batter_timeout",NA,NA,NA,NA,NA,NA,"71","atBat","Strikeout","strikeout","Jose Trevino strikes out swinging.",0,3,2,71,"bottom",10,"2023-06-12T01:57:55.418Z","2023-06-12T02:00:07.740Z",TRUE,FALSE,FALSE,TRUE,14,1,3,2,624431,"Jose Trevino","/api/v1/people/624431","R","Right",455119,"Chris Martin","/api/v1/people/455119","R","Right","vs_RHP","vs_RHB","RISP",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees","Boston Red Sox",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
