"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isSubstitution","isBaseRunningPlay","replacedPlayer.id","replacedPlayer.link","details.disengagementNum","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link"
745191,"2024-04-22",2,"2024-04-23T02:17:11.238Z","2024-04-23T02:17:35.807Z",TRUE,"pitch","94c86d4e-a751-4205-9db9-98957760dd8a",1,"In play, run(s)",NA,NA,NA,NA,FALSE,"E","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"E","In play, run(s)",0,0,0,NA,NA,3.48,1.63,NA,123.12,172.1,"fly_ball","medium","89",209.53,47.7,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Home Run","home_run","Nolan Gorman homers (4) on a fly ball to right center field. Paul Goldschmidt scores.",2,3,5,72,"bottom",9,"2024-04-23T02:17:08.927Z","2024-04-23T02:17:35.807Z",TRUE,TRUE,FALSE,FALSE,75,0,0,0,669357,"Nolan Gorman","/api/v1/people/669357","L","Left",669459,"Kyle Nelson","/api/v1/people/669459","L","Left","vs_LHP","vs_LHB","Empty",NA,"St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals","Arizona Diamondbacks",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",83.8,77.1,5,0.9,0.4485,5.9348,23.6724,-27.6111,-0.9982,3.0177,-0.1605,2.4697,-1.5683,-122.0571,-2.1809,0.6196,50.0007,5.7486,-1.5082,3.6,7.2,24,2632,219,108.2,31,425,NA,NA,NA,FALSE,-33.6,5.2,2.2,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745191,"2024-04-22",0,"2024-04-23T02:15:05.678Z","2024-04-23T02:15:46.281Z",FALSE,"action",NA,NA,"Mound Visit.","Mound Visit",3,3,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mound_visit",NA,NA,NA,NA,NA,NA,"72","atBat","Home Run","home_run","Nolan Gorman homers (4) on a fly ball to right center field. Paul Goldschmidt scores.",2,3,5,72,"bottom",9,"2024-04-23T02:17:08.927Z","2024-04-23T02:17:35.807Z",TRUE,TRUE,FALSE,FALSE,75,0,0,0,669357,"Nolan Gorman","/api/v1/people/669357","L","Left",669459,"Kyle Nelson","/api/v1/people/669459","L","Left","vs_LHP","vs_LHB","Empty",NA,"St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals","Arizona Diamondbacks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745191,"2024-04-22",1,"2024-04-23T02:15:46.281Z","2024-04-23T02:17:11.238Z",FALSE,"action",NA,NA,"Pitching Change: Kyle Nelson replaces Ryan Thompson.","Pitching Substitution",3,3,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,669459,"/api/v1/people/669459",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pitching_substitution",NA,"1","Pitcher","Pitcher","P",NA,"72","atBat","Home Run","home_run","Nolan Gorman homers (4) on a fly ball to right center field. Paul Goldschmidt scores.",2,3,5,72,"bottom",9,"2024-04-23T02:17:08.927Z","2024-04-23T02:17:35.807Z",TRUE,TRUE,FALSE,FALSE,75,0,0,0,669357,"Nolan Gorman","/api/v1/people/669357","L","Left",669459,"Kyle Nelson","/api/v1/people/669459","L","Left","vs_LHP","vs_LHB","Empty",NA,"St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals","Arizona Diamondbacks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,TRUE,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745191,"2024-04-22",1,"2024-04-23T02:14:34.485Z","2024-04-23T02:14:49.743Z",TRUE,"pitch","eca7822d-3fc1-4c1c-b980-7e392185bee0",2,"In play, no out",NA,NA,NA,NA,FALSE,"D","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"D","In play, no out",1,0,0,NA,NA,3.51,1.61,NA,104.41,202.44,"ground_ball","medium","5",113.02,170.23,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Single","single","Paul Goldschmidt singles on a ground ball to third baseman Eugenio Suárez.",0,3,3,71,"bottom",9,"2024-04-23T02:14:12.697Z","2024-04-23T02:14:49.743Z",TRUE,FALSE,FALSE,FALSE,33,1,0,0,502671,"Paul Goldschmidt","/api/v1/people/502671","R","Right",657044,"Ryan Thompson","/api/v1/people/657044","R","Right","vs_RHP","vs_RHB","Men_On",NA,"St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals","Arizona Diamondbacks","true",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",89.7,81.9,14,0.91,0.4215,6.6844,27.2661,-37.0139,-10.8678,-2.8329,0.3303,1.3458,12.5693,-129.9536,1.0545,-3.1573,50.0011,3.7468,-18.5849,24,9.6,24,2010,271,77,-54,1,NA,NA,NA,FALSE,-38.9,-4.6,16.9,NA,NA,NA,NA,NA,FALSE,FALSE,502671,"Paul Goldschmidt","/api/v1/people/502671",NA,NA,NA,NA,NA,NA
745191,"2024-04-22",0,"2024-04-23T02:14:21.155Z","2024-04-23T02:14:24.825Z",TRUE,"pitch","4c0a91e2-e817-47ae-a72c-d7941e36bf29",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,0,NA,NA,3.4484,1.5177,NA,86.16,195.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Single","single","Paul Goldschmidt singles on a ground ball to third baseman Eugenio Suárez.",0,3,3,71,"bottom",9,"2024-04-23T02:14:12.697Z","2024-04-23T02:14:49.743Z",TRUE,FALSE,FALSE,FALSE,33,1,0,0,502671,"Paul Goldschmidt","/api/v1/people/502671","R","Right",657044,"Ryan Thompson","/api/v1/people/657044","R","Right","vs_RHP","vs_RHB","Men_On",NA,"St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals","Arizona Diamondbacks","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",91.4,82.9,9,0.9,0.415,6.4427,30.0983,-37.6109,-11.0807,-3.0849,0.8092,1.6023,13.8262,-132.3264,1.2299,-3.0613,50.0039,3.9017,-19.513,24,9.6,24,2012,270,NA,NA,NA,NA,NA,NA,FALSE,-38.3,-5,16.8,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745191,"2024-04-22",4,"2024-04-23T02:11:59.912Z","2024-04-23T02:12:08.881Z",TRUE,"pitch","d6276e24-23c0-4884-9881-1a1144625d19",4,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",2,1,2,NA,NA,3.44,1.55,NA,130.27,167.53,"popup","medium","4",162.77,150.39,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Pop Out","field_out","Christian Walker pops out to second baseman Nolan Gorman.",0,3,3,70,"top",9,"2024-04-23T02:10:12.964Z","2024-04-23T02:12:08.881Z",TRUE,FALSE,FALSE,TRUE,0,2,1,3,572233,"Christian Walker","/api/v1/people/572233","R","Right",664854,"Ryan Helsley","/api/v1/people/664854","R","Right","vs_RHP","vs_RHB","Empty",NA,"St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks","St. Louis Cardinals",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",88.9,82.4,4,2,0.4212,6.6262,24.8318,-29.3361,1.5286,1.6491,-0.3482,2.6388,-0.4375,-129.6006,-3.1373,-0.3767,50.0003,6.0847,2.6229,4.8,7.2,24,2382,146,67.4,59,145,NA,NA,NA,TRUE,-31.7,2.5,-2.6,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745191,"2024-04-22",2,"2024-04-23T02:11:13.059Z","2024-04-23T02:11:16.059Z",TRUE,"pitch","5cc6b44b-3abf-4dbf-ab1e-cff7c5986335",3,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",2,1,2,NA,NA,3.44,1.55,NA,95.01,156.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Pop Out","field_out","Christian Walker pops out to second baseman Nolan Gorman.",0,3,3,70,"top",9,"2024-04-23T02:10:12.964Z","2024-04-23T02:12:08.881Z",TRUE,FALSE,FALSE,TRUE,0,2,1,3,572233,"Christian Walker","/api/v1/people/572233","R","Right",664854,"Ryan Helsley","/api/v1/people/664854","R","Right","vs_RHP","vs_RHB","Empty",NA,"St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks","St. Louis Cardinals",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",98.9,89.9,3,0.9,0.3815,6.8559,35.1039,-7.9407,-0.2338,11.6266,0.577,3.041,1.6893,-143.8631,-7.0853,0.0111,50.0051,6.0361,-0.4875,0,2.4,24,2629,191,NA,NA,NA,NA,NA,NA,FALSE,-8.4,19.7,0.1,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745191,"2024-04-22",1,"2024-04-23T02:10:47.804Z","2024-04-23T02:10:51.243Z",TRUE,"pitch","a76597af-e52b-456e-b974-89a14b335323",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,0,2,NA,NA,3.3954,1.5843,NA,75.19,136.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Pop Out","field_out","Christian Walker pops out to second baseman Nolan Gorman.",0,3,3,70,"top",9,"2024-04-23T02:10:12.964Z","2024-04-23T02:12:08.881Z",TRUE,FALSE,FALSE,TRUE,0,2,1,3,572233,"Christian Walker","/api/v1/people/572233","R","Right",664854,"Ryan Helsley","/api/v1/people/664854","R","Right","vs_RHP","vs_RHB","Empty",NA,"St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks","St. Louis Cardinals",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",101.4,92.4,12,0.9,0.3714,6.6,36.01,-10.2198,-0.3499,9.9739,1.097,3.7971,3.6581,-147.6219,-4.7864,-0.1142,50.0019,6.0442,-0.7703,0,2.4,24,2550,196,NA,NA,NA,NA,NA,NA,FALSE,-9.4,17.3,-0.1,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745191,"2024-04-22",0,"2024-04-23T02:10:27.102Z","2024-04-23T02:10:30.621Z",TRUE,"pitch","98478b43-ca3d-4a7c-ae55-72e9cf1f6f05",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,2,NA,NA,3.3963,1.5294,NA,88.43,149.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Pop Out","field_out","Christian Walker pops out to second baseman Nolan Gorman.",0,3,3,70,"top",9,"2024-04-23T02:10:12.964Z","2024-04-23T02:12:08.881Z",TRUE,FALSE,FALSE,TRUE,0,2,1,3,572233,"Christian Walker","/api/v1/people/572233","R","Right",664854,"Ryan Helsley","/api/v1/people/664854","R","Right","vs_RHP","vs_RHB","Empty",NA,"St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks","St. Louis Cardinals",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",100.2,91.4,3,0.89,0.376,6.7018,35.0656,-12.2018,0.1391,9.299,0.7494,3.2939,2.4527,-145.8003,-5.8139,-0.1216,50.0007,6.0537,0.2985,3.6,2.4,24,2549,193,NA,NA,NA,NA,NA,NA,FALSE,-11.5,15.8,-0.7,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745191,"2024-04-22",3,"2024-04-23T02:11:38.776Z","2024-04-23T02:11:43.776Z",FALSE,"stepoff","98fa5285-55a9-4972-beac-3e566f6aa838",NA,"Pitcher Step Off",NA,NA,NA,NA,FALSE,"PSO",NA,NA,NA,NA,NA,NA,2,1,2,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Pop Out","field_out","Christian Walker pops out to second baseman Nolan Gorman.",0,3,3,70,"top",9,"2024-04-23T02:10:12.964Z","2024-04-23T02:12:08.881Z",TRUE,FALSE,FALSE,TRUE,0,2,1,3,572233,"Christian Walker","/api/v1/people/572233","R","Right",664854,"Ryan Helsley","/api/v1/people/664854","R","Right","vs_RHP","vs_RHB","Empty",NA,"St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks","St. Louis Cardinals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,1,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
