"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.disengagementNum","isBaseRunningPlay","isSubstitution","replacedPlayer.id","replacedPlayer.link","reviewDetails.isOverturned","reviewDetails.inProgress","reviewDetails.reviewType","reviewDetails.challengeTeamId","base","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link"
716839,"2023-08-26",2,"2023-08-27T01:58:49.000Z","2023-08-27T01:58:56.540Z",TRUE,"pitch","a8b602e9-779b-4ac1-854e-96a30a7996c4",2,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,1,2,NA,NA,3.2,1.46,NA,119.38,153.57,"fly_ball","medium","9",200.25,92.56,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Flyout","field_out","Donovan Solano flies out to right fielder Adolis Garcia.",0,6,2,73,"bottom",9,"2023-08-27T01:58:23.075Z","2023-08-27T01:58:56.540Z",TRUE,FALSE,FALSE,TRUE,0,0,1,3,456781,"Donovan Solano","/api/v1/people/456781","R","Right",547973,"Aroldis Chapman","/api/v1/people/547973","L","Left","vs_LHP","vs_RHB","Empty",NA,"Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Texas Rangers",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",101,92.2,2,2,0.3727,6.9855,35.3477,-8.395,2.7278,10.8771,-0.0625,3.1561,-1.8834,-147.0311,-7.1389,0.2325,50.0021,6.1158,5.9631,28.8,2.4,24,2484,159,93.3,28,322,NA,NA,NA,TRUE,-8.4,18.5,-4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716839,"2023-08-26",0,"2023-08-27T01:58:29.430Z","2023-08-27T01:58:34.490Z",TRUE,"pitch","f49a9c30-071f-4f6e-9554-ba4d218b7774",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,2,NA,NA,3.1475,1.4655,NA,126.13,179.65,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,"73","atBat","Flyout","field_out","Donovan Solano flies out to right fielder Adolis Garcia.",0,6,2,73,"bottom",9,"2023-08-27T01:58:23.075Z","2023-08-27T01:58:56.540Z",TRUE,FALSE,FALSE,TRUE,0,0,1,3,456781,"Donovan Solano","/api/v1/people/456781","R","Right",547973,"Aroldis Chapman","/api/v1/people/547973","L","Left","vs_LHP","vs_RHB","Empty",NA,"Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Texas Rangers",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",100.9,92,5,2,0.374,7.1206,35.4665,-6.1613,2.0743,11.983,-0.2396,2.1901,-2.0762,-146.5889,-9.9356,0.2092,50.0007,5.9955,4.5024,25.2,1.2,24,2455,153,NA,NA,NA,NA,NA,NA,FALSE,-7.2,19.8,-3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716839,"2023-08-26",1,"2023-08-27T01:58:41.814Z","2023-08-27T01:58:49.000Z",FALSE,"action",NA,NA,"Jordan Luplow advances to 2nd on defensive indifference.","Defensive Indiff",6,2,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,1,2,656669,"/api/v1/people/656669",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"f49a9c30-071f-4f6e-9554-ba4d218b7774","defensive_indiff",NA,NA,NA,NA,NA,NA,"73","atBat","Flyout","field_out","Donovan Solano flies out to right fielder Adolis Garcia.",0,6,2,73,"bottom",9,"2023-08-27T01:58:23.075Z","2023-08-27T01:58:56.540Z",TRUE,FALSE,FALSE,TRUE,0,0,1,3,456781,"Donovan Solano","/api/v1/people/456781","R","Right",547973,"Aroldis Chapman","/api/v1/people/547973","L","Left","vs_LHP","vs_RHB","Empty",NA,"Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Texas Rangers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716839,"2023-08-26",3,"2023-08-27T01:58:00.048Z","2023-08-27T01:58:03.647Z",TRUE,"pitch","dd82924e-2a18-4e04-a1a2-c7e3960a9b3b",4,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,3,1,NA,NA,3.4,1.59,NA,114.68,164.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Strikeout","strikeout","Royce Lewis strikes out swinging.",0,6,2,72,"bottom",9,"2023-08-27T01:56:42.965Z","2023-08-27T01:58:03.647Z",TRUE,FALSE,FALSE,TRUE,14,1,3,2,668904,"Royce Lewis","/api/v1/people/668904","R","Right",547973,"Aroldis Chapman","/api/v1/people/547973","L","Left","vs_LHP","vs_RHB","Men_On",NA,"Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Texas Rangers","true",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",101.3,92,5,2,0.3729,7.1038,37.0355,-9.4181,7.7563,10.4264,0.061,2.7468,-3.2346,-147.2607,-7.5995,0.1699,50.0037,5.928,16.9275,55.2,3.6,24,2460,162,NA,NA,NA,NA,NA,NA,TRUE,-9.4,17.4,-13.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,656669,"Jordan Luplow","/api/v1/people/656669",NA,NA,NA,NA,NA,NA
716839,"2023-08-26",2,"2023-08-27T01:57:38.650Z","2023-08-27T01:57:42.423Z",TRUE,"pitch","02aa6395-8c8e-4ef2-98fd-575822a6a8b6",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,2,1,NA,NA,3.2893,1.5664,NA,136.11,206.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Strikeout","strikeout","Royce Lewis strikes out swinging.",0,6,2,72,"bottom",9,"2023-08-27T01:56:42.965Z","2023-08-27T01:58:03.647Z",TRUE,FALSE,FALSE,TRUE,14,1,3,2,668904,"Royce Lewis","/api/v1/people/668904","R","Right",547973,"Aroldis Chapman","/api/v1/people/547973","L","Left","vs_LHP","vs_RHB","Men_On",NA,"Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Texas Rangers","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",102.1,93.5,13,2,0.3693,7.5002,35.1058,-9.5611,6.68,10.1452,-0.5012,1.1964,-4.2337,-148.2732,-11.924,0.0764,50.0044,5.8259,14.8905,48,3.6,24,2036,132,NA,NA,NA,NA,NA,NA,FALSE,-10.1,16.2,-11.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716839,"2023-08-26",1,"2023-08-27T01:57:16.740Z","2023-08-27T01:57:19.743Z",TRUE,"pitch","92de73ac-2650-4385-b65d-51f9dbbebfbe",2,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,2,1,NA,NA,3.4,1.59,NA,159.44,213.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Strikeout","strikeout","Royce Lewis strikes out swinging.",0,6,2,72,"bottom",9,"2023-08-27T01:56:42.965Z","2023-08-27T01:58:03.647Z",TRUE,FALSE,FALSE,TRUE,14,1,3,2,668904,"Royce Lewis","/api/v1/people/668904","R","Right",547973,"Aroldis Chapman","/api/v1/people/547973","L","Left","vs_LHP","vs_RHB","Men_On",NA,"Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Texas Rangers","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",88.1,81.7,13,2,0.4265,7.1056,25.2362,-29.9842,-6.845,1.3139,-1.1133,0.94,-0.8375,-128.1872,-7.1037,0.1072,50.0062,6.0724,-11.4517,20.4,8.4,24,2337,284,NA,NA,NA,NA,NA,NA,FALSE,-34.1,1.1,12.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716839,"2023-08-26",0,"2023-08-27T01:56:54.823Z","2023-08-27T01:56:58.831Z",TRUE,"pitch","d3f35749-8c31-43f3-9702-1e62068dda15",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,1,NA,NA,3.5223,1.6245,NA,134.47,184.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Strikeout","strikeout","Royce Lewis strikes out swinging.",0,6,2,72,"bottom",9,"2023-08-27T01:56:42.965Z","2023-08-27T01:58:03.647Z",TRUE,FALSE,FALSE,TRUE,14,1,3,2,668904,"Royce Lewis","/api/v1/people/668904","R","Right",547973,"Aroldis Chapman","/api/v1/people/547973","L","Left","vs_LHP","vs_RHB","Men_On",NA,"Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Texas Rangers","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",97.6,89.4,7,2,0.3857,7.1587,32.3381,-9.9927,2.7225,10.8555,-0.4582,2.0155,-2.647,-141.9882,-8.952,0.1321,50.0021,5.8441,5.562,22.8,2.4,24,2415,156,NA,NA,NA,NA,NA,NA,FALSE,-10.7,18,-4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716839,"2023-08-26",4,"2023-08-27T01:56:21.940Z","2023-08-27T01:56:26.806Z",TRUE,"pitch","ce8bb83c-7e36-47cc-9c3c-2b1629d8974a",4,"Ball In Dirt",NA,NA,NA,NA,FALSE,"*B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"*B","Ball In Dirt",4,0,1,NA,NA,3.0346,1.4203,NA,167.12,226.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Walk","walk","Jordan Luplow walks.",0,6,2,71,"bottom",9,"2023-08-27T01:55:25.321Z","2023-08-27T01:56:26.806Z",TRUE,FALSE,FALSE,FALSE,0,4,0,1,656669,"Jordan Luplow","/api/v1/people/656669","R","Right",547973,"Aroldis Chapman","/api/v1/people/547973","L","Left","vs_LHP","vs_RHB","Men_On",NA,"Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Texas Rangers",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",99,90.4,13,2,0.382,7.3179,33.7937,-6.3574,2.7162,12.4017,-1.315,0.4483,-5.2243,-143.5003,-14.0098,0.1778,50.0026,5.7943,5.6545,25.2,2.4,24,2403,156,NA,NA,NA,NA,NA,NA,FALSE,-8.4,19.7,-3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,656669,"Jordan Luplow","/api/v1/people/656669",NA,NA,NA,NA,NA,NA
716839,"2023-08-26",3,"2023-08-27T01:56:03.329Z","2023-08-27T01:56:07.247Z",TRUE,"pitch","4aec69d9-51ca-4221-a8de-449955680b72",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",3,0,1,NA,NA,3.151,1.5364,NA,116.76,120.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Walk","walk","Jordan Luplow walks.",0,6,2,71,"bottom",9,"2023-08-27T01:55:25.321Z","2023-08-27T01:56:26.806Z",TRUE,FALSE,FALSE,FALSE,0,4,0,1,656669,"Jordan Luplow","/api/v1/people/656669","R","Right",547973,"Aroldis Chapman","/api/v1/people/547973","L","Left","vs_LHP","vs_RHB","Men_On",NA,"Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Texas Rangers",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",87.6,79.9,12,2,0.4296,7.1712,26.9297,-19.9933,-2.835,7.4036,0.0063,4.3904,0.5251,-127.6314,-0.6425,0.1659,50.0042,6.2238,-4.6645,13.2,4.8,24,2275,256,NA,NA,NA,NA,NA,NA,FALSE,-22.1,13.4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716839,"2023-08-26",2,"2023-08-27T01:55:42.998Z","2023-08-27T01:55:46.577Z",TRUE,"pitch","8374cbff-2396-4629-999c-b4676a0fba3b",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,0,1,NA,NA,3.2384,1.5655,NA,165.46,222.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Walk","walk","Jordan Luplow walks.",0,6,2,71,"bottom",9,"2023-08-27T01:55:25.321Z","2023-08-27T01:56:26.806Z",TRUE,FALSE,FALSE,FALSE,0,4,0,1,656669,"Jordan Luplow","/api/v1/people/656669","R","Right",547973,"Aroldis Chapman","/api/v1/people/547973","L","Left","vs_LHP","vs_RHB","Men_On",NA,"Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Texas Rangers",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",99.7,91.1,13,2,0.379,7.2286,34.4052,-9.1452,2.9568,10.8884,-1.2714,0.6158,-5.0799,-144.6558,-13.094,0.125,50.0056,5.7671,6.2549,22.8,2.4,24,2225,153,NA,NA,NA,NA,NA,NA,FALSE,-10.6,17.2,-4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
