"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isBaseRunningPlay","isSubstitution","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","details.disengagementNum","replacedPlayer.id","replacedPlayer.link","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link"
717600,"2023-06-27",5,"2023-06-28T01:55:10.977Z","2023-06-28T01:55:18.096Z",TRUE,"pitch","ed4738e5-d5c8-416f-bd55-5f810d27eb9a",5,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",2,2,2,NA,NA,3.5,1.65,NA,135.95,164.82,"ground_ball","medium","3",158.54,161.37,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Groundout","field_out","Carlos Correa grounds out, first baseman Matt Olson to pitcher Ben Heller.",0,2,6,73,"top",9,"2023-06-28T01:53:34.252Z","2023-06-28T01:55:18.096Z",TRUE,FALSE,FALSE,TRUE,0,2,2,3,621043,"Carlos Correa","/api/v1/people/621043","R","Right",621294,"Ben Heller","/api/v1/people/621294","R","Right","vs_RHP","vs_RHB","Empty",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Atlanta Braves",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",95.2,87.6,4,0.9,0.3945,6.3641,28.7576,-26.0614,-10.8777,3.1233,-0.4971,2.7391,8.2246,-138.4538,-2.7336,-2.0819,50.0015,5.4695,-21.2744,36,7.2,24,2116,244,103.9,-22,6,NA,NA,NA,TRUE,-24.7,5.3,18.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717600,"2023-06-27",3,"2023-06-28T01:54:52.384Z","2023-06-28T01:54:56.596Z",TRUE,"pitch","c8549a03-19d5-4447-918f-50824de03828",4,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,2,2,NA,NA,3.5447,1.672,NA,30.5,192.05,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,"73","atBat","Groundout","field_out","Carlos Correa grounds out, first baseman Matt Olson to pitcher Ben Heller.",0,2,6,73,"top",9,"2023-06-28T01:53:34.252Z","2023-06-28T01:55:18.096Z",TRUE,FALSE,FALSE,TRUE,0,2,2,3,621043,"Carlos Correa","/api/v1/people/621043","R","Right",621294,"Ben Heller","/api/v1/people/621294","R","Right","vs_RHP","vs_RHB","Empty",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Atlanta Braves",NA,NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",79.8,73.9,14,0.89,0.472,6.211,21.822,-30.9628,7.3586,0.8837,2.2693,1.7309,8.1088,-116.0692,-1.5465,-2.2258,50.0007,5.3555,10.0314,20.4,9.6,24,2589,49,NA,NA,NA,NA,NA,NA,FALSE,-41.5,1.6,-15.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717600,"2023-06-27",2,"2023-06-28T01:54:29.665Z","2023-06-28T01:54:34.247Z",TRUE,"pitch","9434aca2-21c7-4f13-b818-221797c06d3f",3,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,2,2,NA,NA,3.5,1.65,NA,160.34,150.58,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,"73","atBat","Groundout","field_out","Carlos Correa grounds out, first baseman Matt Olson to pitcher Ben Heller.",0,2,6,73,"top",9,"2023-06-28T01:53:34.252Z","2023-06-28T01:55:18.096Z",TRUE,FALSE,FALSE,TRUE,0,2,2,3,621043,"Carlos Correa","/api/v1/people/621043","R","Right",621294,"Ben Heller","/api/v1/people/621294","R","Right","vs_RHP","vs_RHB","Empty",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Atlanta Braves",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",95,87.5,11,0.9,0.3951,6.1924,28.6409,-28.8697,-9.5338,1.6913,-1.137,3.2667,6.5009,-138.248,-0.9606,-2.2714,50.0009,5.5433,-18.5916,31.2,7.2,24,2108,245,NA,NA,NA,NA,NA,NA,FALSE,-27,3.1,16.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717600,"2023-06-27",1,"2023-06-28T01:54:06.710Z","2023-06-28T01:54:12.959Z",TRUE,"pitch","3c8e8862-b4d2-4934-958a-703dd73b0327",2,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,1,2,NA,NA,3.5,1.65,NA,159.72,168.52,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,"73","atBat","Groundout","field_out","Carlos Correa grounds out, first baseman Matt Olson to pitcher Ben Heller.",0,2,6,73,"top",9,"2023-06-28T01:53:34.252Z","2023-06-28T01:55:18.096Z",TRUE,FALSE,FALSE,TRUE,0,2,2,3,621043,"Carlos Correa","/api/v1/people/621043","R","Right",621294,"Ben Heller","/api/v1/people/621294","R","Right","vs_RHP","vs_RHB","Empty",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Atlanta Braves",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",94.5,86.8,11,0.9,0.3978,6.3461,29.7548,-26.5788,-10.0243,2.9165,-1.1206,2.6024,6.5118,-137.5469,-2.9935,-2.2131,50.0068,5.502,-19.2628,33.6,7.2,24,2108,246,NA,NA,NA,NA,NA,NA,FALSE,-25.7,4.8,16.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717600,"2023-06-27",0,"2023-06-28T01:53:51.178Z","2023-06-28T01:53:55.360Z",TRUE,"pitch","2af953e5-7269-4734-a2a7-f67bad9dcdda",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,2,NA,NA,3.4541,1.6493,NA,68.46,178.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Groundout","field_out","Carlos Correa grounds out, first baseman Matt Olson to pitcher Ben Heller.",0,2,6,73,"top",9,"2023-06-28T01:53:34.252Z","2023-06-28T01:55:18.096Z",TRUE,FALSE,FALSE,TRUE,0,2,2,3,621043,"Carlos Correa","/api/v1/people/621043","R","Right",621294,"Ben Heller","/api/v1/people/621294","R","Right","vs_RHP","vs_RHB","Empty",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Atlanta Braves",NA,NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",91.8,84.7,14,0.91,0.4094,6.4542,26.2644,-19.8006,-3.7001,6.8107,1.2734,2.2235,10.1605,-133.337,-4.7347,-2.0908,50.0013,5.4336,-6.7214,13.2,4.8,24,2265,237,NA,NA,NA,NA,NA,NA,FALSE,-20.8,11.5,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717600,"2023-06-27",4,"2023-06-28T01:55:03.547Z","2023-06-28T01:55:10.977Z",FALSE,"action",NA,NA,"Edouard Julien advances to 2nd on defensive indifference.","Defensive Indiff",2,6,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,2,2,2,666397,"/api/v1/people/666397",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c8549a03-19d5-4447-918f-50824de03828","defensive_indiff",NA,NA,NA,NA,NA,NA,"73","atBat","Groundout","field_out","Carlos Correa grounds out, first baseman Matt Olson to pitcher Ben Heller.",0,2,6,73,"top",9,"2023-06-28T01:53:34.252Z","2023-06-28T01:55:18.096Z",TRUE,FALSE,FALSE,TRUE,0,2,2,3,621043,"Carlos Correa","/api/v1/people/621043","R","Right",621294,"Ben Heller","/api/v1/people/621294","R","Right","vs_RHP","vs_RHB","Empty",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Atlanta Braves",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717600,"2023-06-27",0,"2023-06-28T01:53:18.576Z","2023-06-28T01:53:29.095Z",TRUE,"pitch","74cbbc11-59b1-4bc8-abcb-4b3c6ca5706d",1,"In play, no out",NA,NA,NA,NA,FALSE,"D","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"D","In play, no out",0,0,2,NA,NA,3.39,1.72,NA,141.91,164.09,"line_drive","hard","8",99.08,73.74,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Single","single","Edouard Julien singles on a sharp line drive to center fielder Michael Harris II.",0,2,6,72,"top",9,"2023-06-28T01:52:59.429Z","2023-06-28T01:53:29.095Z",TRUE,FALSE,FALSE,FALSE,33,0,0,2,666397,"Edouard Julien","/api/v1/people/666397","L","Left",621294,"Ben Heller","/api/v1/people/621294","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Atlanta Braves","true",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",94.7,86.9,4,0.9,0.3973,6.253,29.5177,-26.1271,-11.0858,3.1401,-0.6535,2.7662,8.0476,-137.6865,-2.8724,-2.1684,50.0047,5.5839,-21.3654,36,7.2,24,2027,245,101.5,14,252,NA,NA,NA,FALSE,-25.2,5.3,18.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,666397,"Edouard Julien","/api/v1/people/666397",NA,NA,NA,NA,NA,NA
717600,"2023-06-27",8,"2023-06-28T01:52:45.707Z","2023-06-28T01:52:53.448Z",TRUE,"pitch","c202970a-117a-4a83-b236-8f8f28f319a9",7,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",3,2,1,NA,NA,3.46,1.6,NA,120.35,199.89,"line_drive","medium","8",124.57,87.67,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Lineout","field_out","Willi Castro lines out to center fielder Michael Harris II.",0,2,6,71,"top",9,"2023-06-28T01:50:56.398Z","2023-06-28T01:52:53.448Z",TRUE,FALSE,FALSE,TRUE,0,3,2,2,650489,"Willi Castro","/api/v1/people/650489","L","Left",621294,"Ben Heller","/api/v1/people/621294","R","Right","vs_RHP","vs_LHB","Empty",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Atlanta Braves",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",94.8,87.3,13,0.9,0.3967,6.3148,28.9996,-26.5939,-10.3377,2.8853,-0.088,1.4405,9.0646,-137.7761,-5.8429,-2.0686,50.0023,5.3726,-19.9857,33.6,7.2,24,2161,245,78.5,28,280,NA,NA,NA,TRUE,-26.2,4.2,16.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717600,"2023-06-27",7,"2023-06-28T01:52:29.220Z","2023-06-28T01:52:34.171Z",TRUE,"pitch","caf6d394-d58e-40d8-93f7-224495915260",6,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",3,2,1,NA,NA,3.4367,1.6447,NA,61.93,200.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Lineout","field_out","Willi Castro lines out to center fielder Michael Harris II.",0,2,6,71,"top",9,"2023-06-28T01:50:56.398Z","2023-06-28T01:52:53.448Z",TRUE,FALSE,FALSE,TRUE,0,3,2,2,650489,"Willi Castro","/api/v1/people/650489","L","Left",621294,"Ben Heller","/api/v1/people/621294","R","Right","vs_RHP","vs_LHB","Empty",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Atlanta Braves",NA,NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",85.4,79,14,0.9,0.4404,6.5024,22.9512,-28.3536,-8.996,2.4339,1.4447,1.4264,10.8438,-124.0039,-4.2479,-1.8,50.0035,5.506,-14.1228,22.8,8.4,24,1462,250,NA,NA,NA,NA,NA,NA,FALSE,-33.7,3.7,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717600,"2023-06-27",6,"2023-06-28T01:52:14.737Z","2023-06-28T01:52:18.836Z",TRUE,"pitch","f8b31158-dfc5-4201-941b-4c88632d5bce",5,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,2,1,NA,NA,3.482,1.7127,NA,179.91,138.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Lineout","field_out","Willi Castro lines out to center fielder Michael Harris II.",0,2,6,71,"top",9,"2023-06-28T01:50:56.398Z","2023-06-28T01:52:53.448Z",TRUE,FALSE,FALSE,TRUE,0,3,2,2,650489,"Willi Castro","/api/v1/people/650489","L","Left",621294,"Ben Heller","/api/v1/people/621294","R","Right","vs_RHP","vs_LHB","Empty",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Atlanta Braves",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96.7,88.6,11,2,0.3884,6.1852,31.1154,-18.7927,-8.5736,6.6366,-1.6504,3.707,4.7605,-140.8792,-1.808,-2.2457,50.001,5.568,-17.2826,40.8,4.8,24,2285,239,NA,NA,NA,NA,NA,NA,FALSE,-17.3,11.9,14.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
