"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isBaseRunningPlay","details.disengagementNum","isSubstitution","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","replacedPlayer.id","replacedPlayer.link","base","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link"
717144,"2023-08-04",4,"2023-08-04T04:14:30.235Z","2023-08-04T04:14:38.353Z",TRUE,"pitch","846b43ac-ea12-4174-bd56-4b172288c823",5,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",2,3,2,NA,NA,3.3506,1.6564,NA,142.03,193.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Strikeout","strikeout","Hunter Renfroe called out on strikes.",0,5,3,72,"bottom",9,"2023-08-04T04:12:59.255Z","2023-08-04T04:14:38.353Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,592669,"Hunter Renfroe","/api/v1/people/592669","R","Right",662253,"Andrés Muñoz","/api/v1/people/662253","R","Right","vs_RHP","vs_RHB","Empty",NA,"Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels","Seattle Mariners","true",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",88.3,80.8,7,0.9,0.4266,6.4307,27.7724,-28.6771,3.2338,2.0965,-0.6567,1.6908,2.8443,-128.614,-2.3961,-2.1988,50.0035,4.8685,5.3929,12,7.2,24,2416,106,NA,NA,NA,NA,NA,NA,TRUE,-31.7,3.5,-6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717144,"2023-08-04",3,"2023-08-04T04:14:12.768Z","2023-08-04T04:14:15.964Z",TRUE,"pitch","459b9bd3-dd53-4590-9ef7-6bc78a455086",4,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",2,2,2,NA,NA,3.41,1.66,NA,101.72,190.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Strikeout","strikeout","Hunter Renfroe called out on strikes.",0,5,3,72,"bottom",9,"2023-08-04T04:12:59.255Z","2023-08-04T04:14:38.353Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,592669,"Hunter Renfroe","/api/v1/people/592669","R","Right",662253,"Andrés Muñoz","/api/v1/people/662253","R","Right","vs_RHP","vs_RHB","Empty",NA,"Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels","Seattle Mariners","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",88.5,80.9,9,0.86,0.4261,6.6345,27.6629,-22.9924,-1.2647,5.4934,0.4009,1.788,6.7117,-128.7369,-3.1979,-2.08,50.0061,4.8337,-2.1161,2.4,6,24,2415,123,NA,NA,NA,NA,NA,NA,FALSE,-25.7,9.4,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717144,"2023-08-04",2,"2023-08-04T04:13:55.346Z","2023-08-04T04:13:59.853Z",TRUE,"pitch","ced4035d-47a4-4ef6-9cc0-97dec19aab21",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,1,2,NA,NA,3.3473,1.6069,NA,115.59,202.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Strikeout","strikeout","Hunter Renfroe called out on strikes.",0,5,3,72,"bottom",9,"2023-08-04T04:12:59.255Z","2023-08-04T04:14:38.353Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,592669,"Hunter Renfroe","/api/v1/people/592669","R","Right",662253,"Andrés Muñoz","/api/v1/people/662253","R","Right","vs_RHP","vs_RHB","Empty",NA,"Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels","Seattle Mariners","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",98.4,89.9,14,0.91,0.3836,6.5276,33.3338,-28.6668,-10.8522,1.7002,0.0369,1.3257,10.3574,-142.8772,-4.3076,-2.2276,50.0057,4.6574,-22.4109,33.6,7.2,24,2127,229,NA,NA,NA,NA,NA,NA,FALSE,-26,2.3,17.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717144,"2023-08-04",1,"2023-08-04T04:13:24.203Z","2023-08-04T04:13:27.919Z",TRUE,"pitch","1a4253ef-016c-4095-94d1-be37428a7e6e",2,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,1,2,NA,NA,3.41,1.66,NA,117.1,174.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Strikeout","strikeout","Hunter Renfroe called out on strikes.",0,5,3,72,"bottom",9,"2023-08-04T04:12:59.255Z","2023-08-04T04:14:38.353Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,592669,"Hunter Renfroe","/api/v1/people/592669","R","Right",662253,"Andrés Muñoz","/api/v1/people/662253","R","Right","vs_RHP","vs_RHB","Empty",NA,"Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels","Seattle Mariners","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",87,79.8,5,0.9,0.4324,6.544,26.0916,-26.2517,1.85,3.6432,-0.0027,2.3669,4.9713,-126.7093,-1.1368,-2.231,50.0019,4.9206,3.0038,8.4,7.2,24,2233,102,NA,NA,NA,NA,NA,NA,FALSE,-29.5,6.6,-4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717144,"2023-08-04",0,"2023-08-04T04:13:07.831Z","2023-08-04T04:13:11.464Z",TRUE,"pitch","602d2c3e-523d-4767-b166-eb0dee5a0054",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,2,NA,NA,3.5593,1.772,NA,103.6,217.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Strikeout","strikeout","Hunter Renfroe called out on strikes.",0,5,3,72,"bottom",9,"2023-08-04T04:12:59.255Z","2023-08-04T04:14:38.353Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,592669,"Hunter Renfroe","/api/v1/people/592669","R","Right",662253,"Andrés Muñoz","/api/v1/people/662253","R","Right","vs_RHP","vs_RHB","Empty",NA,"Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels","Seattle Mariners","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",88.9,81.3,14,0.88,0.4247,6.5469,28.303,-24.7758,-0.0074,4.3988,0.3516,0.7829,6.596,-129.2358,-5.0683,-2.2387,50.0044,4.6857,-0.0134,2.4,6,24,2274,130,NA,NA,NA,NA,NA,NA,FALSE,-27.8,7,-1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717144,"2023-08-04",5,"2023-08-04T04:12:39.715Z","2023-08-04T04:12:43.745Z",TRUE,"pitch","407c9b07-36f9-4179-a173-201a95303545",5,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,3,1,NA,NA,3.31,1.57,NA,101.08,134.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Strikeout","strikeout","Mickey Moniak strikes out swinging.",0,5,3,71,"bottom",9,"2023-08-04T04:11:15.208Z","2023-08-04T04:12:43.745Z",TRUE,FALSE,FALSE,TRUE,14,1,3,2,666160,"Mickey Moniak","/api/v1/people/666160","L","Left",662253,"Andrés Muñoz","/api/v1/people/662253","R","Right","vs_RHP","vs_LHB","Empty",NA,"Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels","Seattle Mariners",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",97.4,88.6,12,0.89,0.3873,6.3981,33.0696,-16.8814,-5.1616,7.5548,0.4175,3.8443,9.1005,-141.543,-0.012,-2.1723,50.0001,4.9318,-10.4457,26.4,3.6,24,2277,228,NA,NA,NA,NA,NA,NA,TRUE,-15.1,13.9,7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717144,"2023-08-04",4,"2023-08-04T04:12:19.164Z","2023-08-04T04:12:22.623Z",TRUE,"pitch","fa1e0b82-44b1-41d7-b18b-d637411a4b45",4,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,2,1,NA,NA,3.31,1.57,NA,128.4,195.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Strikeout","strikeout","Mickey Moniak strikes out swinging.",0,5,3,71,"bottom",9,"2023-08-04T04:11:15.208Z","2023-08-04T04:12:43.745Z",TRUE,FALSE,FALSE,TRUE,14,1,3,2,666160,"Mickey Moniak","/api/v1/people/666160","L","Left",662253,"Andrés Muñoz","/api/v1/people/662253","R","Right","vs_RHP","vs_LHB","Empty",NA,"Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels","Seattle Mariners",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",88.3,80.4,7,0.89,0.4278,6.5297,28.7362,-26.1344,0.3368,3.6437,-0.299,1.6031,4.5411,-128.4686,-3.0487,-2.1397,50.0024,4.8555,0.5575,3.6,6,24,2234,108,NA,NA,NA,NA,NA,NA,FALSE,-29.3,6.1,-1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717144,"2023-08-04",2,"2023-08-04T04:11:54.661Z","2023-08-04T04:11:59.820Z",TRUE,"pitch","47cb1922-36b8-46cf-8f06-aec9b24411c5",3,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",1,2,1,NA,NA,3.3247,1.606,NA,151.24,170.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Strikeout","strikeout","Mickey Moniak strikes out swinging.",0,5,3,71,"bottom",9,"2023-08-04T04:11:15.208Z","2023-08-04T04:12:43.745Z",TRUE,FALSE,FALSE,TRUE,14,1,3,2,666160,"Mickey Moniak","/api/v1/people/666160","L","Left",662253,"Andrés Muñoz","/api/v1/people/662253","R","Right","vs_RHP","vs_LHB","Empty",NA,"Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels","Seattle Mariners",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",87.5,80,11,0.9,0.4302,6.5514,27.0265,-23.5487,1.8285,5.2575,-0.8981,2.543,2.573,-127.4763,-1.5098,-2.1594,50.0025,5.0081,2.9983,8.4,6,24,2260,100,NA,NA,NA,NA,NA,NA,FALSE,-26.3,9.4,-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717144,"2023-08-04",1,"2023-08-04T04:11:37.737Z","2023-08-04T04:11:40.799Z",TRUE,"pitch","4187a6ea-82d2-4126-a003-f78b01f4723e",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,1,NA,NA,3.3274,1.5871,NA,166.16,193.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Strikeout","strikeout","Mickey Moniak strikes out swinging.",0,5,3,71,"bottom",9,"2023-08-04T04:11:15.208Z","2023-08-04T04:12:43.745Z",TRUE,FALSE,FALSE,TRUE,14,1,3,2,666160,"Mickey Moniak","/api/v1/people/666160","L","Left",662253,"Andrés Muñoz","/api/v1/people/662253","R","Right","vs_RHP","vs_LHB","Empty",NA,"Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels","Seattle Mariners",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",87,79.3,13,0.9,0.4338,6.5149,27.7301,-25.3515,2.1043,4.2348,-1.2898,1.6761,1.7978,-126.625,-2.8068,-2.2843,50.0031,4.8441,3.3904,8.4,7.2,24,2194,97,NA,NA,NA,NA,NA,NA,FALSE,-29.2,7.2,-4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717144,"2023-08-04",0,"2023-08-04T04:11:22.180Z","2023-08-04T04:11:25.959Z",TRUE,"pitch","fdf27d3c-1c20-4f82-b1ea-c63c0a2ae733",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,1,NA,NA,3.3058,1.5871,NA,106.02,163.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Strikeout","strikeout","Mickey Moniak strikes out swinging.",0,5,3,71,"bottom",9,"2023-08-04T04:11:15.208Z","2023-08-04T04:12:43.745Z",TRUE,FALSE,FALSE,TRUE,14,1,3,2,666160,"Mickey Moniak","/api/v1/people/666160","L","Left",662253,"Andrés Muñoz","/api/v1/people/662253","R","Right","vs_RHP","vs_LHB","Empty",NA,"Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels","Seattle Mariners",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",88.1,80.7,3,0.89,0.4273,6.6827,26.371,-27.2518,0.6838,2.9598,0.2881,2.8049,6.0402,-128.1687,0.1029,-2.1876,50.0057,4.8916,1.137,4.8,7.2,24,2671,100,NA,NA,NA,NA,NA,NA,FALSE,-29.6,5.6,-2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
