"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.disengagementNum","isSubstitution","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","replacedPlayer.id","replacedPlayer.link","isBaseRunningPlay","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link"
745435,"2024-03-30",3,"2024-03-30T04:06:54.009Z","2024-03-30T04:07:01.835Z",TRUE,"pitch","8376ed66-644d-4d5e-a2ac-0aaaee84083e",4,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,2,2,NA,NA,3.42,1.6,NA,114.18,175.16,"ground_ball","medium","6",118.81,152.03,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Groundout","field_out","Luis Campusano grounds out, shortstop Nick Ahmed to first baseman Wilmer Flores.",0,8,3,75,"bottom",9,"2024-03-30T04:06:06.529Z","2024-03-30T04:07:01.835Z",TRUE,FALSE,FALSE,TRUE,0,1,2,3,669134,"Luis Campusano","/api/v1/people/669134","R","Right",676254,"Ryan Walker","/api/v1/people/676254","R","Right","vs_RHP","vs_RHB","Empty",NA,"San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres","San Francisco Giants","true",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",93.9,85.5,5,0.9,0.4029,5.8984,31.0283,-27.2067,-11.3793,2.6581,0.074,2.3564,12.6358,-136.1672,-2.5747,-3.1571,50.0062,5.2047,-21.2877,33.6,7.2,24,2250,237,63.8,-2,29,NA,NA,NA,TRUE,-26.9,4.4,17.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745435,"2024-03-30",2,"2024-03-30T04:06:36.514Z","2024-03-30T04:06:41.257Z",TRUE,"pitch","b0d7dbb3-8aa2-4eb0-810d-95a90582b094",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,2,2,NA,NA,3.1383,1.5163,NA,-16.95,215.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Groundout","field_out","Luis Campusano grounds out, shortstop Nick Ahmed to first baseman Wilmer Flores.",0,8,3,75,"bottom",9,"2024-03-30T04:06:06.529Z","2024-03-30T04:07:01.835Z",TRUE,FALSE,FALSE,TRUE,0,1,2,3,669134,"Luis Campusano","/api/v1/people/669134","R","Right",676254,"Ryan Walker","/api/v1/people/676254","R","Right","vs_RHP","vs_RHB","Empty",NA,"San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres","San Francisco Giants","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",85.8,79.3,14,0.87,0.4417,6.0966,25.1117,-28.2504,3.6943,2.5165,3.5141,0.8571,14.9485,-124.0622,-4.6285,-3.0719,50.0003,5.1049,5.7476,15.6,8.4,24,2712,76,NA,NA,NA,NA,NA,NA,FALSE,-34.1,3.6,-10.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745435,"2024-03-30",1,"2024-03-30T04:06:19.967Z","2024-03-30T04:06:23.437Z",TRUE,"pitch","a1925d21-0a54-4c6f-ba2e-8dde6b1fcc6b",2,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,2,2,NA,NA,3.42,1.6,NA,120.13,209.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Groundout","field_out","Luis Campusano grounds out, shortstop Nick Ahmed to first baseman Wilmer Flores.",0,8,3,75,"bottom",9,"2024-03-30T04:06:06.529Z","2024-03-30T04:07:01.835Z",TRUE,FALSE,FALSE,TRUE,0,1,2,3,669134,"Luis Campusano","/api/v1/people/669134","R","Right",676254,"Ryan Walker","/api/v1/people/676254","R","Right","vs_RHP","vs_RHB","Empty",NA,"San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres","San Francisco Giants","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",93.5,85.6,13,0.89,0.4041,5.8403,30.0534,-27.7501,-10.1538,2.377,-0.0821,1.0918,12.1175,-135.6243,-5.421,-3.2917,50.0035,5.0556,-18.8911,30,7.2,24,2294,235,NA,NA,NA,NA,NA,NA,FALSE,-28.3,3.2,15.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745435,"2024-03-30",0,"2024-03-30T04:06:06.529Z","2024-03-30T04:06:10.209Z",TRUE,"pitch","5332a892-1283-4b6b-8db3-6d6e8c154b7c",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,2,NA,NA,3.5085,1.6879,NA,123.91,168.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Groundout","field_out","Luis Campusano grounds out, shortstop Nick Ahmed to first baseman Wilmer Flores.",0,8,3,75,"bottom",9,"2024-03-30T04:06:06.529Z","2024-03-30T04:07:01.835Z",TRUE,FALSE,FALSE,TRUE,0,1,2,3,669134,"Luis Campusano","/api/v1/people/669134","R","Right",676254,"Ryan Walker","/api/v1/people/676254","R","Right","vs_RHP","vs_RHB","Empty",NA,"San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres","San Francisco Giants","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",93.5,85.3,5,0.9,0.4041,5.7673,30.3702,-29.1841,-10.6856,1.6082,-0.1812,2.6025,12.0445,-135.6808,-1.5335,-3.2948,50.0029,5.2134,-19.8741,30,7.2,24,2282,227,NA,NA,NA,NA,NA,NA,FALSE,-28.8,2.8,16.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745435,"2024-03-30",5,"2024-03-30T04:05:30.816Z","2024-03-30T04:05:39.609Z",TRUE,"pitch","c3d68347-c76a-4d0f-badc-4b1bd5fc7488",5,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",2,2,0,NA,NA,3.29,1.61,NA,170.45,178.66,"ground_ball","medium","5",103.06,170.2,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Grounded Into DP","grounded_into_double_play","Jurickson Profar grounds into a double play, third baseman Matt Chapman to shortstop Nick Ahmed to first baseman Wilmer Flores. Ha-Seong Kim out at 2nd. Jurickson Profar out at 1st.",0,8,3,74,"bottom",9,"2024-03-30T04:04:05.501Z","2024-03-30T04:05:39.609Z",TRUE,FALSE,FALSE,TRUE,24,2,2,2,595777,"Jurickson Profar","/api/v1/people/595777","L","Left",676254,"Ryan Walker","/api/v1/people/676254","R","Right","vs_RHP","vs_LHB","Empty",NA,"San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres","San Francisco Giants",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",92.1,83.6,13,0.89,0.4107,5.9859,31.0359,-27.4091,-11.323,2.6536,-1.4022,2.2266,9.3905,-133.7742,-2.3137,-3.5009,50.0065,5.0839,-20.3609,33.6,7.2,24,2133,237,91.1,0,47,NA,NA,NA,TRUE,-28.1,4.4,18.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745435,"2024-03-30",4,"2024-03-30T04:05:15.467Z","2024-03-30T04:05:19.276Z",TRUE,"pitch","17f5116b-142f-4301-a695-4e3c8475387d",4,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,2,0,NA,NA,3.4234,1.6885,NA,178.52,189.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Grounded Into DP","grounded_into_double_play","Jurickson Profar grounds into a double play, third baseman Matt Chapman to shortstop Nick Ahmed to first baseman Wilmer Flores. Ha-Seong Kim out at 2nd. Jurickson Profar out at 1st.",0,8,3,74,"bottom",9,"2024-03-30T04:04:05.501Z","2024-03-30T04:05:39.609Z",TRUE,FALSE,FALSE,TRUE,24,2,2,2,595777,"Jurickson Profar","/api/v1/people/595777","L","Left",676254,"Ryan Walker","/api/v1/people/676254","R","Right","vs_RHP","vs_LHB","Empty",NA,"San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres","San Francisco Giants",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",92.7,83.9,13,0.89,0.4088,5.7452,32.0905,-22.8189,-11.5014,5.1576,-1.6139,1.8377,8.9222,-134.5374,-4.2155,-3.4967,50.0014,5.0637,-20.8578,38.4,7.2,24,2350,240,NA,NA,NA,NA,NA,NA,FALSE,-23.8,8.5,18.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745435,"2024-03-30",2,"2024-03-30T04:04:42.085Z","2024-03-30T04:04:46.997Z",TRUE,"pitch","293c85c3-f6b1-4b36-b0c2-4e98680584e4",3,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",1,2,0,NA,NA,3.1921,1.596,NA,94.21,161.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Grounded Into DP","grounded_into_double_play","Jurickson Profar grounds into a double play, third baseman Matt Chapman to shortstop Nick Ahmed to first baseman Wilmer Flores. Ha-Seong Kim out at 2nd. Jurickson Profar out at 1st.",0,8,3,74,"bottom",9,"2024-03-30T04:04:05.501Z","2024-03-30T04:05:39.609Z",TRUE,FALSE,FALSE,TRUE,24,2,2,2,595777,"Jurickson Profar","/api/v1/people/595777","L","Left",676254,"Ryan Walker","/api/v1/people/676254","R","Right","vs_RHP","vs_LHB","Empty",NA,"San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres","San Francisco Giants",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",84.3,77.5,3,0.87,0.447,5.9289,23.825,-26.072,2.6423,4.01,0.5978,2.8633,9.1416,-122.4496,-0.2674,-3.5245,50.0003,5.2015,4.0176,12,7.2,24,2542,83,NA,NA,NA,NA,NA,NA,FALSE,-31.1,7.4,-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745435,"2024-03-30",1,"2024-03-30T04:04:25.763Z","2024-03-30T04:04:29.470Z",TRUE,"pitch","d37cab48-06e6-49b8-a7c0-4ab7a714d521",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,0,NA,NA,3.4391,1.7321,NA,195.62,179.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Grounded Into DP","grounded_into_double_play","Jurickson Profar grounds into a double play, third baseman Matt Chapman to shortstop Nick Ahmed to first baseman Wilmer Flores. Ha-Seong Kim out at 2nd. Jurickson Profar out at 1st.",0,8,3,74,"bottom",9,"2024-03-30T04:04:05.501Z","2024-03-30T04:05:39.609Z",TRUE,FALSE,FALSE,TRUE,24,2,2,2,595777,"Jurickson Profar","/api/v1/people/595777","L","Left",676254,"Ryan Walker","/api/v1/people/676254","R","Right","vs_RHP","vs_LHB","Empty",NA,"San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres","San Francisco Giants",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",92,83.8,13,0.87,0.4105,5.7572,30.2123,-28.9511,-10.3198,1.7887,-2.0625,2.2015,7.4861,-133.6987,-2.14,-3.5653,50.0019,5.1007,-18.5857,30,7.2,24,2136,237,NA,NA,NA,NA,NA,NA,FALSE,-29.5,3,16.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745435,"2024-03-30",0,"2024-03-30T04:04:10.728Z","2024-03-30T04:04:14.692Z",TRUE,"pitch","8071a304-f293-4580-9be4-a5b6e4a107d8",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,0,NA,NA,3.4125,1.7332,NA,124.6,184.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Grounded Into DP","grounded_into_double_play","Jurickson Profar grounds into a double play, third baseman Matt Chapman to shortstop Nick Ahmed to first baseman Wilmer Flores. Ha-Seong Kim out at 2nd. Jurickson Profar out at 1st.",0,8,3,74,"bottom",9,"2024-03-30T04:04:05.501Z","2024-03-30T04:05:39.609Z",TRUE,FALSE,FALSE,TRUE,24,2,2,2,595777,"Jurickson Profar","/api/v1/people/595777","L","Left",676254,"Ryan Walker","/api/v1/people/676254","R","Right","vs_RHP","vs_LHB","Empty",NA,"San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres","San Francisco Giants",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",92.2,84.4,8,0.89,0.409,5.9858,28.2674,-24.7501,-10.7817,4.0825,-0.1995,2.0123,11.8259,-133.8,-3.3842,-3.2711,50.0002,5.0625,-19.5902,33.6,7.2,24,2110,239,NA,NA,NA,NA,NA,NA,FALSE,-25.4,6.8,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745435,"2024-03-30",3,"2024-03-30T04:04:59.569Z","2024-03-30T04:05:15.467Z",FALSE,"action",NA,NA,"Batter Timeout.","Batter Timeout",8,3,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,1,2,0,595777,"/api/v1/people/595777",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"batter_timeout",NA,NA,NA,NA,NA,NA,"74","atBat","Grounded Into DP","grounded_into_double_play","Jurickson Profar grounds into a double play, third baseman Matt Chapman to shortstop Nick Ahmed to first baseman Wilmer Flores. Ha-Seong Kim out at 2nd. Jurickson Profar out at 1st.",0,8,3,74,"bottom",9,"2024-03-30T04:04:05.501Z","2024-03-30T04:05:39.609Z",TRUE,FALSE,FALSE,TRUE,24,2,2,2,595777,"Jurickson Profar","/api/v1/people/595777","L","Left",676254,"Ryan Walker","/api/v1/people/676254","R","Right","vs_RHP","vs_LHB","Empty",NA,"San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres","San Francisco Giants",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745435,"2024-03-30",6,"2024-03-30T04:03:38.888Z","2024-03-30T04:03:49.788Z",TRUE,"pitch","9d8b2dd9-1255-4dcf-8b92-18ff5fefdb6f",5,"In play, no out",NA,NA,NA,NA,FALSE,"D","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"D","In play, no out",2,2,0,NA,NA,3.35,1.55,NA,108.24,193.25,"ground_ball","medium","8",130.32,102.97,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Single","single","Ha-Seong Kim singles on a ground ball to center fielder Jung Hoo Lee.",0,8,3,73,"bottom",9,"2024-03-30T04:02:35.401Z","2024-03-30T04:03:49.788Z",TRUE,FALSE,FALSE,FALSE,33,2,2,0,673490,"Ha-Seong Kim","/api/v1/people/673490","R","Right",676254,"Ryan Walker","/api/v1/people/676254","R","Right","vs_RHP","vs_RHB","Men_On",NA,"San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres","San Francisco Giants",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",92.6,84.5,8,0.88,0.4087,5.8653,29.9611,-30.5977,-10.1007,0.8699,0.2299,1.6864,12.7183,-134.2003,-3.2366,-3.266,50.0066,5.0957,-18.3667,26.4,8.4,24,2213,239,99.7,-12,9,NA,NA,NA,FALSE,-31.2,1,15.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,673490,"Ha-Seong Kim","/api/v1/people/673490",NA,NA,NA,NA,NA,NA
