"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isSubstitution","details.disengagementNum","replacedPlayer.id","replacedPlayer.link","isBaseRunningPlay","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link"
716448,"2023-09-24",4,"2023-09-24T20:48:39.511Z","2023-09-24T20:48:45.550Z",TRUE,"pitch","652f09b1-41ee-4487-87f6-cdabfc60531c",4,"Swinging Strike (Blocked)",NA,NA,NA,NA,FALSE,"W","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"W","Swinging Strike (Blocked)",1,3,2,NA,NA,3.48,1.72,NA,99.99,219.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Strikeout","strikeout","Yordan Alvarez strikes out swinging.",0,6,5,75,"bottom",9,"2023-09-24T20:47:32.812Z","2023-09-24T20:48:45.550Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,670541,"Yordan Alvarez","/api/v1/people/670541","L","Left",663704,"James McArthur","/api/v1/people/663704","R","Right","vs_RHP","vs_LHB","Empty",NA,"Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros","Kansas City Royals",NA,NA,"rgba(0, 34, 255, 1.0)","CU","Curveball",81.6,74.2,14,0.91,0.4663,6.6282,28.3819,-41.4844,7.1437,-6.7025,0.4462,0.7082,4.3465,-118.6917,-2.801,-2.3539,50.0042,5.7811,9.9199,14.4,13.2,24,2818,52,NA,NA,NA,NA,NA,NA,TRUE,-54.6,-12.6,-14.2,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716448,"2023-09-24",3,"2023-09-24T20:48:18.808Z","2023-09-24T20:48:22.553Z",TRUE,"pitch","cd9936d1-ddb0-4d45-ac65-08f6d1d91025",3,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",1,2,2,NA,NA,3.5505,1.8183,NA,92.51,189.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Strikeout","strikeout","Yordan Alvarez strikes out swinging.",0,6,5,75,"bottom",9,"2023-09-24T20:47:32.812Z","2023-09-24T20:48:45.550Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,670541,"Yordan Alvarez","/api/v1/people/670541","L","Left",663704,"James McArthur","/api/v1/people/663704","R","Right","vs_RHP","vs_LHB","Empty",NA,"Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros","Kansas City Royals",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",94,85,9,0.91,0.4043,6.7446,33.8966,-29.9587,-13.0058,1.1956,0.6424,1.8279,12.2683,-136.2298,-4.6332,-2.2609,50.0045,5.6569,-24.1013,34.8,8.4,24,2304,230,NA,NA,NA,NA,NA,NA,FALSE,-30.4,1.2,20.5,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716448,"2023-09-24",2,"2023-09-24T20:47:59.401Z","2023-09-24T20:48:02.637Z",TRUE,"pitch","a8f0d450-b6a6-45cf-acad-482da242eee9",2,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,1,2,NA,NA,3.48,1.72,NA,88.56,201.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Strikeout","strikeout","Yordan Alvarez strikes out swinging.",0,6,5,75,"bottom",9,"2023-09-24T20:47:32.812Z","2023-09-24T20:48:45.550Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,670541,"Yordan Alvarez","/api/v1/people/670541","L","Left",663704,"James McArthur","/api/v1/people/663704","R","Right","vs_RHP","vs_LHB","Empty",NA,"Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros","Kansas City Royals",NA,NA,"rgba(0, 34, 255, 1.0)","CU","Curveball",81.5,74.3,14,0.9,0.4659,6.8058,27.2705,-39.2216,8.176,-5.0594,0.746,1.3721,5.0266,-118.5566,-1.941,-2.4798,50.003,5.8548,11.3855,16.8,12,24,2798,52,NA,NA,NA,NA,NA,NA,FALSE,-51.2,-9.4,-16.2,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716448,"2023-09-24",1,"2023-09-24T20:47:35.123Z","2023-09-24T20:47:40.894Z",TRUE,"pitch","2d50e2de-5c72-40d6-84ba-f7dafe6aa046",1,"Ball In Dirt",NA,NA,NA,NA,FALSE,"*B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"*B","Ball In Dirt",1,0,2,NA,NA,3.5225,1.7613,NA,64.82,217.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Strikeout","strikeout","Yordan Alvarez strikes out swinging.",0,6,5,75,"bottom",9,"2023-09-24T20:47:32.812Z","2023-09-24T20:48:45.550Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,670541,"Yordan Alvarez","/api/v1/people/670541","L","Left",663704,"James McArthur","/api/v1/people/663704","R","Right","vs_RHP","vs_LHB","Empty",NA,"Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros","Kansas City Royals",NA,NA,"rgba(0, 34, 255, 1.0)","CU","Curveball",82.9,75.9,14,0.89,0.4576,6.7099,27.275,-40.1485,7.4846,-5.5198,1.369,0.7863,6.2268,-120.5166,-3.2407,-2.2371,50.0029,5.7576,10.8137,16.8,12,24,2734,44,NA,NA,NA,NA,NA,NA,FALSE,-51,-10.6,-15.2,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716448,"2023-09-24",0,"2023-09-24T20:46:55.931Z","2023-09-24T20:47:35.123Z",FALSE,"action",NA,NA,"Mound Visit.","Mound Visit",6,5,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mound_visit",NA,NA,NA,NA,NA,NA,"75","atBat","Strikeout","strikeout","Yordan Alvarez strikes out swinging.",0,6,5,75,"bottom",9,"2023-09-24T20:47:32.812Z","2023-09-24T20:48:45.550Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,670541,"Yordan Alvarez","/api/v1/people/670541","L","Left",663704,"James McArthur","/api/v1/people/663704","R","Right","vs_RHP","vs_LHB","Empty",NA,"Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros","Kansas City Royals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716448,"2023-09-24",0,"2023-09-24T20:46:26.842Z","2023-09-24T20:46:38.853Z",TRUE,"pitch","cd8dc240-a665-4132-9904-a630a34ab4c5",1,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,0,1,NA,NA,3.01,1.46,NA,112.11,172.78,"fly_ball","medium","9",175.55,65.16,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Flyout","field_out","Alex Bregman flies out to right fielder Drew Waters.",0,6,5,74,"bottom",9,"2023-09-24T20:46:17.901Z","2023-09-24T20:46:38.853Z",TRUE,FALSE,FALSE,TRUE,0,0,0,2,608324,"Alex Bregman","/api/v1/people/608324","R","Right",663704,"James McArthur","/api/v1/people/663704","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros","Kansas City Royals","true",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",86.1,79.3,5,2,0.4371,6.7768,25.0291,-33.1339,1.1174,-0.5987,0.1283,2.4446,5.641,-125.2633,-1.4656,-2.2971,50.0053,5.7433,1.7783,4.8,8.4,24,2357,51,95.4,30,354,NA,NA,NA,TRUE,-38,-1.2,-3.4,NA,NA,NA,NA,NA,TRUE,FALSE,514888,"Jose Altuve","/api/v1/people/514888",NA,NA,NA,NA,NA,NA
716448,"2023-09-24",5,"2023-09-24T20:45:47.893Z","2023-09-24T20:45:58.943Z",TRUE,"pitch","a72632bb-d6ee-4474-bd68-0c894ee71897",6,"In play, no out",NA,NA,NA,NA,FALSE,"D","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"D","In play, no out",3,2,1,NA,NA,2.81,1.25,NA,107.42,186.46,"line_drive","medium","7",79.39,108.65,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Single","single","Jose Altuve singles on a line drive to left fielder Dairon Blanco.",0,6,5,73,"bottom",9,"2023-09-24T20:44:10.962Z","2023-09-24T20:45:58.943Z",TRUE,FALSE,FALSE,FALSE,33,3,2,1,514888,"Jose Altuve","/api/v1/people/514888","R","Right",663704,"James McArthur","/api/v1/people/663704","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros","Kansas City Royals","true",NA,"rgba(0, 34, 255, 1.0)","CU","Curveball",82.6,75.6,5,0.9,0.4581,6.7589,26.4265,-40.7924,8.3014,-5.9671,0.2513,1.9378,3.7694,-120.2244,-0.6777,-2.4226,50.006,5.8893,11.9797,16.8,12,24,2810,47,81.6,15,193,NA,NA,NA,FALSE,-51.1,-10.7,-16,NA,NA,NA,NA,NA,FALSE,FALSE,514888,"Jose Altuve","/api/v1/people/514888",NA,NA,NA,NA,NA,NA
716448,"2023-09-24",4,"2023-09-24T20:45:31.471Z","2023-09-24T20:45:35.449Z",TRUE,"pitch","17f2a0e7-846c-4f69-9a47-db54b5a5fc5d",5,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",3,2,1,NA,NA,2.8461,1.2473,NA,110.79,171.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Single","single","Jose Altuve singles on a line drive to left fielder Dairon Blanco.",0,6,5,73,"bottom",9,"2023-09-24T20:44:10.962Z","2023-09-24T20:45:58.943Z",TRUE,FALSE,FALSE,FALSE,33,3,2,1,514888,"Jose Altuve","/api/v1/people/514888","R","Right",663704,"James McArthur","/api/v1/people/663704","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros","Kansas City Royals","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",85.8,79.2,2,2,0.438,6.9664,24.0385,-32.9935,0.4649,-0.5189,0.163,2.4772,6.5953,-124.8405,-1.1938,-2.5682,50.0005,5.6658,0.737,3.6,8.4,24,2239,76,NA,NA,NA,NA,NA,NA,FALSE,-38,-1,-2.3,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716448,"2023-09-24",3,"2023-09-24T20:45:14.904Z","2023-09-24T20:45:18.663Z",TRUE,"pitch","c04671a5-f489-48f6-a02e-96cc2a4fce42",4,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",3,1,1,NA,NA,2.7612,1.2473,NA,146.65,177.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Single","single","Jose Altuve singles on a line drive to left fielder Dairon Blanco.",0,6,5,73,"bottom",9,"2023-09-24T20:44:10.962Z","2023-09-24T20:45:58.943Z",TRUE,FALSE,FALSE,FALSE,33,3,2,1,514888,"Jose Altuve","/api/v1/people/514888","R","Right",663704,"James McArthur","/api/v1/people/663704","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros","Kansas City Royals","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",94.8,86.6,4,2,0.3979,6.8434,30.9925,-23.3452,-10.5209,4.6019,-0.7778,2.2579,8.3182,-137.7346,-4.8634,-2.4722,50.0021,5.628,-20.185,37.2,6,24,2261,226,NA,NA,NA,NA,NA,NA,FALSE,-23,7.4,17.3,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716448,"2023-09-24",2,"2023-09-24T20:44:58.723Z","2023-09-24T20:45:02.674Z",TRUE,"pitch","6426c3f0-5e35-45e5-9380-08a059e9c56e",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",3,0,1,NA,NA,2.9027,1.3331,NA,143.36,146.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Single","single","Jose Altuve singles on a line drive to left fielder Dairon Blanco.",0,6,5,73,"bottom",9,"2023-09-24T20:44:10.962Z","2023-09-24T20:45:58.943Z",TRUE,FALSE,FALSE,FALSE,33,3,2,1,514888,"Jose Altuve","/api/v1/people/514888","R","Right",663704,"James McArthur","/api/v1/people/663704","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros","Kansas City Royals","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",86.2,79.4,11,2,0.436,6.777,24.6677,-35.0779,2.0465,-1.8143,-0.6915,3.4138,3.9874,-125.4941,1.2903,-2.565,50.004,5.7438,3.2732,6,8.4,24,2290,93,NA,NA,NA,NA,NA,NA,FALSE,-39.5,-2.8,-4.6,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
