"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.disengagementNum","isBaseRunningPlay","isSubstitution","replacedPlayer.id","replacedPlayer.link","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","result.isOut","about.isTopInning","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","reviewDetails.isOverturned","reviewDetails.inProgress","reviewDetails.reviewType","reviewDetails.challengeTeamId"
717348,"2023-07-19",1,"2023-07-19T19:15:51.106Z","2023-07-19T19:16:01.815Z",TRUE,"pitch","33f8f60b-3839-4460-b918-4911b709189f",2,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,1,2,NA,NA,3.29,1.57,NA,86.18,149.48,"fly_ball","medium","9",214.08,110.53,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Flyout","field_out","Amed Rosario flies out to right fielder Henry Davis.",0,5,7,74,"top",9,"2023-07-19T19:15:23.614Z","2023-07-19T19:16:01.815Z",TRUE,FALSE,FALSE,TRUE,0,0,1,3,642708,"Amed Rosario","/api/v1/people/642708","R","Right",670280,"David Bednar","/api/v1/people/670280","R","Right","vs_RHP","vs_RHB","Empty",NA,"Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Cleveland Guardians",1,"Major League Baseball",NA,NA,103,"American League","Cleveland Guardians","Pittsburgh Pirates","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",97.3,88.6,3,0.91,0.3879,6.6526,33.031,-11.5805,-6.5964,10.2043,0.8085,3.3074,9.1037,-141.3617,-4.6599,-1.6007,50.0059,5.7243,-13.3172,42,3.6,24,2448,212,87.1,29,308,NA,NA,NA,TRUE,-11.4,17.6,10.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717348,"2023-07-19",0,"2023-07-19T19:15:36.575Z","2023-07-19T19:15:40.225Z",TRUE,"pitch","40ff8985-1bf5-4bc3-a7f0-da3e8c941735",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,2,NA,NA,3.2779,1.5393,NA,94.28,163.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Flyout","field_out","Amed Rosario flies out to right fielder Henry Davis.",0,5,7,74,"top",9,"2023-07-19T19:15:23.614Z","2023-07-19T19:16:01.815Z",TRUE,FALSE,FALSE,TRUE,0,0,1,3,642708,"Amed Rosario","/api/v1/people/642708","R","Right",670280,"David Bednar","/api/v1/people/670280","R","Right","vs_RHP","vs_RHB","Empty",NA,"Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Cleveland Guardians",1,"Major League Baseball",NA,NA,103,"American League","Cleveland Guardians","Pittsburgh Pirates","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",97.5,88.9,3,0.91,0.387,6.6108,32.9053,-11.6083,-6.4808,10.1419,0.596,2.8042,9.0122,-141.6363,-5.9031,-1.7878,50.0053,5.6606,-13.1457,40.8,3.6,24,2519,212,NA,NA,NA,NA,NA,NA,FALSE,-11.6,17.3,9.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717348,"2023-07-19",1,"2023-07-19T19:15:03.965Z","2023-07-19T19:15:15.086Z",TRUE,"pitch","05f7fc7d-d596-4da8-a5e7-2613b29b18ff",2,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,1,1,NA,NA,3.22,1.51,NA,117.06,184.59,"line_drive","medium","8",146.1,56.42,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Lineout","field_out","Steven Kwan lines out to center fielder Bryan Reynolds.",0,5,7,73,"top",9,"2023-07-19T19:14:35.074Z","2023-07-19T19:15:15.086Z",TRUE,FALSE,FALSE,TRUE,0,0,1,2,680757,"Steven Kwan","/api/v1/people/680757","L","Left",670280,"David Bednar","/api/v1/people/670280","R","Right","vs_RHP","vs_LHB","Empty",NA,"Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Cleveland Guardians",1,"Major League Baseball",NA,NA,103,"American League","Cleveland Guardians","Pittsburgh Pirates","true",NA,"rgba(119, 0, 152, 1.0)","FS","Splitter",92,85.9,8,0.92,0.406,6.5826,24.0452,-29.343,-3.2767,1.5281,-0.0017,2.007,6.0897,-133.9894,-4.224,-1.8598,50.0031,5.6579,-6.0669,9.6,7.2,24,1620,219,92.6,24,358,NA,NA,NA,TRUE,-29.6,2.2,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717348,"2023-07-19",0,"2023-07-19T19:14:47.698Z","2023-07-19T19:14:51.857Z",TRUE,"pitch","807f20cd-3d28-4a1a-8e11-8482f56190df",1,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,1,1,NA,NA,3.22,1.51,NA,111.86,184.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Lineout","field_out","Steven Kwan lines out to center fielder Bryan Reynolds.",0,5,7,73,"top",9,"2023-07-19T19:14:35.074Z","2023-07-19T19:15:15.086Z",TRUE,FALSE,FALSE,TRUE,0,0,1,2,680757,"Steven Kwan","/api/v1/people/680757","L","Left",670280,"David Bednar","/api/v1/people/670280","R","Right","vs_RHP","vs_LHB","Empty",NA,"Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Cleveland Guardians",1,"Major League Baseball",NA,NA,103,"American League","Cleveland Guardians","Pittsburgh Pirates","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96.7,88.7,8,0.91,0.3891,6.7564,30.5701,-10.6434,-5.0815,10.7194,0.1349,2.0137,7.1728,-140.5265,-8.1581,-1.7854,50.0043,5.6383,-10.2082,34.8,3.6,24,2419,216,NA,NA,NA,NA,NA,NA,FALSE,-11.3,18,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717348,"2023-07-19",4,"2023-07-19T19:14:17.870Z","2023-07-19T19:14:22.860Z",TRUE,"pitch","e39a9a28-26ba-4ee2-879d-3f941ed0881a",3,"Swinging Strike (Blocked)",NA,NA,NA,NA,FALSE,"W","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"W","Swinging Strike (Blocked)",0,3,0,NA,NA,3.35,1.55,NA,108.09,233.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Strikeout","strikeout","Will Brennan strikes out swinging, catcher Endy Rodriguez to first baseman Ji Man Choi.",0,5,7,72,"top",9,"2023-07-19T19:13:45.207Z","2023-07-19T19:14:22.860Z",TRUE,FALSE,FALSE,TRUE,14,0,3,1,686823,"Will Brennan","/api/v1/people/686823","L","Left",670280,"David Bednar","/api/v1/people/670280","R","Right","vs_RHP","vs_LHB","Empty",NA,"Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Cleveland Guardians",1,"Major League Baseball",NA,NA,103,"American League","Cleveland Guardians","Pittsburgh Pirates",NA,NA,"rgba(0, 34, 255, 1.0)","CU","Curveball",79.7,74.2,14,0.9,0.4718,6.2532,21.681,-38.6199,4.3897,-4.7286,0.2337,0.1989,3.583,-116.0913,-3.8415,-1.8996,50,5.5503,5.9908,9.6,12,24,2450,48,NA,NA,NA,NA,NA,NA,TRUE,-52.2,-9.2,-8.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717348,"2023-07-19",3,"2023-07-19T19:14:01.914Z","2023-07-19T19:14:05.204Z",TRUE,"pitch","d2bad66d-09ae-4330-9056-7835b5c5a888",2,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,2,0,NA,NA,3.35,1.55,NA,98.98,157.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Strikeout","strikeout","Will Brennan strikes out swinging, catcher Endy Rodriguez to first baseman Ji Man Choi.",0,5,7,72,"top",9,"2023-07-19T19:13:45.207Z","2023-07-19T19:14:22.860Z",TRUE,FALSE,FALSE,TRUE,14,0,3,1,686823,"Will Brennan","/api/v1/people/686823","L","Left",670280,"David Bednar","/api/v1/people/670280","R","Right","vs_RHP","vs_LHB","Empty",NA,"Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Cleveland Guardians",1,"Major League Baseball",NA,NA,103,"American League","Cleveland Guardians","Pittsburgh Pirates",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96.4,88.1,3,0.89,0.3908,6.6966,31.5381,-13.1724,-4.2163,9.5544,0.4728,3.0067,7.9217,-140.1231,-5.0546,-1.8427,50.0066,5.6941,-8.3892,25.2,3.6,24,2404,218,NA,NA,NA,NA,NA,NA,FALSE,-13.1,16.4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717348,"2023-07-19",2,"2023-07-19T19:13:47.582Z","2023-07-19T19:13:51.213Z",TRUE,"pitch","4a66e7b2-6537-4ca6-a496-419df44c9cf7",1,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,1,0,NA,NA,3.35,1.55,NA,124.24,146.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Strikeout","strikeout","Will Brennan strikes out swinging, catcher Endy Rodriguez to first baseman Ji Man Choi.",0,5,7,72,"top",9,"2023-07-19T19:13:45.207Z","2023-07-19T19:14:22.860Z",TRUE,FALSE,FALSE,TRUE,14,0,3,1,686823,"Will Brennan","/api/v1/people/686823","L","Left",670280,"David Bednar","/api/v1/people/670280","R","Right","vs_RHP","vs_LHB","Empty",NA,"Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Cleveland Guardians",1,"Major League Baseball",NA,NA,103,"American League","Cleveland Guardians","Pittsburgh Pirates",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96,87.6,2,0.89,0.3922,6.613,31.9306,-14.384,-3.99,9.0099,-0.19,3.4245,5.769,-139.7419,-3.7501,-1.7642,50.0058,5.731,-7.8813,22.8,3.6,24,2401,212,NA,NA,NA,NA,NA,NA,FALSE,-14,15.7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717348,"2023-07-19",0,"2023-07-19T19:13:12.255Z","2023-07-19T19:13:28.675Z",FALSE,"action",NA,NA,"Pitching Change: David Bednar replaces Colin Holderman.","Pitching Substitution",5,7,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,670280,"/api/v1/people/670280",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pitching_substitution",NA,"1","Pitcher","Pitcher","P",NA,"72","atBat","Strikeout","strikeout","Will Brennan strikes out swinging, catcher Endy Rodriguez to first baseman Ji Man Choi.",0,5,7,72,"top",9,"2023-07-19T19:13:45.207Z","2023-07-19T19:14:22.860Z",TRUE,FALSE,FALSE,TRUE,14,0,3,1,686823,"Will Brennan","/api/v1/people/686823","L","Left",670280,"David Bednar","/api/v1/people/670280","R","Right","vs_RHP","vs_LHB","Empty",NA,"Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Cleveland Guardians",1,"Major League Baseball",NA,NA,103,"American League","Cleveland Guardians","Pittsburgh Pirates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717348,"2023-07-19",1,"2023-07-19T19:13:28.675Z","2023-07-19T19:13:47.582Z",FALSE,"action",NA,NA,"Offensive Substitution: Pinch-hitter Will Brennan replaces Cam Gallagher.","Offensive Substitution",5,7,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,686823,"/api/v1/people/686823",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"offensive_substitution",NA,"11","Pinch Hitter","Hitter","PH","901","72","atBat","Strikeout","strikeout","Will Brennan strikes out swinging, catcher Endy Rodriguez to first baseman Ji Man Choi.",0,5,7,72,"top",9,"2023-07-19T19:13:45.207Z","2023-07-19T19:14:22.860Z",TRUE,FALSE,FALSE,TRUE,14,0,3,1,686823,"Will Brennan","/api/v1/people/686823","L","Left",670280,"David Bednar","/api/v1/people/670280","R","Right","vs_RHP","vs_LHB","Empty",NA,"Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Cleveland Guardians",1,"Major League Baseball",NA,NA,103,"American League","Cleveland Guardians","Pittsburgh Pirates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,TRUE,595956,"/api/v1/people/595956",NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717348,"2023-07-19",4,"2023-07-19T19:10:57.126Z","2023-07-19T19:11:02.397Z",TRUE,"pitch","510fac32-01c7-4dca-bf98-ed4f83c3f19b",5,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",1,3,2,NA,NA,3.1761,1.4363,NA,138.95,184.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Strikeout","strikeout","Connor Joe called out on strikes.",0,5,7,71,"bottom",8,"2023-07-19T19:09:21.158Z","2023-07-19T19:11:02.397Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,656582,"Connor Joe","/api/v1/people/656582","R","Right",547184,"Michael Kelly","/api/v1/people/547184","R","Right","vs_RHP","vs_RHB","Empty",NA,"Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Cleveland Guardians",1,"Major League Baseball",NA,NA,103,"American League","Pittsburgh Pirates","Cleveland Guardians","true",NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",83.6,77.1,4,2,0.4499,5.613,24.326,-37.636,9.3784,-3.6413,-0.576,2.0087,-1.6362,-121.8301,-1.7832,-1.1132,50.0028,6.0084,14.0723,20.4,10.8,24,2831,46,NA,NA,NA,NA,NA,NA,TRUE,-45.8,-6.7,-16.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
