"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.disengagementNum","isSubstitution","replacedPlayer.id","replacedPlayer.link","isBaseRunningPlay","result.isOut","about.isTopInning","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link"
718013,"2023-05-27",0,"2023-05-27T02:57:15.546Z","2023-05-27T02:57:29.351Z",TRUE,"pitch","bd7f673e-e8bc-45e7-a643-7d1ec1f5dfec",1,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,0,2,NA,NA,3.33,1.54,NA,118.64,148.76,"popup","medium","5",117.69,180.33,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Pop Out","field_out","Kyle Farmer pops out to third baseman Matt Chapman.",0,3,1,75,"bottom",9,"2023-05-27T02:56:58.287Z","2023-05-27T02:57:29.351Z",TRUE,FALSE,FALSE,TRUE,0,0,0,3,571657,"Kyle Farmer","/api/v1/people/571657","R","Right",605447,"Jordan Romano","/api/v1/people/605447","R","Right","vs_RHP","vs_RHB","Empty",NA,"Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Toronto Blue Jays","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94.9,86.9,2,0.88,0.3964,7.6713,29.9121,-12.0691,-4.9122,10.3921,-0.043,3.3341,8.7616,-138.0123,-4.3726,-2.6164,50.0002,5.748,-9.5017,30,3.6,24,2327,202,88.1,77,43,NA,NA,NA,TRUE,-12.2,18.1,7.1,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718013,"2023-05-27",3,"2023-05-27T02:56:42.090Z","2023-05-27T02:56:52.839Z",TRUE,"pitch","a44c5a95-b5ad-47f0-9ea3-b558ea24ffaf",4,"In play, no out",NA,NA,NA,NA,FALSE,"D","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"D","In play, no out",1,2,2,NA,NA,3.51,1.67,NA,106.03,199.51,"line_drive","hard","9",191.09,100.11,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Single","single","Willi Castro singles on a sharp line drive to right fielder George Springer.",0,3,1,74,"bottom",9,"2023-05-27T02:55:37.605Z","2023-05-27T02:56:52.839Z",TRUE,FALSE,FALSE,FALSE,33,1,2,2,650489,"Willi Castro","/api/v1/people/650489","L","Left",605447,"Jordan Romano","/api/v1/people/605447","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Toronto Blue Jays","true",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",87.3,80.6,14,0.89,0.4313,7.6691,25.5596,-33.6549,0.3443,-0.9083,0.2879,1.4545,6.9666,-126.9164,-4.3462,-2.5353,50.0022,5.8646,0.5612,2.4,8.4,24,2225,55,102.6,14,232,NA,NA,NA,FALSE,-38.3,-2.4,-2.2,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,650489,"Willi Castro","/api/v1/people/650489"
718013,"2023-05-27",2,"2023-05-27T02:56:24.160Z","2023-05-27T02:56:28.528Z",TRUE,"pitch","e3c4fa4b-e212-4110-885e-31d75530c9b8",3,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,2,2,NA,NA,3.51,1.67,NA,137.85,187.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Single","single","Willi Castro singles on a sharp line drive to right fielder George Springer.",0,3,1,74,"bottom",9,"2023-05-27T02:55:37.605Z","2023-05-27T02:56:52.839Z",TRUE,FALSE,FALSE,FALSE,33,1,2,2,650489,"Willi Castro","/api/v1/people/650489","L","Left",605447,"Jordan Romano","/api/v1/people/605447","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Toronto Blue Jays","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",85.8,79.7,7,0.9,0.437,7.4356,23.0564,-34.1478,1.4736,-1.2341,-0.5471,1.9046,5.0859,-124.9237,-2.5351,-2.7936,50.0055,5.7151,2.3498,4.8,8.4,24,1996,65,NA,NA,NA,NA,NA,NA,FALSE,-39.5,-2.5,-3.7,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718013,"2023-05-27",1,"2023-05-27T02:56:08.845Z","2023-05-27T02:56:12.566Z",TRUE,"pitch","f9fb860d-7599-42bb-ba4f-ecf3f8df89d6",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,2,NA,NA,3.6307,1.6739,NA,112.62,115.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Single","single","Willi Castro singles on a sharp line drive to right fielder George Springer.",0,3,1,74,"bottom",9,"2023-05-27T02:55:37.605Z","2023-05-27T02:56:52.839Z",TRUE,FALSE,FALSE,FALSE,33,1,2,2,650489,"Willi Castro","/api/v1/people/650489","L","Left",605447,"Jordan Romano","/api/v1/people/605447","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Toronto Blue Jays","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96.2,87.2,12,0.88,0.3928,7.6114,33.3104,-11.8662,-4.0662,10.3295,0.115,4.5665,8.5643,-139.7642,-1.5617,-2.4692,50.0032,5.9172,-7.995,26.4,2.4,24,2336,203,NA,NA,NA,NA,NA,NA,FALSE,-11.3,18.5,5.5,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718013,"2023-05-27",0,"2023-05-27T02:55:55.479Z","2023-05-27T02:55:59.696Z",TRUE,"pitch","c2b70a62-a74f-4a0c-af7f-bc543268db31",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,2,NA,NA,3.485,1.6739,NA,125.06,158.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Single","single","Willi Castro singles on a sharp line drive to right fielder George Springer.",0,3,1,74,"bottom",9,"2023-05-27T02:55:37.605Z","2023-05-27T02:56:52.839Z",TRUE,FALSE,FALSE,FALSE,33,1,2,2,650489,"Willi Castro","/api/v1/people/650489","L","Left",605447,"Jordan Romano","/api/v1/people/605447","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Toronto Blue Jays","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",97.1,88.2,2,0.88,0.3891,7.5322,33.6859,-10.0122,-4.5709,11.0593,-0.2114,2.977,8.2411,-141.0409,-6.0498,-2.5844,50.0009,5.8031,-9.1588,32.4,2.4,24,2411,207,NA,NA,NA,NA,NA,NA,FALSE,-10.4,18.8,6.5,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718013,"2023-05-27",8,"2023-05-27T02:55:16.502Z","2023-05-27T02:55:29.366Z",TRUE,"pitch","7b7e07e2-3b97-4b57-9dc3-156acb4de0fd",8,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",3,2,1,NA,NA,3.34,1.52,NA,116.11,164.76,"fly_ball","hard","7",35.65,92.67,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Flyout","field_out","Byron Buxton flies out sharply to left fielder Daulton Varsho.",0,3,1,73,"bottom",9,"2023-05-27T02:52:33.785Z","2023-05-27T02:55:29.366Z",TRUE,FALSE,FALSE,TRUE,0,3,2,2,621439,"Byron Buxton","/api/v1/people/621439","R","Right",605447,"Jordan Romano","/api/v1/people/605447","R","Right","vs_RHP","vs_RHB","Empty",NA,"Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Toronto Blue Jays",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",86.3,79.5,5,0.9,0.4358,7.554,25.0021,-33.2978,1.3622,-0.707,0.0233,2.7416,6.439,-125.6083,-0.6893,-2.7482,50.0003,5.7227,2.1781,6,8.4,24,2209,64,102.8,42,344,NA,NA,NA,TRUE,-37.8,-1.2,-4,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718013,"2023-05-27",7,"2023-05-27T02:54:56.291Z","2023-05-27T02:55:09.079Z",TRUE,"pitch","9753e949-edb8-48f4-b4cb-caef98e1665f",7,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",3,2,1,NA,NA,3.34,1.52,NA,101.1,184.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Flyout","field_out","Byron Buxton flies out sharply to left fielder Daulton Varsho.",0,3,1,73,"bottom",9,"2023-05-27T02:52:33.785Z","2023-05-27T02:55:29.366Z",TRUE,FALSE,FALSE,TRUE,0,3,2,2,621439,"Byron Buxton","/api/v1/people/621439","R","Right",605447,"Jordan Romano","/api/v1/people/605447","R","Right","vs_RHP","vs_RHB","Empty",NA,"Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Toronto Blue Jays",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",85.9,79.6,9,0.91,0.4374,7.4526,24.2256,-35.0565,2.6986,-1.8169,0.4171,2.0261,6.7926,-125.0139,-2.1842,-2.6812,50.0012,5.7773,4.287,8.4,9.6,24,2324,70,NA,NA,NA,NA,NA,NA,FALSE,-40.4,-3.6,-6.4,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718013,"2023-05-27",6,"2023-05-27T02:54:26.946Z","2023-05-27T02:54:32.400Z",TRUE,"pitch","14ba396f-51b7-4590-b1db-c660ef2cbf95",6,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",3,2,1,NA,NA,3.2276,1.5239,NA,54.37,288.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Flyout","field_out","Byron Buxton flies out sharply to left fielder Daulton Varsho.",0,3,1,73,"bottom",9,"2023-05-27T02:52:33.785Z","2023-05-27T02:55:29.366Z",TRUE,FALSE,FALSE,TRUE,0,3,2,2,621439,"Byron Buxton","/api/v1/people/621439","R","Right",605447,"Jordan Romano","/api/v1/people/605447","R","Right","vs_RHP","vs_RHB","Empty",NA,"Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Toronto Blue Jays",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",88.9,82.4,14,0.89,0.4267,7.7969,28.1897,-36.3308,0.5358,-2.4943,1.6431,-1.8345,9.0251,-128.6727,-12.2415,-1.9882,50.0023,5.8256,0.8926,3.6,9.6,24,2356,36,NA,NA,NA,NA,NA,NA,FALSE,-42.5,-7.3,-3.1,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718013,"2023-05-27",5,"2023-05-27T02:54:09.605Z","2023-05-27T02:54:13.290Z",TRUE,"pitch","dabfa9b9-76be-4d84-a48a-268e9989f8a8",5,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",2,2,1,NA,NA,3.34,1.52,NA,132.73,148.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Flyout","field_out","Byron Buxton flies out sharply to left fielder Daulton Varsho.",0,3,1,73,"bottom",9,"2023-05-27T02:52:33.785Z","2023-05-27T02:55:29.366Z",TRUE,FALSE,FALSE,TRUE,0,3,2,2,621439,"Byron Buxton","/api/v1/people/621439","R","Right",605447,"Jordan Romano","/api/v1/people/605447","R","Right","vs_RHP","vs_RHB","Empty",NA,"Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Toronto Blue Jays",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",98.2,89.8,1,0.88,0.3833,7.7826,32.3433,-9.0845,-4.2963,11.1574,-0.4126,3.3498,7.4508,-142.8133,-5.5277,-2.495,50.0006,5.8795,-8.89,34.8,2.4,24,2345,205,NA,NA,NA,NA,NA,NA,FALSE,-9.1,19.3,6.4,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718013,"2023-05-27",4,"2023-05-27T02:53:53.585Z","2023-05-27T02:53:58.147Z",TRUE,"pitch","366869b5-bf91-4d74-b653-59180bced4ee",4,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,2,1,NA,NA,3.1985,1.5239,NA,122.9,202.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Flyout","field_out","Byron Buxton flies out sharply to left fielder Daulton Varsho.",0,3,1,73,"bottom",9,"2023-05-27T02:52:33.785Z","2023-05-27T02:55:29.366Z",TRUE,FALSE,FALSE,TRUE,0,3,2,2,621439,"Byron Buxton","/api/v1/people/621439","R","Right",605447,"Jordan Romano","/api/v1/people/605447","R","Right","vs_RHP","vs_RHB","Empty",NA,"Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Toronto Blue Jays",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",97.6,89.2,13,0.88,0.3869,7.78,32.4463,-6.951,-3.1218,12.4259,-0.1548,1.3437,6.9782,-141.5999,-11.4235,-2.2461,50.007,5.8762,-6.3396,26.4,2.4,24,2355,202,NA,NA,NA,NA,NA,NA,FALSE,-8.6,20.3,4.2,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
