"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","details.disengagementNum","isBaseRunningPlay","isSubstitution","replacedPlayer.id","replacedPlayer.link","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","reviewDetails.isOverturned","reviewDetails.inProgress","reviewDetails.reviewType","reviewDetails.challengeTeamId"
716817,"2023-08-28",1,"2023-08-29T01:20:29.403Z","2023-08-29T01:20:36.714Z",TRUE,"pitch","f2966780-4e68-43f5-b69b-1f2cce49c359",2,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,1,2,NA,NA,3.09,1.46,NA,139.63,190.19,"ground_ball","medium","6",113.8,153.97,NA,NA,NA,NA,NA,NA,NA,NA,"77","atBat","Groundout","field_out","Luis Rengifo grounds out, shortstop Trea Turner to first baseman Bryce Harper.",0,4,6,77,"top",9,"2023-08-29T01:19:49.259Z","2023-08-29T01:20:36.714Z",TRUE,FALSE,FALSE,TRUE,0,0,1,3,650859,"Luis Rengifo","/api/v1/people/650859","L","Left",518886,"Craig Kimbrel","/api/v1/people/518886","R","Right","vs_RHP","vs_LHB","Empty",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels","Philadelphia Phillies","true",NA,"rgba(153, 171, 0, 1.0)","KC","Knuckle Curve",87.7,80.5,7,0.9,0.4298,6.6011,27.305,-40.6359,4.6407,-5.1488,-0.5936,1.7997,4.4804,-127.6506,0.1043,-2.9771,50.0025,4.9685,7.6262,12,10.8,24,2703,57,90.1,-26,5,NA,NA,NA,TRUE,-44.6,-9,-9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716817,"2023-08-28",0,"2023-08-29T01:20:10.472Z","2023-08-29T01:20:13.893Z",TRUE,"pitch","1f945615-083e-4ebe-81e6-60c4f45c59ea",1,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,1,2,NA,NA,3.09,1.46,NA,82.87,205.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"77","atBat","Groundout","field_out","Luis Rengifo grounds out, shortstop Trea Turner to first baseman Bryce Harper.",0,4,6,77,"top",9,"2023-08-29T01:19:49.259Z","2023-08-29T01:20:36.714Z",TRUE,FALSE,FALSE,TRUE,0,0,1,3,650859,"Luis Rengifo","/api/v1/people/650859","L","Left",518886,"Craig Kimbrel","/api/v1/people/518886","R","Right","vs_RHP","vs_LHB","Empty",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels","Philadelphia Phillies","false",NA,"rgba(153, 171, 0, 1.0)","KC","Knuckle Curve",87.4,81.4,14,0.89,0.4291,6.7469,23.7198,-38.0544,4.003,-3.5493,0.8953,1.2503,8.0091,-127.1871,-1.7737,-2.8029,50.0061,4.9475,6.623,12,9.6,24,2650,59,NA,NA,NA,NA,NA,NA,FALSE,-42.1,-6.6,-8.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716817,"2023-08-28",2,"2023-08-29T01:19:27.419Z","2023-08-29T01:19:37.137Z",TRUE,"pitch","e3947dd5-1a8c-41a6-8a0c-37dae65f1456",3,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",2,0,1,NA,NA,3.43,1.61,NA,106.65,175.72,"fly_ball","medium","8",138.39,101.93,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Flyout","field_out","Mike Moustakas flies out to center fielder Johan Rojas.",0,4,6,76,"top",9,"2023-08-29T01:18:27.872Z","2023-08-29T01:19:37.137Z",TRUE,FALSE,FALSE,TRUE,0,2,0,2,519058,"Mike Moustakas","/api/v1/people/519058","L","Left",518886,"Craig Kimbrel","/api/v1/people/518886","R","Right","vs_RHP","vs_LHB","Empty",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels","Philadelphia Phillies","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.8,87.7,5,0.9,0.3932,6.8473,29.9226,-16.0497,-7.5747,8.199,0.2714,2.3356,11.4113,-139.062,-3.2624,-2.893,50.0045,4.5827,-14.901,37.2,4.8,24,2227,225,95.7,54,247,NA,NA,NA,TRUE,-15.5,14.4,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716817,"2023-08-28",1,"2023-08-29T01:19:08.139Z","2023-08-29T01:19:13.414Z",TRUE,"pitch","b03c6021-a9b5-4f82-944d-ac81474faacb",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,0,1,NA,NA,3.4318,1.5868,NA,131.41,120.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Flyout","field_out","Mike Moustakas flies out to center fielder Johan Rojas.",0,4,6,76,"top",9,"2023-08-29T01:18:27.872Z","2023-08-29T01:19:37.137Z",TRUE,FALSE,FALSE,TRUE,0,2,0,2,519058,"Mike Moustakas","/api/v1/people/519058","L","Left",518886,"Craig Kimbrel","/api/v1/people/518886","R","Right","vs_RHP","vs_LHB","Empty",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels","Philadelphia Phillies","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.5,87.3,11,0.89,0.3939,6.7647,30.3934,-17.8604,-6.7293,7.3053,-0.3781,4.3776,8.9207,-138.9106,1.5283,-2.753,50.0015,5.0059,-13.1841,32.4,4.8,24,2228,220,NA,NA,NA,NA,NA,NA,FALSE,-16.2,13.8,10.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716817,"2023-08-28",0,"2023-08-29T01:18:50.658Z","2023-08-29T01:18:54.708Z",TRUE,"pitch","d5bc0573-4935-4057-a88f-4dd70b6917d9",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,1,NA,NA,3.4318,1.6589,NA,161.96,135.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Flyout","field_out","Mike Moustakas flies out to center fielder Johan Rojas.",0,4,6,76,"top",9,"2023-08-29T01:18:27.872Z","2023-08-29T01:19:37.137Z",TRUE,FALSE,FALSE,TRUE,0,2,0,2,519058,"Mike Moustakas","/api/v1/people/519058","L","Left",518886,"Craig Kimbrel","/api/v1/people/518886","R","Right","vs_RHP","vs_LHB","Empty",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels","Philadelphia Phillies","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.8,87.4,11,0.91,0.3929,6.8536,30.9517,-13.6623,-6.2127,9.4026,-1.1796,3.816,7.0891,-139.3424,-0.4592,-2.948,50.0034,4.8847,-12.2331,37.2,3.6,24,2284,218,NA,NA,NA,NA,NA,NA,FALSE,-12.7,17.2,9.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716817,"2023-08-28",3,"2023-08-29T01:18:14.343Z","2023-08-29T01:18:20.553Z",TRUE,"pitch","b848eaa9-c299-48d3-835a-76584df0f324",2,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,1,0,NA,NA,3.64,1.77,NA,99.5,180.79,"line_drive","medium","9",191.84,108.66,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Lineout","field_out","Brandon Drury lines out to right fielder Nick Castellanos.",0,4,6,75,"top",9,"2023-08-29T01:17:52.547Z","2023-08-29T01:18:20.553Z",TRUE,FALSE,FALSE,TRUE,0,0,1,1,592273,"Brandon Drury","/api/v1/people/592273","R","Right",518886,"Craig Kimbrel","/api/v1/people/518886","R","Right","vs_RHP","vs_RHB","Empty",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels","Philadelphia Phillies",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",97.2,88,9,0.91,0.3896,6.7884,34.746,-15.9739,-6.4105,8.1089,0.4591,2.1476,11.0168,-141.084,-4.3532,-2.6794,50.0062,4.7537,-12.8132,31.2,3.6,24,2332,221,97.1,17,278,NA,NA,NA,TRUE,-15.5,13.8,9.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716817,"2023-08-28",2,"2023-08-29T01:17:54.903Z","2023-08-29T01:17:58.866Z",TRUE,"pitch","8550a095-3364-4897-b074-e229d5d283e8",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,0,NA,NA,3.451,1.683,NA,103.75,187.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Lineout","field_out","Brandon Drury lines out to right fielder Nick Castellanos.",0,4,6,75,"top",9,"2023-08-29T01:17:52.547Z","2023-08-29T01:18:20.553Z",TRUE,FALSE,FALSE,TRUE,0,0,1,1,592273,"Brandon Drury","/api/v1/people/592273","R","Right",518886,"Craig Kimbrel","/api/v1/people/518886","R","Right","vs_RHP","vs_RHB","Empty",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels","Philadelphia Phillies",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96.3,87.2,9,0.91,0.3935,6.8222,34.3398,-15.7319,-7.2825,8.3993,0.3475,1.9006,11.1279,-139.7168,-5.1807,-2.7589,50.0052,4.829,-14.2607,34.8,4.8,24,2298,218,NA,NA,NA,NA,NA,NA,FALSE,-15.7,14.2,10.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716817,"2023-08-28",0,"2023-08-29T01:15:58.165Z","2023-08-29T01:17:41.065Z",FALSE,"action",NA,NA,"Pitching Change: Craig Kimbrel replaces Gregory Soto.","Pitching Substitution",4,6,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,518886,"/api/v1/people/518886",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pitching_substitution",NA,"1","Pitcher","Pitcher","P",NA,"75","atBat","Lineout","field_out","Brandon Drury lines out to right fielder Nick Castellanos.",0,4,6,75,"top",9,"2023-08-29T01:17:52.547Z","2023-08-29T01:18:20.553Z",TRUE,FALSE,FALSE,TRUE,0,0,1,1,592273,"Brandon Drury","/api/v1/people/592273","R","Right",518886,"Craig Kimbrel","/api/v1/people/518886","R","Right","vs_RHP","vs_RHB","Empty",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels","Philadelphia Phillies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716817,"2023-08-28",1,"2023-08-29T01:17:41.065Z","2023-08-29T01:17:54.903Z",FALSE,"action",NA,NA,"Mound Visit.","Mound Visit",4,6,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mound_visit",NA,NA,NA,NA,NA,NA,"75","atBat","Lineout","field_out","Brandon Drury lines out to right fielder Nick Castellanos.",0,4,6,75,"top",9,"2023-08-29T01:17:52.547Z","2023-08-29T01:18:20.553Z",TRUE,FALSE,FALSE,TRUE,0,0,1,1,592273,"Brandon Drury","/api/v1/people/592273","R","Right",518886,"Craig Kimbrel","/api/v1/people/518886","R","Right","vs_RHP","vs_RHB","Empty",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels","Philadelphia Phillies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716817,"2023-08-28",4,"2023-08-29T01:14:28.190Z","2023-08-29T01:14:35.518Z",TRUE,"pitch","15023126-57c8-4cf3-a2fd-517ee22057ab",4,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,2,2,NA,NA,3.2,1.54,NA,95.29,148.33,"ground_ball","medium","3",163.58,167.71,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Groundout","field_out","Kyle Schwarber grounds out to first baseman Nolan Schanuel.",0,4,6,74,"bottom",8,"2023-08-29T01:12:40.824Z","2023-08-29T01:14:35.518Z",TRUE,FALSE,FALSE,TRUE,0,1,2,3,656941,"Kyle Schwarber","/api/v1/people/656941","L","Left",608678,"Dominic Leone","/api/v1/people/608678","R","Right","vs_RHP","vs_LHB","Empty",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Philadelphia Phillies","Los Angeles Angels",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.5,88.1,12,2,0.3927,6.1699,28.2812,-15.8454,-2.6344,8.2685,0.5695,3.3501,8.4828,-138.9715,-4.1936,-2.1673,50.0069,5.9166,-5.2063,12,3.6,24,2207,213,95.2,-8,23,NA,NA,NA,TRUE,-15.4,14.4,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
