"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isBaseRunningPlay","details.disengagementNum","isSubstitution","base","replacedPlayer.id","replacedPlayer.link","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link"
717036,"2023-08-12",0,"2023-08-12T03:34:41.943Z","2023-08-12T03:34:49.699Z",TRUE,"pitch","f69dbfc2-4dc9-4d64-80ae-0a91e0e2289e",1,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,0,2,NA,NA,3.29,1.54,NA,131.8,194.37,"ground_ball","medium","1",128.96,181.71,NA,NA,NA,NA,NA,NA,NA,NA,"91","atBat","Groundout","field_out","Oscar Colas grounds out to pitcher Abner Uribe.",0,7,6,91,"bottom",10,"2023-08-12T03:34:24.245Z","2023-08-12T03:34:49.699Z",TRUE,FALSE,FALSE,TRUE,0,0,0,3,693049,"Oscar Colás","/api/v1/people/693049","L","Left",682842,"Abner Uribe","/api/v1/people/682842","R","Right","vs_RHP","vs_LHB","Empty",NA,"Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Chicago White Sox","Milwaukee Brewers","true",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",100.1,92.1,7,0.93,0.3755,6.3748,32.7982,-18.43,-8.2661,6.3719,-0.3881,1.645,3.1647,-145.6107,-8.7139,-0.4125,50.0007,5.7818,-17.8253,39.6,4.8,24,2273,216,99.1,-5,16,NA,NA,NA,TRUE,-17.2,10.1,14.4,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717036,"2023-08-12",5,"2023-08-12T03:34:05.872Z","2023-08-12T03:34:13.534Z",TRUE,"pitch","90d50ccb-c74b-4dfd-983a-909839c9162a",4,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,2,1,NA,NA,3.41,1.68,NA,112.7,166.19,"ground_ball","hard","3",149.55,165.36,NA,NA,NA,NA,NA,NA,NA,NA,"90","atBat","Groundout","field_out","Gavin Sheets grounds out sharply to first baseman Carlos Santana. Luis Robert Jr. to 3rd.",0,7,6,90,"bottom",10,"2023-08-12T03:32:55.744Z","2023-08-12T03:34:13.534Z",TRUE,FALSE,FALSE,TRUE,0,1,2,2,657757,"Gavin Sheets","/api/v1/people/657757","L","Left",682842,"Abner Uribe","/api/v1/people/682842","R","Right","vs_RHP","vs_LHB","RISP",NA,"Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Chicago White Sox","Milwaukee Brewers",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",100.1,92.1,5,0.9,0.3752,6.638,32.4421,-23.1347,-9.0939,4.1849,0.1127,2.6885,5.5025,-145.6665,-5.1378,-0.6136,50.0068,5.8636,-19.6554,37.2,6,24,2292,210,109.5,-22,7,NA,NA,NA,TRUE,-20.4,6.8,15.5,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,673357,"Luis Robert Jr.","/api/v1/people/673357",NA,NA,NA
717036,"2023-08-12",4,"2023-08-12T03:33:45.157Z","2023-08-12T03:33:49.008Z",TRUE,"pitch","e630eb0e-cfee-4fab-a181-431d41fbb5ec",3,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,2,1,NA,NA,3.41,1.68,NA,152.85,191.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"90","atBat","Groundout","field_out","Gavin Sheets grounds out sharply to first baseman Carlos Santana. Luis Robert Jr. to 3rd.",0,7,6,90,"bottom",10,"2023-08-12T03:32:55.744Z","2023-08-12T03:34:13.534Z",TRUE,FALSE,FALSE,TRUE,0,1,2,2,657757,"Gavin Sheets","/api/v1/people/657757","L","Left",682842,"Abner Uribe","/api/v1/people/682842","R","Right","vs_RHP","vs_LHB","RISP",NA,"Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Chicago White Sox","Milwaukee Brewers",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",100.6,92.8,13,0.93,0.3733,6.6261,32.6217,-23.7008,-8.6652,3.8842,-0.9406,1.7329,2.2239,-146.4033,-7.7056,-0.581,50.007,5.804,-18.9283,36,6,24,2116,216,NA,NA,NA,NA,NA,NA,FALSE,-21.1,5.8,15.4,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717036,"2023-08-12",3,"2023-08-12T03:33:19.150Z","2023-08-12T03:33:22.150Z",TRUE,"pitch","71d6ced2-4b90-49d5-b74e-689cb49fe6c9",2,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,1,1,NA,NA,3.41,1.68,NA,116.17,180.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"90","atBat","Groundout","field_out","Gavin Sheets grounds out sharply to first baseman Carlos Santana. Luis Robert Jr. to 3rd.",0,7,6,90,"bottom",10,"2023-08-12T03:32:55.744Z","2023-08-12T03:34:13.534Z",TRUE,FALSE,FALSE,TRUE,0,1,2,2,657757,"Gavin Sheets","/api/v1/people/657757","L","Left",682842,"Abner Uribe","/api/v1/people/682842","R","Right","vs_RHP","vs_LHB","RISP",NA,"Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Chicago White Sox","Milwaukee Brewers",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",99.7,92.2,8,0.93,0.376,6.4371,30.701,-19.4213,-7.7802,5.9213,0.0217,2.1666,4.7672,-145.1155,-7.0979,-0.6227,50.0063,5.8071,-16.7668,37.2,4.8,24,2164,214,NA,NA,NA,NA,NA,NA,FALSE,-17.6,9.6,13.3,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717036,"2023-08-12",2,"2023-08-12T03:32:58.143Z","2023-08-12T03:33:01.661Z",TRUE,"pitch","d723cbdc-5981-4acf-93de-011867111a1a",1,"Ball In Dirt",NA,NA,NA,NA,FALSE,"*B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"*B","Ball In Dirt",1,0,1,NA,NA,3.2838,1.6397,NA,80.97,226.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"90","atBat","Groundout","field_out","Gavin Sheets grounds out sharply to first baseman Carlos Santana. Luis Robert Jr. to 3rd.",0,7,6,90,"bottom",10,"2023-08-12T03:32:55.744Z","2023-08-12T03:34:13.534Z",TRUE,FALSE,FALSE,TRUE,0,1,2,2,657757,"Gavin Sheets","/api/v1/people/657757","L","Left",682842,"Abner Uribe","/api/v1/people/682842","R","Right","vs_RHP","vs_LHB","RISP",NA,"Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Chicago White Sox","Milwaukee Brewers",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",99.2,90.9,14,0.91,0.3808,6.5877,33.7815,-21.7795,-9.1813,4.964,0.9451,0.4387,7.1292,-143.8992,-10.9531,-0.3732,50.0046,5.6472,-19.2326,36,6,24,2184,214,NA,NA,NA,NA,NA,NA,FALSE,-21.1,6.8,15.1,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717036,"2023-08-12",0,"2023-08-12T03:31:41.667Z","2023-08-12T03:31:49.010Z",FALSE,"action",NA,NA,"Offensive Substitution: Pinch-hitter Gavin Sheets replaces Trayce Thompson.","Offensive Substitution",7,6,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,1,657757,"/api/v1/people/657757",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"offensive_substitution",NA,"11","Pinch Hitter","Hitter","PH","701","90","atBat","Groundout","field_out","Gavin Sheets grounds out sharply to first baseman Carlos Santana. Luis Robert Jr. to 3rd.",0,7,6,90,"bottom",10,"2023-08-12T03:32:55.744Z","2023-08-12T03:34:13.534Z",TRUE,FALSE,FALSE,TRUE,0,1,2,2,657757,"Gavin Sheets","/api/v1/people/657757","L","Left",682842,"Abner Uribe","/api/v1/people/682842","R","Right","vs_RHP","vs_LHB","RISP",NA,"Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Chicago White Sox","Milwaukee Brewers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,TRUE,NA,572204,"/api/v1/people/572204",TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717036,"2023-08-12",1,"2023-08-12T03:31:49.010Z","2023-08-12T03:32:58.143Z",FALSE,"action",NA,NA,"Mound Visit.","Mound Visit",7,6,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mound_visit",NA,NA,NA,NA,NA,NA,"90","atBat","Groundout","field_out","Gavin Sheets grounds out sharply to first baseman Carlos Santana. Luis Robert Jr. to 3rd.",0,7,6,90,"bottom",10,"2023-08-12T03:32:55.744Z","2023-08-12T03:34:13.534Z",TRUE,FALSE,FALSE,TRUE,0,1,2,2,657757,"Gavin Sheets","/api/v1/people/657757","L","Left",682842,"Abner Uribe","/api/v1/people/682842","R","Right","vs_RHP","vs_LHB","RISP",NA,"Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Chicago White Sox","Milwaukee Brewers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717036,"2023-08-12",10,"2023-08-12T03:31:10.111Z","2023-08-12T03:31:20.190Z",TRUE,"pitch","11877292-bd67-4209-a75e-922c1d472210",5,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,2,0,NA,NA,3.09,1.41,NA,143.21,178.03,"fly_ball","medium","7",72.63,144.16,NA,NA,NA,NA,NA,NA,NA,NA,"89","atBat","Flyout","field_out","Yasmani Grandal flies out to left fielder Christian Yelich.",0,7,6,89,"bottom",10,"2023-08-12T03:29:13.590Z","2023-08-12T03:31:20.190Z",TRUE,FALSE,FALSE,TRUE,0,1,2,1,518735,"Yasmani Grandal","/api/v1/people/518735","L","Left",682842,"Abner Uribe","/api/v1/people/682842","R","Right","vs_RHP","vs_LHB","RISP",NA,"Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Chicago White Sox","Milwaukee Brewers",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",100.2,92.4,4,0.93,0.3745,6.5698,32.0595,-21.8869,-8.6775,4.7372,-0.6876,2.2499,3.0638,-145.8784,-6.7738,-0.6198,50.0012,5.907,-18.8308,38.4,6,24,2110,212,84.9,56,224,NA,NA,NA,TRUE,-19.6,7.6,15.2,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,673357,"Luis Robert Jr.","/api/v1/people/673357"
717036,"2023-08-12",8,"2023-08-12T03:30:19.124Z","2023-08-12T03:30:24.782Z",TRUE,"pitch","b0e1dee0-daff-4301-af63-852bbfdbfc97",4,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,2,0,NA,NA,2.8556,1.3699,NA,34.73,204.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"89","atBat","Flyout","field_out","Yasmani Grandal flies out to left fielder Christian Yelich.",0,7,6,89,"bottom",10,"2023-08-12T03:29:13.590Z","2023-08-12T03:31:20.190Z",TRUE,FALSE,FALSE,TRUE,0,1,2,1,518735,"Yasmani Grandal","/api/v1/people/518735","L","Left",682842,"Abner Uribe","/api/v1/people/682842","R","Right","vs_RHP","vs_LHB","RISP",NA,"Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Chicago White Sox","Milwaukee Brewers",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",91.8,85.6,14,0.87,0.4078,6.4495,24.9921,-24.4699,1.5157,4.2048,2.1583,1.2567,6.0842,-133.5918,-7.5179,-0.3329,50.0062,5.8298,2.777,8.4,6,24,2611,149,NA,NA,NA,NA,NA,NA,FALSE,-25.7,6.4,-3.8,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717036,"2023-08-12",7,"2023-08-12T03:29:57.601Z","2023-08-12T03:30:00.863Z",TRUE,"pitch","f4581b18-fbe9-4c27-9535-2d4d0e3afb72",3,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,2,0,NA,NA,3.09,1.41,NA,104.66,209.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"89","atBat","Flyout","field_out","Yasmani Grandal flies out to left fielder Christian Yelich.",0,7,6,89,"bottom",10,"2023-08-12T03:29:13.590Z","2023-08-12T03:31:20.190Z",TRUE,FALSE,FALSE,TRUE,0,1,2,1,518735,"Yasmani Grandal","/api/v1/people/518735","L","Left",682842,"Abner Uribe","/api/v1/people/682842","R","Right","vs_RHP","vs_LHB","RISP",NA,"Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Chicago White Sox","Milwaukee Brewers",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",100.8,93.2,14,0.92,0.3725,6.5412,31.9397,-21.5796,-8.102,4.8279,0.3238,1.0667,5.5784,-146.573,-9.9758,-0.5434,50.0021,5.7821,-17.7748,34.8,4.8,24,2205,213,NA,NA,NA,NA,NA,NA,FALSE,-19.7,7.1,13.7,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
