"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isSubstitution","isBaseRunningPlay","replacedPlayer.id","replacedPlayer.link","reviewDetails.isOverturned.x","reviewDetails.inProgress.x","reviewDetails.reviewType.x","reviewDetails.challengeTeamId.x","base","details.disengagementNum","result.isOut","about.isTopInning","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","reviewDetails.isOverturned.y","reviewDetails.inProgress.y","reviewDetails.reviewType.y","reviewDetails.challengeTeamId.y"
716607,"2023-09-13",5,"2023-09-13T20:02:42.880Z","2023-09-13T20:02:46.400Z",TRUE,"pitch","2de77fc1-e59f-4480-bd79-0bda62792dcf",3,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,3,2,NA,NA,3.17,1.53,NA,61.5,179.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Strikeout","strikeout","Christian Vazquez strikes out swinging.",0,5,4,75,"bottom",9,"2023-09-13T20:01:58.822Z","2023-09-13T20:02:46.400Z",TRUE,FALSE,FALSE,TRUE,14,0,3,3,543877,"Christian Vázquez","/api/v1/people/543877","R","Right",596112,"Robert Stephenson","/api/v1/people/596112","R","Right","vs_RHP","vs_RHB","Empty",NA,"Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Tampa Bay Rays",NA,NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",86.9,80.2,14,0.89,0.4325,5.9682,25.4891,-32.1886,0.2984,-0.0124,1.4559,2.2043,4.6781,-126.5783,-3.3936,-0.4537,50.0004,6.1357,0.4841,2.4,8.4,24,3042,26,NA,NA,NA,NA,NA,NA,TRUE,-36.6,-0.6,-1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716607,"2023-09-13",4,"2023-09-13T20:02:16.616Z","2023-09-13T20:02:22.847Z",TRUE,"pitch","1b50d88a-5023-46b5-a320-c1afa8a081d8",2,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,2,2,NA,NA,3.17,1.53,NA,92.86,193.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Strikeout","strikeout","Christian Vazquez strikes out swinging.",0,5,4,75,"bottom",9,"2023-09-13T20:01:58.822Z","2023-09-13T20:02:46.400Z",TRUE,FALSE,FALSE,TRUE,14,0,3,3,543877,"Christian Vázquez","/api/v1/people/543877","R","Right",596112,"Robert Stephenson","/api/v1/people/596112","R","Right","vs_RHP","vs_RHB","Empty",NA,"Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Tampa Bay Rays",NA,NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",89.7,83.2,9,0.93,0.418,5.9258,25.2214,-28.6732,-2.8871,2.0073,0.6333,1.6841,4.5082,-130.5858,-5.6067,-0.7334,50.0021,5.9924,-5.0307,8.4,7.2,24,3099,324,NA,NA,NA,NA,NA,NA,FALSE,-31.1,2.8,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716607,"2023-09-13",3,"2023-09-13T20:02:01.164Z","2023-09-13T20:02:05.190Z",TRUE,"pitch","d6fa72d4-a9a4-4e67-903a-d53d37b5836b",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,2,NA,NA,2.9234,1.4443,NA,96.96,182.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Strikeout","strikeout","Christian Vazquez strikes out swinging.",0,5,4,75,"bottom",9,"2023-09-13T20:01:58.822Z","2023-09-13T20:02:46.400Z",TRUE,FALSE,FALSE,TRUE,14,0,3,3,543877,"Christian Vázquez","/api/v1/people/543877","R","Right",596112,"Robert Stephenson","/api/v1/people/596112","R","Right","vs_RHP","vs_RHB","Empty",NA,"Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Tampa Bay Rays",NA,NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",89.8,83,6,0.93,0.4179,6.0416,26.3154,-28.4093,-1.8784,2.1666,0.5256,2.0799,4.0646,-130.8109,-4.7868,-0.8009,50.0061,6.0509,-3.2719,4.8,7.2,24,2932,223,NA,NA,NA,NA,NA,NA,FALSE,-30.6,3.1,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716607,"2023-09-13",0,"2023-09-13T19:59:12.822Z","2023-09-13T19:59:18.467Z",FALSE,"action",NA,NA,"Offensive Substitution: Pinch-hitter Christian Vazquez replaces Edouard Julien.","Offensive Substitution",5,4,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,2,543877,"/api/v1/people/543877",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"offensive_substitution",NA,"11","Pinch Hitter","Hitter","PH","101","75","atBat","Strikeout","strikeout","Christian Vazquez strikes out swinging.",0,5,4,75,"bottom",9,"2023-09-13T20:01:58.822Z","2023-09-13T20:02:46.400Z",TRUE,FALSE,FALSE,TRUE,14,0,3,3,543877,"Christian Vázquez","/api/v1/people/543877","R","Right",596112,"Robert Stephenson","/api/v1/people/596112","R","Right","vs_RHP","vs_RHB","Empty",NA,"Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Tampa Bay Rays",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,TRUE,NA,666397,"/api/v1/people/666397",NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716607,"2023-09-13",1,"2023-09-13T19:59:18.467Z","2023-09-13T20:00:20.602Z",FALSE,"action",NA,NA,"Mound Visit.","Mound Visit",5,4,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mound_visit",NA,NA,NA,NA,NA,NA,"75","atBat","Strikeout","strikeout","Christian Vazquez strikes out swinging.",0,5,4,75,"bottom",9,"2023-09-13T20:01:58.822Z","2023-09-13T20:02:46.400Z",TRUE,FALSE,FALSE,TRUE,14,0,3,3,543877,"Christian Vázquez","/api/v1/people/543877","R","Right",596112,"Robert Stephenson","/api/v1/people/596112","R","Right","vs_RHP","vs_RHB","Empty",NA,"Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Tampa Bay Rays",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716607,"2023-09-13",2,"2023-09-13T20:00:20.602Z","2023-09-13T20:02:01.164Z",FALSE,"action",NA,NA,"Pitching Change: Robert Stephenson replaces Colin Poche.","Pitching Substitution",5,4,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,2,596112,"/api/v1/people/596112",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pitching_substitution",NA,"1","Pitcher","Pitcher","P",NA,"75","atBat","Strikeout","strikeout","Christian Vazquez strikes out swinging.",0,5,4,75,"bottom",9,"2023-09-13T20:01:58.822Z","2023-09-13T20:02:46.400Z",TRUE,FALSE,FALSE,TRUE,14,0,3,3,543877,"Christian Vázquez","/api/v1/people/543877","R","Right",596112,"Robert Stephenson","/api/v1/people/596112","R","Right","vs_RHP","vs_RHB","Empty",NA,"Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Tampa Bay Rays",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716607,"2023-09-13",10,"2023-09-13T19:58:45.713Z","2023-09-13T19:58:57.570Z",TRUE,"pitch","e0ed9a68-400b-4f1c-8374-9be3c7b62366",6,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",2,2,1,NA,NA,3.37,1.51,NA,104.34,146.56,"fly_ball","medium","8",119.88,60.37,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Flyout","field_out","Kyle Farmer flies out to center fielder Luke Raley.",0,5,4,74,"bottom",9,"2023-09-13T19:56:22.791Z","2023-09-13T19:58:57.570Z",TRUE,FALSE,FALSE,TRUE,0,2,2,2,571657,"Kyle Farmer","/api/v1/people/571657","R","Right",621363,"Colin Poche","/api/v1/people/621363","L","Left","vs_LHP","vs_RHB","RISP",NA,"Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Tampa Bay Rays",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",91,83.3,3,0.89,0.4132,7.1048,28.2505,-11.1094,-2.1686,11.834,0.3321,3.4157,-1.0751,-132.5499,-5.2259,1.0247,50.0034,6.2236,-3.8595,18,2.4,24,2294,186,95.7,30,374,NA,NA,NA,TRUE,-12.5,20.5,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,664057,"Andrew Stevenson","/api/v1/people/664057",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716607,"2023-09-13",9,"2023-09-13T19:58:24.368Z","2023-09-13T19:58:28.411Z",TRUE,"pitch","d64174a3-ed05-4c8a-afc0-d7c933726a5d",5,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",2,2,1,NA,NA,3.37,1.51,NA,135.02,181.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Flyout","field_out","Kyle Farmer flies out to center fielder Luke Raley.",0,5,4,74,"bottom",9,"2023-09-13T19:56:22.791Z","2023-09-13T19:58:57.570Z",TRUE,FALSE,FALSE,TRUE,0,2,2,2,571657,"Kyle Farmer","/api/v1/people/571657","R","Right",621363,"Colin Poche","/api/v1/people/621363","L","Left","vs_LHP","vs_RHB","RISP",NA,"Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Tampa Bay Rays",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",84.3,78,4,0.9,0.4454,7.2837,23.048,-27.1855,-2.7497,3.2532,-0.4729,2.1332,-2.6781,-122.7292,-4.2654,0.9876,50.0039,6.1947,-4.2174,9.6,7.2,24,2551,249,NA,NA,NA,NA,NA,NA,FALSE,-33.1,5.2,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716607,"2023-09-13",7,"2023-09-13T19:57:48.100Z","2023-09-13T19:57:51.955Z",TRUE,"pitch","5b4618b0-b01d-4b20-9e2f-2403f66ab8ad",4,"Foul Tip",NA,NA,NA,NA,FALSE,"T","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"T","Foul Tip",2,2,1,NA,NA,3.37,1.51,NA,107.35,196.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Flyout","field_out","Kyle Farmer flies out to center fielder Luke Raley.",0,5,4,74,"bottom",9,"2023-09-13T19:56:22.791Z","2023-09-13T19:58:57.570Z",TRUE,FALSE,FALSE,TRUE,0,2,2,2,571657,"Kyle Farmer","/api/v1/people/571657","R","Right",621363,"Colin Poche","/api/v1/people/621363","L","Left","vs_LHP","vs_RHB","RISP",NA,"Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Tampa Bay Rays",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",83.6,77.9,8,0.89,0.4475,7.2307,21.445,-27.8427,-3.9834,2.8453,0.2531,1.584,-0.6994,-121.8755,-5.4048,1.0609,50.0017,6.2026,-6.0586,12,8.4,24,2419,228,NA,NA,NA,NA,NA,NA,FALSE,-34.4,4.3,7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716607,"2023-09-13",6,"2023-09-13T19:57:29.312Z","2023-09-13T19:57:32.612Z",TRUE,"pitch","50c9b4a6-fc6e-4c15-b919-76ee8f516004",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,1,1,NA,NA,3.36,1.5313,NA,116.35,117.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Flyout","field_out","Kyle Farmer flies out to center fielder Luke Raley.",0,5,4,74,"bottom",9,"2023-09-13T19:56:22.791Z","2023-09-13T19:58:57.570Z",TRUE,FALSE,FALSE,TRUE,0,2,2,2,571657,"Kyle Farmer","/api/v1/people/571657","R","Right",621363,"Colin Poche","/api/v1/people/621363","L","Left","vs_LHP","vs_RHB","RISP",NA,"Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Tampa Bay Rays",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",92.3,84.3,12,0.9,0.4076,7.1697,29.3647,-11.4278,-0.9552,11.3479,0.0171,4.4941,-2.7183,-134.4239,-2.6659,1.166,50.0058,6.3109,-1.7471,10.8,2.4,24,2404,182,NA,NA,NA,NA,NA,NA,FALSE,-11.9,20.2,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
