"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isSubstitution","details.disengagementNum","replacedPlayer.id","replacedPlayer.link","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link"
716972,"2023-08-16",3,"2023-08-17T01:37:23.667Z","2023-08-17T01:37:30.673Z",TRUE,"pitch","ab375451-7512-4965-89f7-f90cb7f09518",4,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,3,2,NA,NA,3.71,1.79,NA,149.8,208.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"84","atBat","Strikeout","strikeout","Josh Bell strikes out swinging.",0,12,5,84,"bottom",9,"2023-08-17T01:36:17.288Z","2023-08-17T01:37:30.673Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,605137,"Josh Bell","/api/v1/people/605137","R","Right",656786,"Parker Mushinski","/api/v1/people/656786","L","Left","vs_LHP","vs_RHB","Empty",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Miami Marlins","Houston Astros","true",NA,"rgba(0, 34, 255, 1.0)","CU","Curveball",83.3,76,13,2,0.4547,6.5742,27.5831,-43.0121,-4.1026,-7.4111,-0.8605,1.1305,-1.8674,-121.2782,-1.2959,0.4565,50.0005,5.4827,-6.0029,8.4,12,24,2789,316,NA,NA,NA,NA,NA,NA,TRUE,-53.3,-13.4,7.9,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716972,"2023-08-16",2,"2023-08-17T01:37:06.281Z","2023-08-17T01:37:09.559Z",TRUE,"pitch","00d92740-0934-4987-b601-303e867f30d5",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,2,2,NA,NA,3.7226,1.7437,NA,88.73,145.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"84","atBat","Strikeout","strikeout","Josh Bell strikes out swinging.",0,12,5,84,"bottom",9,"2023-08-17T01:36:17.288Z","2023-08-17T01:37:30.673Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,605137,"Josh Bell","/api/v1/people/605137","R","Right",656786,"Parker Mushinski","/api/v1/people/656786","L","Left","vs_LHP","vs_RHB","Empty",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Miami Marlins","Houston Astros","false",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",90.7,83,3,2,0.4146,6.6828,28.0382,-19.9469,-2.8401,6.9161,0.7417,3.4522,1.7545,-132.0801,-1.531,0.4379,50.0001,5.5056,-5.0189,13.2,4.8,24,2608,184,NA,NA,NA,NA,NA,NA,FALSE,-20.8,12.4,4.8,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716972,"2023-08-16",1,"2023-08-17T01:36:48.680Z","2023-08-17T01:36:51.791Z",TRUE,"pitch","b28d564e-6ce6-4df9-ad52-c6a04b3216b8",2,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,2,2,NA,NA,3.71,1.79,NA,144.43,140.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"84","atBat","Strikeout","strikeout","Josh Bell strikes out swinging.",0,12,5,84,"bottom",9,"2023-08-17T01:36:17.288Z","2023-08-17T01:37:30.673Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,605137,"Josh Bell","/api/v1/people/605137","R","Right",656786,"Parker Mushinski","/api/v1/people/656786","L","Left","vs_LHP","vs_RHB","Empty",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Miami Marlins","Houston Astros","false",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",91.4,83.7,1,2,0.4112,6.7643,28.4812,-17.2671,-2.7842,8.2952,-0.7195,3.6571,-1.8642,-133.1885,-1.5946,0.3512,50.0046,5.5117,-5.0047,16.8,3.6,24,2630,174,NA,NA,NA,NA,NA,NA,FALSE,-17.8,14.9,5.4,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716972,"2023-08-16",0,"2023-08-17T01:36:32.508Z","2023-08-17T01:36:36.579Z",TRUE,"pitch","b285b3ac-25e3-41bf-abb6-f9fbf5822c07",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,2,NA,NA,3.8023,1.8248,NA,129.86,181.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"84","atBat","Strikeout","strikeout","Josh Bell strikes out swinging.",0,12,5,84,"bottom",9,"2023-08-17T01:36:17.288Z","2023-08-17T01:37:30.673Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,605137,"Josh Bell","/api/v1/people/605137","R","Right",656786,"Parker Mushinski","/api/v1/people/656786","L","Left","vs_LHP","vs_RHB","Empty",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Miami Marlins","Houston Astros","false",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",90.8,83.4,7,2,0.4138,6.6989,27.6746,-17.9621,-3.3166,8.0066,-0.3374,2.1224,-0.8119,-132.2515,-5.0498,0.4043,50.0015,5.3701,-5.8863,18,4.8,24,2659,179,NA,NA,NA,NA,NA,NA,FALSE,-19.4,13.7,6.2,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716972,"2023-08-16",4,"2023-08-17T01:35:54.232Z","2023-08-17T01:36:06.658Z",TRUE,"pitch","5f271a2b-e6db-4cf6-87c5-592dea55c20d",5,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",2,2,1,NA,NA,3.16,1.5,NA,116.39,138.09,"fly_ball","medium","8",127.12,60.71,NA,NA,NA,NA,NA,NA,NA,NA,"83","atBat","Flyout","field_out","Luis Arraez flies out to center fielder Jake Meyers.",0,12,5,83,"bottom",9,"2023-08-17T01:34:20.220Z","2023-08-17T01:36:06.658Z",TRUE,FALSE,FALSE,TRUE,0,2,2,2,650333,"Luis Arraez","/api/v1/people/650333","L","Left",656786,"Parker Mushinski","/api/v1/people/656786","L","Left","vs_LHP","vs_LHB","Men_On",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Miami Marlins","Houston Astros","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",93.7,85.1,12,2,0.4025,6.7761,31.6532,-14.9772,0.8142,9.1842,0.0159,3.7291,-1.3085,-136.3928,-1.9528,0.3974,50.0063,5.4941,1.5253,4.8,3.6,24,2513,164,93.4,35,344,NA,NA,NA,TRUE,-14.9,16.3,-1.2,NA,NA,NA,NA,TRUE,FALSE,624585,"Jorge Soler","/api/v1/people/624585",NA,NA,NA,NA,NA,NA
716972,"2023-08-16",3,"2023-08-17T01:35:30.950Z","2023-08-17T01:35:34.300Z",TRUE,"pitch","610cef16-7d21-4cc9-ac8a-820ffc4b2fb3",4,"Ball In Dirt",NA,NA,NA,NA,FALSE,"*B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"*B","Ball In Dirt",2,2,1,NA,NA,3.0358,1.4552,NA,187.14,214.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"83","atBat","Flyout","field_out","Luis Arraez flies out to center fielder Jake Meyers.",0,12,5,83,"bottom",9,"2023-08-17T01:34:20.220Z","2023-08-17T01:36:06.658Z",TRUE,FALSE,FALSE,TRUE,0,2,2,2,650333,"Luis Arraez","/api/v1/people/650333","L","Left",656786,"Parker Mushinski","/api/v1/people/656786","L","Left","vs_LHP","vs_LHB","Men_On",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Miami Marlins","Houston Astros","false",NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",82.3,75,13,2,0.4602,6.7881,26.4675,-29.725,-9.181,1.7159,-1.8401,0.8812,-2.4209,-119.7301,-3.9783,0.3808,50.0058,5.2705,-13.123,24,9.6,24,2701,298,NA,NA,NA,NA,NA,NA,FALSE,-38.6,2.3,17.3,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716972,"2023-08-16",2,"2023-08-17T01:35:11.675Z","2023-08-17T01:35:16.029Z",TRUE,"pitch","58a1a641-791f-40eb-a92c-7b73a6aea439",3,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",1,2,1,NA,NA,3.0358,1.4347,NA,130.71,184.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"83","atBat","Flyout","field_out","Luis Arraez flies out to center fielder Jake Meyers.",0,12,5,83,"bottom",9,"2023-08-17T01:34:20.220Z","2023-08-17T01:36:06.658Z",TRUE,FALSE,FALSE,TRUE,0,2,2,2,650333,"Luis Arraez","/api/v1/people/650333","L","Left",656786,"Parker Mushinski","/api/v1/people/656786","L","Left","vs_LHP","vs_LHB","Men_On",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Miami Marlins","Houston Astros","false",NA,"rgba(0, 34, 255, 1.0)","CU","Curveball",81,74,4,2,0.467,6.5232,25.2607,-43.0766,-5.2764,-7.8463,-0.3597,2.0136,-0.2045,-117.9003,1.0101,0.4127,50.0047,5.598,-7.328,9.6,13.2,24,2691,323,NA,NA,NA,NA,NA,NA,FALSE,-55.7,-13.6,9.6,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716972,"2023-08-16",1,"2023-08-17T01:34:55.974Z","2023-08-17T01:35:00.077Z",TRUE,"pitch","9f5c49cd-2b41-4cfa-8d48-ef7e8ca70517",2,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",1,1,1,NA,NA,3.0967,1.4758,NA,118.54,162.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"83","atBat","Flyout","field_out","Luis Arraez flies out to center fielder Jake Meyers.",0,12,5,83,"bottom",9,"2023-08-17T01:34:20.220Z","2023-08-17T01:36:06.658Z",TRUE,FALSE,FALSE,TRUE,0,2,2,2,650333,"Luis Arraez","/api/v1/people/650333","L","Left",656786,"Parker Mushinski","/api/v1/people/656786","L","Left","vs_LHP","vs_LHB","Men_On",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Miami Marlins","Houston Astros","false",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",91,83.3,2,2,0.4133,6.6693,28.135,-16.5169,-2.4701,8.7995,-0.0404,2.8094,-0.0868,-132.495,-3.6832,0.3137,50.0003,5.4234,-4.3939,14.4,3.6,24,2611,183,NA,NA,NA,NA,NA,NA,FALSE,-17.6,15.4,4.4,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716972,"2023-08-16",0,"2023-08-17T01:34:39.205Z","2023-08-17T01:34:42.205Z",TRUE,"pitch","3b938f7f-ec31-4714-a8aa-9d96a53b681d",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,1,NA,NA,3.0967,1.5169,NA,58.11,185.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"83","atBat","Flyout","field_out","Luis Arraez flies out to center fielder Jake Meyers.",0,12,5,83,"bottom",9,"2023-08-17T01:34:20.220Z","2023-08-17T01:36:06.658Z",TRUE,FALSE,FALSE,TRUE,0,2,2,2,650333,"Luis Arraez","/api/v1/people/650333","L","Left",656786,"Parker Mushinski","/api/v1/people/656786","L","Left","vs_LHP","vs_LHB","Men_On",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Miami Marlins","Houston Astros","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",94.1,85.2,14,0.92,0.4021,6.7975,34.1262,-18.2758,8.9389,7.4205,1.5451,1.9894,-0.294,-136.9429,-5.554,0.4958,50.0036,5.3204,16.7443,40.8,6,24,2541,158,NA,NA,NA,NA,NA,NA,FALSE,-19,12.2,-16.1,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716972,"2023-08-16",3,"2023-08-17T01:34:05.696Z","2023-08-17T01:34:11.035Z",TRUE,"pitch","2467f6c9-f54b-48bd-826e-34245480c219",4,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",4,0,1,NA,NA,3.521,1.7018,NA,66,144.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"82","atBat","Walk","walk","Jorge Soler walks.",0,12,5,82,"bottom",9,"2023-08-17T01:32:58.454Z","2023-08-17T01:34:11.035Z",TRUE,FALSE,FALSE,FALSE,0,4,0,1,624585,"Jorge Soler","/api/v1/people/624585","R","Right",656786,"Parker Mushinski","/api/v1/people/656786","L","Left","vs_LHP","vs_RHB","Men_On",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Miami Marlins","Houston Astros","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",93.9,85.3,12,2,0.4015,6.6714,32.0686,-13.536,2.0931,9.9056,1.338,3.5078,1.8882,-136.7659,-2.7493,0.3651,50.0021,5.4625,3.938,16.8,3.6,24,2375,154,NA,NA,NA,NA,NA,NA,FALSE,-13.7,17.5,-4.2,NA,NA,NA,NA,FALSE,FALSE,624585,"Jorge Soler","/api/v1/people/624585",NA,NA,NA,NA,NA,NA
