"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isSubstitution","replacedPlayer.id","replacedPlayer.link","base","result.isOut","about.isTopInning","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link"
717250,"2023-07-26",3,"2023-07-26T19:52:46.149Z","2023-07-26T19:52:53.337Z",TRUE,"pitch","be65cd71-0c2f-4e4e-8aca-c49860eeb00b",2,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,1,2,NA,NA,3.54,1.73,NA,103.73,174.46,"ground_ball","medium","4",156.22,160.47,NA,NA,NA,NA,NA,NA,NA,NA,"78","atBat","Groundout","field_out","Max Kepler grounds out, second baseman Kolten Wong to first baseman Ty France.",0,8,7,78,"bottom",9,"2023-07-26T19:52:24.233Z","2023-07-26T19:52:53.337Z",TRUE,FALSE,FALSE,TRUE,0,0,1,3,596146,"Max Kepler","/api/v1/people/596146","L","Left",662253,"Andrés Muñoz","/api/v1/people/662253","R","Right","vs_RHP","vs_LHB","Empty",NA,"Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Seattle Mariners",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",101.4,93.4,6,0.79,0.3704,6.2197,32.0931,-21.4807,-7.2039,4.8172,0.3483,2.3821,9.7919,-147.3842,-3.7798,-2.0673,50.0021,4.9356,-15.9902,32.4,4.8,24,2305,235,99.3,-18,7,NA,NA,NA,TRUE,-18.2,8.2,11.3,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717250,"2023-07-26",2,"2023-07-26T19:52:26.538Z","2023-07-26T19:52:30.299Z",TRUE,"pitch","6ead3491-4004-46ad-838b-380218c52eaa",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,2,NA,NA,3.5886,1.8757,NA,115.89,193.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"78","atBat","Groundout","field_out","Max Kepler grounds out, second baseman Kolten Wong to first baseman Ty France.",0,8,7,78,"bottom",9,"2023-07-26T19:52:24.233Z","2023-07-26T19:52:53.337Z",TRUE,FALSE,FALSE,TRUE,0,0,1,3,596146,"Max Kepler","/api/v1/people/596146","L","Left",662253,"Andrés Muñoz","/api/v1/people/662253","R","Right","vs_RHP","vs_LHB","Empty",NA,"Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Seattle Mariners",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",101.5,93.6,14,0.7,0.37,6.2748,32.1098,-21.3899,-7.2665,4.8501,0.0292,1.6727,9.1617,-147.5363,-5.7,-2.159,50.0057,4.8736,-16.1679,32.4,4.8,24,2354,236,NA,NA,NA,NA,NA,NA,FALSE,-18.5,7.9,11.5,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717250,"2023-07-26",0,"2023-07-26T19:50:54.914Z","2023-07-26T19:52:12.141Z",FALSE,"action",NA,NA,"Mound Visit.","Mound Visit",8,7,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mound_visit",NA,NA,NA,NA,NA,NA,"78","atBat","Groundout","field_out","Max Kepler grounds out, second baseman Kolten Wong to first baseman Ty France.",0,8,7,78,"bottom",9,"2023-07-26T19:52:24.233Z","2023-07-26T19:52:53.337Z",TRUE,FALSE,FALSE,TRUE,0,0,1,3,596146,"Max Kepler","/api/v1/people/596146","L","Left",662253,"Andrés Muñoz","/api/v1/people/662253","R","Right","vs_RHP","vs_LHB","Empty",NA,"Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Seattle Mariners",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717250,"2023-07-26",1,"2023-07-26T19:52:12.141Z","2023-07-26T19:52:26.538Z",FALSE,"action",NA,NA,"Mound Visit.","Mound Visit",8,7,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mound_visit",NA,NA,NA,NA,NA,NA,"78","atBat","Groundout","field_out","Max Kepler grounds out, second baseman Kolten Wong to first baseman Ty France.",0,8,7,78,"bottom",9,"2023-07-26T19:52:24.233Z","2023-07-26T19:52:53.337Z",TRUE,FALSE,FALSE,TRUE,0,0,1,3,596146,"Max Kepler","/api/v1/people/596146","L","Left",662253,"Andrés Muñoz","/api/v1/people/662253","R","Right","vs_RHP","vs_LHB","Empty",NA,"Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Seattle Mariners",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717250,"2023-07-26",3,"2023-07-26T19:50:22.832Z","2023-07-26T19:50:30.819Z",TRUE,"pitch","31e5b569-7435-46f6-8101-36c300e03dc4",3,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,1,1,NA,NA,3.36,1.68,NA,114.58,185.77,"ground_ball","hard","5",117.3,173.18,NA,NA,NA,NA,NA,NA,NA,NA,"77","atBat","Groundout","field_out","Edouard Julien grounds out sharply, third baseman Eugenio Suarez to first baseman Ty France.",0,8,7,77,"bottom",9,"2023-07-26T19:49:44.194Z","2023-07-26T19:50:30.819Z",TRUE,FALSE,FALSE,TRUE,0,1,1,2,666397,"Edouard Julien","/api/v1/people/666397","L","Left",662253,"Andrés Muñoz","/api/v1/people/662253","R","Right","vs_RHP","vs_LHB","RISP",NA,"Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Seattle Mariners",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",99.8,92.3,8,0.63,0.3756,6.3276,29.7664,-21.9126,-8.6602,4.7498,0.0635,1.9632,10.0314,-145.0959,-4.2853,-2.2919,50.0019,4.7719,-18.7075,36,4.8,24,2440,239,105.1,2,72,NA,NA,NA,TRUE,-19.2,8,14,NA,NA,NA,NA,TRUE,FALSE,572191,"Michael A. Taylor","/api/v1/people/572191",NA,NA,NA,NA,NA,NA
717250,"2023-07-26",2,"2023-07-26T19:50:03.419Z","2023-07-26T19:50:06.976Z",TRUE,"pitch","5873cabe-558c-4156-aa74-ea6f1332a9d9",2,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,1,1,NA,NA,3.36,1.68,NA,94.38,212.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"77","atBat","Groundout","field_out","Edouard Julien grounds out sharply, third baseman Eugenio Suarez to first baseman Ty France.",0,8,7,77,"bottom",9,"2023-07-26T19:49:44.194Z","2023-07-26T19:50:30.819Z",TRUE,FALSE,FALSE,TRUE,0,1,1,2,666397,"Edouard Julien","/api/v1/people/666397","L","Left",662253,"Andrés Muñoz","/api/v1/people/662253","R","Right","vs_RHP","vs_LHB","RISP",NA,"Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Seattle Mariners",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",91.4,85.2,14,0.87,0.4093,6.2465,24.8309,-30.6953,0.8231,0.8136,0.5935,0.9823,6.8776,-133.1045,-4.2778,-2.116,50.0031,4.798,1.4972,4.8,7.2,24,2340,151,NA,NA,NA,NA,NA,NA,FALSE,-31.4,0.8,-2.8,NA,NA,NA,NA,TRUE,FALSE,572191,"Michael A. Taylor","/api/v1/people/572191",NA,NA,NA,NA,NA,NA
717250,"2023-07-26",1,"2023-07-26T19:49:46.380Z","2023-07-26T19:49:50.705Z",TRUE,"pitch","886d316a-ad36-490f-8ee6-c16d86b79711",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,1,NA,NA,3.3625,1.737,NA,80.48,182.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"77","atBat","Groundout","field_out","Edouard Julien grounds out sharply, third baseman Eugenio Suarez to first baseman Ty France.",0,8,7,77,"bottom",9,"2023-07-26T19:49:44.194Z","2023-07-26T19:50:30.819Z",TRUE,FALSE,FALSE,TRUE,0,1,1,2,666397,"Edouard Julien","/api/v1/people/666397","L","Left",662253,"Andrés Muñoz","/api/v1/people/662253","R","Right","vs_RHP","vs_LHB","RISP",NA,"Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Seattle Mariners",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",100.4,92.8,14,0.88,0.3736,6.2425,30.2926,-21.1535,-6.4773,5.0452,0.958,2.0833,11.4529,-145.9148,-4.4111,-2.1539,50.0005,4.8681,-14.1426,28.8,4.8,24,2411,239,NA,NA,NA,NA,NA,NA,FALSE,-18.5,8.5,9.8,NA,NA,NA,NA,TRUE,FALSE,572191,"Michael A. Taylor","/api/v1/people/572191",NA,NA,NA,NA,NA,NA
717250,"2023-07-26",0,"2023-07-26T19:49:22.570Z","2023-07-26T19:49:46.380Z",FALSE,"action",NA,NA,"Mound Visit.","Mound Visit",8,7,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mound_visit",NA,NA,NA,NA,NA,NA,"77","atBat","Groundout","field_out","Edouard Julien grounds out sharply, third baseman Eugenio Suarez to first baseman Ty France.",0,8,7,77,"bottom",9,"2023-07-26T19:49:44.194Z","2023-07-26T19:50:30.819Z",TRUE,FALSE,FALSE,TRUE,0,1,1,2,666397,"Edouard Julien","/api/v1/people/666397","L","Left",662253,"Andrés Muñoz","/api/v1/people/662253","R","Right","vs_RHP","vs_LHB","RISP",NA,"Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Seattle Mariners",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,572191,"Michael A. Taylor","/api/v1/people/572191",NA,NA,NA,NA,NA,NA
717250,"2023-07-26",3,"2023-07-26T19:48:51.390Z","2023-07-26T19:48:59.159Z",TRUE,"pitch","42e2cabf-c6d9-42df-9d8d-a28f6cd02f78",3,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,2,0,NA,NA,3.56,1.72,NA,163.28,168.7,"ground_ball","medium","1",126.04,189.07,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Groundout","field_out","Carlos Correa grounds out, pitcher Andres Munoz to first baseman Ty France. Michael A. Taylor to 2nd.",0,8,7,76,"bottom",9,"2023-07-26T19:48:13.933Z","2023-07-26T19:48:59.159Z",TRUE,FALSE,FALSE,TRUE,0,0,2,1,621043,"Carlos Correa","/api/v1/people/621043","R","Right",662253,"Andrés Muñoz","/api/v1/people/662253","R","Right","vs_RHP","vs_RHB","RISP",NA,"Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Seattle Mariners",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",99,91,13,0.9,0.3794,6.2895,31.8952,-30.8947,-8.8748,0.6039,-1.2142,2.5954,6.2193,-144.0767,-1.3219,-2.2423,50.0006,4.9604,-18.7495,28.8,7.2,24,2077,230,58.9,-50,2,NA,NA,NA,TRUE,-26.8,1,14.9,NA,NA,NA,NA,TRUE,FALSE,572191,"Michael A. Taylor","/api/v1/people/572191",NA,NA,NA,NA,NA,NA
717250,"2023-07-26",2,"2023-07-26T19:48:32.373Z","2023-07-26T19:48:36.450Z",TRUE,"pitch","b09e44d7-4e77-4bf9-aa26-6ec20a559376",2,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,2,0,NA,NA,3.4499,1.6208,NA,120.74,190.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Groundout","field_out","Carlos Correa grounds out, pitcher Andres Munoz to first baseman Ty France. Michael A. Taylor to 2nd.",0,8,7,76,"bottom",9,"2023-07-26T19:48:13.933Z","2023-07-26T19:48:59.159Z",TRUE,FALSE,FALSE,TRUE,0,0,2,1,621043,"Carlos Correa","/api/v1/people/621043","R","Right",662253,"Andrés Muñoz","/api/v1/people/662253","R","Right","vs_RHP","vs_RHB","RISP",NA,"Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Seattle Mariners",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",98.1,90.5,8,2,0.3827,6.4667,30.0369,-27.9115,-9.198,2.0512,-0.0982,1.7903,8.8452,-142.6349,-3.8309,-2.0309,50.0055,4.8927,-19.127,31.2,6,24,2094,230,NA,NA,NA,NA,NA,NA,FALSE,-25.1,3.1,15.1,NA,NA,NA,NA,TRUE,FALSE,572191,"Michael A. Taylor","/api/v1/people/572191",NA,NA,NA,NA,NA,NA
