"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isSubstitution","replacedPlayer.id","replacedPlayer.link","details.disengagementNum","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link"
745267,"2024-04-17",6,"2024-04-17T22:31:40.589Z","2024-04-17T22:31:45.247Z",TRUE,"pitch","b3ce6a90-1943-4a61-8fe2-5b5f164aa602",7,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",3,3,2,NA,NA,3.73,1.77,NA,85.68,188.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66","atBat","Strikeout","strikeout","Will Benson strikes out swinging.",0,1,5,66,"top",9,"2024-04-17T22:29:30.855Z","2024-04-17T22:31:45.247Z",TRUE,FALSE,FALSE,TRUE,14,3,3,3,666181,"Will Benson","/api/v1/people/666181","L","Left",608723,"Austin Voth","/api/v1/people/608723","R","Right","vs_RHP","vs_LHB","Empty",NA,"Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds","Seattle Mariners","true",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",89.8,83.6,9,0.92,0.417,6.4269,23.9135,-25.5353,-0.1848,3.7852,0.8217,1.8719,8.0027,-130.6498,-4.6101,-2.2389,50.0005,5.5459,-0.3247,2.4,6,24,2228,166,NA,NA,NA,NA,NA,NA,TRUE,-27.4,6.1,-1.2,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745267,"2024-04-17",5,"2024-04-17T22:31:21.715Z","2024-04-17T22:31:25.428Z",TRUE,"pitch","33bd67e5-c2fc-4af2-aa9d-ac4019e1bf72",6,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",3,2,2,NA,NA,3.7218,1.7782,NA,60.82,199.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66","atBat","Strikeout","strikeout","Will Benson strikes out swinging.",0,1,5,66,"top",9,"2024-04-17T22:29:30.855Z","2024-04-17T22:31:45.247Z",TRUE,FALSE,FALSE,TRUE,14,3,3,3,666181,"Will Benson","/api/v1/people/666181","L","Left",608723,"Austin Voth","/api/v1/people/608723","R","Right","vs_RHP","vs_LHB","Empty",NA,"Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds","Seattle Mariners","false",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",90.1,83.5,14,0.9,0.417,6.4013,25.5172,-24.7913,-0.7809,4.2136,1.4738,1.4453,9.2517,-130.9506,-5.9015,-1.991,50.002,5.5625,-1.3701,1.2,6,24,2184,167,NA,NA,NA,NA,NA,NA,FALSE,-27,6.6,-0.5,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745267,"2024-04-17",4,"2024-04-17T22:30:59.308Z","2024-04-17T22:31:05.183Z",TRUE,"pitch","8bf1e5da-c6ad-4846-8b74-e4911c282d59",5,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",2,2,2,NA,NA,3.73,1.77,NA,134.54,155.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66","atBat","Strikeout","strikeout","Will Benson strikes out swinging.",0,1,5,66,"top",9,"2024-04-17T22:29:30.855Z","2024-04-17T22:31:45.247Z",TRUE,FALSE,FALSE,TRUE,14,3,3,3,666181,"Will Benson","/api/v1/people/666181","L","Left",608723,"Austin Voth","/api/v1/people/608723","R","Right","vs_RHP","vs_LHB","Empty",NA,"Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds","Seattle Mariners","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94.1,85,4,0.91,0.4022,6.5358,33.69,-12.808,-4.4942,10.3398,-0.4601,3.0935,6.1107,-136.8353,-4.2773,-2.1513,50.0008,5.5718,-8.4161,26.4,3.6,24,2158,204,NA,NA,NA,NA,NA,NA,FALSE,-13.3,17.9,6.6,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745267,"2024-04-17",3,"2024-04-17T22:30:29.668Z","2024-04-17T22:30:36.603Z",TRUE,"pitch","f6c509f0-d25f-484a-b2b7-eab638fc3ff2",4,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,2,2,NA,NA,3.7218,1.8029,NA,66.78,125.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66","atBat","Strikeout","strikeout","Will Benson strikes out swinging.",0,1,5,66,"top",9,"2024-04-17T22:29:30.855Z","2024-04-17T22:31:45.247Z",TRUE,FALSE,FALSE,TRUE,14,3,3,3,666181,"Will Benson","/api/v1/people/666181","L","Left",608723,"Austin Voth","/api/v1/people/608723","R","Right","vs_RHP","vs_LHB","Empty",NA,"Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds","Seattle Mariners","false",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",90,83.2,12,0.93,0.4168,6.3804,24.8203,-26.632,0.8284,3.1629,1.3174,4.1954,8.5135,-130.872,1.0039,-2.071,50.0053,5.7855,1.4509,6,6,24,2181,168,NA,NA,NA,NA,NA,NA,FALSE,-27.4,6.1,-3.1,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745267,"2024-04-17",2,"2024-04-17T22:30:12.305Z","2024-04-17T22:30:16.044Z",TRUE,"pitch","59447a61-714f-4145-a30e-4df60b2bc145",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,2,2,NA,NA,3.7218,1.8111,NA,175.53,139.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66","atBat","Strikeout","strikeout","Will Benson strikes out swinging.",0,1,5,66,"top",9,"2024-04-17T22:29:30.855Z","2024-04-17T22:31:45.247Z",TRUE,FALSE,FALSE,TRUE,14,3,3,3,666181,"Will Benson","/api/v1/people/666181","L","Left",608723,"Austin Voth","/api/v1/people/608723","R","Right","vs_RHP","vs_LHB","Empty",NA,"Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds","Seattle Mariners","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94.3,86.8,11,0.9,0.3974,6.3547,28.43,-14.9555,-2.7432,8.9331,-1.5355,3.6846,3.256,-137.4647,-2.5922,-2.3749,50.0036,5.6464,-5.2881,16.8,3.6,24,2308,205,NA,NA,NA,NA,NA,NA,FALSE,-14.6,15.8,4.3,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745267,"2024-04-17",1,"2024-04-17T22:29:49.584Z","2024-04-17T22:29:53.189Z",TRUE,"pitch","75036068-3b67-4c46-991d-4efd9f7242f9",2,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,2,2,NA,NA,3.73,1.77,NA,108.8,182.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66","atBat","Strikeout","strikeout","Will Benson strikes out swinging.",0,1,5,66,"top",9,"2024-04-17T22:29:30.855Z","2024-04-17T22:31:45.247Z",TRUE,FALSE,FALSE,TRUE,14,3,3,3,666181,"Will Benson","/api/v1/people/666181","L","Left",608723,"Austin Voth","/api/v1/people/608723","R","Right","vs_RHP","vs_LHB","Empty",NA,"Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds","Seattle Mariners","false",NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",82.3,75.7,8,0.9,0.4577,6.328,23.6121,-31.108,5.0432,0.7334,0.2151,2.087,4.7245,-119.7612,-1.7614,-2.4398,50.0009,5.6201,7.3082,14.4,9.6,24,2509,65,NA,NA,NA,NA,NA,NA,FALSE,-39.2,1.2,-10.3,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745267,"2024-04-17",0,"2024-04-17T22:29:34.520Z","2024-04-17T22:29:38.320Z",TRUE,"pitch","74ec8be1-39e5-48ea-a2a4-619e6fdde885",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,2,NA,NA,3.7711,1.8029,NA,117.14,147.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66","atBat","Strikeout","strikeout","Will Benson strikes out swinging.",0,1,5,66,"top",9,"2024-04-17T22:29:30.855Z","2024-04-17T22:31:45.247Z",TRUE,FALSE,FALSE,TRUE,14,3,3,3,666181,"Will Benson","/api/v1/people/666181","L","Left",608723,"Austin Voth","/api/v1/people/608723","R","Right","vs_RHP","vs_LHB","Empty",NA,"Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds","Seattle Mariners","false",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",89.3,83,2,0.94,0.4184,6.2999,23.3079,-24.2412,2.4931,4.5557,-0.0036,3.3948,4.7932,-130.131,-1.4033,-2.1822,50.0042,5.7504,4.3425,12,6,24,2250,168,NA,NA,NA,NA,NA,NA,FALSE,-25.6,8.2,-5.4,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745267,"2024-04-17",4,"2024-04-17T22:29:00.284Z","2024-04-17T22:29:07.808Z",TRUE,"pitch","bfb6081d-d51f-4088-8e8a-c39d8fe9d370",5,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",2,2,1,NA,NA,3.27,1.5,NA,98.55,168.28,"ground_ball","medium","5",106.9,168.82,NA,NA,NA,NA,NA,NA,NA,NA,"65","atBat","Groundout","field_out","Jonathan India grounds out, third baseman Josh Rojas to first baseman Ty France.",0,1,5,65,"top",9,"2024-04-17T22:27:49.158Z","2024-04-17T22:29:07.808Z",TRUE,FALSE,FALSE,TRUE,0,2,2,2,663697,"Jonathan India","/api/v1/people/663697","R","Right",608723,"Austin Voth","/api/v1/people/608723","R","Right","vs_RHP","vs_RHB","Empty",NA,"Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds","Seattle Mariners","true",NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",84.2,77.7,6,0.89,0.4461,6.4267,23.6246,-31.3472,4.3539,0.5369,0.484,2.6113,5.304,-122.6417,-0.9146,-2.2698,50.0002,5.6561,6.6479,13.2,8.4,24,2556,74,91.2,-38,4,NA,NA,NA,TRUE,-37.4,1,-9.1,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745267,"2024-04-17",3,"2024-04-17T22:28:41.802Z","2024-04-17T22:28:45.691Z",TRUE,"pitch","dced598e-aa86-4410-bb67-b97debafee56",4,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",2,2,1,NA,NA,3.2955,1.5085,NA,152.49,149.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65","atBat","Groundout","field_out","Jonathan India grounds out, third baseman Josh Rojas to first baseman Ty France.",0,1,5,65,"top",9,"2024-04-17T22:27:49.158Z","2024-04-17T22:29:07.808Z",TRUE,FALSE,FALSE,TRUE,0,2,2,2,663697,"Jonathan India","/api/v1/people/663697","R","Right",608723,"Austin Voth","/api/v1/people/608723","R","Right","vs_RHP","vs_RHB","Empty",NA,"Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds","Seattle Mariners","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",93.7,86.6,11,0.9,0.3994,6.3655,26.6255,-13.9435,-3.0039,9.5472,-0.931,3.2942,4.7049,-136.4922,-3.8778,-2.2773,50.0062,5.6769,-5.7385,18,3.6,24,2265,207,NA,NA,NA,NA,NA,NA,FALSE,-14,16.8,4.6,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745267,"2024-04-17",2,"2024-04-17T22:28:23.119Z","2024-04-17T22:28:26.497Z",TRUE,"pitch","5a0786c1-5829-4f9d-a529-ef5db14936c7",3,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",2,1,1,NA,NA,3.27,1.5,NA,124.7,161.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65","atBat","Groundout","field_out","Jonathan India grounds out, third baseman Josh Rojas to first baseman Ty France.",0,1,5,65,"top",9,"2024-04-17T22:27:49.158Z","2024-04-17T22:29:07.808Z",TRUE,FALSE,FALSE,TRUE,0,2,2,2,663697,"Jonathan India","/api/v1/people/663697","R","Right",608723,"Austin Voth","/api/v1/people/608723","R","Right","vs_RHP","vs_RHB","Empty",NA,"Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds","Seattle Mariners","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",93.7,86,2,0.89,0.4012,6.3978,29.0189,-14.9705,-3.0697,9.1075,-0.202,2.8453,6.4107,-136.3345,-4.8528,-2.1814,50.0027,5.6762,-5.799,15.6,3.6,24,2178,200,NA,NA,NA,NA,NA,NA,FALSE,-15.4,15.7,4.2,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
