"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.disengagementNum","isSubstitution","replacedPlayer.id","replacedPlayer.link","reviewDetails.isOverturned","reviewDetails.inProgress","reviewDetails.reviewType","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link"
746153,"2024-05-05",4,"2024-05-05T22:17:27.910Z","2024-05-05T22:17:31.262Z",TRUE,"pitch","2733299d-1e03-4862-a7af-65af00444ece",4,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,3,2,NA,NA,3.49,1.73,NA,86.76,209.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"64","atBat","Strikeout","strikeout","Marcell Ozuna strikes out swinging.",0,1,5,64,"top",9,"2024-05-05T22:16:27.984Z","2024-05-05T22:17:31.262Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,542303,"Marcell Ozuna","/api/v1/people/542303","R","Right",675627,"Michael Grove","/api/v1/people/675627","R","Right","vs_RHP","vs_RHB","Empty",NA,"Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves","Los Angeles Dodgers",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",86.8,80.7,14,2,0.4321,6.9093,24.0363,-33.9906,2.1073,-1.1116,0.7934,1.0838,2.5679,-126.4242,-4.801,-0.5067,50.006,5.714,3.4356,6,8.4,24,2539,72,NA,NA,NA,NA,NA,NA,TRUE,-38.9,-2.8,-4.3,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA
746153,"2024-05-05",3,"2024-05-05T22:17:12.548Z","2024-05-05T22:17:15.838Z",TRUE,"pitch","06a673d2-fc26-4416-a3cb-2382c443fec1",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,2,2,NA,NA,3.6687,1.7246,NA,86.77,212.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"64","atBat","Strikeout","strikeout","Marcell Ozuna strikes out swinging.",0,1,5,64,"top",9,"2024-05-05T22:16:27.984Z","2024-05-05T22:17:31.262Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,542303,"Marcell Ozuna","/api/v1/people/542303","R","Right",675627,"Michael Grove","/api/v1/people/675627","R","Right","vs_RHP","vs_RHB","Empty",NA,"Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves","Los Angeles Dodgers",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",86.2,80,14,2,0.4354,6.9167,24.0372,-31.849,1.8417,0.2034,0.793,0.9613,2.9757,-125.5311,-5.2561,-0.6444,50.0041,5.6578,2.9559,6,8.4,24,2431,69,NA,NA,NA,NA,NA,NA,FALSE,-37.1,-0.6,-4,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA
746153,"2024-05-05",1,"2024-05-05T22:16:49.400Z","2024-05-05T22:16:53.528Z",TRUE,"pitch","30a30409-6bb8-4a57-878d-8028bc3dd769",2,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,2,2,NA,NA,3.7674,1.7278,NA,128.32,177.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"64","atBat","Strikeout","strikeout","Marcell Ozuna strikes out swinging.",0,1,5,64,"top",9,"2024-05-05T22:16:27.984Z","2024-05-05T22:17:31.262Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,542303,"Marcell Ozuna","/api/v1/people/542303","R","Right",675627,"Michael Grove","/api/v1/people/675627","R","Right","vs_RHP","vs_RHB","Empty",NA,"Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves","Los Angeles Dodgers",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",87.1,80.9,7,2,0.4295,6.6325,23.537,-32.9786,2.4992,-0.4839,-0.297,2.2879,-0.0859,-127.0312,-2.4555,-0.5882,50.006,5.8628,4.1267,7.2,8.4,24,2505,67,NA,NA,NA,NA,NA,NA,FALSE,-36.8,-1.2,-4.6,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA
746153,"2024-05-05",0,"2024-05-05T22:16:36.255Z","2024-05-05T22:16:39.500Z",TRUE,"pitch","caec37d4-d82b-4e67-ab45-58a821115238",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,2,NA,NA,3.67,1.7186,NA,82.96,170.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"64","atBat","Strikeout","strikeout","Marcell Ozuna strikes out swinging.",0,1,5,64,"top",9,"2024-05-05T22:16:27.984Z","2024-05-05T22:17:31.262Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,542303,"Marcell Ozuna","/api/v1/people/542303","R","Right",675627,"Michael Grove","/api/v1/people/675627","R","Right","vs_RHP","vs_RHB","Empty",NA,"Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves","Los Angeles Dodgers",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",87,80.5,14,2,0.431,6.7908,24.1371,-32.9293,1.8773,-0.4604,0.8931,2.5395,3.0247,-126.7254,-1.5908,-0.5565,50.0034,5.7882,3.0751,6,8.4,24,2490,59,NA,NA,NA,NA,NA,NA,FALSE,-36.8,-1,-4.1,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA
746153,"2024-05-05",2,"2024-05-05T22:17:00.271Z","2024-05-05T22:17:12.548Z",FALSE,"action",NA,NA,"Batter Timeout.","Batter Timeout",1,5,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,2,2,542303,"/api/v1/people/542303",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"batter_timeout",NA,NA,NA,NA,NA,NA,"64","atBat","Strikeout","strikeout","Marcell Ozuna strikes out swinging.",0,1,5,64,"top",9,"2024-05-05T22:16:27.984Z","2024-05-05T22:17:31.262Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,542303,"Marcell Ozuna","/api/v1/people/542303","R","Right",675627,"Michael Grove","/api/v1/people/675627","R","Right","vs_RHP","vs_RHB","Empty",NA,"Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves","Los Angeles Dodgers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA
746153,"2024-05-05",0,"2024-05-05T22:16:05.913Z","2024-05-05T22:16:12.691Z",TRUE,"pitch","e3eadd93-929b-4f42-a539-50b2774b7777",1,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,0,1,NA,NA,3.57,1.68,NA,113.24,177.13,"ground_ball","hard","4",148.99,144.6,NA,NA,NA,NA,NA,NA,NA,NA,"63","atBat","Groundout","field_out","Matt Olson grounds out sharply, second baseman Miguel Rojas to first baseman Freddie Freeman.",0,1,5,63,"top",9,"2024-05-05T22:16:05.015Z","2024-05-05T22:16:12.691Z",TRUE,FALSE,FALSE,TRUE,0,0,0,2,621566,"Matt Olson","/api/v1/people/621566","L","Left",675627,"Michael Grove","/api/v1/people/675627","R","Right","vs_RHP","vs_LHB","Empty",NA,"Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves","Los Angeles Dodgers","true",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",93.5,85.6,5,2,0.4026,6.8755,30.2322,-20.626,3.1444,6.162,0.0986,2.2832,1.0303,-136.1102,-5.3835,-0.6935,50.0031,5.7177,5.8915,15.6,4.8,24,2463,188,106.7,-9,15,NA,NA,NA,TRUE,-21.1,10.2,-5.9,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA
746153,"2024-05-05",6,"2024-05-05T22:15:41.646Z","2024-05-05T22:15:45.197Z",TRUE,"pitch","3697c042-bd7f-4678-b1fa-e3171dcff303",6,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",2,3,0,NA,NA,3.5456,1.6717,NA,126.28,191.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"62","atBat","Strikeout","strikeout","Austin Riley called out on strikes.",0,1,5,62,"top",9,"2024-05-05T22:14:20.024Z","2024-05-05T22:15:45.197Z",TRUE,FALSE,FALSE,TRUE,14,2,3,1,663586,"Austin Riley","/api/v1/people/663586","R","Right",675627,"Michael Grove","/api/v1/people/675627","R","Right","vs_RHP","vs_RHB","Empty",NA,"Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves","Los Angeles Dodgers",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",95.2,86.9,8,2,0.3962,7.0606,31.6337,-13.0041,-5.2019,9.9098,-0.2435,1.7387,2.9784,-138.3854,-8.0788,-0.6593,50.0041,5.5722,-10.0636,32.4,3.6,24,2219,198,NA,NA,NA,NA,NA,NA,TRUE,-13.9,16.4,8.8,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA
746153,"2024-05-05",5,"2024-05-05T22:15:28.020Z","2024-05-05T22:15:32.309Z",TRUE,"pitch","e538f8dd-4964-46e2-9be6-6e82b0fbe7b5",5,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,2,0,NA,NA,3.5444,1.6063,NA,59.31,187.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"62","atBat","Strikeout","strikeout","Austin Riley called out on strikes.",0,1,5,62,"top",9,"2024-05-05T22:14:20.024Z","2024-05-05T22:15:45.197Z",TRUE,FALSE,FALSE,TRUE,14,2,3,1,663586,"Austin Riley","/api/v1/people/663586","R","Right",675627,"Michael Grove","/api/v1/people/675627","R","Right","vs_RHP","vs_RHB","Empty",NA,"Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves","Los Angeles Dodgers",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",85.8,79.1,14,2,0.4383,6.8327,25.3136,-30.1297,4.1301,1.2901,1.5133,1.9052,3.6901,-124.9924,-3.4683,-0.5188,50.0013,5.7861,6.53,13.2,8.4,24,2302,74,NA,NA,NA,NA,NA,NA,FALSE,-35.3,1.8,-8.3,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA
746153,"2024-05-05",4,"2024-05-05T22:15:08.983Z","2024-05-05T22:15:12.272Z",TRUE,"pitch","f7c3db3a-4f52-437b-9545-8c4a8db602f6",4,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,2,0,NA,NA,3.53,1.67,NA,122.19,201.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"62","atBat","Strikeout","strikeout","Austin Riley called out on strikes.",0,1,5,62,"top",9,"2024-05-05T22:14:20.024Z","2024-05-05T22:15:45.197Z",TRUE,FALSE,FALSE,TRUE,14,2,3,1,663586,"Austin Riley","/api/v1/people/663586","R","Right",675627,"Michael Grove","/api/v1/people/675627","R","Right","vs_RHP","vs_RHB","Empty",NA,"Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves","Los Angeles Dodgers",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",85.6,78.9,13,2,0.4396,6.7946,25.4666,-34.4873,0.2571,-1.4699,-0.1361,1.365,1.1098,-124.6881,-3.8457,-0.6207,50.0051,5.7783,0.4039,1.2,9.6,24,2389,66,NA,NA,NA,NA,NA,NA,FALSE,-40.6,-3.4,-0.7,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA
746153,"2024-05-05",3,"2024-05-05T22:14:49.600Z","2024-05-05T22:14:53.419Z",TRUE,"pitch","e90522f1-82cb-4cdf-99c7-3f44fd8a15a5",3,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,2,0,NA,NA,3.53,1.67,NA,84.92,187.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"62","atBat","Strikeout","strikeout","Austin Riley called out on strikes.",0,1,5,62,"top",9,"2024-05-05T22:14:20.024Z","2024-05-05T22:15:45.197Z",TRUE,FALSE,FALSE,TRUE,14,2,3,1,663586,"Austin Riley","/api/v1/people/663586","R","Right",675627,"Michael Grove","/api/v1/people/675627","R","Right","vs_RHP","vs_RHB","Empty",NA,"Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves","Los Angeles Dodgers",NA,NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",89.9,82.9,14,2,0.4175,6.9562,26.5164,-21.3759,2.958,6.1864,0.8415,1.888,2.8064,-130.9674,-5.6495,-0.6265,50.0015,5.662,5.1597,14.4,4.8,24,2238,169,NA,NA,NA,NA,NA,NA,FALSE,-23.4,10.2,-6,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA
