"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.disengagementNum","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","isBaseRunningPlay","reviewDetails.isOverturned.x","reviewDetails.inProgress.x","reviewDetails.reviewType.x","reviewDetails.challengeTeamId","isSubstitution","replacedPlayer.id","replacedPlayer.link","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","reviewDetails.isOverturned.y","reviewDetails.inProgress.y","reviewDetails.reviewType.y"
716876,"2023-08-23",3,"2023-08-24T01:56:25.507Z","2023-08-24T01:56:32.225Z",TRUE,"pitch","3d7736a8-0d08-4d46-a2ea-a70b99424c5e",4,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,3,2,NA,NA,3.09,1.43,NA,112.88,153.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Strikeout","strikeout","DJ Stewart strikes out swinging.",0,0,7,69,"top",9,"2023-08-24T01:55:18.733Z","2023-08-24T01:56:32.225Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,621466,"DJ Stewart","/api/v1/people/621466","L","Left",489446,"Kirby Yates","/api/v1/people/489446","R","Right","vs_RHP","vs_LHB","Empty",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","New York Mets",1,"Major League Baseball",NA,NA,104,"National League","New York Mets","Atlanta Braves","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",93.2,86.5,2,0.9,0.4013,6.0605,24.5214,-17.5045,-6.6189,7.7384,0.1081,3.1554,8.9217,-135.5598,-2.4551,-2.3378,50.0016,5.2695,-12.5457,31.2,4.8,24,2132,227,NA,NA,NA,NA,NA,NA,TRUE,-17.3,13.8,10.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716876,"2023-08-23",2,"2023-08-24T01:56:06.684Z","2023-08-24T01:56:12.786Z",TRUE,"pitch","89fdf708-8809-4473-bdd0-5dbb76b7a2a6",3,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",1,2,2,NA,NA,3.0653,1.3595,NA,82.08,194.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Strikeout","strikeout","DJ Stewart strikes out swinging.",0,0,7,69,"top",9,"2023-08-24T01:55:18.733Z","2023-08-24T01:56:32.225Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,621466,"DJ Stewart","/api/v1/people/621466","L","Left",489446,"Kirby Yates","/api/v1/people/489446","R","Right","vs_RHP","vs_LHB","Empty",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","New York Mets",1,"Major League Baseball",NA,NA,104,"National League","New York Mets","Atlanta Braves","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",93.3,87.3,14,0.88,0.4001,6.0498,22.6224,-21.8048,-7.4959,5.4306,0.9161,1.6478,11.3076,-135.5865,-5.3921,-2.2868,50.0014,5.1318,-14.3087,28.8,6,24,2045,237,NA,NA,NA,NA,NA,NA,FALSE,-21.8,9.1,11.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716876,"2023-08-23",1,"2023-08-24T01:55:46.763Z","2023-08-24T01:55:50.783Z",TRUE,"pitch","a9c3c328-4b93-46e3-8000-0b8b839f2c1a",2,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,1,2,NA,NA,3.09,1.43,NA,111.97,208.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Strikeout","strikeout","DJ Stewart strikes out swinging.",0,0,7,69,"top",9,"2023-08-24T01:55:18.733Z","2023-08-24T01:56:32.225Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,621466,"DJ Stewart","/api/v1/people/621466","L","Left",489446,"Kirby Yates","/api/v1/people/489446","R","Right","vs_RHP","vs_LHB","Empty",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","New York Mets",1,"Major League Baseball",NA,NA,104,"National League","New York Mets","Atlanta Braves","false",NA,"rgba(119, 0, 152, 1.0)","FS","Splitter",85.1,79.6,14,0.9,0.4393,6.1202,20.5142,-34.2189,-6.8106,-1.2916,0.1319,1.1351,8.4079,-123.8214,-3.1196,-2.3946,50.005,5.2226,-10.7697,15.6,9.6,24,1215,270,NA,NA,NA,NA,NA,NA,FALSE,-40.1,-2.8,10.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716876,"2023-08-23",0,"2023-08-24T01:55:29.423Z","2023-08-24T01:55:33.627Z",TRUE,"pitch","62b0c61b-93ef-4d34-83f4-b75d97ac73b5",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,2,NA,NA,3.0213,1.3838,NA,191.28,150.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Strikeout","strikeout","DJ Stewart strikes out swinging.",0,0,7,69,"top",9,"2023-08-24T01:55:18.733Z","2023-08-24T01:56:32.225Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,621466,"DJ Stewart","/api/v1/people/621466","L","Left",489446,"Kirby Yates","/api/v1/people/489446","R","Right","vs_RHP","vs_LHB","Empty",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","New York Mets",1,"Major League Baseball",NA,NA,104,"National League","New York Mets","Atlanta Braves","false",NA,"rgba(119, 0, 152, 1.0)","FS","Splitter",83.9,78,11,0.9,0.4456,6.4444,20.5891,-36.802,-5.0434,-3.0109,-1.9487,3.2771,3.0497,-122.1951,2.5658,-2.5479,50.0047,5.3419,-7.7458,10.8,9.6,24,1016,282,NA,NA,NA,NA,NA,NA,FALSE,-43.1,-4.8,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716876,"2023-08-23",7,"2023-08-24T01:54:54.714Z","2023-08-24T01:55:02.208Z",TRUE,"pitch","1827e231-00b9-4814-ab3e-15689d8ba568",6,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",2,2,1,NA,NA,3.15,1.55,NA,156.43,173.25,"ground_ball","medium","6",129.2,142.46,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Groundout","field_out","Abraham Almonte grounds out, shortstop Orlando Arcia to first baseman Matt Olson.",0,0,7,68,"top",9,"2023-08-24T01:53:00.396Z","2023-08-24T01:55:02.208Z",TRUE,FALSE,FALSE,TRUE,0,2,2,2,501659,"Abraham Almonte","/api/v1/people/501659","L","Left",489446,"Kirby Yates","/api/v1/people/489446","R","Right","vs_RHP","vs_LHB","Empty",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","New York Mets",1,"Major League Baseball",NA,NA,104,"National League","New York Mets","Atlanta Braves",NA,NA,"rgba(119, 0, 152, 1.0)","FS","Splitter",85.9,79.8,11,0.91,0.4358,6.0794,22.2392,-33.4463,-7.8177,-0.795,-1.0344,2.4271,5.8575,-125.0808,-0.6273,-2.3764,50.0007,5.3936,-12.5425,19.2,8.4,24,1228,264,95.9,-3,30,NA,NA,NA,TRUE,-38,-1.3,13.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716876,"2023-08-23",6,"2023-08-24T01:54:31.139Z","2023-08-24T01:54:35.959Z",TRUE,"pitch","a80dda54-e34e-4543-84bf-8a460d69d327",5,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,2,1,NA,NA,3.1494,1.5719,NA,36.46,222.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Groundout","field_out","Abraham Almonte grounds out, shortstop Orlando Arcia to first baseman Matt Olson.",0,0,7,68,"top",9,"2023-08-24T01:53:00.396Z","2023-08-24T01:55:02.208Z",TRUE,FALSE,FALSE,TRUE,0,2,2,2,501659,"Abraham Almonte","/api/v1/people/501659","L","Left",489446,"Kirby Yates","/api/v1/people/489446","R","Right","vs_RHP","vs_LHB","Empty",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","New York Mets",1,"Major League Baseball",NA,NA,104,"National League","New York Mets","Atlanta Braves",NA,NA,"rgba(119, 0, 152, 1.0)","FS","Splitter",85.6,80.6,14,0.91,0.437,6.1838,18.9087,-34.3523,-8.5804,-1.3625,2.1129,0.6098,13.2695,-124.1522,-4.3194,-2.1252,50.0017,5.1535,-13.7365,19.2,9.6,24,1299,270,NA,NA,NA,NA,NA,NA,FALSE,-40,-3.1,13.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716876,"2023-08-23",5,"2023-08-24T01:54:13.806Z","2023-08-24T01:54:17.911Z",TRUE,"pitch","48fcc418-d8aa-4a74-a6cf-6316b843b095",4,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,2,1,NA,NA,3.1267,1.5719,NA,171.36,213.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Groundout","field_out","Abraham Almonte grounds out, shortstop Orlando Arcia to first baseman Matt Olson.",0,0,7,68,"top",9,"2023-08-24T01:53:00.396Z","2023-08-24T01:55:02.208Z",TRUE,FALSE,FALSE,TRUE,0,2,2,2,501659,"Abraham Almonte","/api/v1/people/501659","L","Left",489446,"Kirby Yates","/api/v1/people/489446","R","Right","vs_RHP","vs_LHB","Empty",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","New York Mets",1,"Major League Baseball",NA,NA,104,"National League","New York Mets","Atlanta Braves",NA,NA,"rgba(119, 0, 152, 1.0)","FS","Splitter",85.4,80.3,13,0.9,0.4365,6.1561,19.7872,-33.2607,-7.2897,-0.6761,-1.4261,0.9383,4.837,-124.447,-3.7646,-2.4265,50.0036,5.1621,-11.6878,18,8.4,24,1249,273,NA,NA,NA,NA,NA,NA,FALSE,-38.5,-1.7,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716876,"2023-08-23",4,"2023-08-24T01:53:53.175Z","2023-08-24T01:53:58.027Z",TRUE,"pitch","b6b09bfe-6935-4a87-b914-1c5e7e6ec8b3",3,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,2,1,NA,NA,3.15,1.55,NA,113.99,152.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Groundout","field_out","Abraham Almonte grounds out, shortstop Orlando Arcia to first baseman Matt Olson.",0,0,7,68,"top",9,"2023-08-24T01:53:00.396Z","2023-08-24T01:55:02.208Z",TRUE,FALSE,FALSE,TRUE,0,2,2,2,501659,"Abraham Almonte","/api/v1/people/501659","L","Left",489446,"Kirby Yates","/api/v1/people/489446","R","Right","vs_RHP","vs_LHB","Empty",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","New York Mets",1,"Major League Baseball",NA,NA,104,"National League","New York Mets","Atlanta Braves",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94.1,87,2,0.9,0.3982,5.8886,26.2344,-18.7953,-7.6911,6.9583,0.0789,3.2054,9.2929,-136.8372,-2.5017,-2.3397,50.004,5.3991,-14.7912,33.6,4.8,24,2247,231,NA,NA,NA,NA,NA,NA,FALSE,-18.2,12.4,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716876,"2023-08-23",2,"2023-08-24T01:53:20.690Z","2023-08-24T01:53:25.191Z",TRUE,"pitch","7bbfec1c-a6ee-41a3-aaa9-b1333fd03445",2,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,2,1,NA,NA,3.2627,1.5946,NA,101.96,197.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Groundout","field_out","Abraham Almonte grounds out, shortstop Orlando Arcia to first baseman Matt Olson.",0,0,7,68,"top",9,"2023-08-24T01:53:00.396Z","2023-08-24T01:55:02.208Z",TRUE,FALSE,FALSE,TRUE,0,2,2,2,501659,"Abraham Almonte","/api/v1/people/501659","L","Left",489446,"Kirby Yates","/api/v1/people/489446","R","Right","vs_RHP","vs_LHB","Empty",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","New York Mets",1,"Major League Baseball",NA,NA,104,"National League","New York Mets","Atlanta Braves",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",93.7,86.9,9,0.9,0.3999,5.9988,25.3724,-17.0504,-8.7815,7.9286,0.3945,1.5328,10.5104,-136.1432,-6.4451,-2.3462,50.0043,5.0796,-16.753,39.6,4.8,24,2269,237,NA,NA,NA,NA,NA,NA,FALSE,-17.5,13.3,14.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716876,"2023-08-23",1,"2023-08-24T01:53:02.729Z","2023-08-24T01:53:05.936Z",TRUE,"pitch","5ffd08e1-1824-464b-a319-a85822bedbc5",1,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,1,1,NA,NA,3.15,1.55,NA,104.66,189.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Groundout","field_out","Abraham Almonte grounds out, shortstop Orlando Arcia to first baseman Matt Olson.",0,0,7,68,"top",9,"2023-08-24T01:53:00.396Z","2023-08-24T01:55:02.208Z",TRUE,FALSE,FALSE,TRUE,0,2,2,2,501659,"Abraham Almonte","/api/v1/people/501659","L","Left",489446,"Kirby Yates","/api/v1/people/489446","R","Right","vs_RHP","vs_LHB","Empty",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","New York Mets",1,"Major League Baseball",NA,NA,104,"National League","New York Mets","Atlanta Braves",NA,NA,"rgba(119, 0, 152, 1.0)","FS","Splitter",84.7,79.4,9,0.91,0.4407,6.2616,18.9992,-30.5516,-7.1079,1.0316,0.3238,1.8399,8.8503,-123.1734,-2.1505,-2.3533,50.0039,5.249,-11.1837,18,8.4,24,1174,275,NA,NA,NA,NA,NA,NA,FALSE,-35.9,1.7,11.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
