"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.disengagementNum","isBaseRunningPlay","isSubstitution","reviewDetails.isOverturned","reviewDetails.inProgress","reviewDetails.reviewType","reviewDetails.challengeTeamId","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link"
717184,"2023-08-01",4,"2023-08-01T02:55:51.540Z","2023-08-01T02:55:59.293Z",TRUE,"pitch","57f9b7b4-812d-4310-8c73-7cde5be2df2f",4,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",2,1,2,NA,NA,3.11,1.43,NA,133.67,190.84,"ground_ball","medium","4",154,154.96,NA,NA,NA,NA,NA,NA,NA,NA,"77","atBat","Groundout","field_out","Andres Gimenez grounds out, second baseman Jose Altuve to first baseman Jose Abreu.",0,3,7,77,"top",9,"2023-08-01T02:54:43.466Z","2023-08-01T02:55:59.293Z",TRUE,FALSE,FALSE,TRUE,0,2,1,3,665926,"Andrés Giménez","/api/v1/people/665926","L","Left",519151,"Ryan Pressly","/api/v1/people/519151","R","Right","vs_RHP","vs_LHB","Empty",NA,"Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Cleveland Guardians",1,"Major League Baseball",NA,NA,103,"American League","Cleveland Guardians","Houston Astros",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.4,87.4,7,2,0.3945,6.1889,30.6304,-11.1335,-2.2222,10.7762,-0.4374,1.7756,-0.2006,-138.7529,-8.7933,-0.0754,50.0064,5.7252,-4.3396,18,2.4,24,2581,200,87.6,-46,2,NA,NA,NA,TRUE,-12.1,17.9,4.1,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717184,"2023-08-01",3,"2023-08-01T02:55:33.203Z","2023-08-01T02:55:37.447Z",TRUE,"pitch","42ff2f21-ecc3-4e50-9549-abbf7bdd8f8c",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,1,2,NA,NA,3.1286,1.3616,NA,50.95,192.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"77","atBat","Groundout","field_out","Andres Gimenez grounds out, second baseman Jose Altuve to first baseman Jose Abreu.",0,3,7,77,"top",9,"2023-08-01T02:54:43.466Z","2023-08-01T02:55:59.293Z",TRUE,FALSE,FALSE,TRUE,0,2,1,3,665926,"Andrés Giménez","/api/v1/people/665926","L","Left",519151,"Ryan Pressly","/api/v1/people/519151","R","Right","vs_RHP","vs_LHB","Empty",NA,"Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Cleveland Guardians",1,"Major League Baseball",NA,NA,103,"American League","Cleveland Guardians","Houston Astros",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",90.3,83.3,14,2,0.4164,6.0859,27.4744,-29.0829,3.5426,1.7651,1.7329,1.7082,3.1755,-131.47,-5.3305,0.0497,50.0054,5.9167,6.211,13.2,7.2,24,2769,146,NA,NA,NA,NA,NA,NA,FALSE,-31.2,2.3,-7.1,1,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717184,"2023-08-01",2,"2023-08-01T02:55:13.667Z","2023-08-01T02:55:18.221Z",TRUE,"pitch","694d3271-765d-492e-a3df-ca04a52f316a",2,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,1,2,NA,NA,3.11,1.43,NA,98.54,191.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"77","atBat","Groundout","field_out","Andres Gimenez grounds out, second baseman Jose Altuve to first baseman Jose Abreu.",0,3,7,77,"top",9,"2023-08-01T02:54:43.466Z","2023-08-01T02:55:59.293Z",TRUE,FALSE,FALSE,TRUE,0,2,1,3,665926,"Andrés Giménez","/api/v1/people/665926","L","Left",519151,"Ryan Pressly","/api/v1/people/519151","R","Right","vs_RHP","vs_LHB","Empty",NA,"Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Cleveland Guardians",1,"Major League Baseball",NA,NA,103,"American League","Cleveland Guardians","Houston Astros",NA,NA,"rgba(0, 34, 255, 1.0)","CU","Curveball",82.4,74.7,9,2,0.461,5.9076,28.3824,-42.5471,9.6605,-7.2958,0.4844,1.7347,-1.1085,-119.9211,-0.9044,-0.2926,50.004,5.9936,13.7328,18,13.2,24,3482,32,NA,NA,NA,NA,NA,NA,FALSE,-54.1,-13.1,-17,1,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717184,"2023-08-01",1,"2023-08-01T02:54:57.202Z","2023-08-01T02:55:01.348Z",TRUE,"pitch","a13b70d5-90fe-4885-ae6a-57e7bd7ae243",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,2,NA,NA,3.2695,1.4474,NA,113.1,213.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"77","atBat","Groundout","field_out","Andres Gimenez grounds out, second baseman Jose Altuve to first baseman Jose Abreu.",0,3,7,77,"top",9,"2023-08-01T02:54:43.466Z","2023-08-01T02:55:59.293Z",TRUE,FALSE,FALSE,TRUE,0,2,1,3,665926,"Andrés Giménez","/api/v1/people/665926","L","Left",519151,"Ryan Pressly","/api/v1/people/519151","R","Right","vs_RHP","vs_LHB","Empty",NA,"Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Cleveland Guardians",1,"Major League Baseball",NA,NA,103,"American League","Cleveland Guardians","Houston Astros",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96.7,88.8,14,2,0.3894,6.3251,31.2462,-11.9475,-1.1728,10.0878,0.1023,0.9342,1.3705,-140.5462,-10.8613,-0.2388,50.0016,5.62,-2.351,8.4,2.4,24,2620,201,NA,NA,NA,NA,NA,NA,FALSE,-13,16.3,1.8,1,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717184,"2023-08-01",0,"2023-08-01T02:54:43.466Z","2023-08-01T02:54:48.466Z",FALSE,"stepoff","b68a720e-a016-4e13-b3ad-1e6f8dbc6df4",NA,"Pitcher Step Off",NA,NA,NA,NA,FALSE,"PSO",NA,NA,NA,NA,NA,NA,0,0,2,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"77","atBat","Groundout","field_out","Andres Gimenez grounds out, second baseman Jose Altuve to first baseman Jose Abreu.",0,3,7,77,"top",9,"2023-08-01T02:54:43.466Z","2023-08-01T02:55:59.293Z",TRUE,FALSE,FALSE,TRUE,0,2,1,3,665926,"Andrés Giménez","/api/v1/people/665926","L","Left",519151,"Ryan Pressly","/api/v1/people/519151","R","Right","vs_RHP","vs_LHB","Empty",NA,"Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Cleveland Guardians",1,"Major League Baseball",NA,NA,103,"American League","Cleveland Guardians","Houston Astros",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717184,"2023-08-01",1,"2023-08-01T02:54:00.175Z","2023-08-01T02:54:11.749Z",TRUE,"pitch","ee3a8c34-3466-4e92-ae75-76e531e3d479",2,"In play, run(s)",NA,NA,NA,NA,FALSE,"E","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"E","In play, run(s)",0,1,1,NA,NA,3.15,1.45,NA,99.52,180.62,"fly_ball","medium","9",160.24,67.02,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Sac Fly","sac_fly","Steven Kwan out on a sacrifice fly to right fielder Kyle Tucker. Will Brennan scores. Gabriel Arias to 3rd.",1,3,7,76,"top",9,"2023-08-01T02:53:24.434Z","2023-08-01T02:54:11.749Z",TRUE,TRUE,FALSE,TRUE,0,0,1,2,680757,"Steven Kwan","/api/v1/people/680757","L","Left",519151,"Ryan Pressly","/api/v1/people/519151","R","Right","vs_RHP","vs_LHB","RISP",NA,"Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Cleveland Guardians",1,"Major League Baseball",NA,NA,103,"American League","Cleveland Guardians","Houston Astros","true",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",90.5,83.6,6,2,0.4148,5.9943,26.538,-26.1738,2.2426,3.3935,0.4586,2.154,0.8852,-131.7766,-4.9639,-0.1726,50.004,5.9825,3.966,8.4,6,24,2782,142,88.8,30,339,NA,NA,NA,TRUE,-27.8,5.3,-4.2,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,666310,"Bo Naylor","/api/v1/people/666310",672356,"Gabriel Arias","/api/v1/people/672356",NA,NA,NA
717184,"2023-08-01",0,"2023-08-01T02:53:38.556Z","2023-08-01T02:53:41.837Z",TRUE,"pitch","3221e7fb-1cd5-4bfa-b2a0-3bb21c9a09fc",1,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,1,1,NA,NA,3.15,1.45,NA,125.86,176.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Sac Fly","sac_fly","Steven Kwan out on a sacrifice fly to right fielder Kyle Tucker. Will Brennan scores. Gabriel Arias to 3rd.",1,3,7,76,"top",9,"2023-08-01T02:53:24.434Z","2023-08-01T02:54:11.749Z",TRUE,TRUE,FALSE,TRUE,0,0,1,2,680757,"Steven Kwan","/api/v1/people/680757","L","Left",519151,"Ryan Pressly","/api/v1/people/519151","R","Right","vs_RHP","vs_LHB","RISP",NA,"Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Cleveland Guardians",1,"Major League Baseball",NA,NA,103,"American League","Cleveland Guardians","Houston Astros","false",NA,"rgba(0, 34, 255, 1.0)","CU","Curveball",82.2,74.4,5,2,0.4624,6.1288,27.818,-41.9728,8.5977,-6.9264,-0.2325,2.3044,-2.2316,-119.4919,0.1797,-0.3905,50.006,6.0702,12.157,15.6,12,24,3375,33,NA,NA,NA,NA,NA,NA,FALSE,-53.4,-12.1,-14.8,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717184,"2023-08-01",8,"2023-08-01T02:53:09.189Z","2023-08-01T02:53:14.331Z",TRUE,"pitch","01672476-2ebf-4cd5-b85a-3e72af3f6b93",7,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",2,3,0,NA,NA,3.185,1.4188,NA,128.39,162.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Strikeout","strikeout","Myles Straw called out on strikes.",0,2,7,75,"top",9,"2023-08-01T02:50:56.244Z","2023-08-01T02:53:14.331Z",TRUE,FALSE,FALSE,TRUE,14,2,3,1,664702,"Myles Straw","/api/v1/people/664702","R","Right",519151,"Ryan Pressly","/api/v1/people/519151","R","Right","vs_RHP","vs_RHB","Loaded",NA,"Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Cleveland Guardians",1,"Major League Baseball",NA,NA,103,"American League","Cleveland Guardians","Houston Astros",NA,NA,"rgba(0, 34, 255, 1.0)","CU","Curveball",81.5,73.4,1,2,0.4673,6.0707,28.2558,-44.2411,9.12,-8.7314,-0.2988,2.81,-2.5636,-118.4361,1.7789,-0.3694,50.0012,6.179,12.6082,15.6,13.2,24,3350,30,NA,NA,NA,NA,NA,NA,TRUE,-56.9,-14.8,-15.6,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,666310,"Bo Naylor","/api/v1/people/666310",686823,"Will Brennan","/api/v1/people/686823",672356,"Gabriel Arias","/api/v1/people/672356"
717184,"2023-08-01",7,"2023-08-01T02:52:42.530Z","2023-08-01T02:52:47.590Z",TRUE,"pitch","81d9b9a0-64e9-4632-a15a-f08966b42059",6,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",2,2,0,NA,NA,3.37,1.58,NA,78.56,210.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Strikeout","strikeout","Myles Straw called out on strikes.",0,2,7,75,"top",9,"2023-08-01T02:50:56.244Z","2023-08-01T02:53:14.331Z",TRUE,FALSE,FALSE,TRUE,14,2,3,1,664702,"Myles Straw","/api/v1/people/664702","R","Right",519151,"Ryan Pressly","/api/v1/people/519151","R","Right","vs_RHP","vs_RHB","Loaded",NA,"Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Cleveland Guardians",1,"Major League Baseball",NA,NA,103,"American League","Cleveland Guardians","Houston Astros",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",90.3,83.4,14,2,0.4163,6.1902,27.2252,-27.3198,2.3805,2.7714,1.0084,1.0362,1.9156,-131.4543,-7.3241,-0.0386,50.0063,5.8798,4.1773,8.4,7.2,24,2776,152,NA,NA,NA,NA,NA,NA,FALSE,-29.8,3.7,-4.7,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717184,"2023-08-01",6,"2023-08-01T02:52:18.522Z","2023-08-01T02:52:23.923Z",TRUE,"pitch","d2f286ab-43a8-469d-b8d1-005fd1517874",5,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",2,2,0,NA,NA,3.37,1.58,NA,101.87,179.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Strikeout","strikeout","Myles Straw called out on strikes.",0,2,7,75,"top",9,"2023-08-01T02:50:56.244Z","2023-08-01T02:53:14.331Z",TRUE,FALSE,FALSE,TRUE,14,2,3,1,664702,"Myles Straw","/api/v1/people/664702","R","Right",519151,"Ryan Pressly","/api/v1/people/519151","R","Right","vs_RHP","vs_RHB","Loaded",NA,"Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Cleveland Guardians",1,"Major League Baseball",NA,NA,103,"American League","Cleveland Guardians","Houston Astros",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.6,86.9,6,2,0.395,6.3893,33.1084,-9.7779,-0.9045,11.5208,0.3969,2.1941,1.2283,-139.0176,-8.0902,0.0655,50.0036,5.8029,-1.7586,7.2,2.4,24,2670,196,NA,NA,NA,NA,NA,NA,FALSE,-10.9,19.2,1.3,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
