"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","details.disengagementNum","isBaseRunningPlay","reviewDetails.isOverturned","reviewDetails.inProgress","reviewDetails.reviewType","reviewDetails.challengeTeamId","isSubstitution","replacedPlayer.id","replacedPlayer.link","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link"
716546,"2023-09-17",2,"2023-09-17T20:35:00.341Z","2023-09-17T20:35:09.391Z",TRUE,"pitch","e644a393-0012-466b-b5ea-912c058c66f1",3,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,1,2,NA,NA,3.54,1.64,NA,115.71,159.87,"fly_ball","medium","7",87.56,85.25,NA,NA,NA,NA,NA,NA,NA,NA,"88","atBat","Flyout","field_out","Matt Olson flies out to left fielder Jon Berti.",0,2,16,88,"top",9,"2023-09-17T20:34:18.124Z","2023-09-17T20:35:09.391Z",TRUE,FALSE,FALSE,TRUE,0,1,1,3,621566,"Matt Olson","/api/v1/people/621566","L","Left",607732,"Jacob Stallings","/api/v1/people/607732","R","Right","vs_RHP","vs_LHB","Empty",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves","Miami Marlins","true",NA,"rgba(50, 50, 50, 1.0)","CS","Slow Curve",41.3,38.6,5,0.89,0.9404,4.8044,7.2005,-33.8772,6.4185,-4.9983,0.034,2.9227,1.6635,-58.9397,8.8947,-2.2438,50.0023,8.0172,2.1886,3.6,39.6,24,1428,51,85.2,32,300,NA,NA,NA,TRUE,-172.4,-1.8,-12.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716546,"2023-09-17",1,"2023-09-17T20:34:48.023Z","2023-09-17T20:34:52.908Z",TRUE,"pitch","384c655b-0d08-4908-a2ff-315c19759c6c",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,2,NA,NA,3.7324,1.7331,NA,124.66,113.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"88","atBat","Flyout","field_out","Matt Olson flies out to left fielder Jon Berti.",0,2,16,88,"top",9,"2023-09-17T20:34:18.124Z","2023-09-17T20:35:09.391Z",TRUE,FALSE,FALSE,TRUE,0,1,1,3,621566,"Matt Olson","/api/v1/people/621566","L","Left",607732,"Jacob Stallings","/api/v1/people/607732","R","Right","vs_RHP","vs_LHB","Empty",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves","Miami Marlins","false",NA,"rgba(186, 1, 0, 1.0)","FA","Fastball",77.2,69.8,11,2,0.4902,5.7123,22.4294,-18.9016,-7.9605,10.5222,-0.2009,4.6391,6.3267,-112.2172,0.3408,-2.0379,50,6.4282,-10.0375,25.2,7.2,24,2142,223,NA,NA,NA,NA,NA,NA,FALSE,-27,19.4,12.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716546,"2023-09-17",0,"2023-09-17T20:34:33.153Z","2023-09-17T20:34:36.479Z",TRUE,"pitch","41c0d485-fddd-4c14-8851-4e4a37b28c20",1,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,1,2,NA,NA,3.54,1.64,NA,142.17,185.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"88","atBat","Flyout","field_out","Matt Olson flies out to left fielder Jon Berti.",0,2,16,88,"top",9,"2023-09-17T20:34:18.124Z","2023-09-17T20:35:09.391Z",TRUE,FALSE,FALSE,TRUE,0,1,1,3,621566,"Matt Olson","/api/v1/people/621566","L","Left",607732,"Jacob Stallings","/api/v1/people/607732","R","Right","vs_RHP","vs_LHB","Empty",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves","Miami Marlins","false",NA,"rgba(186, 1, 0, 1.0)","FA","Fastball",75.6,68.9,7,2,0.5008,5.4825,20.276,-35.6893,-11.1099,-2.9026,-0.6605,1.9832,8.5468,-109.5889,3.1227,-3.1771,50.0035,4.3649,-13.4459,19.2,12,24,1961,273,NA,NA,NA,NA,NA,NA,FALSE,-52.3,-4,17.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716546,"2023-09-17",0,"2023-09-17T20:34:03.120Z","2023-09-17T20:34:14.821Z",TRUE,"pitch","f0250c6f-86c0-4a35-8415-2c71eca2b0b8",1,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,0,1,NA,NA,3.18,1.49,NA,103.86,146.01,"fly_ball","medium","7",57.32,93.83,NA,NA,NA,NA,NA,NA,NA,NA,"87","atBat","Flyout","field_out","Luke Williams flies out to left fielder Jon Berti.",0,2,16,87,"top",9,"2023-09-17T20:33:55.313Z","2023-09-17T20:34:14.821Z",TRUE,FALSE,FALSE,TRUE,0,0,0,2,663897,"Luke Williams","/api/v1/people/663897","R","Right",607732,"Jacob Stallings","/api/v1/people/607732","R","Right","vs_RHP","vs_RHB","RISP",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves","Miami Marlins","true",NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",52.2,48,12,0.93,0.7267,4.9082,10.0802,-25.9015,-7.7801,10.9265,0.3447,3.4361,4.9087,-75.6588,3.2398,-1.9462,50.0028,7.1108,-4.4662,8.4,18,24,1460,226,85.1,39,312,NA,NA,NA,TRUE,-80,22,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,607680,"Kevin Pillar","/api/v1/people/607680",NA,NA,NA
716546,"2023-09-17",1,"2023-09-17T20:33:35.787Z","2023-09-17T20:33:45.653Z",TRUE,"pitch","be16b32e-f12b-4911-9b95-2a2959079f2d",2,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,1,0,NA,NA,3.2,1.58,NA,132.35,164.73,"ground_ball","medium","5",99.99,166.67,NA,NA,NA,NA,NA,NA,NA,NA,"86","atBat","Groundout","field_out","Ozzie Albies grounds out, third baseman Jake Burger to first baseman Yuli Gurriel.",0,2,16,86,"top",9,"2023-09-17T20:33:13.196Z","2023-09-17T20:33:45.653Z",TRUE,FALSE,FALSE,TRUE,0,0,1,1,645277,"Ozzie Albies","/api/v1/people/645277","R","Right",607732,"Jacob Stallings","/api/v1/people/607732","R","Right","vs_RHP","vs_RHB","RISP",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves","Miami Marlins","true",NA,"rgba(50, 50, 50, 1.0)","CS","Slow Curve",38,36.1,1,0.9,1.0314,4.9243,6.1793,-33.8505,6.8814,-5.9354,-0.4026,2.7428,1.1866,-53.829,10.1977,-2.4243,50.0006,8.438,1.9489,3.6,46.8,24,1276,52,99,6,93,NA,NA,NA,TRUE,-206.8,-1.4,-13.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,607680,"Kevin Pillar","/api/v1/people/607680",NA,NA,NA
716546,"2023-09-17",0,"2023-09-17T20:33:24.401Z","2023-09-17T20:33:28.337Z",TRUE,"pitch","0ff18bd0-02b9-4e3a-b0e4-143f1aacee61",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,0,NA,NA,3.4709,1.6305,NA,96.24,174.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"86","atBat","Groundout","field_out","Ozzie Albies grounds out, third baseman Jake Burger to first baseman Yuli Gurriel.",0,2,16,86,"top",9,"2023-09-17T20:33:13.196Z","2023-09-17T20:33:45.653Z",TRUE,FALSE,FALSE,TRUE,0,0,1,1,645277,"Ozzie Albies","/api/v1/people/645277","R","Right",607732,"Jacob Stallings","/api/v1/people/607732","R","Right","vs_RHP","vs_RHB","RISP",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves","Miami Marlins","false",NA,"rgba(186, 1, 0, 1.0)","FA","Fastball",67.7,61.9,6,2,0.5591,5.4401,15.9477,-31.2955,-11.4362,0.9004,0.5448,2.393,9.3017,-98.0815,3.0691,-2.78,50.0009,4.9898,-11.1082,18,13.2,24,1787,265,NA,NA,NA,NA,NA,NA,FALSE,-57.2,3.1,17.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716546,"2023-09-17",1,"2023-09-17T20:32:55.146Z","2023-09-17T20:33:07.213Z",TRUE,"pitch","a4bb853f-846e-4948-b930-591392063ecd",1,"In play, no out",NA,NA,NA,NA,FALSE,"D","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"D","In play, no out",0,0,0,NA,NA,3.28,1.57,NA,143.47,141.98,"line_drive","medium","7",33,99,NA,NA,NA,NA,NA,NA,NA,NA,"85","atBat","Double","double","Kevin Pillar doubles (10) on a line drive to left fielder Jon Berti.",0,2,16,85,"top",9,"2023-09-17T20:32:53.242Z","2023-09-17T20:33:07.213Z",TRUE,FALSE,FALSE,FALSE,34,0,0,0,607680,"Kevin Pillar","/api/v1/people/607680","R","Right",607732,"Jacob Stallings","/api/v1/people/607732","R","Right","vs_RHP","vs_RHB","RISP",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves","Miami Marlins",NA,NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",49.7,46,11,0.92,0.7628,4.7611,8.7498,-28.7468,-9.4779,6.5661,-0.6945,3.585,4.0036,-71.9442,4.9505,-2.2891,50.0008,7.2476,-4.9422,9.6,21.6,24,1350,238,95.5,13,181,NA,NA,NA,FALSE,-97.4,14.9,15.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,607680,"Kevin Pillar","/api/v1/people/607680",NA,NA,NA
716546,"2023-09-17",0,"2023-09-17T20:32:21.073Z","2023-09-17T20:32:55.146Z",FALSE,"action",NA,NA,"Pitcher Jacob Stallings enters the batting order, batting 2nd, pitcher Jacob Stallings leaves the game.","Pitching Substitution",2,16,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,607732,"/api/v1/people/607732",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pitching_substitution",NA,"1","Pitcher","Pitcher","P","201","85","atBat","Double","double","Kevin Pillar doubles (10) on a line drive to left fielder Jon Berti.",0,2,16,85,"top",9,"2023-09-17T20:32:53.242Z","2023-09-17T20:33:07.213Z",TRUE,FALSE,FALSE,FALSE,34,0,0,0,607680,"Kevin Pillar","/api/v1/people/607680","R","Right",607732,"Jacob Stallings","/api/v1/people/607732","R","Right","vs_RHP","vs_RHB","RISP",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves","Miami Marlins",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,624585,"/api/v1/people/624585",FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716546,"2023-09-17",3,"2023-09-17T20:30:39.113Z","2023-09-17T20:30:49.481Z",TRUE,"pitch","f84fbe5f-89bf-46e8-9004-25f4ecc1f05f",4,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",2,1,2,NA,NA,3.3,1.54,NA,152.17,168.65,"popup","medium","3",173.09,170.23,NA,NA,NA,NA,NA,NA,NA,NA,"84","atBat","Pop Out","field_out","Jake Burger pops out to first baseman Matt Olson in foul territory.",0,2,16,84,"bottom",8,"2023-09-17T20:30:03.519Z","2023-09-17T20:30:49.481Z",TRUE,FALSE,FALSE,TRUE,0,2,1,3,669394,"Jake Burger","/api/v1/people/669394","R","Right",670032,"Nicky Lopez","/api/v1/people/670032","R","Right","vs_RHP","vs_RHB","Empty",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins","Atlanta Braves","true",NA,"rgba(186, 1, 0, 1.0)","FA","Fastball",59.6,54.6,11,2,0.634,4.4893,13.2243,-23.6243,-2.5644,11.3392,-0.9226,2.5974,1.6764,-86.7132,0.3331,-1.5733,50.0041,6.4655,-1.9341,3.6,13.2,24,1494,215,70.6,64,145,NA,NA,NA,TRUE,-56.4,21.1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716546,"2023-09-17",2,"2023-09-17T20:30:26.296Z","2023-09-17T20:30:31.116Z",TRUE,"pitch","3e810712-e55a-4bcc-bab3-f57376d4fea4",3,"Foul Tip",NA,NA,NA,NA,FALSE,"T","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"T","Foul Tip",2,1,2,NA,NA,3.3,1.54,NA,112.86,151.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"84","atBat","Pop Out","field_out","Jake Burger pops out to first baseman Matt Olson in foul territory.",0,2,16,84,"bottom",8,"2023-09-17T20:30:03.519Z","2023-09-17T20:30:49.481Z",TRUE,FALSE,FALSE,TRUE,0,2,1,3,669394,"Jake Burger","/api/v1/people/669394","R","Right",670032,"Nicky Lopez","/api/v1/people/670032","R","Right","vs_RHP","vs_RHB","Empty",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins","Atlanta Braves","false",NA,"rgba(186, 1, 0, 1.0)","FA","Fastball",60.2,55.2,2,2,0.6274,5.0376,12.9565,-24.177,-6.0461,10.378,0.1086,3.2335,4.0037,-87.4754,1.3257,-1.4302,50.0037,6.5354,-4.6607,9.6,13.2,24,1481,216,NA,NA,NA,NA,NA,NA,FALSE,-56.3,19.8,9.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
