"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isSubstitution","details.disengagementNum","isBaseRunningPlay","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","replacedPlayer.id","replacedPlayer.link","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link"
746711,"2024-05-26",6,"2024-05-26T19:47:03.663Z","2024-05-26T19:47:08.313Z",TRUE,"pitch","aaa24933-26b2-422a-bc09-c5609d76e092",6,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",3,3,2,NA,NA,3.67,1.74,NA,94.19,165.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Strikeout","strikeout","Andy Pages strikes out swinging.",0,1,4,68,"top",9,"2024-05-26T19:45:00.377Z","2024-05-26T19:47:08.313Z",TRUE,FALSE,FALSE,TRUE,14,3,3,3,681624,"Andy Pages","/api/v1/people/681624","R","Right",664747,"Alexis Díaz","/api/v1/people/664747","R","Right","vs_RHP","vs_RHB","Empty",NA,"Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Dodgers","Cincinnati Reds",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94.5,86.3,6,0.9,0.3987,7.6254,30.1756,-18.0368,-5.5838,7.3936,0.5984,2.7123,8.8006,-137.3313,-1.1532,-1.9209,50.0012,4.3636,-10.6751,25.2,4.8,24,2707,237,NA,NA,NA,NA,NA,NA,TRUE,-17.3,13.3,8.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746711,"2024-05-26",5,"2024-05-26T19:46:47.347Z","2024-05-26T19:46:51.442Z",TRUE,"pitch","9e618caa-9d74-4e50-858c-b34bc8a874a0",5,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",3,2,2,NA,NA,3.6652,1.4474,NA,66.85,181.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Strikeout","strikeout","Andy Pages strikes out swinging.",0,1,4,68,"top",9,"2024-05-26T19:45:00.377Z","2024-05-26T19:47:08.313Z",TRUE,FALSE,FALSE,TRUE,14,3,3,3,681624,"Andy Pages","/api/v1/people/681624","R","Right",664747,"Alexis Díaz","/api/v1/people/664747","R","Right","vs_RHP","vs_RHB","Empty",NA,"Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Dodgers","Cincinnati Reds",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",88.8,82.5,14,0.88,0.4215,7.6037,23.5527,-27.7942,0.5258,2.555,1.3156,2.1338,8.1217,-129.2801,-0.7668,-1.9175,50.0046,4.5424,0.9011,4.8,7.2,24,2662,173,NA,NA,NA,NA,NA,NA,FALSE,-29.6,4.7,-2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746711,"2024-05-26",4,"2024-05-26T19:46:31.388Z","2024-05-26T19:46:36.058Z",TRUE,"pitch","c3018ef6-827a-4a72-b9a3-de7392f85853",4,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,2,2,NA,NA,3.4106,1.4737,NA,95.2,136.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Strikeout","strikeout","Andy Pages strikes out swinging.",0,1,4,68,"top",9,"2024-05-26T19:45:00.377Z","2024-05-26T19:47:08.313Z",TRUE,FALSE,FALSE,TRUE,14,3,3,3,681624,"Andy Pages","/api/v1/people/681624","R","Right",664747,"Alexis Díaz","/api/v1/people/664747","R","Right","vs_RHP","vs_RHB","Empty",NA,"Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Dodgers","Cincinnati Reds",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.3,87.3,12,0.9,0.3944,7.6368,29.6677,-20.4064,-3.9809,6.0187,0.572,3.7939,8.0679,-138.6326,1.7195,-1.8527,50.0025,4.5238,-7.784,16.8,4.8,24,2665,233,NA,NA,NA,NA,NA,NA,FALSE,-18.6,11.5,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746711,"2024-05-26",2,"2024-05-26T19:45:58.350Z","2024-05-26T19:46:01.629Z",TRUE,"pitch","a3b809d7-df44-413b-b046-8ca1eeb5eb7b",3,"Foul Tip",NA,NA,NA,NA,FALSE,"T","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"T","Foul Tip",1,2,2,NA,NA,3.67,1.74,NA,109.63,162.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Strikeout","strikeout","Andy Pages strikes out swinging.",0,1,4,68,"top",9,"2024-05-26T19:45:00.377Z","2024-05-26T19:47:08.313Z",TRUE,FALSE,FALSE,TRUE,14,3,3,3,681624,"Andy Pages","/api/v1/people/681624","R","Right",664747,"Alexis Díaz","/api/v1/people/664747","R","Right","vs_RHP","vs_RHB","Empty",NA,"Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Dodgers","Cincinnati Reds",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.3,86.6,5,0.9,0.3959,7.6317,32.4975,-18.2681,-5.3175,7.1838,0.1934,2.8298,7.4406,-138.6155,-0.9516,-1.8414,50.0037,4.4033,-10.2952,25.2,4.8,24,2641,240,NA,NA,NA,NA,NA,NA,FALSE,-17.3,13,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746711,"2024-05-26",1,"2024-05-26T19:45:41.322Z","2024-05-26T19:45:44.322Z",TRUE,"pitch","30b442d0-84bd-47e4-bb09-e878cf609bb8",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,2,NA,NA,3.3848,1.4737,NA,130.43,112.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Strikeout","strikeout","Andy Pages strikes out swinging.",0,1,4,68,"top",9,"2024-05-26T19:45:00.377Z","2024-05-26T19:47:08.313Z",TRUE,FALSE,FALSE,TRUE,14,3,3,3,681624,"Andy Pages","/api/v1/people/681624","R","Right",664747,"Alexis Díaz","/api/v1/people/664747","R","Right","vs_RHP","vs_RHB","Empty",NA,"Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Dodgers","Cincinnati Reds",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96,87.4,11,0.91,0.3925,7.5152,31.6815,-19.7751,-5.7822,6.2863,-0.3523,4.678,6.4755,-139.6097,3.9653,-1.9515,50.0022,4.5413,-11.4046,27.6,4.8,24,2695,234,NA,NA,NA,NA,NA,NA,FALSE,-17.3,12.5,9.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746711,"2024-05-26",0,"2024-05-26T19:45:23.124Z","2024-05-26T19:45:26.300Z",TRUE,"pitch","15bf0834-5716-45e6-93d4-e1fecd560aa0",1,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,1,2,NA,NA,3.67,1.74,NA,149.48,167.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Strikeout","strikeout","Andy Pages strikes out swinging.",0,1,4,68,"top",9,"2024-05-26T19:45:00.377Z","2024-05-26T19:47:08.313Z",TRUE,FALSE,FALSE,TRUE,14,3,3,3,681624,"Andy Pages","/api/v1/people/681624","R","Right",664747,"Alexis Díaz","/api/v1/people/664747","R","Right","vs_RHP","vs_RHB","Empty",NA,"Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Dodgers","Cincinnati Reds",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",97,88.7,13,0.91,0.3876,7.5878,31.6277,-19.1763,-6.4087,6.4234,-0.852,2.6324,5.7931,-141.2276,-1.4601,-2.0954,50.0039,4.3873,-12.9699,31.2,4.8,24,2684,238,NA,NA,NA,NA,NA,NA,FALSE,-17.5,11.5,10.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746711,"2024-05-26",3,"2024-05-26T19:46:17.919Z","2024-05-26T19:46:31.388Z",FALSE,"action",NA,NA,"Batter Timeout.","Batter Timeout",1,4,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,1,2,2,681624,"/api/v1/people/681624",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"batter_timeout",NA,NA,NA,NA,NA,NA,"68","atBat","Strikeout","strikeout","Andy Pages strikes out swinging.",0,1,4,68,"top",9,"2024-05-26T19:45:00.377Z","2024-05-26T19:47:08.313Z",TRUE,FALSE,FALSE,TRUE,14,3,3,3,681624,"Andy Pages","/api/v1/people/681624","R","Right",664747,"Alexis Díaz","/api/v1/people/664747","R","Right","vs_RHP","vs_RHB","Empty",NA,"Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Dodgers","Cincinnati Reds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746711,"2024-05-26",12,"2024-05-26T19:44:53.688Z","2024-05-26T19:44:57.136Z",TRUE,"pitch","9ba63c0c-0bac-424f-aa51-95b50b1e507c",10,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",3,3,1,NA,NA,3.6,1.74,NA,71.53,175.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"67","atBat","Strikeout","strikeout","Teoscar Hernández strikes out swinging.",0,1,4,67,"top",9,"2024-05-26T19:41:46.621Z","2024-05-26T19:44:57.136Z",TRUE,FALSE,FALSE,TRUE,14,3,3,2,606192,"Teoscar Hernández","/api/v1/people/606192","R","Right",664747,"Alexis Díaz","/api/v1/people/664747","R","Right","vs_RHP","vs_RHB","RISP",NA,"Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Dodgers","Cincinnati Reds",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",87.9,81.5,14,0.89,0.4261,7.7337,23.281,-27.3714,1.1668,2.8624,1.1928,2.3565,7.8655,-127.9281,-0.1574,-2.0574,50.003,4.5418,1.958,7.2,7.2,24,2707,189,NA,NA,NA,NA,NA,NA,TRUE,-29.6,5.4,-3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,518692,"Freddie Freeman","/api/v1/people/518692"
746711,"2024-05-26",11,"2024-05-26T19:44:36.773Z","2024-05-26T19:44:41.572Z",TRUE,"pitch","d4b9e8d1-8b76-4b49-8e5f-5daa978f0dbf",9,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",3,2,1,NA,NA,3.2816,1.4211,NA,164.74,179.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"67","atBat","Strikeout","strikeout","Teoscar Hernández strikes out swinging.",0,1,4,67,"top",9,"2024-05-26T19:41:46.621Z","2024-05-26T19:44:57.136Z",TRUE,FALSE,FALSE,TRUE,14,3,3,2,606192,"Teoscar Hernández","/api/v1/people/606192","R","Right",664747,"Alexis Díaz","/api/v1/people/664747","R","Right","vs_RHP","vs_RHB","RISP",NA,"Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Dodgers","Cincinnati Reds",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",89.4,82.9,13,0.9,0.4183,7.5635,24.5953,-32.4113,2.826,-0.1385,-1.2524,2.2129,1.5084,-130.3834,0.1891,-2.2035,50.0013,4.5635,4.9179,9.6,7.2,24,2836,126,NA,NA,NA,NA,NA,NA,FALSE,-33.8,0,-5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746711,"2024-05-26",10,"2024-05-26T19:44:09.564Z","2024-05-26T19:44:13.078Z",TRUE,"pitch","7a04917d-20cf-473d-af54-0b4d9a84ea58",8,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",2,2,1,NA,NA,3.6,1.74,NA,133.48,159.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"67","atBat","Strikeout","strikeout","Teoscar Hernández strikes out swinging.",0,1,4,67,"top",9,"2024-05-26T19:41:46.621Z","2024-05-26T19:44:57.136Z",TRUE,FALSE,FALSE,TRUE,14,3,3,2,606192,"Teoscar Hernández","/api/v1/people/606192","R","Right",664747,"Alexis Díaz","/api/v1/people/664747","R","Right","vs_RHP","vs_RHB","RISP",NA,"Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Dodgers","Cincinnati Reds",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",88.5,81.9,4,0.89,0.4227,7.642,23.9259,-30.3957,1.5706,1.0403,-0.4324,2.9446,3.7534,-129.0011,1.5664,-2.1035,50.0001,4.6533,2.6768,6,7.2,24,2747,120,NA,NA,NA,NA,NA,NA,FALSE,-32,2.4,-3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
