"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isSubstitution","replacedPlayer.id","replacedPlayer.link","details.disengagementNum","isBaseRunningPlay","result.isOut","about.isTopInning","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link"
717693,"2023-06-19",2,"2023-06-20T02:31:25.878Z","2023-06-20T02:31:35.678Z",TRUE,"pitch","f3f2af71-296d-494c-971a-a8c6c1946bfb",2,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,1,2,NA,NA,3.1,1.4,NA,140.12,186.36,"ground_ball","medium","5",112.13,174.77,NA,NA,NA,NA,NA,NA,NA,NA,"80","atBat","Forceout","force_out","Donovan Solano grounds into a force out, third baseman Rafael Devers to second baseman Christian Arroyo. Christian Vazquez out at 2nd.",0,9,3,80,"bottom",9,"2023-06-20T02:31:08.527Z","2023-06-20T02:31:35.678Z",TRUE,FALSE,FALSE,TRUE,0,0,1,3,456781,"Donovan Solano","/api/v1/people/456781","R","Right",621057,"Justin Garza","/api/v1/people/621057","R","Right","vs_RHP","vs_RHB","Empty",NA,"Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Boston Red Sox",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",83.2,77.3,4,2,0.4501,5.9264,21.9829,-33.6975,1.9104,-1.0161,-0.6065,1.9414,2.4477,-121.3292,-1.4961,-1.8736,50.0021,5.4815,2.8698,6,9.6,24,2247,80,89.9,2,55,NA,NA,NA,TRUE,-41,-1.9,-4,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717693,"2023-06-19",1,"2023-06-20T02:31:10.852Z","2023-06-20T02:31:15.125Z",TRUE,"pitch","f23ce5c4-4af3-401e-9540-3c09fb6c44c2",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,2,NA,NA,3.0399,1.3401,NA,112.98,168.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"80","atBat","Forceout","force_out","Donovan Solano grounds into a force out, third baseman Rafael Devers to second baseman Christian Arroyo. Christian Vazquez out at 2nd.",0,9,3,80,"bottom",9,"2023-06-20T02:31:08.527Z","2023-06-20T02:31:35.678Z",TRUE,FALSE,FALSE,TRUE,0,0,1,3,456781,"Donovan Solano","/api/v1/people/456781","R","Right",621057,"Justin Garza","/api/v1/people/621057","R","Right","vs_RHP","vs_RHB","Empty",NA,"Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Boston Red Sox",NA,NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",86.5,79.2,2,2,0.4354,6.0236,26.6417,-28.9486,1.9044,2.0181,0.1056,2.6022,3.8394,-126.0084,-1.1317,-1.688,50.0062,5.4053,3.0491,7.2,7.2,24,2204,163,NA,NA,NA,NA,NA,NA,FALSE,-33,3.6,-4.3,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717693,"2023-06-19",0,"2023-06-20T02:30:22.728Z","2023-06-20T02:31:10.852Z",FALSE,"action",NA,NA,"Mound Visit.","Mound Visit",9,3,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mound_visit",NA,NA,NA,NA,NA,NA,"80","atBat","Forceout","force_out","Donovan Solano grounds into a force out, third baseman Rafael Devers to second baseman Christian Arroyo. Christian Vazquez out at 2nd.",0,9,3,80,"bottom",9,"2023-06-20T02:31:08.527Z","2023-06-20T02:31:35.678Z",TRUE,FALSE,FALSE,TRUE,0,0,1,3,456781,"Donovan Solano","/api/v1/people/456781","R","Right",621057,"Justin Garza","/api/v1/people/621057","R","Right","vs_RHP","vs_RHB","Empty",NA,"Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Boston Red Sox",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717693,"2023-06-19",6,"2023-06-20T02:30:08.321Z","2023-06-20T02:30:14.021Z",TRUE,"pitch","9835f181-f36c-4cd5-a441-f7c4cd346e25",6,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",4,2,2,NA,NA,3.127,1.469,NA,147.73,136.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Walk","walk","Christian Vazquez walks.",0,9,3,79,"bottom",9,"2023-06-20T02:28:09.952Z","2023-06-20T02:30:14.021Z",TRUE,FALSE,FALSE,FALSE,0,4,2,2,543877,"Christian Vázquez","/api/v1/people/543877","R","Right",621057,"Justin Garza","/api/v1/people/621057","R","Right","vs_RHP","vs_RHB","RISP",NA,"Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Boston Red Sox",NA,NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",87.1,79.9,11,2,0.4316,6.0681,25.7256,-30.8053,2.5346,0.8402,-0.8062,3.8046,1.9271,-126.877,1.7304,-1.9046,50.0042,5.567,4.1361,8.4,7.2,24,2156,141,NA,NA,NA,NA,NA,NA,FALSE,-33.8,2.2,-5,NA,NA,NA,NA,NA,FALSE,FALSE,571657,"Kyle Farmer","/api/v1/people/571657",NA,NA,NA,543877,"Christian Vázquez","/api/v1/people/543877"
717693,"2023-06-19",5,"2023-06-20T02:29:44.403Z","2023-06-20T02:29:48.301Z",TRUE,"pitch","ced1e6e4-c940-4cad-8d33-7e2555255084",5,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",3,2,2,NA,NA,3.1,1.5,NA,103.24,167.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Walk","walk","Christian Vazquez walks.",0,9,3,79,"bottom",9,"2023-06-20T02:28:09.952Z","2023-06-20T02:30:14.021Z",TRUE,FALSE,FALSE,FALSE,0,4,2,2,543877,"Christian Vázquez","/api/v1/people/543877","R","Right",621057,"Justin Garza","/api/v1/people/621057","R","Right","vs_RHP","vs_RHB","RISP",NA,"Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Boston Red Sox",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",93.1,85.6,3,2,0.4034,6.2334,27.9963,-16.3751,-5.4339,8.4534,0.3609,2.6577,7.6115,-135.4644,-4.0089,-1.7719,50.0032,5.2924,-10.1572,26.4,3.6,24,2294,218,NA,NA,NA,NA,NA,NA,FALSE,-16.7,14.6,8.3,NA,NA,NA,NA,NA,FALSE,FALSE,571657,"Kyle Farmer","/api/v1/people/571657",NA,NA,NA,NA,NA,NA
717693,"2023-06-19",4,"2023-06-20T02:29:26.811Z","2023-06-20T02:29:30.642Z",TRUE,"pitch","e6f39824-7050-440d-847b-8212bf7b0e9e",4,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",3,1,2,NA,NA,3.0689,1.3823,NA,71.45,148.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Walk","walk","Christian Vazquez walks.",0,9,3,79,"bottom",9,"2023-06-20T02:28:09.952Z","2023-06-20T02:30:14.021Z",TRUE,FALSE,FALSE,FALSE,0,4,2,2,543877,"Christian Vázquez","/api/v1/people/543877","R","Right",621057,"Justin Garza","/api/v1/people/621057","R","Right","vs_RHP","vs_RHB","RISP",NA,"Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Boston Red Sox",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",93.7,86.1,12,2,0.401,6.1856,27.7426,-16.8429,-5.2536,8.0994,1.195,3.33,9.2284,-136.1879,-2.3926,-1.543,50.0023,5.3746,-9.9447,25.2,3.6,24,2314,211,NA,NA,NA,NA,NA,NA,FALSE,-16.7,14.4,7.7,NA,NA,NA,NA,NA,FALSE,FALSE,571657,"Kyle Farmer","/api/v1/people/571657",NA,NA,NA,NA,NA,NA
717693,"2023-06-19",3,"2023-06-20T02:29:02.098Z","2023-06-20T02:29:08.071Z",TRUE,"pitch","29f9f3dd-63db-41b9-970f-0db182026767",3,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",2,1,2,NA,NA,3.1,1.5,NA,142.79,169.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Walk","walk","Christian Vazquez walks.",0,9,3,79,"bottom",9,"2023-06-20T02:28:09.952Z","2023-06-20T02:30:14.021Z",TRUE,FALSE,FALSE,FALSE,0,4,2,2,543877,"Christian Vázquez","/api/v1/people/543877","R","Right",621057,"Justin Garza","/api/v1/people/621057","R","Right","vs_RHP","vs_RHB","RISP",NA,"Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Boston Red Sox",NA,NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",86.1,78.9,4,2,0.4374,6.337,26.1958,-33.6735,2.8653,-0.9392,-0.6765,2.5653,2.28,-125.4024,-0.3928,-1.971,50.0062,5.4792,4.5485,8.4,8.4,24,2273,137,NA,NA,NA,NA,NA,NA,FALSE,-38.5,-1.6,-5.8,NA,NA,NA,NA,NA,FALSE,FALSE,571657,"Kyle Farmer","/api/v1/people/571657",NA,NA,NA,NA,NA,NA
717693,"2023-06-19",2,"2023-06-20T02:28:45.585Z","2023-06-20T02:28:49.774Z",TRUE,"pitch","c74fab12-f7cd-49cc-8b64-fdb0d0a90e05",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,0,2,NA,NA,3.0109,1.4112,NA,166.42,143.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Walk","walk","Christian Vazquez walks.",0,9,3,79,"bottom",9,"2023-06-20T02:28:09.952Z","2023-06-20T02:30:14.021Z",TRUE,FALSE,FALSE,FALSE,0,4,2,2,543877,"Christian Vázquez","/api/v1/people/543877","R","Right",621057,"Justin Garza","/api/v1/people/621057","R","Right","vs_RHP","vs_RHB","RISP",NA,"Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Boston Red Sox",NA,NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",87,79.6,11,2,0.4327,6.1395,26.4077,-31.7434,4.1252,0.2646,-1.2966,3.5403,0.308,-126.6836,1.6091,-1.9555,50.0018,5.4382,6.6897,12,8.4,24,2223,155,NA,NA,NA,NA,NA,NA,FALSE,-35,1.1,-7.6,NA,NA,NA,NA,NA,FALSE,FALSE,571657,"Kyle Farmer","/api/v1/people/571657",NA,NA,NA,NA,NA,NA
717693,"2023-06-19",0,"2023-06-20T02:28:30.327Z","2023-06-20T02:28:36.232Z",TRUE,"pitch","c83ed547-a59f-44e5-9505-bcb086f5e057",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,2,NA,NA,3.0979,1.4401,NA,96.43,135.89,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,"79","atBat","Walk","walk","Christian Vazquez walks.",0,9,3,79,"bottom",9,"2023-06-20T02:28:09.952Z","2023-06-20T02:30:14.021Z",TRUE,FALSE,FALSE,FALSE,0,4,2,2,543877,"Christian Vázquez","/api/v1/people/543877","R","Right",621057,"Justin Garza","/api/v1/people/621057","R","Right","vs_RHP","vs_RHB","RISP",NA,"Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Boston Red Sox",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94.1,86.4,12,2,0.3992,6.2521,28.7469,-17.5509,-2.2476,7.6603,0.5397,3.8108,7.1017,-136.9454,-1.1088,-1.7892,50.0064,5.4154,-4.2941,9.6,3.6,24,2133,209,NA,NA,NA,NA,NA,NA,FALSE,-16.9,13.9,2.6,NA,NA,NA,NA,NA,FALSE,FALSE,571657,"Kyle Farmer","/api/v1/people/571657",NA,NA,NA,NA,NA,NA
717693,"2023-06-19",1,"2023-06-20T02:28:44.297Z","2023-06-20T02:28:45.585Z",FALSE,"action",NA,NA,"Kyle Farmer advances to 2nd on defensive indifference.","Defensive Indiff",9,3,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,1,0,2,571657,"/api/v1/people/571657",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c83ed547-a59f-44e5-9505-bcb086f5e057","defensive_indiff",NA,NA,NA,NA,NA,NA,"79","atBat","Walk","walk","Christian Vazquez walks.",0,9,3,79,"bottom",9,"2023-06-20T02:28:09.952Z","2023-06-20T02:30:14.021Z",TRUE,FALSE,FALSE,FALSE,0,4,2,2,543877,"Christian Vázquez","/api/v1/people/543877","R","Right",621057,"Justin Garza","/api/v1/people/621057","R","Right","vs_RHP","vs_RHB","RISP",NA,"Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Boston Red Sox",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,571657,"Kyle Farmer","/api/v1/people/571657",NA,NA,NA,NA,NA,NA
