"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isBaseRunningPlay","isSubstitution","replacedPlayer.id","replacedPlayer.link","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link"
718472,"2023-04-22",3,"2023-04-23T01:20:57.092Z","2023-04-23T01:21:04.172Z",TRUE,"pitch","21cdfd22-1a90-4b33-8eb3-0cdd5fc8fa53",3,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,1,2,NA,NA,3.36,1.66,NA,116.74,158.54,"line_drive","medium","9",181.8,106.92,NA,NA,NA,NA,NA,NA,NA,NA,"65","atBat","Lineout","field_out","Matt Vierling lines out to right fielder Ryan McKenna.",0,1,5,65,"top",9,"2023-04-23T01:20:18.162Z","2023-04-23T01:21:04.172Z",TRUE,FALSE,FALSE,TRUE,0,1,1,3,663837,"Matt Vierling","/api/v1/people/663837","R","Right",543056,"Danny Coulombe","/api/v1/people/543056","L","Left","vs_LHP","vs_RHB","Empty",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers","Baltimore Orioles",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",91.2,83.6,2,0.91,0.4121,5.9214,27.9782,-18.1796,0.764,7.8207,0.0068,2.972,1.3343,-132.816,-4.0364,-0.601,50.0038,5.8305,1.3674,4.8,4.8,24,2501,165,91.8,18,269,NA,NA,NA,TRUE,-19.3,13.6,-1.7,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718472,"2023-04-22",2,"2023-04-23T01:20:39.856Z","2023-04-23T01:20:44.634Z",TRUE,"pitch","18585cde-3008-4bac-9209-7bfb61d27482",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,2,NA,NA,3.4427,1.7104,NA,114.22,200.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65","atBat","Lineout","field_out","Matt Vierling lines out to right fielder Ryan McKenna.",0,1,5,65,"top",9,"2023-04-23T01:20:18.162Z","2023-04-23T01:21:04.172Z",TRUE,FALSE,FALSE,TRUE,0,1,1,3,663837,"Matt Vierling","/api/v1/people/663837","R","Right",543056,"Danny Coulombe","/api/v1/people/543056","L","Left","vs_LHP","vs_RHB","Empty",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers","Baltimore Orioles",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",92.1,84.6,14,0.9,0.4084,5.9697,27.9323,-13.1836,-1.8125,10.4131,0.0728,1.4272,2.2714,-133.933,-8.7122,-0.5493,50.002,5.6573,-3.3051,10.8,3.6,24,2540,163,NA,NA,NA,NA,NA,NA,FALSE,-14.9,17.3,2.8,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718472,"2023-04-22",1,"2023-04-23T01:20:20.517Z","2023-04-23T01:20:25.109Z",TRUE,"pitch","0a732676-f45b-4dd4-8ff4-e9adb34f03e6",1,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,1,2,NA,NA,3.36,1.66,NA,138.47,208.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65","atBat","Lineout","field_out","Matt Vierling lines out to right fielder Ryan McKenna.",0,1,5,65,"top",9,"2023-04-23T01:20:18.162Z","2023-04-23T01:21:04.172Z",TRUE,FALSE,FALSE,TRUE,0,1,1,3,663837,"Matt Vierling","/api/v1/people/663837","R","Right",543056,"Danny Coulombe","/api/v1/people/543056","L","Left","vs_LHP","vs_RHB","Empty",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers","Baltimore Orioles",NA,NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",86.6,80.1,13,2,0.4337,5.7179,24.5109,-25.9361,-2.9314,3.8602,-0.5633,1.1213,0.8033,-126.068,-6.4416,-0.5042,50.0058,5.7901,-4.7412,9.6,7.2,24,2766,178,NA,NA,NA,NA,NA,NA,FALSE,-30.5,5.8,5.2,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718472,"2023-04-22",0,"2023-04-23T01:20:00.893Z","2023-04-23T01:20:20.517Z",FALSE,"action",NA,NA,"Offensive Substitution: Pinch-hitter Matt Vierling replaces Zach McKinstry.","Offensive Substitution",1,5,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,2,663837,"/api/v1/people/663837",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"offensive_substitution",NA,"11","Pinch Hitter","Hitter","PH","601","65","atBat","Lineout","field_out","Matt Vierling lines out to right fielder Ryan McKenna.",0,1,5,65,"top",9,"2023-04-23T01:20:18.162Z","2023-04-23T01:21:04.172Z",TRUE,FALSE,FALSE,TRUE,0,1,1,3,663837,"Matt Vierling","/api/v1/people/663837","R","Right",543056,"Danny Coulombe","/api/v1/people/543056","L","Left","vs_LHP","vs_RHB","Empty",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers","Baltimore Orioles",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,TRUE,656716,"/api/v1/people/656716",NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718472,"2023-04-22",6,"2023-04-23T01:19:38.775Z","2023-04-23T01:19:43.334Z",TRUE,"pitch","5dbcef05-b3f4-4d2c-a2b1-ff726c238312",7,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",4,2,2,NA,NA,3.5597,1.5933,NA,127.92,237.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"64","atBat","Walk","walk","Spencer Torkelson walks.",0,1,5,64,"top",9,"2023-04-23T01:17:09.269Z","2023-04-23T01:19:43.334Z",TRUE,FALSE,FALSE,FALSE,0,4,2,2,679529,"Spencer Torkelson","/api/v1/people/679529","R","Right",543056,"Danny Coulombe","/api/v1/people/543056","L","Left","vs_LHP","vs_RHB","Men_On",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers","Baltimore Orioles","true",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",87.5,80.6,13,2,0.4309,5.9291,26.3254,-26.2607,-2.1515,3.6134,-0.2866,0.057,1.649,-127.1585,-8.7891,-0.6643,50.0007,5.6447,-3.5192,6,7.2,24,2632,173,NA,NA,NA,NA,NA,NA,FALSE,-31.1,4.8,3.5,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,679529,"Spencer Torkelson","/api/v1/people/679529",NA,NA,NA,NA,NA,NA
718472,"2023-04-22",5,"2023-04-23T01:19:22.018Z","2023-04-23T01:19:25.528Z",TRUE,"pitch","6c93ca2d-6088-455b-8eb9-5fb602dd0e28",6,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",3,2,2,NA,NA,3.5129,1.5699,NA,102.07,123.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"64","atBat","Walk","walk","Spencer Torkelson walks.",0,1,5,64,"top",9,"2023-04-23T01:17:09.269Z","2023-04-23T01:19:43.334Z",TRUE,FALSE,FALSE,FALSE,0,4,2,2,679529,"Spencer Torkelson","/api/v1/people/679529","R","Right",543056,"Danny Coulombe","/api/v1/people/543056","L","Left","vs_LHP","vs_RHB","Men_On",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers","Baltimore Orioles","false",NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",73.1,66.6,12,0.88,0.5161,5.6863,19.3381,-27.0535,4.9613,4.4938,0.3917,4.2563,0.0107,-106.3962,2.6489,-0.2572,50.0022,6.0739,5.6513,12,9.6,24,1561,140,NA,NA,NA,NA,NA,NA,FALSE,-42.1,9.2,-9,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718472,"2023-04-22",4,"2023-04-23T01:18:52.482Z","2023-04-23T01:18:57.628Z",TRUE,"pitch","0f47afb5-7d80-46cf-ab22-655b7a4f0296",5,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",2,2,2,NA,NA,3.38,1.57,NA,153.53,161.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"64","atBat","Walk","walk","Spencer Torkelson walks.",0,1,5,64,"top",9,"2023-04-23T01:17:09.269Z","2023-04-23T01:19:43.334Z",TRUE,FALSE,FALSE,FALSE,0,4,2,2,679529,"Spencer Torkelson","/api/v1/people/679529","R","Right",543056,"Danny Coulombe","/api/v1/people/543056","L","Left","vs_LHP","vs_RHB","Men_On",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers","Baltimore Orioles","false",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",86.1,78.8,11,2,0.4376,5.7764,26.2256,-31.9913,-3.0066,0.1128,-0.9585,2.8619,0.4085,-125.3543,-1.3793,-0.7335,50.0013,6.0401,-4.7662,8.4,8.4,24,2726,249,NA,NA,NA,NA,NA,NA,FALSE,-36.8,0.1,5.4,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718472,"2023-04-22",3,"2023-04-23T01:18:33.461Z","2023-04-23T01:18:38.182Z",TRUE,"pitch","10354453-9cd6-45e3-94c7-0314a1daaeca",4,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,2,2,NA,NA,3.4895,1.5699,NA,137.25,216.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"64","atBat","Walk","walk","Spencer Torkelson walks.",0,1,5,64,"top",9,"2023-04-23T01:17:09.269Z","2023-04-23T01:19:43.334Z",TRUE,FALSE,FALSE,FALSE,0,4,2,2,679529,"Spencer Torkelson","/api/v1/people/679529","R","Right",543056,"Danny Coulombe","/api/v1/people/543056","L","Left","vs_LHP","vs_RHB","Men_On",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers","Baltimore Orioles","false",NA,"rgba(153, 171, 0, 1.0)","KC","Knuckle Curve",81.5,74,13,0.89,0.4671,5.7236,28.669,-47.739,-3.4813,-11.2553,-0.5313,0.813,1.5701,-118.5617,-1.9116,-0.7601,50.003,6.1022,-4.8152,4.8,14.4,24,2844,347,NA,NA,NA,NA,NA,NA,FALSE,-62.5,-20.4,5.8,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718472,"2023-04-22",2,"2023-04-23T01:18:04.510Z","2023-04-23T01:18:07.747Z",TRUE,"pitch","4ce31b8f-d75c-4961-a78f-6ccd91e99d9b",3,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,2,2,NA,NA,3.38,1.57,NA,87.93,172.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"64","atBat","Walk","walk","Spencer Torkelson walks.",0,1,5,64,"top",9,"2023-04-23T01:17:09.269Z","2023-04-23T01:19:43.334Z",TRUE,FALSE,FALSE,FALSE,0,4,2,2,679529,"Spencer Torkelson","/api/v1/people/679529","R","Right",543056,"Danny Coulombe","/api/v1/people/543056","L","Left","vs_LHP","vs_RHB","Men_On",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers","Baltimore Orioles","false",NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",74.1,67.3,6,0.88,0.5105,5.7146,21.4486,-23.403,5.686,7.5496,0.7625,2.462,0.8568,-107.914,-1.8015,-0.379,50.0007,5.9242,6.603,15.6,8.4,24,1710,139,NA,NA,NA,NA,NA,NA,FALSE,-36.8,13.4,-10.6,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718472,"2023-04-22",1,"2023-04-23T01:17:44.390Z","2023-04-23T01:17:47.591Z",TRUE,"pitch","2a97da05-cf83-4f45-ae54-607132ebe94c",2,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,1,2,NA,NA,3.38,1.57,NA,85.59,156.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"64","atBat","Walk","walk","Spencer Torkelson walks.",0,1,5,64,"top",9,"2023-04-23T01:17:09.269Z","2023-04-23T01:19:43.334Z",TRUE,FALSE,FALSE,FALSE,0,4,2,2,679529,"Spencer Torkelson","/api/v1/people/679529","R","Right",543056,"Danny Coulombe","/api/v1/people/543056","L","Left","vs_LHP","vs_RHB","Men_On",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers","Baltimore Orioles","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",91,82.8,3,2,0.4146,5.861,29.6936,-12.8379,3.932,10.9511,0.8239,3.0399,1.8371,-132.3934,-4.9511,-0.391,50.0031,5.8824,6.9413,27.6,3.6,24,2517,160,NA,NA,NA,NA,NA,NA,FALSE,-14.3,18.8,-7.6,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
