"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","details.disengagementNum","isBaseRunningPlay","isSubstitution","base","replacedPlayer.id","replacedPlayer.link","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","reviewDetails.isOverturned","reviewDetails.inProgress","reviewDetails.reviewType","reviewDetails.challengeTeamId"
716971,"2023-08-17",4,"2023-08-17T02:34:06.764Z","2023-08-17T02:34:12.368Z",TRUE,"pitch","7aa314c8-f94e-4918-ab1f-032893700cad",4,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,3,2,NA,NA,3.63,1.76,NA,128.16,129.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Strikeout","strikeout","Leody Taveras strikes out swinging.",0,2,0,70,"bottom",9,"2023-08-17T02:32:33.744Z","2023-08-17T02:34:12.368Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,665750,"Leody Taveras","/api/v1/people/665750","L","Left",608032,"Carlos Estévez","/api/v1/people/608032","R","Right","vs_RHP","vs_LHB","Empty",NA,"Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers","Los Angeles Angels",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",99.9,91.1,11,0.91,0.3768,6.0038,34.0305,-10.1431,-6.1096,10.2935,-0.2929,4.04,5.8755,-145.3697,-2.401,-1.5463,50.0061,5.4923,-13.0806,48,3.6,24,2248,215,NA,NA,NA,NA,NA,NA,TRUE,-9.1,18.4,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716971,"2023-08-17",2,"2023-08-17T02:33:38.450Z","2023-08-17T02:33:42.017Z",TRUE,"pitch","27d51928-513a-4d7a-afdc-8f56eda15eac",3,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,2,2,NA,NA,3.63,1.76,NA,128.71,165.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Strikeout","strikeout","Leody Taveras strikes out swinging.",0,2,0,70,"bottom",9,"2023-08-17T02:32:33.744Z","2023-08-17T02:34:12.368Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,665750,"Leody Taveras","/api/v1/people/665750","L","Left",608032,"Carlos Estévez","/api/v1/people/608032","R","Right","vs_RHP","vs_LHB","Empty",NA,"Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers","Los Angeles Angels",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",99.1,90.6,4,0.91,0.3798,6.1963,33.3487,-15.2894,-6.1326,8.0143,-0.3073,2.7059,5.5555,-144.1883,-5.1647,-1.4617,50.003,5.4629,-12.9204,34.8,3.6,24,2213,213,NA,NA,NA,NA,NA,NA,FALSE,-14.2,13.7,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716971,"2023-08-17",1,"2023-08-17T02:33:14.682Z","2023-08-17T02:33:18.645Z",TRUE,"pitch","0925760c-ab34-406f-b1f5-c0f7cef78d83",2,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,1,2,NA,NA,3.63,1.76,NA,135.58,135.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Strikeout","strikeout","Leody Taveras strikes out swinging.",0,2,0,70,"bottom",9,"2023-08-17T02:32:33.744Z","2023-08-17T02:34:12.368Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,665750,"Leody Taveras","/api/v1/people/665750","L","Left",608032,"Carlos Estévez","/api/v1/people/608032","R","Right","vs_RHP","vs_LHB","Empty",NA,"Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers","Los Angeles Angels",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",98.7,90,11,0.9,0.3815,5.9893,33.7336,-14.7314,-5.5021,8.3562,-0.4876,3.829,4.5122,-143.6723,-2.7124,-1.3647,50.0048,5.7026,-11.4873,34.8,3.6,24,2153,208,NA,NA,NA,NA,NA,NA,FALSE,-13.3,14.8,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716971,"2023-08-17",0,"2023-08-17T02:32:57.466Z","2023-08-17T02:33:01.576Z",TRUE,"pitch","54a66ef3-8f54-44fa-ac63-c2b63d7da2fa",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,2,NA,NA,3.622,1.7491,NA,132.3,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Strikeout","strikeout","Leody Taveras strikes out swinging.",0,2,0,70,"bottom",9,"2023-08-17T02:32:33.744Z","2023-08-17T02:34:12.368Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,665750,"Leody Taveras","/api/v1/people/665750","L","Left",608032,"Carlos Estévez","/api/v1/people/608032","R","Right","vs_RHP","vs_LHB","Empty",NA,"Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers","Los Angeles Angels",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",89,82.1,1,0.9,0.4212,5.9621,25.5598,-30.7561,4.2453,0.8266,-0.4015,3.6215,1.8853,-129.7234,0.7736,-1.6878,50.0021,5.6527,7.2798,14.4,7.2,24,2074,153,NA,NA,NA,NA,NA,NA,FALSE,-32.4,1.9,-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716971,"2023-08-17",3,"2023-08-17T02:33:49.568Z","2023-08-17T02:34:06.764Z",FALSE,"action",NA,NA,"Batter Timeout.","Batter Timeout",2,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,1,2,2,665750,"/api/v1/people/665750",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"batter_timeout",NA,NA,NA,NA,NA,NA,"70","atBat","Strikeout","strikeout","Leody Taveras strikes out swinging.",0,2,0,70,"bottom",9,"2023-08-17T02:32:33.744Z","2023-08-17T02:34:12.368Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,665750,"Leody Taveras","/api/v1/people/665750","L","Left",608032,"Carlos Estévez","/api/v1/people/608032","R","Right","vs_RHP","vs_LHB","Empty",NA,"Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers","Los Angeles Angels",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716971,"2023-08-17",3,"2023-08-17T02:32:09.030Z","2023-08-17T02:32:23.372Z",TRUE,"pitch","73177a92-80f5-47c5-a916-bf9036151534",3,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,1,1,NA,NA,3.45,1.71,NA,104.01,153.12,"fly_ball","medium","9",164.84,50.15,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Flyout","field_out","Travis Jankowski flies out to right fielder Hunter Renfroe.",0,2,0,69,"bottom",9,"2023-08-17T02:31:27.648Z","2023-08-17T02:32:23.372Z",TRUE,FALSE,FALSE,TRUE,0,1,1,2,608671,"Travis Jankowski","/api/v1/people/608671","L","Left",608032,"Carlos Estévez","/api/v1/people/608032","R","Right","vs_RHP","vs_LHB","RISP",NA,"Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers","Los Angeles Angels",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",97.6,89.2,3,0.9,0.3857,6.4659,32.3711,-13.2781,-4.0819,9.2516,0.3408,3.1727,6.5959,-141.9798,-4.0362,-1.4816,50.0025,5.4571,-8.3375,25.2,3.6,24,2019,203,96.5,32,381,NA,NA,NA,TRUE,-12.6,16.1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,679881,"J.P. Martínez","/api/v1/people/679881",669701,"Josh Smith","/api/v1/people/669701",NA,NA,NA,NA,NA,NA,NA
716971,"2023-08-17",2,"2023-08-17T02:31:49.891Z","2023-08-17T02:31:53.808Z",TRUE,"pitch","f1649d95-1f77-4ddf-bf3b-9b538eca72c0",2,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",1,1,1,NA,NA,3.5651,1.677,NA,104.77,197.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Flyout","field_out","Travis Jankowski flies out to right fielder Hunter Renfroe.",0,2,0,69,"bottom",9,"2023-08-17T02:31:27.648Z","2023-08-17T02:32:23.372Z",TRUE,FALSE,FALSE,TRUE,0,1,1,2,608671,"Travis Jankowski","/api/v1/people/608671","L","Left",608032,"Carlos Estévez","/api/v1/people/608032","R","Right","vs_RHP","vs_LHB","RISP",NA,"Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers","Los Angeles Angels",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",97.8,89.5,14,0.9,0.3854,6.3594,32.1136,-13.0206,-6.2386,9.3564,0.321,1.5329,7.3557,-142.0582,-8.5254,-1.4896,50.0004,5.3977,-12.7676,37.2,3.6,24,2190,208,NA,NA,NA,NA,NA,NA,FALSE,-13.3,15.4,9.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716971,"2023-08-17",1,"2023-08-17T02:31:30.013Z","2023-08-17T02:31:33.530Z",TRUE,"pitch","5352344d-46af-4282-a274-18866d7c5b0a",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,1,NA,NA,3.5567,1.71,NA,115.44,205.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Flyout","field_out","Travis Jankowski flies out to right fielder Hunter Renfroe.",0,2,0,69,"bottom",9,"2023-08-17T02:31:27.648Z","2023-08-17T02:32:23.372Z",TRUE,FALSE,FALSE,TRUE,0,1,1,2,608671,"Travis Jankowski","/api/v1/people/608671","L","Left",608032,"Carlos Estévez","/api/v1/people/608032","R","Right","vs_RHP","vs_LHB","RISP",NA,"Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers","Los Angeles Angels",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",97.6,89.2,14,0.91,0.3865,6.1229,32.5015,-11.7004,-5.6661,10.0645,0.041,1.2481,6.162,-141.7387,-9.35,-1.4254,50.0024,5.3376,-11.525,36,3.6,24,2163,207,NA,NA,NA,NA,NA,NA,FALSE,-12.4,16.4,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716971,"2023-08-17",0,"2023-08-17T02:30:26.758Z","2023-08-17T02:31:30.013Z",FALSE,"action",NA,NA,"Mound Visit.","Mound Visit",2,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mound_visit",NA,NA,NA,NA,NA,NA,"69","atBat","Flyout","field_out","Travis Jankowski flies out to right fielder Hunter Renfroe.",0,2,0,69,"bottom",9,"2023-08-17T02:31:27.648Z","2023-08-17T02:32:23.372Z",TRUE,FALSE,FALSE,TRUE,0,1,1,2,608671,"Travis Jankowski","/api/v1/people/608671","L","Left",608032,"Carlos Estévez","/api/v1/people/608032","R","Right","vs_RHP","vs_LHB","RISP",NA,"Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers","Los Angeles Angels",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716971,"2023-08-17",10,"2023-08-17T02:30:07.532Z","2023-08-17T02:30:13.447Z",TRUE,"pitch","fb413c61-c8ba-4aa7-85f9-e306e3f87eb4",9,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",3,3,0,NA,NA,3.44,1.63,NA,105.76,160.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Strikeout","strikeout","Jonah Heim strikes out swinging.",0,2,0,68,"bottom",9,"2023-08-17T02:26:15.374Z","2023-08-17T02:30:13.447Z",TRUE,FALSE,FALSE,TRUE,14,3,3,1,641680,"Jonah Heim","/api/v1/people/641680","L","Left",608032,"Carlos Estévez","/api/v1/people/608032","R","Right","vs_RHP","vs_LHB","RISP",NA,"Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers","Los Angeles Angels",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",98,89.4,3,0.91,0.3845,5.9719,33.1973,-13.0562,-6.3137,9.3066,0.2948,2.9038,6.7845,-142.5149,-5.2363,-1.298,50.001,5.5917,-12.9675,38.4,3.6,24,2254,202,NA,NA,NA,NA,NA,NA,TRUE,-12.6,16,10.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,679881,"J.P. Martínez","/api/v1/people/679881",669701,"Josh Smith","/api/v1/people/669701",NA,NA,NA,NA,NA,NA,NA
