"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.disengagementNum","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","isBaseRunningPlay","isSubstitution","base","replacedPlayer.id","replacedPlayer.link","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link"
717498,"2023-07-04",4,"2023-07-04T23:11:42.512Z","2023-07-04T23:11:54.730Z",TRUE,"pitch","3da76da2-f8bd-469b-8b8e-31ad61aa1ff0",3,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,1,2,NA,NA,3.59,1.72,NA,117.26,171.99,"ground_ball","medium","6",122.95,144.38,NA,NA,NA,NA,NA,NA,NA,NA,"80","atBat","Forceout","force_out","Lourdes Gurriel Jr. grounds into a force out, shortstop Francisco Lindor to second baseman Jeff McNeil. Gabriel Moreno out at 2nd.",0,8,5,80,"bottom",9,"2023-07-04T23:10:39.667Z","2023-07-04T23:11:54.730Z",TRUE,FALSE,FALSE,TRUE,0,1,1,3,666971,"Lourdes Gurriel Jr.","/api/v1/people/666971","R","Right",502085,"David Robertson","/api/v1/people/502085","R","Right","vs_RHP","vs_RHB","Empty",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks","New York Mets",NA,NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",92.7,85.5,5,0.9,0.405,6.8164,27.4302,-16.329,1.1014,8.5394,-0.0067,2.4735,6.6893,-134.8844,-5.3646,-2.6547,50.0015,5.6271,2.0428,10.8,3.6,24,2715,187,103.7,-1,41,NA,NA,NA,TRUE,-17,14.6,-3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717498,"2023-07-04",3,"2023-07-04T23:11:19.780Z","2023-07-04T23:11:24.154Z",TRUE,"pitch","1936100d-0954-42ef-b4e3-928a017cd371",2,"Foul Tip",NA,NA,NA,NA,FALSE,"T","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"T","Foul Tip",1,1,2,NA,NA,3.59,1.72,NA,144.22,152.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"80","atBat","Forceout","force_out","Lourdes Gurriel Jr. grounds into a force out, shortstop Francisco Lindor to second baseman Jeff McNeil. Gabriel Moreno out at 2nd.",0,8,5,80,"bottom",9,"2023-07-04T23:10:39.667Z","2023-07-04T23:11:54.730Z",TRUE,FALSE,FALSE,TRUE,0,1,1,3,666971,"Lourdes Gurriel Jr.","/api/v1/people/666971","R","Right",502085,"David Robertson","/api/v1/people/502085","R","Right","vs_RHP","vs_RHB","Empty",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks","New York Mets",NA,NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",94.4,86.6,1,0.91,0.398,6.7311,29.0181,-11.4951,-0.1135,10.7686,-0.7141,3.2031,5.5213,-137.3489,-4.4021,-2.7313,50.0003,5.6018,-0.2195,4.8,2.4,24,2747,193,NA,NA,NA,NA,NA,NA,FALSE,-11.8,18.8,-0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717498,"2023-07-04",2,"2023-07-04T23:10:41.829Z","2023-07-04T23:10:49.829Z",TRUE,"pitch","c954ff33-16f7-4122-b9d5-796009f9f712",1,"Ball In Dirt",NA,NA,NA,NA,FALSE,"*B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"*B","Ball In Dirt",1,0,2,NA,NA,3.5882,1.7182,NA,104.64,229.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"80","atBat","Forceout","force_out","Lourdes Gurriel Jr. grounds into a force out, shortstop Francisco Lindor to second baseman Jeff McNeil. Gabriel Moreno out at 2nd.",0,8,5,80,"bottom",9,"2023-07-04T23:10:39.667Z","2023-07-04T23:11:54.730Z",TRUE,FALSE,FALSE,TRUE,0,1,1,3,666971,"Lourdes Gurriel Jr.","/api/v1/people/666971","R","Right",502085,"David Robertson","/api/v1/people/502085","R","Right","vs_RHP","vs_RHB","Empty",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks","New York Mets",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",88.3,82,14,0.82,0.4258,6.6967,24.9801,-28.6341,0.3644,2.1076,0.3243,0.3362,7.6444,-128.3234,-7.4746,-2.7326,50.0008,5.4979,0.6111,3.6,7.2,24,2984,122,NA,NA,NA,NA,NA,NA,FALSE,-32.6,2.4,-2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717498,"2023-07-04",0,"2023-07-04T23:09:35.139Z","2023-07-04T23:10:15.499Z",FALSE,"action",NA,NA,"Mound Visit.","Mound Visit",8,5,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mound_visit",NA,NA,NA,NA,NA,NA,"80","atBat","Forceout","force_out","Lourdes Gurriel Jr. grounds into a force out, shortstop Francisco Lindor to second baseman Jeff McNeil. Gabriel Moreno out at 2nd.",0,8,5,80,"bottom",9,"2023-07-04T23:10:39.667Z","2023-07-04T23:11:54.730Z",TRUE,FALSE,FALSE,TRUE,0,1,1,3,666971,"Lourdes Gurriel Jr.","/api/v1/people/666971","R","Right",502085,"David Robertson","/api/v1/people/502085","R","Right","vs_RHP","vs_RHB","Empty",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks","New York Mets",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717498,"2023-07-04",1,"2023-07-04T23:10:15.499Z","2023-07-04T23:10:41.829Z",FALSE,"action",NA,NA,"Offensive Substitution: Pinch-runner Gabriel Moreno replaces Christian Walker.","Offensive Substitution",8,5,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,2,672515,"/api/v1/people/672515",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"offensive_substitution",NA,"12","Pinch Runner","Runner","PR","401","80","atBat","Forceout","force_out","Lourdes Gurriel Jr. grounds into a force out, shortstop Francisco Lindor to second baseman Jeff McNeil. Gabriel Moreno out at 2nd.",0,8,5,80,"bottom",9,"2023-07-04T23:10:39.667Z","2023-07-04T23:11:54.730Z",TRUE,FALSE,FALSE,TRUE,0,1,1,3,666971,"Lourdes Gurriel Jr.","/api/v1/people/666971","R","Right",502085,"David Robertson","/api/v1/people/502085","R","Right","vs_RHP","vs_RHB","Empty",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks","New York Mets",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,1,572233,"/api/v1/people/572233",TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717498,"2023-07-04",4,"2023-07-04T23:09:24.989Z","2023-07-04T23:09:34.246Z",TRUE,"pitch","2df4a77d-97a8-4aca-a47a-b095460c0c47",5,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",4,1,2,NA,NA,3.332,1.5693,NA,96.19,203.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Walk","walk","Christian Walker walks. Nick Ahmed scores. Dominic Fletcher to 3rd. Corbin Carroll to 2nd.",1,8,5,79,"bottom",9,"2023-07-04T23:07:42.617Z","2023-07-04T23:09:34.246Z",TRUE,TRUE,FALSE,FALSE,0,4,1,2,572233,"Christian Walker","/api/v1/people/572233","R","Right",502085,"David Robertson","/api/v1/people/502085","R","Right","vs_RHP","vs_RHB","Loaded",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks","New York Mets","true",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",83.9,77.5,14,0.92,0.4489,6.6371,24.2831,-33.5362,5.1064,-0.9071,0.546,1.3174,6.2231,-122.0739,-3.5283,-2.7006,50.0004,5.6718,7.6961,14.4,9.6,24,2816,74,NA,NA,NA,NA,NA,NA,FALSE,-41.2,-2.3,-10.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,572233,"Christian Walker","/api/v1/people/572233",682998,"Corbin Carroll","/api/v1/people/682998",666150,"Dominic Fletcher","/api/v1/people/666150"
717498,"2023-07-04",3,"2023-07-04T23:09:00.596Z","2023-07-04T23:09:06.225Z",TRUE,"pitch","bc780391-a412-43a4-a17f-e8c0b3c72f10",4,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",3,1,2,NA,NA,3.332,1.5693,NA,41.87,158.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Walk","walk","Christian Walker walks. Nick Ahmed scores. Dominic Fletcher to 3rd. Corbin Carroll to 2nd.",1,8,5,79,"bottom",9,"2023-07-04T23:07:42.617Z","2023-07-04T23:09:34.246Z",TRUE,TRUE,FALSE,FALSE,0,4,1,2,572233,"Christian Walker","/api/v1/people/572233","R","Right",502085,"David Robertson","/api/v1/people/502085","R","Right","vs_RHP","vs_RHB","Loaded",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks","New York Mets","false",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",93.9,86.7,12,0.9,0.4005,6.7851,27.4392,-14.9294,0.2972,9.0844,1.9709,2.9834,11.6853,-136.3059,-4.3732,-2.3943,50.004,5.6257,0.5647,9.6,3.6,24,2716,191,NA,NA,NA,NA,NA,NA,FALSE,-15.2,15.7,-2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,572233,"Christian Walker","/api/v1/people/572233",NA,NA,NA,NA,NA,NA
717498,"2023-07-04",2,"2023-07-04T23:08:33.153Z","2023-07-04T23:08:40.672Z",TRUE,"pitch","80365ae9-7fc9-49a4-beb3-73b8415b35bc",3,"Ball In Dirt",NA,NA,NA,NA,FALSE,"*B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"*B","Ball In Dirt",2,1,2,NA,NA,3.3985,1.5693,NA,76.85,225.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Walk","walk","Christian Walker walks. Nick Ahmed scores. Dominic Fletcher to 3rd. Corbin Carroll to 2nd.",1,8,5,79,"bottom",9,"2023-07-04T23:07:42.617Z","2023-07-04T23:09:34.246Z",TRUE,TRUE,FALSE,FALSE,0,4,1,2,572233,"Christian Walker","/api/v1/people/572233","R","Right",502085,"David Robertson","/api/v1/people/502085","R","Right","vs_RHP","vs_RHB","Loaded",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks","New York Mets","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",87.4,80.8,14,0.89,0.4315,6.7414,26.3653,-30.8925,3.3666,0.7847,1.0533,0.5044,8.0472,-127.0157,-6.4486,-2.5952,50.0039,5.5374,5.4906,12,8.4,24,2912,100,NA,NA,NA,NA,NA,NA,FALSE,-35.8,0.1,-7.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,572233,"Christian Walker","/api/v1/people/572233",NA,NA,NA,NA,NA,NA
717498,"2023-07-04",1,"2023-07-04T23:08:11.734Z","2023-07-04T23:08:16.337Z",TRUE,"pitch","3f44e362-6df6-48fc-860b-ec60bbf51926",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,2,NA,NA,3.3985,1.6023,NA,134.33,137.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Walk","walk","Christian Walker walks. Nick Ahmed scores. Dominic Fletcher to 3rd. Corbin Carroll to 2nd.",1,8,5,79,"bottom",9,"2023-07-04T23:07:42.617Z","2023-07-04T23:09:34.246Z",TRUE,TRUE,FALSE,FALSE,0,4,1,2,572233,"Christian Walker","/api/v1/people/572233","R","Right",502085,"David Robertson","/api/v1/people/502085","R","Right","vs_RHP","vs_RHB","Loaded",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks","New York Mets","false",NA,"rgba(153, 171, 0, 1.0)","KC","Knuckle Curve",84.2,77.5,11,0.91,0.447,6.6332,24.0231,-41.9682,5.7772,-6.4361,-0.4545,3.7378,3.7626,-122.5056,3.4204,-2.7605,50.0038,5.9089,8.7884,13.2,10.8,24,2685,49,NA,NA,NA,NA,NA,NA,FALSE,-49.2,-10.6,-11.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,572233,"Christian Walker","/api/v1/people/572233",NA,NA,NA,NA,NA,NA
717498,"2023-07-04",0,"2023-07-04T23:07:45.568Z","2023-07-04T23:07:49.175Z",TRUE,"pitch","cfe7e8dc-668e-4a15-9d31-5496011e159a",1,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,1,2,NA,NA,3.5,1.67,NA,101.56,201.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Walk","walk","Christian Walker walks. Nick Ahmed scores. Dominic Fletcher to 3rd. Corbin Carroll to 2nd.",1,8,5,79,"bottom",9,"2023-07-04T23:07:42.617Z","2023-07-04T23:09:34.246Z",TRUE,TRUE,FALSE,FALSE,0,4,1,2,572233,"Christian Walker","/api/v1/people/572233","R","Right",502085,"David Robertson","/api/v1/people/502085","R","Right","vs_RHP","vs_RHB","Loaded",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks","New York Mets","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",87.4,80.8,14,0.84,0.4305,6.6039,25.8538,-32.6293,3.4737,-0.2763,0.405,1.3738,6.5356,-127.1761,-4.2106,-2.6487,50.0051,5.6365,5.6942,12,8.4,24,2746,110,NA,NA,NA,NA,NA,NA,FALSE,-37,-1.2,-7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,572233,"Christian Walker","/api/v1/people/572233",NA,NA,NA,NA,NA,NA
