"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.disengagementNum","isSubstitution","isBaseRunningPlay","replacedPlayer.id","replacedPlayer.link","base","reviewDetails.isOverturned.x","reviewDetails.inProgress.x","reviewDetails.reviewType.x","reviewDetails.challengeTeamId.x","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","reviewDetails.isOverturned.y","reviewDetails.inProgress.y","reviewDetails.reviewType.y","reviewDetails.challengeTeamId.y"
717589,"2023-06-28",3,"2023-06-29T02:59:31.988Z","2023-06-29T02:59:38.944Z",TRUE,"pitch","a2c76b26-3b56-4069-8c9f-bca712768074",4,"Swinging Strike (Blocked)",NA,NA,NA,NA,FALSE,"W","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"W","Swinging Strike (Blocked)",0,3,2,NA,NA,3.467,1.589,NA,81.25,222.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"94","atBat","Strikeout","strikeout","Jordan Westburg strikes out swinging.",0,11,7,94,"bottom",10,"2023-06-29T02:58:04.897Z","2023-06-29T02:59:38.944Z",TRUE,FALSE,FALSE,TRUE,14,0,3,3,676059,"Jordan Westburg","/api/v1/people/676059","R","Right",518585,"Fernando Cruz","/api/v1/people/518585","R","Right","vs_RHP","vs_RHB","Empty",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Baltimore Orioles","Cincinnati Reds","true",NA,"rgba(119, 0, 152, 1.0)","FS","Splitter",81.9,75.5,14,2,0.4601,6.7711,22.5929,-21.4486,-1.3061,7.473,0.9379,0.5858,5.17,-118.9917,-7.6905,-1.0923,50.0036,5.7996,-1.875,2.4,6,24,788,212,NA,NA,NA,NA,NA,NA,TRUE,-28.9,11.9,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717589,"2023-06-28",2,"2023-06-29T02:59:08.530Z","2023-06-29T02:59:13.726Z",TRUE,"pitch","c1d63d58-2e00-434f-a39b-e413975675a4",3,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,2,2,NA,NA,3.467,1.589,NA,160.77,188.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"94","atBat","Strikeout","strikeout","Jordan Westburg strikes out swinging.",0,11,7,94,"bottom",10,"2023-06-29T02:58:04.897Z","2023-06-29T02:59:38.944Z",TRUE,FALSE,FALSE,TRUE,14,0,3,3,676059,"Jordan Westburg","/api/v1/people/676059","R","Right",518585,"Fernando Cruz","/api/v1/people/518585","R","Right","vs_RHP","vs_RHB","Empty",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Baltimore Orioles","Cincinnati Reds","false",NA,"rgba(119, 0, 152, 1.0)","FS","Splitter",81.8,75.3,13,2,0.4596,6.669,22.8112,-25.5424,-4.5484,4.6128,-1.1484,1.8662,1.6501,-119.1552,-4.0586,-1.2588,50.004,5.8983,-6.5435,13.2,7.2,24,783,220,NA,NA,NA,NA,NA,NA,FALSE,-33.1,7.7,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717589,"2023-06-28",1,"2023-06-29T02:58:48.411Z","2023-06-29T02:58:51.866Z",TRUE,"pitch","341de669-2637-481d-8233-5df683db1198",2,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,2,2,NA,NA,3.467,1.589,NA,103.85,216.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"94","atBat","Strikeout","strikeout","Jordan Westburg strikes out swinging.",0,11,7,94,"bottom",10,"2023-06-29T02:58:04.897Z","2023-06-29T02:59:38.944Z",TRUE,FALSE,FALSE,TRUE,14,0,3,3,676059,"Jordan Westburg","/api/v1/people/676059","R","Right",518585,"Fernando Cruz","/api/v1/people/518585","R","Right","vs_RHP","vs_RHB","Empty",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Baltimore Orioles","Cincinnati Reds","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",81.6,75.4,14,2,0.4615,6.7679,23.1796,-34.3342,3.6592,-1.5134,0.3449,0.8235,2.8373,-118.7774,-3.9993,-1.3414,50.0034,5.6577,5.2178,9.6,9.6,24,2590,76,NA,NA,NA,NA,NA,NA,FALSE,-44.5,-3.5,-7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717589,"2023-06-28",0,"2023-06-29T02:58:25.252Z","2023-06-29T02:58:28.557Z",TRUE,"pitch","98464743-de69-48ec-a6ba-b9c9da7e30ee",1,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,1,2,NA,NA,3.467,1.589,NA,109.58,149.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"94","atBat","Strikeout","strikeout","Jordan Westburg strikes out swinging.",0,11,7,94,"bottom",10,"2023-06-29T02:58:04.897Z","2023-06-29T02:59:38.944Z",TRUE,FALSE,FALSE,TRUE,14,0,3,3,676059,"Jordan Westburg","/api/v1/people/676059","R","Right",518585,"Fernando Cruz","/api/v1/people/518585","R","Right","vs_RHP","vs_RHB","Empty",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Baltimore Orioles","Cincinnati Reds","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",93.2,84.4,2,2,0.4056,6.7451,32.5247,-12.6684,-3.6677,10.5849,0.1946,3.2999,5.0721,-135.597,-4.4043,-1.2328,50.0033,5.844,-6.7595,21.6,3.6,24,2221,209,NA,NA,NA,NA,NA,NA,FALSE,-13.4,18.2,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717589,"2023-06-28",5,"2023-06-29T02:57:33.169Z","2023-06-29T02:57:39.358Z",TRUE,"pitch","9b98f11f-8c34-4466-9b6c-ff84f8471ee6",6,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",3,3,1,NA,NA,3.51,1.69,NA,99.89,208.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"93","atBat","Strikeout","strikeout","Aaron Hicks strikes out swinging.",0,11,7,93,"bottom",10,"2023-06-29T02:52:45.290Z","2023-06-29T02:57:39.358Z",TRUE,FALSE,FALSE,TRUE,14,3,3,2,543305,"Aaron Hicks","/api/v1/people/543305","L","Left",518585,"Fernando Cruz","/api/v1/people/518585","R","Right","vs_RHP","vs_LHB","RISP",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Baltimore Orioles","Cincinnati Reds","true",NA,"rgba(119, 0, 152, 1.0)","FS","Splitter",80.8,74.4,14,2,0.4661,6.6157,22.2108,-24.3389,-1.4062,5.5995,0.4488,1.1205,4.3125,-117.5041,-5.6527,-1.2273,50.0019,5.8179,-1.9675,2.4,7.2,24,868,224,NA,NA,NA,NA,NA,NA,TRUE,-32.9,9,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,669720,"Austin Hays","/api/v1/people/669720",656811,"Ryan O'Hearn","/api/v1/people/656811",NA,NA,NA,NA,NA,NA,NA
717589,"2023-06-28",4,"2023-06-29T02:54:23.746Z","2023-06-29T02:54:27.890Z",TRUE,"pitch","33813af5-2a0f-4d9e-a0ba-b391456d486c",5,"Foul",NA,NA,NA,NA,TRUE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",3,2,1,NA,NA,3.51,1.69,NA,42.78,147.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"93","atBat","Strikeout","strikeout","Aaron Hicks strikes out swinging.",0,11,7,93,"bottom",10,"2023-06-29T02:52:45.290Z","2023-06-29T02:57:39.358Z",TRUE,FALSE,FALSE,TRUE,14,3,3,2,543305,"Aaron Hicks","/api/v1/people/543305","L","Left",518585,"Fernando Cruz","/api/v1/people/518585","R","Right","vs_RHP","vs_LHB","RISP",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Baltimore Orioles","Cincinnati Reds","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",93.1,85.5,12,2,0.4041,6.8462,27.8657,-16.5647,-5.0748,8.3759,1.9472,3.383,10.4122,-135.241,-3.2096,-1.2831,50.0021,5.7385,-9.4579,22.8,3.6,24,2232,218,NA,NA,NA,NA,NA,NA,FALSE,-16.8,14.8,7.1,NA,NA,NA,NA,NA,NA,FALSE,FALSE,"MI",110,TRUE,FALSE,669720,"Austin Hays","/api/v1/people/669720",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717589,"2023-06-28",3,"2023-06-29T02:54:06.818Z","2023-06-29T02:54:10.884Z",TRUE,"pitch","bee8b7e0-543c-4295-8c3f-f0a25eb42920",4,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",3,1,1,NA,NA,3.6491,1.7124,NA,148.57,179.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"93","atBat","Strikeout","strikeout","Aaron Hicks strikes out swinging.",0,11,7,93,"bottom",10,"2023-06-29T02:52:45.290Z","2023-06-29T02:57:39.358Z",TRUE,FALSE,FALSE,TRUE,14,3,3,2,543305,"Aaron Hicks","/api/v1/people/543305","L","Left",518585,"Fernando Cruz","/api/v1/people/518585","R","Right","vs_RHP","vs_LHB","RISP",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Baltimore Orioles","Cincinnati Reds","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94,86.4,7,2,0.3996,6.7924,28.7844,-14.6386,-5.6738,9.2065,-0.8281,2.1852,3.5352,-136.8049,-6.4856,-1.3967,50.0034,5.581,-10.8081,32.4,3.6,24,2161,215,NA,NA,NA,NA,NA,NA,FALSE,-15.2,15.6,9.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,669720,"Austin Hays","/api/v1/people/669720",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717589,"2023-06-28",2,"2023-06-29T02:53:44.202Z","2023-06-29T02:53:47.578Z",TRUE,"pitch","3fe5059b-d13e-4e8b-ac84-0628ead69acf",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",3,0,1,NA,NA,3.3923,1.6654,NA,66.93,176.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"93","atBat","Strikeout","strikeout","Aaron Hicks strikes out swinging.",0,11,7,93,"bottom",10,"2023-06-29T02:52:45.290Z","2023-06-29T02:57:39.358Z",TRUE,FALSE,FALSE,TRUE,14,3,3,2,543305,"Aaron Hicks","/api/v1/people/543305","L","Left",518585,"Fernando Cruz","/api/v1/people/518585","R","Right","vs_RHP","vs_LHB","RISP",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Baltimore Orioles","Cincinnati Reds","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",93.5,85.7,14,2,0.4026,6.8692,28.7556,-14.4311,-5.3673,9.4603,1.3135,2.3077,8.5875,-135.848,-6.0929,-1.1861,50.0037,5.5764,-10.0685,27.6,3.6,24,2176,216,NA,NA,NA,NA,NA,NA,FALSE,-15.2,16.1,7.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,669720,"Austin Hays","/api/v1/people/669720",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717589,"2023-06-28",1,"2023-06-29T02:53:22.008Z","2023-06-29T02:53:25.551Z",TRUE,"pitch","9f1a1661-1be1-4461-b25f-ce12615cdbf5",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,0,1,NA,NA,3.5091,1.6418,NA,71.53,182.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"93","atBat","Strikeout","strikeout","Aaron Hicks strikes out swinging.",0,11,7,93,"bottom",10,"2023-06-29T02:52:45.290Z","2023-06-29T02:57:39.358Z",TRUE,FALSE,FALSE,TRUE,14,3,3,2,543305,"Aaron Hicks","/api/v1/people/543305","L","Left",518585,"Fernando Cruz","/api/v1/people/518585","R","Right","vs_RHP","vs_LHB","RISP",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Baltimore Orioles","Cincinnati Reds","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",93.8,86,14,2,0.4015,6.8205,29.2768,-13.5466,-4.702,9.8774,1.193,2.0715,8.2527,-136.2985,-6.9598,-1.2598,50.004,5.5891,-8.8691,25.2,3.6,24,2184,201,NA,NA,NA,NA,NA,NA,FALSE,-14.5,16.6,6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,669720,"Austin Hays","/api/v1/people/669720",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717589,"2023-06-28",0,"2023-06-29T02:53:01.456Z","2023-06-29T02:53:05.191Z",TRUE,"pitch","88485696-e346-46a0-8185-2ee7512c056d",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,1,NA,NA,3.3923,1.6183,NA,77.8,200.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"93","atBat","Strikeout","strikeout","Aaron Hicks strikes out swinging.",0,11,7,93,"bottom",10,"2023-06-29T02:52:45.290Z","2023-06-29T02:57:39.358Z",TRUE,FALSE,FALSE,TRUE,14,3,3,2,543305,"Aaron Hicks","/api/v1/people/543305","L","Left",518585,"Fernando Cruz","/api/v1/people/518585","R","Right","vs_RHP","vs_LHB","RISP",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Baltimore Orioles","Cincinnati Reds","false",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",89.1,82.7,14,2,0.4209,6.8135,24.5248,-24.8947,-0.8867,4.232,1.0285,1.4251,6.7542,-129.6203,-5.8353,-1.4844,50.0005,5.5809,-1.5251,1.2,6,24,2400,194,NA,NA,NA,NA,NA,NA,FALSE,-27.5,6.7,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,669720,"Austin Hays","/api/v1/people/669720",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
