"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isSubstitution","base","replacedPlayer.id","replacedPlayer.link","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link"
718485,"2023-04-22",3,"2023-04-22T03:42:14.178Z","2023-04-22T03:42:19.365Z",TRUE,"pitch","361d4cab-1d87-40c9-8d57-fa043aedd9e4",4,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,3,2,NA,NA,3.48,1.65,NA,158.83,185.94,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,"61","atBat","Strikeout","strikeout","Vinnie Pasquantino strikes out swinging.",0,0,2,61,"top",9,"2023-04-22T03:41:14.417Z","2023-04-22T03:42:19.365Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,686469,"Vinnie Pasquantino","/api/v1/people/686469","L","Left",650671,"José Quijada","/api/v1/people/650671","L","Left","vs_LHP","vs_LHB","Empty",NA,"Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Los Angeles Angels","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",97.4,88.7,13,0.91,0.3877,6.5234,33.0183,-11.7126,3.6825,10.1318,-1.0974,1.957,-9.4087,-141.3975,-6.2118,1.7986,50.0044,4.938,7.4389,21.6,2.4,24,2238,147,NA,NA,NA,NA,NA,NA,TRUE,-11.9,17.2,-4.7,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718485,"2023-04-22",2,"2023-04-22T03:41:53.298Z","2023-04-22T03:41:57.153Z",TRUE,"pitch","e3d1db14-697d-4983-b385-24a5b8672f65",3,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",1,2,2,NA,NA,3.4109,1.5856,NA,127.17,179.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"61","atBat","Strikeout","strikeout","Vinnie Pasquantino strikes out swinging.",0,0,2,61,"top",9,"2023-04-22T03:41:14.417Z","2023-04-22T03:42:19.365Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,686469,"Vinnie Pasquantino","/api/v1/people/686469","L","Left",650671,"José Quijada","/api/v1/people/650671","L","Left","vs_LHP","vs_LHB","Empty",NA,"Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Los Angeles Angels","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",97.5,89,5,0.91,0.3868,6.6642,32.7077,-14.0436,4.2364,8.9335,-0.2668,2.2017,-7.8579,-141.6565,-5.4535,1.9942,50.0056,5.0515,8.6011,24,3.6,24,2199,137,NA,NA,NA,NA,NA,NA,FALSE,-13.7,15.2,-6,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718485,"2023-04-22",1,"2023-04-22T03:41:36.161Z","2023-04-22T03:41:39.598Z",TRUE,"pitch","e8530263-5ea2-400b-99c7-a21621ccace2",2,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,1,2,NA,NA,3.48,1.65,NA,140.39,145.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"61","atBat","Strikeout","strikeout","Vinnie Pasquantino strikes out swinging.",0,0,2,61,"top",9,"2023-04-22T03:41:14.417Z","2023-04-22T03:42:19.365Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,686469,"Vinnie Pasquantino","/api/v1/people/686469","L","Left",650671,"José Quijada","/api/v1/people/650671","L","Left","vs_LHP","vs_LHB","Empty",NA,"Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Los Angeles Angels","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96.7,88,1,0.91,0.3901,6.4986,32.9641,-14.1128,4.1799,9.0548,-0.6136,3.4474,-8.3102,-140.5936,-2.1002,1.8423,50.0016,5.1239,8.3372,24,3.6,24,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,-13.3,16.1,-5.8,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718485,"2023-04-22",0,"2023-04-22T03:41:21.545Z","2023-04-22T03:41:24.681Z",TRUE,"pitch","209a9c4c-e81d-4aa2-b4b2-4d3a843f8777",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,2,NA,NA,3.4337,1.5786,NA,183.07,170.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"61","atBat","Strikeout","strikeout","Vinnie Pasquantino strikes out swinging.",0,0,2,61,"top",9,"2023-04-22T03:41:14.417Z","2023-04-22T03:42:19.365Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,686469,"Vinnie Pasquantino","/api/v1/people/686469","L","Left",650671,"José Quijada","/api/v1/people/650671","L","Left","vs_LHP","vs_LHB","Empty",NA,"Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Los Angeles Angels","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.9,87.5,11,0.91,0.3935,6.9024,31.756,-14.385,3.9205,9.0694,-1.7333,2.5204,-10.7613,-139.2804,-4.3487,1.674,50.0045,5.0557,7.6928,19.2,3.6,24,2094,139,NA,NA,NA,NA,NA,NA,FALSE,-14.3,15.6,-4.8,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718485,"2023-04-22",2,"2023-04-22T03:40:56.718Z","2023-04-22T03:41:02.248Z",TRUE,"pitch","84a87e30-756a-4f70-8f4b-4207f3d37f6c",3,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,3,1,NA,NA,3.45,1.7,NA,120.89,140.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"60","atBat","Strikeout","strikeout","MJ Melendez strikes out swinging.",0,0,2,60,"top",9,"2023-04-22T03:40:16.078Z","2023-04-22T03:41:02.248Z",TRUE,FALSE,FALSE,TRUE,14,0,3,2,669004,"MJ Melendez","/api/v1/people/669004","L","Left",650671,"José Quijada","/api/v1/people/650671","L","Left","vs_LHP","vs_LHB","Men_On",NA,"Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Los Angeles Angels","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96.7,88.1,11,0.91,0.3894,6.5984,32.4341,-13.7671,4.3011,9.1926,-0.1019,3.6574,-7.1634,-140.7358,-1.6252,1.9195,50.0039,5.1356,8.6141,26.4,3.6,24,2223,139,NA,NA,NA,NA,NA,NA,TRUE,-12.8,16.4,-6.2,NA,NA,NA,NA,TRUE,TRUE,677951,"Bobby Witt Jr.","/api/v1/people/677951",NA,NA,NA,NA,NA,NA
718485,"2023-04-22",1,"2023-04-22T03:40:39.730Z","2023-04-22T03:40:43.098Z",TRUE,"pitch","1bdf4a79-2f58-483f-a20a-f2129e843f17",2,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,2,1,NA,NA,3.45,1.7,NA,107.28,144.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"60","atBat","Strikeout","strikeout","MJ Melendez strikes out swinging.",0,0,2,60,"top",9,"2023-04-22T03:40:16.078Z","2023-04-22T03:41:02.248Z",TRUE,FALSE,FALSE,TRUE,14,0,3,2,669004,"MJ Melendez","/api/v1/people/669004","L","Left",650671,"José Quijada","/api/v1/people/650671","L","Left","vs_LHP","vs_LHB","Men_On",NA,"Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Los Angeles Angels","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",97.1,88.3,2,0.91,0.3885,6.3352,33.4366,-13.9879,4.4062,9.0431,0.2549,3.5093,-6.4589,-141.217,-2.0066,2.0038,50.002,5.1333,8.861,26.4,3.6,24,2220,137,NA,NA,NA,NA,NA,NA,FALSE,-13,16.1,-6.6,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718485,"2023-04-22",0,"2023-04-22T03:40:22.518Z","2023-04-22T03:40:25.806Z",TRUE,"pitch","d6041b3d-8339-46e6-8e23-2bc6051bbc4a",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,1,NA,NA,3.4227,1.6934,NA,110.82,179.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"60","atBat","Strikeout","strikeout","MJ Melendez strikes out swinging.",0,0,2,60,"top",9,"2023-04-22T03:40:16.078Z","2023-04-22T03:41:02.248Z",TRUE,FALSE,FALSE,TRUE,14,0,3,2,669004,"MJ Melendez","/api/v1/people/669004","L","Left",650671,"José Quijada","/api/v1/people/650671","L","Left","vs_LHP","vs_LHB","Men_On",NA,"Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Los Angeles Angels","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96.2,87.7,8,0.91,0.392,6.6319,32.3051,-13.4864,3.8167,9.4547,0.1622,2.1959,-6.639,-139.8681,-5.3243,2.0734,50.0006,5.0124,7.5427,22.8,3.6,24,2184,137,NA,NA,NA,NA,NA,NA,FALSE,-13.6,16.2,-5.5,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718485,"2023-04-22",1,"2023-04-22T03:39:47.497Z","2023-04-22T03:39:58.034Z",TRUE,"pitch","6d009006-bd8e-43a3-bf3d-79fc5b6f4ac1",2,"In play, no out",NA,NA,NA,NA,FALSE,"D","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"D","In play, no out",1,0,1,NA,NA,3.5,1.65,NA,117.2,192.35,"ground_ball","hard","8",97.42,95.53,NA,NA,NA,NA,NA,NA,NA,NA,"59","atBat","Single","single","Bobby Witt Jr. singles on a sharp ground ball to center fielder Brett Phillips.",0,0,2,59,"top",9,"2023-04-22T03:39:29.311Z","2023-04-22T03:39:58.034Z",TRUE,FALSE,FALSE,FALSE,33,1,0,1,677951,"Bobby Witt Jr.","/api/v1/people/677951","R","Right",650671,"José Quijada","/api/v1/people/650671","L","Left","vs_LHP","vs_RHB","Men_On",NA,"Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Los Angeles Angels","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.5,86.9,8,0.9,0.3957,6.3809,32.4551,-13.8044,5.3711,9.4774,-0.0053,1.7198,-7.532,-138.6717,-6.6099,2.0545,50.0007,5.064,10.4082,30,3.6,24,2265,140,113.8,-2,38,NA,NA,NA,FALSE,-14.4,15.8,-8,NA,NA,NA,NA,FALSE,TRUE,677951,"Bobby Witt Jr.","/api/v1/people/677951",NA,NA,NA,NA,NA,NA
718485,"2023-04-22",0,"2023-04-22T03:39:34.944Z","2023-04-22T03:39:38.517Z",TRUE,"pitch","17b40797-8330-4934-a4af-a5bba5753ddf",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,1,NA,NA,3.5227,1.7096,NA,156.93,187.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"59","atBat","Single","single","Bobby Witt Jr. singles on a sharp ground ball to center fielder Brett Phillips.",0,0,2,59,"top",9,"2023-04-22T03:39:29.311Z","2023-04-22T03:39:58.034Z",TRUE,FALSE,FALSE,FALSE,33,1,0,1,677951,"Bobby Witt Jr.","/api/v1/people/677951","R","Right",650671,"José Quijada","/api/v1/people/650671","L","Left","vs_LHP","vs_RHB","Men_On",NA,"Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Los Angeles Angels","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96.5,87.9,13,0.9,0.3915,6.3213,32.7824,-15.0004,5.0664,8.6724,-1.0477,1.8901,-9.8416,-140.109,-6.2423,1.8584,50.0064,5.1342,10.0379,25.2,3.6,24,2216,133,NA,NA,NA,NA,NA,NA,FALSE,-15.1,14.5,-7.1,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718485,"2023-04-22",2,"2023-04-22T03:39:04.364Z","2023-04-22T03:39:11.492Z",TRUE,"pitch","cacaefb7-c999-4c79-81f9-b0692e18eddd",1,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,0,0,NA,NA,3.52,1.67,NA,105.4,147.22,"line_drive","hard","6",101.9,131.49,NA,NA,NA,NA,NA,NA,NA,NA,"58","atBat","Lineout","field_out","Matt Duffy lines out sharply to shortstop Zach Neto.",0,0,2,58,"top",9,"2023-04-22T03:39:02.353Z","2023-04-22T03:39:11.492Z",TRUE,FALSE,FALSE,TRUE,0,0,0,1,622110,"Matt Duffy","/api/v1/people/622110","R","Right",650671,"José Quijada","/api/v1/people/650671","L","Left","vs_LHP","vs_RHB","Empty",NA,"Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Los Angeles Angels",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.7,87.2,3,0.91,0.3938,6.4503,31.8413,-14.8317,3.5269,8.8522,0.3044,3.3909,-5.7379,-139.2087,-2.6341,1.9359,50.0004,5.3337,6.9082,20.4,3.6,24,2122,133,104.8,10,184,NA,NA,NA,TRUE,-14.3,15.7,-5.2,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718485,"2023-04-22",0,"2023-04-22T03:37:34.060Z","2023-04-22T03:38:24.031Z",FALSE,"action",NA,NA,"Pitching Change: Jose Quijada replaces Carlos Estevez.","Pitching Substitution",0,2,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,650671,"/api/v1/people/650671",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pitching_substitution",NA,"1","Pitcher","Pitcher","P",NA,"58","atBat","Lineout","field_out","Matt Duffy lines out sharply to shortstop Zach Neto.",0,0,2,58,"top",9,"2023-04-22T03:39:02.353Z","2023-04-22T03:39:11.492Z",TRUE,FALSE,FALSE,TRUE,0,0,0,1,622110,"Matt Duffy","/api/v1/people/622110","R","Right",650671,"José Quijada","/api/v1/people/650671","L","Left","vs_LHP","vs_RHB","Empty",NA,"Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Los Angeles Angels",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,TRUE,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718485,"2023-04-22",1,"2023-04-22T03:38:24.031Z","2023-04-22T03:39:04.364Z",FALSE,"action",NA,NA,"Offensive Substitution: Pinch-hitter Matt Duffy replaces Jackie Bradley Jr.","Offensive Substitution",0,2,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,622110,"/api/v1/people/622110",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"offensive_substitution",NA,"11","Pinch Hitter","Hitter","PH","901","58","atBat","Lineout","field_out","Matt Duffy lines out sharply to shortstop Zach Neto.",0,0,2,58,"top",9,"2023-04-22T03:39:02.353Z","2023-04-22T03:39:11.492Z",TRUE,FALSE,FALSE,TRUE,0,0,0,1,622110,"Matt Duffy","/api/v1/people/622110","R","Right",650671,"José Quijada","/api/v1/people/650671","L","Left","vs_LHP","vs_RHB","Empty",NA,"Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Los Angeles Angels",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,TRUE,NA,598265,"/api/v1/people/598265",TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
