"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isSubstitution","details.violation.type","details.violation.description","details.violation.player.id","reviewDetails.isOverturned","reviewDetails.inProgress","reviewDetails.reviewType","base","replacedPlayer.id","replacedPlayer.link","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link"
716382,"2023-09-30",3,"2023-09-30T04:40:39.431Z","2023-09-30T04:40:47.160Z",TRUE,"pitch","f7c6bfe1-8146-413d-b380-03af125af852",4,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",2,1,2,NA,NA,3.46,1.62,NA,144.38,166.32,"ground_ball","medium","1",130.96,182.94,NA,NA,NA,NA,NA,NA,NA,NA,"67","atBat","Groundout","field_out","Marco Luciano grounds out, pitcher Brusdar Graterol to first baseman Freddie Freeman.",0,6,2,67,"bottom",9,"2023-09-30T04:39:46.840Z","2023-09-30T04:40:47.160Z",TRUE,FALSE,FALSE,TRUE,0,2,1,3,682617,"Marco Luciano","/api/v1/people/682617","R","Right",660813,"Brusdar Graterol","/api/v1/people/660813","R","Right","vs_RHP","vs_RHB","Empty",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants","Los Angeles Dodgers","true",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",99.7,91.2,4,0.9,0.3779,5.5349,34.3666,-23.9735,-9.3717,3.8539,-0.7182,2.6837,5.0958,-145.0318,-5.8551,-1.2819,50.0012,6.1936,-19.9344,36,6,24,1952,226,81.4,-43,3,NA,NA,NA,TRUE,-21.6,6,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716382,"2023-09-30",2,"2023-09-30T04:40:25.407Z","2023-09-30T04:40:29.303Z",TRUE,"pitch","c1fce84f-bad5-4eba-8926-a442fb1e3dff",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,1,2,NA,NA,3.578,1.7033,NA,66.17,209.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"67","atBat","Groundout","field_out","Marco Luciano grounds out, pitcher Brusdar Graterol to first baseman Freddie Freeman.",0,6,2,67,"bottom",9,"2023-09-30T04:39:46.840Z","2023-09-30T04:40:47.160Z",TRUE,FALSE,FALSE,TRUE,0,2,1,3,682617,"Marco Luciano","/api/v1/people/682617","R","Right",660813,"Brusdar Graterol","/api/v1/people/660813","R","Right","vs_RHP","vs_RHB","Empty",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants","Los Angeles Dodgers","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",86.5,80.3,14,0.9,0.4348,5.7328,24.6829,-34.6952,2.553,-1.5701,1.3335,1.076,6.2766,-125.7977,-5.4362,-1.5219,50.0007,6.066,4.1051,8.4,9.6,24,2696,67,NA,NA,NA,NA,NA,NA,FALSE,-40.3,-3.8,-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716382,"2023-09-30",1,"2023-09-30T04:40:14.087Z","2023-09-30T04:40:18.077Z",TRUE,"pitch","50e9dcf5-342d-4239-9e99-018194402323",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,2,NA,NA,3.6136,1.6675,NA,169.62,154.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"67","atBat","Groundout","field_out","Marco Luciano grounds out, pitcher Brusdar Graterol to first baseman Freddie Freeman.",0,6,2,67,"bottom",9,"2023-09-30T04:39:46.840Z","2023-09-30T04:40:47.160Z",TRUE,FALSE,FALSE,TRUE,0,2,1,3,682617,"Marco Luciano","/api/v1/people/682617","R","Right",660813,"Brusdar Graterol","/api/v1/people/660813","R","Right","vs_RHP","vs_RHB","Empty",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants","Los Angeles Dodgers","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",99.7,91.1,11,0.91,0.3777,5.6305,34.7926,-23.5684,-9.3279,4.0437,-1.3804,3.1369,3.4726,-145.1491,-4.6891,-1.3822,50.0042,6.2134,-19.853,37.2,6,24,2026,229,NA,NA,NA,NA,NA,NA,FALSE,-21,6.6,16.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716382,"2023-09-30",0,"2023-09-30T04:40:02.213Z","2023-09-30T04:40:06.414Z",TRUE,"pitch","f9bba208-3dee-4581-8a79-01c986910602",1,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,1,2,NA,NA,3.46,1.62,NA,148.79,181.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"67","atBat","Groundout","field_out","Marco Luciano grounds out, pitcher Brusdar Graterol to first baseman Freddie Freeman.",0,6,2,67,"bottom",9,"2023-09-30T04:39:46.840Z","2023-09-30T04:40:47.160Z",TRUE,FALSE,FALSE,TRUE,0,2,1,3,682617,"Marco Luciano","/api/v1/people/682617","R","Right",660813,"Brusdar Graterol","/api/v1/people/660813","R","Right","vs_RHP","vs_RHB","Empty",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants","Los Angeles Dodgers","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",98.8,90.7,13,0.91,0.3809,5.7548,33.0299,-24.084,-9.5693,3.8603,-0.8341,2.1046,5.0677,-143.7474,-7.1078,-1.3758,50.0013,6.1023,-20.0427,36,6,24,1964,228,NA,NA,NA,NA,NA,NA,FALSE,-22.3,5.8,16.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716382,"2023-09-30",4,"2023-09-30T04:39:35.932Z","2023-09-30T04:39:40.343Z",TRUE,"pitch","1b1973bd-0afe-4cfd-acc5-be9911c89645",4,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,3,1,NA,NA,3.26,1.59,NA,72.95,194.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66","atBat","Strikeout","strikeout","Michael Conforto strikes out swinging.",0,6,2,66,"bottom",9,"2023-09-30T04:38:42.921Z","2023-09-30T04:39:40.343Z",TRUE,FALSE,FALSE,TRUE,14,1,3,2,624424,"Michael Conforto","/api/v1/people/624424","L","Left",660813,"Brusdar Graterol","/api/v1/people/660813","R","Right","vs_RHP","vs_LHB","Empty",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants","Los Angeles Dodgers",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",89.3,82.7,14,0.9,0.4209,5.7117,26.1588,-31.4938,2.9563,0.3945,1.1557,1.6417,5.4986,-129.935,-5.1308,-1.3684,50.0009,6.0231,5.0753,10.8,7.2,24,2691,97,NA,NA,NA,NA,NA,NA,TRUE,-34.3,-0.1,-6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716382,"2023-09-30",3,"2023-09-30T04:39:24.312Z","2023-09-30T04:39:29.170Z",TRUE,"pitch","ce331113-98fd-45fc-86b1-edc2a8219424",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,2,1,NA,NA,3.3641,1.6675,NA,93.27,128.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66","atBat","Strikeout","strikeout","Michael Conforto strikes out swinging.",0,6,2,66,"bottom",9,"2023-09-30T04:38:42.921Z","2023-09-30T04:39:40.343Z",TRUE,FALSE,FALSE,TRUE,14,1,3,2,624424,"Michael Conforto","/api/v1/people/624424","L","Left",660813,"Brusdar Graterol","/api/v1/people/660813","R","Right","vs_RHP","vs_LHB","Empty",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants","Los Angeles Dodgers",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",99.5,90.9,12,0.84,0.3782,5.7297,33.4918,-15.4857,-6.1363,7.8551,0.6226,4.0718,7.6074,-144.7603,-3.5643,-1.2409,50.0026,6.2659,-13.0364,34.8,3.6,24,2081,230,NA,NA,NA,NA,NA,NA,FALSE,-13.9,13.7,9.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716382,"2023-09-30",1,"2023-09-30T04:39:01.058Z","2023-09-30T04:39:04.845Z",TRUE,"pitch","751cab00-322a-4489-8ef9-81cc7e107012",2,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,2,1,NA,NA,3.26,1.59,NA,101.58,161.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66","atBat","Strikeout","strikeout","Michael Conforto strikes out swinging.",0,6,2,66,"bottom",9,"2023-09-30T04:38:42.921Z","2023-09-30T04:39:40.343Z",TRUE,FALSE,FALSE,TRUE,14,1,3,2,624424,"Michael Conforto","/api/v1/people/624424","L","Left",660813,"Brusdar Graterol","/api/v1/people/660813","R","Right","vs_RHP","vs_LHB","Empty",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants","Los Angeles Dodgers",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",100,91.7,3,0.96,0.3761,5.8187,32.9787,-13.2753,-5.9886,8.7933,0.4047,2.8536,6.9359,-145.4302,-7.1972,-1.2292,50.0057,6.1598,-12.8755,37.2,3.6,24,2093,228,NA,NA,NA,NA,NA,NA,FALSE,-12.6,14.6,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716382,"2023-09-30",0,"2023-09-30T04:38:47.873Z","2023-09-30T04:38:52.018Z",TRUE,"pitch","52e45cea-4ece-4e4f-a756-2ede6d495c52",1,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,1,1,NA,NA,3.26,1.59,NA,109.65,162.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66","atBat","Strikeout","strikeout","Michael Conforto strikes out swinging.",0,6,2,66,"bottom",9,"2023-09-30T04:38:42.921Z","2023-09-30T04:39:40.343Z",TRUE,FALSE,FALSE,TRUE,14,1,3,2,624424,"Michael Conforto","/api/v1/people/624424","L","Left",660813,"Brusdar Graterol","/api/v1/people/660813","R","Right","vs_RHP","vs_LHB","Empty",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants","Los Angeles Dodgers",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",99.1,90.4,2,0.96,0.3806,5.7099,34.5877,-17.5271,-5.264,6.9906,0.1929,2.8292,6.2844,-144.096,-6.3406,-1.3361,50.0049,6.1476,-11.0324,26.4,3.6,24,1946,227,NA,NA,NA,NA,NA,NA,FALSE,-16.4,11.5,8.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716382,"2023-09-30",2,"2023-09-30T04:39:11.561Z","2023-09-30T04:39:24.312Z",FALSE,"action",NA,NA,"Batter Timeout.","Batter Timeout",6,2,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,2,1,624424,"/api/v1/people/624424",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"batter_timeout",NA,NA,NA,NA,NA,NA,"66","atBat","Strikeout","strikeout","Michael Conforto strikes out swinging.",0,6,2,66,"bottom",9,"2023-09-30T04:38:42.921Z","2023-09-30T04:39:40.343Z",TRUE,FALSE,FALSE,TRUE,14,1,3,2,624424,"Michael Conforto","/api/v1/people/624424","L","Left",660813,"Brusdar Graterol","/api/v1/people/660813","R","Right","vs_RHP","vs_LHB","Empty",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants","Los Angeles Dodgers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716382,"2023-09-30",5,"2023-09-30T04:38:17.421Z","2023-09-30T04:38:24.069Z",TRUE,"pitch","e5fbf11f-e33a-4420-ae35-81a029b701ca",5,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",2,2,0,NA,NA,3.39,1.66,NA,99.16,179.53,"ground_ball","medium","4",135.34,160.47,NA,NA,NA,NA,NA,NA,NA,NA,"65","atBat","Groundout","field_out","Thairo Estrada grounds out, second baseman Mookie Betts to first baseman Freddie Freeman.",0,6,2,65,"bottom",9,"2023-09-30T04:36:58.121Z","2023-09-30T04:38:24.069Z",TRUE,FALSE,FALSE,TRUE,0,2,2,1,642731,"Thairo Estrada","/api/v1/people/642731","R","Right",660813,"Brusdar Graterol","/api/v1/people/660813","R","Right","vs_RHP","vs_RHB","Empty",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants","Los Angeles Dodgers",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",99.8,90.8,9,0.89,0.3788,5.9378,35.9169,-21.6793,-9.6715,4.9636,0.468,2.1945,7.9092,-144.9533,-7.0433,-1.0481,50.004,5.9934,-20.4503,38.4,6,24,2049,226,95.8,-7,18,NA,NA,NA,TRUE,-20,7.7,15.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
