"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isSubstitution","base","details.disengagementNum","replacedPlayer.id","replacedPlayer.link","isBaseRunningPlay","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","reviewDetails.isOverturned","reviewDetails.inProgress","reviewDetails.reviewType","reviewDetails.challengeTeamId"
746726,"2024-04-20",6,"2024-04-21T01:30:21.162Z","2024-04-21T01:30:31.580Z",TRUE,"pitch","8a4bfab7-78ff-4a01-a4bc-71e8dce051c3",6,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,2,2,NA,NA,3.56,1.67,NA,91.47,169.45,"fly_ball","medium","9",195.12,92.1,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Flyout","field_out","Zach Neto flies out to right fielder Will Benson.",0,5,7,75,"top",9,"2024-04-21T01:28:44.969Z","2024-04-21T01:30:31.580Z",TRUE,FALSE,FALSE,TRUE,0,1,2,3,687263,"Zach Neto","/api/v1/people/687263","R","Right",664747,"Alexis Díaz","/api/v1/people/664747","R","Right","vs_RHP","vs_RHB","Empty",NA,"Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels","Cincinnati Reds",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94.1,86,6,0.9,0.4001,7.5702,29.786,-17.9657,-7.0274,7.484,0.6698,2.5679,9.4414,-136.8222,-1.355,-1.9103,50.0026,4.299,-13.3426,31.2,4.8,24,2710,241,94.9,37,316,NA,NA,NA,TRUE,-17.4,13.4,10.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
746726,"2024-04-20",5,"2024-04-21T01:30:00.475Z","2024-04-21T01:30:03.799Z",TRUE,"pitch","36fcba40-e46d-4a90-bf9e-c5274d5a351c",5,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,2,2,NA,NA,3.56,1.67,NA,103.22,149.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Flyout","field_out","Zach Neto flies out to right fielder Will Benson.",0,5,7,75,"top",9,"2024-04-21T01:28:44.969Z","2024-04-21T01:30:31.580Z",TRUE,FALSE,FALSE,TRUE,0,1,2,3,687263,"Zach Neto","/api/v1/people/687263","R","Right",664747,"Alexis Díaz","/api/v1/people/664747","R","Right","vs_RHP","vs_RHB","Empty",NA,"Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels","Cincinnati Reds",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94.6,86.5,3,0.9,0.3977,7.487,29.8001,-16.8872,-4.4009,7.9537,0.3615,3.3159,7.9198,-137.6015,0.3087,-1.9789,50.0064,4.3441,-8.4634,21.6,3.6,24,2709,234,NA,NA,NA,NA,NA,NA,FALSE,-15.8,14.6,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
746726,"2024-04-20",4,"2024-04-21T01:29:43.817Z","2024-04-21T01:29:47.682Z",TRUE,"pitch","6e3a803b-56b1-4a55-8318-c65cece33a96",4,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,2,2,NA,NA,3.56,1.67,NA,129.08,151.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Flyout","field_out","Zach Neto flies out to right fielder Will Benson.",0,5,7,75,"top",9,"2024-04-21T01:28:44.969Z","2024-04-21T01:30:31.580Z",TRUE,FALSE,FALSE,TRUE,0,1,2,3,687263,"Zach Neto","/api/v1/people/687263","R","Right",664747,"Alexis Díaz","/api/v1/people/664747","R","Right","vs_RHP","vs_RHB","Empty",NA,"Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels","Cincinnati Reds",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.4,86.9,1,0.91,0.3949,7.5199,31.2731,-15.5737,-6.2669,8.5239,-0.3169,3.23,7.0763,-138.7472,0.0287,-2.0871,50.0069,4.258,-12.2119,34.8,3.6,24,2718,234,NA,NA,NA,NA,NA,NA,FALSE,-14.5,15.6,9.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
746726,"2024-04-20",3,"2024-04-21T01:29:28.487Z","2024-04-21T01:29:32.670Z",TRUE,"pitch","2ba963d3-8869-4c7a-9f0e-0a9bfbbd2e85",3,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,2,2,NA,NA,3.56,1.67,NA,75.11,168.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Flyout","field_out","Zach Neto flies out to right fielder Will Benson.",0,5,7,75,"top",9,"2024-04-21T01:28:44.969Z","2024-04-21T01:30:31.580Z",TRUE,FALSE,FALSE,TRUE,0,1,2,3,687263,"Zach Neto","/api/v1/people/687263","R","Right",664747,"Alexis Díaz","/api/v1/people/664747","R","Right","vs_RHP","vs_RHB","Empty",NA,"Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels","Cincinnati Reds",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",87.9,80.9,14,0.89,0.4275,7.6805,25.4141,-29.3999,0.1183,1.6665,1.099,2.6063,7.7036,-127.9233,1.0043,-1.9617,50.0018,4.5064,0.1961,3.6,7.2,24,2672,148,NA,NA,NA,NA,NA,NA,FALSE,-31.8,3.5,-1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
746726,"2024-04-20",1,"2024-04-21T01:29:03.000Z","2024-04-21T01:29:06.253Z",TRUE,"pitch","a85fbdbc-7737-42c3-bd82-8114a87b3a6b",2,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,1,2,NA,NA,3.56,1.67,NA,83.93,189.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Flyout","field_out","Zach Neto flies out to right fielder Will Benson.",0,5,7,75,"top",9,"2024-04-21T01:28:44.969Z","2024-04-21T01:30:31.580Z",TRUE,FALSE,FALSE,TRUE,0,1,2,3,687263,"Zach Neto","/api/v1/people/687263","R","Right",664747,"Alexis Díaz","/api/v1/people/664747","R","Right","vs_RHP","vs_RHB","Empty",NA,"Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels","Cincinnati Reds",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",87.1,81,14,0.89,0.4297,7.7082,22.3705,-25.8844,0.845,3.8061,0.8677,1.8095,7.4521,-126.7747,-1.5788,-2.2019,50.0015,4.478,1.3932,6,6,24,2625,194,NA,NA,NA,NA,NA,NA,FALSE,-28.8,6.8,-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
746726,"2024-04-20",0,"2024-04-21T01:28:50.213Z","2024-04-21T01:28:53.470Z",TRUE,"pitch","eb5c06d1-1a0b-4519-93ed-aeea9b6b6887",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,2,NA,NA,3.4377,1.6323,NA,58.8,164.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Flyout","field_out","Zach Neto flies out to right fielder Will Benson.",0,5,7,75,"top",9,"2024-04-21T01:28:44.969Z","2024-04-21T01:30:31.580Z",TRUE,FALSE,FALSE,TRUE,0,1,2,3,687263,"Zach Neto","/api/v1/people/687263","R","Right",664747,"Alexis Díaz","/api/v1/people/664747","R","Right","vs_RHP","vs_RHB","Empty",NA,"Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels","Cincinnati Reds",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94.7,87.2,12,0.9,0.3966,7.8251,27.2017,-19.1441,-8.0253,6.7276,1.5268,2.7436,12.1681,-137.5095,-0.8439,-1.8897,50.0031,4.3394,-15.546,34.8,4.8,24,2690,238,NA,NA,NA,NA,NA,NA,FALSE,-18.1,12.2,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
746726,"2024-04-20",2,"2024-04-21T01:29:16.884Z","2024-04-21T01:29:28.487Z",FALSE,"action",NA,NA,"Batter Timeout.","Batter Timeout",5,7,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,1,1,2,687263,"/api/v1/people/687263",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"batter_timeout",NA,NA,NA,NA,NA,NA,"75","atBat","Flyout","field_out","Zach Neto flies out to right fielder Will Benson.",0,5,7,75,"top",9,"2024-04-21T01:28:44.969Z","2024-04-21T01:30:31.580Z",TRUE,FALSE,FALSE,TRUE,0,1,2,3,687263,"Zach Neto","/api/v1/people/687263","R","Right",664747,"Alexis Díaz","/api/v1/people/664747","R","Right","vs_RHP","vs_RHB","Empty",NA,"Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels","Cincinnati Reds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
746726,"2024-04-20",3,"2024-04-21T01:28:21.189Z","2024-04-21T01:28:25.986Z",TRUE,"pitch","5d4d9334-b8ee-4c6f-9d2c-04ee8b94baf5",4,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",1,3,1,NA,NA,3.2571,1.6323,NA,92.25,191.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Strikeout","strikeout","Nolan Schanuel called out on strikes.",0,5,7,74,"top",9,"2024-04-21T01:27:25.268Z","2024-04-21T01:28:25.986Z",TRUE,FALSE,FALSE,TRUE,14,1,3,2,694384,"Nolan Schanuel","/api/v1/people/694384","L","Left",664747,"Alexis Díaz","/api/v1/people/664747","R","Right","vs_RHP","vs_LHB","Empty",NA,"Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels","Cincinnati Reds","true",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",87.9,81.3,9,0.9,0.4269,7.6816,24.4554,-31.5427,1.8644,0.3768,0.6494,1.7659,6.7072,-127.9184,-0.6223,-2.2405,50.0015,4.4684,3.1132,7.2,7.2,24,2702,146,NA,NA,NA,NA,NA,NA,TRUE,-34.4,0.7,-4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
746726,"2024-04-20",2,"2024-04-21T01:28:05.532Z","2024-04-21T01:28:09.731Z",TRUE,"pitch","085d12f8-8086-42d4-ac60-afb2d819de3c",3,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,2,1,NA,NA,3.5,1.7,NA,131.06,164.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Strikeout","strikeout","Nolan Schanuel called out on strikes.",0,5,7,74,"top",9,"2024-04-21T01:27:25.268Z","2024-04-21T01:28:25.986Z",TRUE,FALSE,FALSE,TRUE,14,1,3,2,694384,"Nolan Schanuel","/api/v1/people/694384","L","Left",664747,"Alexis Díaz","/api/v1/people/664747","R","Right","vs_RHP","vs_LHB","Empty",NA,"Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels","Cincinnati Reds","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95,86.4,4,0.91,0.3969,7.6913,31.8207,-18.7712,-9.7395,6.9541,-0.3689,2.7513,8.0262,-138.1892,-0.8749,-2.0508,50.0004,4.3371,-18.7667,42,4.8,24,2728,241,NA,NA,NA,NA,NA,NA,FALSE,-17.8,12.6,15.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
746726,"2024-04-20",1,"2024-04-21T01:27:50.777Z","2024-04-21T01:27:54.380Z",TRUE,"pitch","f32b9bcb-7ea2-403b-a266-94717b3c1ed9",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,1,NA,NA,3.4975,1.6848,NA,119.84,128.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Strikeout","strikeout","Nolan Schanuel called out on strikes.",0,5,7,74,"top",9,"2024-04-21T01:27:25.268Z","2024-04-21T01:28:25.986Z",TRUE,FALSE,FALSE,TRUE,14,1,3,2,694384,"Nolan Schanuel","/api/v1/people/694384","L","Left",664747,"Alexis Díaz","/api/v1/people/664747","R","Right","vs_RHP","vs_LHB","Empty",NA,"Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels","Cincinnati Reds","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.9,87.2,11,0.91,0.3932,7.5997,31.8882,-19.4129,-9.002,6.496,-0.0744,4.0972,8.7762,-139.3953,2.586,-2.0969,50.0013,4.4404,-17.681,39.6,4.8,24,2710,242,NA,NA,NA,NA,NA,NA,FALSE,-17.3,12.5,14.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
