"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.disengagementNum","isBaseRunningPlay","isSubstitution","replacedPlayer.id","replacedPlayer.link","base","reviewDetails.isOverturned","reviewDetails.inProgress","reviewDetails.reviewType","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link"
718730,"2023-04-03",1,"2023-04-03T21:49:38.521Z","2023-04-03T21:49:47.600Z",TRUE,"pitch","912cbbda-2921-4c78-acfa-b8396b953ac0",2,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,1,2,NA,NA,3.21,1.53,NA,86.73,176.43,"line_drive","medium","7",82.99,95.09,NA,NA,NA,NA,NA,NA,NA,NA,"80","atBat","Lineout","field_out","Andrew Vaughn lines out to left fielder Mike Yastrzemski.",0,12,3,80,"bottom",9,"2023-04-03T21:49:10.838Z","2023-04-03T21:49:47.600Z",TRUE,FALSE,FALSE,TRUE,0,0,1,3,683734,"Andrew Vaughn","/api/v1/people/683734","R","Right",643511,"Tyler Rogers","/api/v1/people/643511","R","Right","vs_RHP","vs_RHB","Empty",NA,"Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Chicago White Sox","San Francisco Giants","true",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",73.8,67.3,6,2,0.5128,5.8401,18.698,-26.4293,4.6087,4.9714,0.7941,2.3093,7.948,-106.8784,7.4098,-3.5736,50.0008,1.7673,5.3211,14.4,9.6,24,2616,113,80.4,27,281,NA,NA,NA,TRUE,-39.2,11.5,-10.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718730,"2023-04-03",0,"2023-04-03T21:49:25.363Z","2023-04-03T21:49:28.363Z",TRUE,"pitch","82bd0be4-df76-445c-8e14-7069402c04fb",1,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,1,2,NA,NA,3.21,1.53,NA,90.71,194.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"80","atBat","Lineout","field_out","Andrew Vaughn lines out to left fielder Mike Yastrzemski.",0,12,3,80,"bottom",9,"2023-04-03T21:49:10.838Z","2023-04-03T21:49:47.600Z",TRUE,FALSE,FALSE,TRUE,0,0,1,3,683734,"Andrew Vaughn","/api/v1/people/683734","R","Right",643511,"Tyler Rogers","/api/v1/people/643511","R","Right","vs_RHP","vs_RHB","Empty",NA,"Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Chicago White Sox","San Francisco Giants","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",72,65.8,9,2,0.525,5.8614,17.9145,-26.8085,5.1576,4.8685,0.6897,1.6356,7.3353,-104.4096,6.4675,-3.5417,50.0019,1.6554,5.6803,15.6,9.6,24,2447,115,NA,NA,NA,NA,NA,NA,FALSE,-42.1,11,-11.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718730,"2023-04-03",5,"2023-04-03T21:48:54.235Z","2023-04-03T21:49:03.633Z",TRUE,"pitch","c4c94e8f-ada0-445a-8b37-d6cec16100cd",5,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,2,1,NA,NA,3.47,1.63,NA,118.29,144.06,"ground_ball","hard","4",150.76,151.43,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Groundout","field_out","Gavin Sheets grounds out sharply, second baseman David Villar to first baseman LaMonte Wade Jr.",0,12,3,79,"bottom",9,"2023-04-03T21:45:29.161Z","2023-04-03T21:49:03.633Z",TRUE,FALSE,FALSE,TRUE,0,1,2,2,657757,"Gavin Sheets","/api/v1/people/657757","L","Left",643511,"Tyler Rogers","/api/v1/people/643511","R","Right","vs_RHP","vs_LHB","Empty",NA,"Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Chicago White Sox","San Francisco Giants",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",73.4,66.8,2,2,0.5156,5.7462,17.9482,-27.2804,4.5383,4.2783,-0.034,3.5081,6.2527,-106.1688,10.2,-3.605,50.0003,1.7457,5.1864,14.4,9.6,24,2483,115,101.1,-3,37,NA,NA,NA,TRUE,-40.4,10.9,-9.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718730,"2023-04-03",4,"2023-04-03T21:48:38.277Z","2023-04-03T21:48:42.042Z",TRUE,"pitch","365f74fe-a776-42f8-8769-2028093e7f18",4,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,2,1,NA,NA,3.47,1.63,NA,135.54,180.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Groundout","field_out","Gavin Sheets grounds out sharply, second baseman David Villar to first baseman LaMonte Wade Jr.",0,12,3,79,"bottom",9,"2023-04-03T21:45:29.161Z","2023-04-03T21:49:03.633Z",TRUE,FALSE,FALSE,TRUE,0,1,2,2,657757,"Gavin Sheets","/api/v1/people/657757","L","Left",643511,"Tyler Rogers","/api/v1/people/643511","R","Right","vs_RHP","vs_LHB","Empty",NA,"Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Chicago White Sox","San Francisco Giants",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",82.5,75.5,7,2,0.4577,5.8916,21.6518,-43.9738,-2.9579,-8.1238,-0.4863,2.1628,8.0908,-119.3915,10.1259,-3.5255,50.0022,1.8148,-4.2972,3.6,12,24,2013,330,NA,NA,NA,NA,NA,NA,FALSE,-52.4,-12,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718730,"2023-04-03",3,"2023-04-03T21:48:18.811Z","2023-04-03T21:48:22.242Z",TRUE,"pitch","0a240352-52ca-46d2-b2f8-46b1746b9b99",3,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,2,1,NA,NA,3.47,1.63,NA,114.11,183.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Groundout","field_out","Gavin Sheets grounds out sharply, second baseman David Villar to first baseman LaMonte Wade Jr.",0,12,3,79,"bottom",9,"2023-04-03T21:45:29.161Z","2023-04-03T21:49:03.633Z",TRUE,FALSE,FALSE,TRUE,0,1,2,2,657757,"Gavin Sheets","/api/v1/people/657757","L","Left",643511,"Tyler Rogers","/api/v1/people/643511","R","Right","vs_RHP","vs_LHB","Empty",NA,"Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Chicago White Sox","San Francisco Giants",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",72.7,66.5,8,2,0.519,5.7452,17.7908,-23.2545,6.179,7.9049,0.0758,2.0532,6.1929,-105.4946,6.2827,-3.6994,50.0015,1.7162,6.9686,20.4,8.4,24,2453,114,NA,NA,NA,NA,NA,NA,FALSE,-35.5,16.4,-12.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718730,"2023-04-03",2,"2023-04-03T21:45:45.211Z","2023-04-03T21:45:48.635Z",TRUE,"pitch","728a6c0f-a64f-4f6b-878f-2353a4e0015e",2,"Ball",NA,NA,NA,NA,TRUE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,1,NA,NA,3.4044,1.6506,NA,70.02,126.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Groundout","field_out","Gavin Sheets grounds out sharply, second baseman David Villar to first baseman LaMonte Wade Jr.",0,12,3,79,"bottom",9,"2023-04-03T21:45:29.161Z","2023-04-03T21:49:03.633Z",TRUE,FALSE,FALSE,TRUE,0,1,2,2,657757,"Gavin Sheets","/api/v1/people/657757","L","Left",643511,"Tyler Rogers","/api/v1/people/643511","R","Right","vs_RHP","vs_LHB","Empty",NA,"Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Chicago White Sox","San Francisco Giants",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",72.4,65.2,12,2,0.5267,5.9306,19.5717,-21.7356,4.3198,9.5586,1.2326,4.1755,8.5071,-104.4758,10.067,-3.4729,50.003,1.8503,4.7176,18,7.2,24,2406,114,NA,NA,NA,NA,NA,NA,FALSE,-32.6,21,-10.4,NA,NA,NA,NA,NA,NA,FALSE,FALSE,"NK",TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718730,"2023-04-03",1,"2023-04-03T21:45:31.189Z","2023-04-03T21:45:34.316Z",TRUE,"pitch","531169f1-569c-4fa2-bf29-378ad4388443",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,1,NA,NA,3.641,1.6289,NA,99.66,183.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Groundout","field_out","Gavin Sheets grounds out sharply, second baseman David Villar to first baseman LaMonte Wade Jr.",0,12,3,79,"bottom",9,"2023-04-03T21:45:29.161Z","2023-04-03T21:49:03.633Z",TRUE,FALSE,FALSE,TRUE,0,1,2,2,657757,"Gavin Sheets","/api/v1/people/657757","L","Left",643511,"Tyler Rogers","/api/v1/people/643511","R","Right","vs_RHP","vs_LHB","Empty",NA,"Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Chicago White Sox","San Francisco Giants",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",81.4,74.4,9,2,0.4647,5.9687,21.3908,-46.3698,-2.1319,-10.0778,0.4549,2.0301,9.7694,-117.6613,10.685,-3.466,50.003,1.7193,-3.0025,1.2,13.2,24,1901,350,NA,NA,NA,NA,NA,NA,FALSE,-57,-15.2,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718730,"2023-04-03",0,"2023-04-03T21:45:24.310Z","2023-04-03T21:45:31.189Z",FALSE,"action",NA,NA,"Offensive Substitution: Pinch-hitter Gavin Sheets replaces Yoan Moncada.","Offensive Substitution",12,3,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,1,657757,"/api/v1/people/657757",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"offensive_substitution",NA,"11","Pinch Hitter","Hitter","PH","501","79","atBat","Groundout","field_out","Gavin Sheets grounds out sharply, second baseman David Villar to first baseman LaMonte Wade Jr.",0,12,3,79,"bottom",9,"2023-04-03T21:45:29.161Z","2023-04-03T21:49:03.633Z",TRUE,FALSE,FALSE,TRUE,0,1,2,2,657757,"Gavin Sheets","/api/v1/people/657757","L","Left",643511,"Tyler Rogers","/api/v1/people/643511","R","Right","vs_RHP","vs_LHB","Empty",NA,"Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Chicago White Sox","San Francisco Giants",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,TRUE,660162,"/api/v1/people/660162",NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718730,"2023-04-03",3,"2023-04-03T21:44:56.783Z","2023-04-03T21:45:05.630Z",TRUE,"pitch","37073e44-df40-41ca-bca0-f9c7437d4710",1,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,0,0,NA,NA,3.45,1.62,NA,111.89,165.74,"ground_ball","medium","6",112.37,150.36,NA,NA,NA,NA,NA,NA,NA,NA,"78","atBat","Groundout","field_out","Hanser Alberto grounds out, shortstop Brandon Crawford to first baseman LaMonte Wade Jr.",0,12,3,78,"bottom",9,"2023-04-03T21:44:54.452Z","2023-04-03T21:45:05.630Z",TRUE,FALSE,FALSE,TRUE,0,0,0,1,593643,"Hanser Alberto","/api/v1/people/593643","R","Right",643511,"Tyler Rogers","/api/v1/people/643511","R","Right","vs_RHP","vs_RHB","Empty",NA,"Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Chicago White Sox","San Francisco Giants",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",82,74.5,5,2,0.463,5.9714,22.7206,-47.4211,-1.6988,-10.7589,0.1341,2.7052,9.0362,-118.3411,12.1142,-3.514,50.0018,1.8647,-2.4096,1.2,13.2,24,1935,352,98.1,3,80,NA,NA,NA,TRUE,-57.4,-16,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718730,"2023-04-03",0,"2023-04-03T21:44:25.601Z","2023-04-03T21:44:25.645Z",FALSE,"action",NA,NA,"J.D. Davis remains in the game as the third baseman.","Defensive Switch",12,3,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,605204,"/api/v1/people/605204",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"defensive_switch",NA,"5","Third Base","Infielder","3B","301","78","atBat","Groundout","field_out","Hanser Alberto grounds out, shortstop Brandon Crawford to first baseman LaMonte Wade Jr.",0,12,3,78,"bottom",9,"2023-04-03T21:44:54.452Z","2023-04-03T21:45:05.630Z",TRUE,FALSE,FALSE,TRUE,0,0,0,1,593643,"Hanser Alberto","/api/v1/people/593643","R","Right",643511,"Tyler Rogers","/api/v1/people/643511","R","Right","vs_RHP","vs_RHB","Empty",NA,"Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Chicago White Sox","San Francisco Giants",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,TRUE,642731,"/api/v1/people/642731",NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
