"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","isBaseRunningPlay","isSubstitution","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link"
718611,"2023-04-12",6,"2023-04-12T03:59:05.339Z","2023-04-12T03:59:14.417Z",TRUE,"pitch","9d2d1633-1d34-4bc6-bc49-8419d1861992",6,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",3,2,2,NA,NA,3.56,1.72,NA,121.17,143.8,"popup","medium","2",136.98,206.41,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Pop Out","field_out","Evan Longoria pops out to catcher Victor Caratini in foul territory.",0,7,1,68,"bottom",9,"2023-04-12T03:57:27.407Z","2023-04-12T03:59:14.417Z",TRUE,FALSE,FALSE,TRUE,0,3,2,3,446334,"Evan Longoria","/api/v1/people/446334","R","Right",606303,"Joel Payamps","/api/v1/people/606303","R","Right","vs_RHP","vs_RHB","Empty",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks","Milwaukee Brewers",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.3,86.8,2,2,0.3957,6.3249,31.8104,-14.0317,-6.2923,9.358,-0.1094,3.5177,7.3656,-138.5646,-3.672,-1.9882,50.0052,5.8017,-12.2023,34.8,3.6,24,2544,213,88.6,80,32,NA,NA,NA,TRUE,-13.9,16.3,9.8,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718611,"2023-04-12",5,"2023-04-12T03:58:40.154Z","2023-04-12T03:58:43.628Z",TRUE,"pitch","ede460b9-573d-4ecf-9653-2dbaf4bfd8af",5,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",3,2,2,NA,NA,3.56,1.72,NA,155.97,167.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Pop Out","field_out","Evan Longoria pops out to catcher Victor Caratini in foul territory.",0,7,1,68,"bottom",9,"2023-04-12T03:57:27.407Z","2023-04-12T03:59:14.417Z",TRUE,FALSE,FALSE,TRUE,0,3,2,3,446334,"Evan Longoria","/api/v1/people/446334","R","Right",606303,"Joel Payamps","/api/v1/people/606303","R","Right","vs_RHP","vs_RHB","Empty",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks","Milwaukee Brewers",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",95,87,11,2,0.3963,6.0247,30.6872,-21.5245,-9.6619,5.506,-1.0224,2.6555,6.671,-138.1854,-4.3894,-2.2121,50.0035,5.7099,-18.6931,37.2,6,24,2250,215,NA,NA,NA,NA,NA,NA,FALSE,-21.1,9.2,16.1,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718611,"2023-04-12",4,"2023-04-12T03:58:25.639Z","2023-04-12T03:58:31.554Z",TRUE,"pitch","ef4b2c2a-8acb-471a-83be-b0ef96561820",4,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",3,1,2,NA,NA,3.56,1.72,NA,148.41,186.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Pop Out","field_out","Evan Longoria pops out to catcher Victor Caratini in foul territory.",0,7,1,68,"bottom",9,"2023-04-12T03:57:27.407Z","2023-04-12T03:59:14.417Z",TRUE,FALSE,FALSE,TRUE,0,3,2,3,446334,"Evan Longoria","/api/v1/people/446334","R","Right",606303,"Joel Payamps","/api/v1/people/606303","R","Right","vs_RHP","vs_RHB","Empty",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks","Milwaukee Brewers",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",94.8,86.8,7,2,0.3976,6.0353,30.9011,-24.1561,-10.7422,4.1703,-0.8241,1.9325,7.605,-137.8157,-5.7963,-2.2251,50.0002,5.6965,-20.6409,37.2,7.2,24,2244,221,NA,NA,NA,NA,NA,NA,FALSE,-24,6.5,17.9,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718611,"2023-04-12",3,"2023-04-12T03:58:09.854Z","2023-04-12T03:58:14.615Z",TRUE,"pitch","db58b3e1-ed3b-46dc-bba2-c577431bedf8",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",3,0,2,NA,NA,3.5316,1.6885,NA,145.85,139.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Pop Out","field_out","Evan Longoria pops out to catcher Victor Caratini in foul territory.",0,7,1,68,"bottom",9,"2023-04-12T03:57:27.407Z","2023-04-12T03:59:14.417Z",TRUE,FALSE,FALSE,TRUE,0,3,2,3,446334,"Evan Longoria","/api/v1/people/446334","R","Right",606303,"Joel Payamps","/api/v1/people/606303","R","Right","vs_RHP","vs_RHB","Empty",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks","Milwaukee Brewers",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95,87.3,11,2,0.3952,6.1012,29.0143,-15.2636,-5.2701,8.6763,-0.757,3.6719,6.0177,-138.2756,-3.0105,-2.2702,50.001,5.7907,-10.2694,30,3.6,24,2496,213,NA,NA,NA,NA,NA,NA,FALSE,-14.8,15.4,8.4,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718611,"2023-04-12",2,"2023-04-12T03:57:53.268Z","2023-04-12T03:57:58.331Z",TRUE,"pitch","7fb93663-e723-4f21-b01d-74fc21daef8c",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,0,2,NA,NA,3.5624,1.5215,NA,163.78,165.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Pop Out","field_out","Evan Longoria pops out to catcher Victor Caratini in foul territory.",0,7,1,68,"bottom",9,"2023-04-12T03:57:27.407Z","2023-04-12T03:59:14.417Z",TRUE,FALSE,FALSE,TRUE,0,3,2,3,446334,"Evan Longoria","/api/v1/people/446334","R","Right",606303,"Joel Payamps","/api/v1/people/606303","R","Right","vs_RHP","vs_RHB","Empty",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks","Milwaukee Brewers",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",95.3,87.3,11,2,0.3949,6.0822,30.7967,-21.4307,-8.5834,5.511,-1.2274,2.7192,5.6852,-138.662,-4.4707,-2.1883,50.0008,5.7809,-16.7244,34.8,6,24,2268,218,NA,NA,NA,NA,NA,NA,FALSE,-20.9,9.2,14.4,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718611,"2023-04-12",0,"2023-04-12T03:57:35.639Z","2023-04-12T03:57:43.814Z",TRUE,"pitch","a8dd7b7b-3bf1-4f5d-a82c-01aa73394db5",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,2,NA,NA,3.5277,1.56,NA,155.2,140.53,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,"68","atBat","Pop Out","field_out","Evan Longoria pops out to catcher Victor Caratini in foul territory.",0,7,1,68,"bottom",9,"2023-04-12T03:57:27.407Z","2023-04-12T03:59:14.417Z",TRUE,FALSE,FALSE,TRUE,0,3,2,3,446334,"Evan Longoria","/api/v1/people/446334","R","Right",606303,"Joel Payamps","/api/v1/people/606303","R","Right","vs_RHP","vs_RHB","Empty",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks","Milwaukee Brewers",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",95.9,87.6,11,2,0.3926,6.1149,31.5125,-19.7196,-9.623,6.3169,-1.0022,3.639,6.6814,-139.5445,-2.8671,-2.1778,50.0032,5.9796,-18.9713,40.8,6,24,2293,215,NA,NA,NA,NA,NA,NA,FALSE,-18.7,11,16.1,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718611,"2023-04-12",1,"2023-04-12T03:57:45.719Z","2023-04-12T03:57:53.268Z",FALSE,"action",NA,NA,"Pavin Smith advances to 2nd on defensive indifference.","Defensive Indiff",7,1,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,1,0,2,656976,"/api/v1/people/656976",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a8dd7b7b-3bf1-4f5d-a82c-01aa73394db5","defensive_indiff",NA,NA,NA,NA,NA,NA,"68","atBat","Pop Out","field_out","Evan Longoria pops out to catcher Victor Caratini in foul territory.",0,7,1,68,"bottom",9,"2023-04-12T03:57:27.407Z","2023-04-12T03:59:14.417Z",TRUE,FALSE,FALSE,TRUE,0,3,2,3,446334,"Evan Longoria","/api/v1/people/446334","R","Right",606303,"Joel Payamps","/api/v1/people/606303","R","Right","vs_RHP","vs_RHB","Empty",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks","Milwaukee Brewers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718611,"2023-04-12",4,"2023-04-12T03:56:51.571Z","2023-04-12T03:57:01.734Z",TRUE,"pitch","0e111281-dbcb-41fe-89bf-77cea5ade597",4,"In play, run(s)",NA,NA,NA,NA,FALSE,"E","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"E","In play, run(s)",1,2,2,NA,NA,3.39,1.63,NA,124.75,162.58,"ground_ball","medium","9",179.58,117.16,NA,NA,NA,NA,NA,NA,NA,NA,"67","atBat","Single","single","Pavin Smith singles on a ground ball to right fielder Brian Anderson. Ketel Marte scores.",1,7,1,67,"bottom",9,"2023-04-12T03:55:43.522Z","2023-04-12T03:57:01.734Z",TRUE,TRUE,FALSE,FALSE,33,1,2,2,656976,"Pavin Smith","/api/v1/people/656976","L","Left",606303,"Joel Payamps","/api/v1/people/606303","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks","Milwaukee Brewers",NA,NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",89.8,81.8,5,2,0.4208,5.886,29.1441,-29.1519,-8.7196,1.76,-0.2033,2.8224,7.9284,-130.5004,-2.2906,-2.1576,50.0009,5.922,-14.9402,24,7.2,24,1878,318,107.8,5,105,NA,NA,NA,FALSE,-31.3,2.9,13.9,NA,NA,NA,NA,NA,NA,FALSE,FALSE,656976,"Pavin Smith","/api/v1/people/656976",NA,NA,NA,NA,NA,NA
718611,"2023-04-12",3,"2023-04-12T03:56:29.907Z","2023-04-12T03:56:36.464Z",TRUE,"pitch","a6c5250d-c574-46e0-a1f3-3bcf58c335f0",3,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,2,2,NA,NA,3.39,1.63,NA,93.45,165.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"67","atBat","Single","single","Pavin Smith singles on a ground ball to right fielder Brian Anderson. Ketel Marte scores.",1,7,1,67,"bottom",9,"2023-04-12T03:55:43.522Z","2023-04-12T03:57:01.734Z",TRUE,TRUE,FALSE,FALSE,33,1,2,2,656976,"Pavin Smith","/api/v1/people/656976","L","Left",606303,"Joel Payamps","/api/v1/people/606303","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks","Milwaukee Brewers",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.8,87.6,6,2,0.3936,6.1864,31.0833,-12.6983,-3.4048,9.9272,0.618,2.7013,9.0355,-139.1447,-5.8331,-2.2283,50.0017,5.6654,-6.6799,19.2,3.6,24,2392,220,NA,NA,NA,NA,NA,NA,FALSE,-13,16.9,4.3,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718611,"2023-04-12",1,"2023-04-12T03:56:11.477Z","2023-04-12T03:56:21.685Z",TRUE,"pitch","37a7d83c-0679-4f10-be8a-35bceece4504",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,2,NA,NA,3.358,1.677,NA,167.2,168.36,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,"67","atBat","Single","single","Pavin Smith singles on a ground ball to right fielder Brian Anderson. Ketel Marte scores.",1,7,1,67,"bottom",9,"2023-04-12T03:55:43.522Z","2023-04-12T03:57:01.734Z",TRUE,TRUE,FALSE,FALSE,33,1,2,2,656976,"Pavin Smith","/api/v1/people/656976","L","Left",606303,"Joel Payamps","/api/v1/people/606303","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks","Milwaukee Brewers",NA,NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",89.6,81.9,11,2,0.4207,6.0235,28.6149,-29.1872,-8.7054,1.7452,-1.317,2.6081,5.5385,-130.4165,-2.4882,-2.3422,50.005,5.7864,-14.9282,25.2,7.2,24,2152,232,NA,NA,NA,NA,NA,NA,FALSE,-31.3,2.8,14.5,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
