"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isBaseRunningPlay","isSubstitution","replacedPlayer.id","replacedPlayer.link","details.disengagementNum","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","reviewDetails.isOverturned","reviewDetails.inProgress","reviewDetails.reviewType","reviewDetails.challengeTeamId"
745353,"2024-04-21",5,"2024-04-21T22:46:20.860Z","2024-04-21T22:46:25.723Z",TRUE,"pitch","552d2ddb-ead1-417e-aaaf-26592c77a562",4,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,3,2,NA,NA,3.4,1.64,NA,102.66,216.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Strikeout","strikeout","Mike Yastrzemski strikes out swinging.",0,5,3,73,"bottom",9,"2024-04-21T22:45:12.299Z","2024-04-21T22:46:25.723Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,573262,"Mike Yastrzemski","/api/v1/people/573262","L","Left",656464,"Kevin Ginkel","/api/v1/people/656464","R","Right","vs_RHP","vs_LHB","Empty",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants","Arizona Diamondbacks",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",87.1,80.5,14,0.9,0.433,6.8417,26.3247,-34.4557,1.0455,-1.4059,0.3762,0.8111,5.5736,-126.6011,-6.9414,-1.9916,50.0044,6.3532,1.6936,4.8,8.4,24,2424,39,NA,NA,NA,NA,NA,NA,TRUE,-40.1,-4,-3.2,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
745353,"2024-04-21",3,"2024-04-21T22:45:51.529Z","2024-04-21T22:45:55.426Z",TRUE,"pitch","089c33b5-53fc-4b03-b376-45fd2f8f6d26",3,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,2,2,NA,NA,3.4,1.64,NA,79.92,197.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Strikeout","strikeout","Mike Yastrzemski strikes out swinging.",0,5,3,73,"bottom",9,"2024-04-21T22:45:12.299Z","2024-04-21T22:46:25.723Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,573262,"Mike Yastrzemski","/api/v1/people/573262","L","Left",656464,"Kevin Ginkel","/api/v1/people/656464","R","Right","vs_RHP","vs_LHB","Empty",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants","Arizona Diamondbacks",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",87.8,81.3,14,0.9,0.4287,6.9879,25.7773,-34.7292,0.9269,-1.547,0.9729,1.53,6.8374,-127.6767,-5.4279,-1.8579,50.0026,6.4101,1.5315,4.8,8.4,24,2521,60,NA,NA,NA,NA,NA,NA,FALSE,-39.2,-3.8,-3.2,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
745353,"2024-04-21",2,"2024-04-21T22:45:33.324Z","2024-04-21T22:45:37.860Z",TRUE,"pitch","8f63b88b-9864-4597-b838-4913f410752c",2,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",1,1,2,NA,NA,3.4736,1.5582,NA,120.55,197.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Strikeout","strikeout","Mike Yastrzemski strikes out swinging.",0,5,3,73,"bottom",9,"2024-04-21T22:45:12.299Z","2024-04-21T22:46:25.723Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,573262,"Mike Yastrzemski","/api/v1/people/573262","L","Left",656464,"Kevin Ginkel","/api/v1/people/656464","R","Right","vs_RHP","vs_LHB","Empty",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants","Arizona Diamondbacks",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",95.3,87.8,8,2,0.3949,6.9986,28.9553,-18.295,-9.5079,7.1138,-0.0931,1.5131,8.4308,-138.3434,-9.4544,-1.9349,50.0048,6.1852,-18.5539,39.6,6,24,2295,225,NA,NA,NA,NA,NA,NA,FALSE,-19,11.2,15.6,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
745353,"2024-04-21",1,"2024-04-21T22:45:14.123Z","2024-04-21T22:45:18.612Z",TRUE,"pitch","183ec453-4ef1-4b17-826f-1dc020472748",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,2,NA,NA,3.4193,1.5332,NA,112.8,201.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Strikeout","strikeout","Mike Yastrzemski strikes out swinging.",0,5,3,73,"bottom",9,"2024-04-21T22:45:12.299Z","2024-04-21T22:46:25.723Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,573262,"Mike Yastrzemski","/api/v1/people/573262","L","Left",656464,"Kevin Ginkel","/api/v1/people/656464","R","Right","vs_RHP","vs_LHB","Empty",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants","Arizona Diamondbacks",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",87.4,81.5,14,0.9,0.4289,7.2022,23.5256,-33.256,2.0672,-0.6497,0.1102,1.3833,4.8882,-127.1979,-6.0733,-2.0972,50.0057,6.4057,3.4231,7.2,8.4,24,2335,79,NA,NA,NA,NA,NA,NA,FALSE,-37.7,-2.3,-4.8,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
745353,"2024-04-21",0,"2024-04-21T22:44:20.731Z","2024-04-21T22:45:14.123Z",FALSE,"action",NA,NA,"Mound Visit.","Mound Visit",5,3,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mound_visit",NA,NA,NA,NA,NA,NA,"73","atBat","Strikeout","strikeout","Mike Yastrzemski strikes out swinging.",0,5,3,73,"bottom",9,"2024-04-21T22:45:12.299Z","2024-04-21T22:46:25.723Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,573262,"Mike Yastrzemski","/api/v1/people/573262","L","Left",656464,"Kevin Ginkel","/api/v1/people/656464","R","Right","vs_RHP","vs_LHB","Empty",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants","Arizona Diamondbacks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
745353,"2024-04-21",4,"2024-04-21T22:46:02.003Z","2024-04-21T22:46:20.860Z",FALSE,"action",NA,NA,"Batter Timeout.","Batter Timeout",5,3,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,1,2,2,573262,"/api/v1/people/573262",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"batter_timeout",NA,NA,NA,NA,NA,NA,"73","atBat","Strikeout","strikeout","Mike Yastrzemski strikes out swinging.",0,5,3,73,"bottom",9,"2024-04-21T22:45:12.299Z","2024-04-21T22:46:25.723Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,573262,"Mike Yastrzemski","/api/v1/people/573262","L","Left",656464,"Kevin Ginkel","/api/v1/people/656464","R","Right","vs_RHP","vs_LHB","Empty",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants","Arizona Diamondbacks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
745353,"2024-04-21",0,"2024-04-21T22:43:33.683Z","2024-04-21T22:43:49.213Z",TRUE,"pitch","d9df3886-e93c-4489-87ad-b37562f11941",1,"In play, run(s)",NA,NA,NA,NA,FALSE,"E","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"E","In play, run(s)",0,0,2,NA,NA,3.37,1.66,NA,121.38,183.21,"line_drive","hard","7",54.56,95.11,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Double","double","Thairo Estrada doubles (5) on a sharp line drive to left fielder Lourdes Gurriel Jr. Matt Chapman scores.",1,5,3,72,"bottom",9,"2024-04-21T22:43:19.393Z","2024-04-21T22:43:49.213Z",TRUE,TRUE,FALSE,FALSE,34,0,0,2,642731,"Thairo Estrada","/api/v1/people/642731","R","Right",656464,"Kevin Ginkel","/api/v1/people/656464","R","Right","vs_RHP","vs_RHB","RISP",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants","Arizona Diamondbacks","true",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",87.9,82.1,8,0.9,0.4257,6.7325,23.1121,-32.7371,1.5326,-0.3332,-0.1149,2.0581,4.3208,-128.0168,-4.8061,-2.0148,50.0053,6.484,2.5771,6,8.4,24,2491,61,104.9,12,276,NA,NA,NA,FALSE,-36.4,-1.3,-3.6,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,642731,"Thairo Estrada","/api/v1/people/642731",NA,NA,NA,NA,NA,NA,NA
745353,"2024-04-21",3,"2024-04-21T22:42:59.478Z","2024-04-21T22:43:10.141Z",TRUE,"pitch","9ae95346-416d-464f-98aa-f0c25b0ce671",4,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",2,1,1,NA,NA,3.46,1.67,NA,129.24,183.4,"ground_ball","medium","6",126.9,138.69,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Groundout","field_out","Patrick Bailey grounds out, shortstop Kevin Newman to first baseman Christian Walker. Matt Chapman to 3rd.",0,5,2,71,"bottom",9,"2024-04-21T22:41:26.937Z","2024-04-21T22:43:10.141Z",TRUE,FALSE,FALSE,TRUE,0,2,1,2,672275,"Patrick Bailey","/api/v1/people/672275","L","Left",656464,"Kevin Ginkel","/api/v1/people/656464","R","Right","vs_RHP","vs_LHB","RISP",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants","Arizona Diamondbacks","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94.9,87.5,7,0.91,0.3959,7.0097,28.5475,-15.699,-6.6035,8.4831,-0.3212,2.051,7.0448,-137.9641,-8.5418,-2.0408,50.0022,6.2289,-12.8247,33.6,4.8,24,2328,222,105.6,3,94,NA,NA,NA,TRUE,-16.3,13.9,10.7,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,656305,"Matt Chapman","/api/v1/people/656305",NA,NA,NA,NA
745353,"2024-04-21",2,"2024-04-21T22:42:36.650Z","2024-04-21T22:42:41.035Z",TRUE,"pitch","1784c775-68e6-4b5c-b724-f1e72fa44445",3,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",2,1,1,NA,NA,3.46,1.67,NA,152.46,161.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Groundout","field_out","Patrick Bailey grounds out, shortstop Kevin Newman to first baseman Christian Walker. Matt Chapman to 3rd.",0,5,2,71,"bottom",9,"2024-04-21T22:41:26.937Z","2024-04-21T22:43:10.141Z",TRUE,FALSE,FALSE,TRUE,0,2,1,2,672275,"Patrick Bailey","/api/v1/people/672275","L","Left",656464,"Kevin Ginkel","/api/v1/people/656464","R","Right","vs_RHP","vs_LHB","RISP",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants","Arizona Diamondbacks","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95,87.2,11,0.9,0.3959,6.8559,30.3524,-20.0212,-6.109,6.2686,-0.9303,2.862,5.1482,-138.2584,-5.9015,-2.0212,50.0064,6.3648,-11.849,26.4,4.8,24,2324,224,NA,NA,NA,NA,NA,NA,FALSE,-19.9,10.3,10,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
745353,"2024-04-21",1,"2024-04-21T22:42:17.750Z","2024-04-21T22:42:22.129Z",TRUE,"pitch","1970b8be-5877-4021-9fec-599950e8a335",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,0,1,NA,NA,3.5214,1.5904,NA,117.54,212.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Groundout","field_out","Patrick Bailey grounds out, shortstop Kevin Newman to first baseman Christian Walker. Matt Chapman to 3rd.",0,5,2,71,"bottom",9,"2024-04-21T22:41:26.937Z","2024-04-21T22:43:10.141Z",TRUE,FALSE,FALSE,TRUE,0,2,1,2,672275,"Patrick Bailey","/api/v1/people/672275","L","Left",656464,"Kevin Ginkel","/api/v1/people/656464","R","Right","vs_RHP","vs_LHB","RISP",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants","Arizona Diamondbacks","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",87.2,80.9,13,0.9,0.4311,6.8173,24.668,-29.7637,1.2905,1.4777,-0.0141,0.9701,4.8548,-126.8032,-7.5155,-2.1173,50.006,6.3304,2.1133,4.8,7.2,24,2383,78,NA,NA,NA,NA,NA,NA,FALSE,-34.7,1.2,-3.4,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
