"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isSubstitution","isBaseRunningPlay","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link"
718046,"2023-05-24",4,"2023-05-24T19:19:51.409Z","2023-05-24T19:19:59.129Z",TRUE,"pitch","cb4d247b-35b6-4cd2-8da9-436c4d9a3543",4,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",1,3,2,NA,NA,3.5733,1.5723,NA,102.23,179.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"61","atBat","Strikeout","strikeout","Jeremy Pena called out on strikes.",0,0,4,61,"top",9,"2023-05-24T19:18:37.579Z","2023-05-24T19:19:59.129Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,665161,"Jeremy Peña","/api/v1/people/665161","R","Right",571948,"Hoby Milner","/api/v1/people/571948","L","Left","vs_LHP","vs_RHB","Empty",NA,"Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros","Milwaukee Brewers",NA,NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",80.8,74.4,9,2,0.4658,7.3325,22.4437,-31.6079,-8.4921,0.406,0.3874,2.1906,-6.0795,-117.6105,1.8429,4.1098,50.0044,4.3297,-11.8875,22.8,9.6,24,1893,296,NA,NA,NA,NA,NA,NA,TRUE,-40.4,1.4,16.9,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718046,"2023-05-24",3,"2023-05-24T19:19:32.713Z","2023-05-24T19:19:36.151Z",TRUE,"pitch","680cc47c-152c-441b-bc6c-d32117240cab",3,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,2,2,NA,NA,3.55,1.69,NA,108.16,154.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"61","atBat","Strikeout","strikeout","Jeremy Pena called out on strikes.",0,0,4,61,"top",9,"2023-05-24T19:18:37.579Z","2023-05-24T19:19:59.129Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,665161,"Jeremy Peña","/api/v1/people/665161","R","Right",571948,"Hoby Milner","/api/v1/people/571948","L","Left","vs_LHP","vs_RHB","Empty",NA,"Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros","Milwaukee Brewers",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",89.1,81.4,2,0.9,0.4234,7.0705,25.8518,-26.1097,11.2619,3.5723,0.2319,3.1062,-12.9682,-129.1567,2.1217,3.8449,50.0009,4.2765,19.1053,32.4,7.2,24,2064,100,NA,NA,NA,NA,NA,NA,FALSE,-27.4,7.2,-17.6,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718046,"2023-05-24",2,"2023-05-24T19:19:17.272Z","2023-05-24T19:19:22.711Z",TRUE,"pitch","f30f6858-809f-45e2-8148-4b55bde85bfb",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,2,NA,NA,3.5452,1.5723,NA,131.61,201.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"61","atBat","Strikeout","strikeout","Jeremy Pena called out on strikes.",0,0,4,61,"top",9,"2023-05-24T19:18:37.579Z","2023-05-24T19:19:59.129Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,665161,"Jeremy Peña","/api/v1/people/665161","R","Right",571948,"Hoby Milner","/api/v1/people/571948","L","Left","vs_LHP","vs_RHB","Empty",NA,"Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros","Milwaukee Brewers",NA,NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",80.9,74.6,13,2,0.466,7.37,22.5974,-31.9753,-5.3392,0.1442,-0.3834,1.3823,-8.4746,-117.6132,-0.0175,3.9623,50.0043,4.3587,-7.469,15.6,9.6,24,2010,311,NA,NA,NA,NA,NA,NA,FALSE,-41.4,0.6,11.8,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718046,"2023-05-24",0,"2023-05-24T19:18:43.067Z","2023-05-24T19:18:47.159Z",TRUE,"pitch","1480948b-7345-4eef-b39b-532a121d7a4c",1,"Foul Tip",NA,NA,NA,NA,FALSE,"T","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"T","Foul Tip",0,1,2,NA,NA,3.55,1.69,NA,89.62,186.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"61","atBat","Strikeout","strikeout","Jeremy Pena called out on strikes.",0,0,4,61,"top",9,"2023-05-24T19:18:37.579Z","2023-05-24T19:19:59.129Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,665161,"Jeremy Peña","/api/v1/people/665161","R","Right",571948,"Hoby Milner","/api/v1/people/571948","L","Left","vs_LHP","vs_RHB","Empty",NA,"Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros","Milwaukee Brewers",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",88.5,81.3,9,0.9,0.4257,7.2941,25.0387,-32.4163,12.0474,-0.1412,0.7183,1.9302,-12.1744,-128.3682,0.5172,3.9433,50.006,4.2375,20.2348,28.8,8.4,24,1962,103,NA,NA,NA,NA,NA,NA,FALSE,-34.9,0.1,-19.3,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718046,"2023-05-24",1,"2023-05-24T19:18:57.421Z","2023-05-24T19:19:17.272Z",FALSE,"action",NA,NA,"Batter Timeout.","Batter Timeout",0,4,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,1,2,665161,"/api/v1/people/665161",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"batter_timeout",NA,NA,NA,NA,NA,NA,"61","atBat","Strikeout","strikeout","Jeremy Pena called out on strikes.",0,0,4,61,"top",9,"2023-05-24T19:18:37.579Z","2023-05-24T19:19:59.129Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,665161,"Jeremy Peña","/api/v1/people/665161","R","Right",571948,"Hoby Milner","/api/v1/people/571948","L","Left","vs_LHP","vs_RHB","Empty",NA,"Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros","Milwaukee Brewers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718046,"2023-05-24",7,"2023-05-24T19:18:11.402Z","2023-05-24T19:18:23.316Z",TRUE,"pitch","c355c0c1-5c30-4c0e-b80c-1c3df89316c7",7,"In play, no out",NA,NA,NA,NA,FALSE,"D","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"D","In play, no out",2,2,2,NA,NA,3.32,1.52,NA,120.12,197.19,"ground_ball","medium","7",87.66,130.76,NA,NA,NA,NA,NA,NA,NA,NA,"60","atBat","Single","single","Jose Abreu singles on a ground ball to left fielder Christian Yelich.",0,0,4,60,"top",9,"2023-05-24T19:16:23.700Z","2023-05-24T19:18:23.316Z",TRUE,FALSE,FALSE,FALSE,33,2,2,2,547989,"José Abreu","/api/v1/people/547989","R","Right",571948,"Hoby Milner","/api/v1/people/571948","L","Left","vs_LHP","vs_RHB","Men_On",NA,"Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros","Milwaukee Brewers",NA,NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",80.5,73.8,8,2,0.4695,7.1844,23.4696,-32.425,-6.3197,-0.1848,-0.0818,1.5406,-7.6154,-116.9642,0.6401,4.0456,50.0021,4.3206,-8.6932,16.8,9.6,24,1882,301,101.8,-6,15,NA,NA,NA,FALSE,-42.4,0.1,13.4,NA,NA,FALSE,TRUE,547989,"José Abreu","/api/v1/people/547989",NA,NA,NA,NA,NA,NA
718046,"2023-05-24",6,"2023-05-24T19:17:55.064Z","2023-05-24T19:18:01.809Z",TRUE,"pitch","4c31044c-461a-4d1c-b0ef-768b2efce5d7",6,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,2,2,NA,NA,3.3433,1.4304,NA,149.56,172.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"60","atBat","Single","single","Jose Abreu singles on a ground ball to left fielder Christian Yelich.",0,0,4,60,"top",9,"2023-05-24T19:16:23.700Z","2023-05-24T19:18:23.316Z",TRUE,FALSE,FALSE,FALSE,33,2,2,2,547989,"José Abreu","/api/v1/people/547989","R","Right",571948,"Hoby Milner","/api/v1/people/571948","L","Left","vs_LHP","vs_RHB","Men_On",NA,"Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros","Milwaukee Brewers",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",89.1,81.3,11,0.9,0.4249,7.3241,26.1447,-32.2522,12.4135,-0.0424,-0.8542,2.4543,-16.0642,-128.7874,1.5427,3.8445,50.0052,4.3375,20.9052,28.8,8.4,24,1866,104,NA,NA,NA,NA,NA,NA,FALSE,-34.3,0.6,-19,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718046,"2023-05-24",5,"2023-05-24T19:17:33.694Z","2023-05-24T19:17:39.805Z",TRUE,"pitch","391c5e8a-1a1b-4500-b17f-6d9975037528",5,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,2,2,NA,NA,3.32,1.52,NA,87.52,163.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"60","atBat","Single","single","Jose Abreu singles on a ground ball to left fielder Christian Yelich.",0,0,4,60,"top",9,"2023-05-24T19:16:23.700Z","2023-05-24T19:18:23.316Z",TRUE,FALSE,FALSE,FALSE,33,2,2,2,547989,"José Abreu","/api/v1/people/547989","R","Right",571948,"Hoby Milner","/api/v1/people/571948","L","Left","vs_LHP","vs_RHB","Men_On",NA,"Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros","Milwaukee Brewers",NA,NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",80,73.4,3,2,0.4712,7.3154,22.293,-31.6482,-9.5544,0.3831,0.7734,2.7745,-4.8579,-116.3465,2.9669,4.1311,50.002,4.4865,-13.0665,24,9.6,24,1954,303,NA,NA,NA,NA,NA,NA,FALSE,-41.2,1.8,18.5,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718046,"2023-05-24",4,"2023-05-24T19:17:16.985Z","2023-05-24T19:17:20.574Z",TRUE,"pitch","6adbcc3e-e6d1-40e1-8d89-ebae01e21c6f",4,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,2,2,NA,NA,3.32,1.52,NA,96.7,151.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"60","atBat","Single","single","Jose Abreu singles on a ground ball to left fielder Christian Yelich.",0,0,4,60,"top",9,"2023-05-24T19:16:23.700Z","2023-05-24T19:18:23.316Z",TRUE,FALSE,FALSE,FALSE,33,2,2,2,547989,"José Abreu","/api/v1/people/547989","R","Right",571948,"Hoby Milner","/api/v1/people/571948","L","Left","vs_LHP","vs_RHB","Men_On",NA,"Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros","Milwaukee Brewers",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",88.9,81.1,3,0.92,0.4248,7.0153,26.3563,-27.9979,11.5252,2.4801,0.5326,3.2233,-12.4003,-128.8475,2.4786,3.9065,50.0029,4.41,19.411,31.2,7.2,24,1975,101,NA,NA,NA,NA,NA,NA,FALSE,-29.5,5.4,-18.1,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718046,"2023-05-24",3,"2023-05-24T19:17:03.142Z","2023-05-24T19:17:08.909Z",TRUE,"pitch","4b7d8a01-bc62-4506-a219-880ba6bf8019",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,2,2,NA,NA,3.287,1.4585,NA,52.64,191.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"60","atBat","Single","single","Jose Abreu singles on a ground ball to left fielder Christian Yelich.",0,0,4,60,"top",9,"2023-05-24T19:16:23.700Z","2023-05-24T19:18:23.316Z",TRUE,FALSE,FALSE,FALSE,33,2,2,2,547989,"José Abreu","/api/v1/people/547989","R","Right",571948,"Hoby Milner","/api/v1/people/571948","L","Left","vs_LHP","vs_RHB","Men_On",NA,"Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros","Milwaukee Brewers",NA,NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",79.6,73.3,14,2,0.4723,6.9724,21.39,-29.2845,-6.6327,2.1194,1.6885,1.7651,-3.6338,-115.9011,0.2744,4.1375,50.0007,4.4387,-9.0345,18,9.6,24,2001,305,NA,NA,NA,NA,NA,NA,FALSE,-38.9,4.2,13,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
