"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.disengagementNum","isBaseRunningPlay","isSubstitution","replacedPlayer.id","replacedPlayer.link","reviewDetails.isOverturned","reviewDetails.inProgress","reviewDetails.reviewType","reviewDetails.challengeTeamId","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link"
716976,"2023-08-16",1,"2023-08-16T20:23:28.485Z","2023-08-16T20:23:35.974Z",TRUE,"pitch","1943b2b5-de4d-4c13-b909-a14a431d0253",2,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,0,1,NA,NA,3.22,1.5,NA,146.5,185.3,"ground_ball","medium","6",113.33,154.11,NA,NA,NA,NA,NA,NA,NA,NA,"81","atBat","Grounded Into DP","grounded_into_double_play","Donovan Solano grounds into a double play, shortstop Zack Short to second baseman Zach McKinstry to first baseman Spencer Torkelson. Royce Lewis out at 2nd. Donovan Solano out at 1st.",0,8,7,81,"bottom",9,"2023-08-16T20:23:02.236Z","2023-08-16T20:23:35.974Z",TRUE,FALSE,FALSE,TRUE,24,1,0,3,456781,"Donovan Solano","/api/v1/people/456781","R","Right",671345,"Jason Foley","/api/v1/people/671345","R","Right","vs_RHP","vs_RHB","Empty",NA,"Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Detroit Tigers","true",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",97.6,90.3,7,0.9,0.3841,6.619,29.1794,-24.8576,-9.1777,3.5424,-0.774,1.9808,5.5225,-142.0056,-6.1185,-1.5404,50.0024,5.7206,-18.9488,34.8,6,24,2115,238,87.7,-13,9,NA,NA,NA,TRUE,-23,5.5,15.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716976,"2023-08-16",0,"2023-08-16T20:23:10.700Z","2023-08-16T20:23:14.444Z",TRUE,"pitch","5b28910a-22c6-4036-b12f-853d30498364",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,1,NA,NA,3.1874,1.3516,NA,75.89,188.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"81","atBat","Grounded Into DP","grounded_into_double_play","Donovan Solano grounds into a double play, shortstop Zack Short to second baseman Zach McKinstry to first baseman Spencer Torkelson. Royce Lewis out at 2nd. Donovan Solano out at 1st.",0,8,7,81,"bottom",9,"2023-08-16T20:23:02.236Z","2023-08-16T20:23:35.974Z",TRUE,FALSE,FALSE,TRUE,24,1,0,3,456781,"Donovan Solano","/api/v1/people/456781","R","Right",671345,"Jason Foley","/api/v1/people/671345","R","Right","vs_RHP","vs_RHB","Empty",NA,"Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Detroit Tigers","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",97.5,90.4,14,0.9,0.3845,6.8032,28.1266,-23.1794,-8.8801,4.3636,1.0784,1.8671,9.6314,-141.6936,-7.0115,-1.1885,50.0059,5.8236,-18.3137,33.6,6,24,2056,233,NA,NA,NA,NA,NA,NA,FALSE,-21.7,6.8,14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716976,"2023-08-16",1,"2023-08-16T20:22:28.364Z","2023-08-16T20:22:40.993Z",TRUE,"pitch","7e42f4d4-2f22-4820-bf7f-c887a99de45c",2,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,0,0,NA,NA,3.66,1.77,NA,151.73,173.34,"fly_ball","medium","7",28.66,101.27,NA,NA,NA,NA,NA,NA,NA,NA,"80","atBat","Flyout","field_out","Matt Wallner flies out to left fielder Akil Baddoo.",0,8,7,80,"bottom",9,"2023-08-16T20:21:53.947Z","2023-08-16T20:22:40.993Z",TRUE,FALSE,FALSE,TRUE,0,1,0,1,670242,"Matt Wallner","/api/v1/people/670242","L","Left",671345,"Jason Foley","/api/v1/people/671345","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Detroit Tigers","true",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",96.2,89.2,13,0.9,0.389,6.6971,27.9732,-24.6063,-9.9653,3.7563,-0.9112,2.4236,5.4356,-140.1539,-4.8434,-1.5683,50.0022,5.7556,-20.0718,37.2,6,24,2024,239,98.7,37,340,NA,NA,NA,TRUE,-23,6.1,17.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,668904,"Royce Lewis","/api/v1/people/668904",NA,NA,NA,NA,NA,NA
716976,"2023-08-16",0,"2023-08-16T20:22:10.531Z","2023-08-16T20:22:14.494Z",TRUE,"pitch","7446794a-3224-4b48-87c9-c5c84dc947c8",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,0,NA,NA,3.6273,1.7958,NA,100.78,215.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"80","atBat","Flyout","field_out","Matt Wallner flies out to left fielder Akil Baddoo.",0,8,7,80,"bottom",9,"2023-08-16T20:21:53.947Z","2023-08-16T20:22:40.993Z",TRUE,FALSE,FALSE,TRUE,0,1,0,1,670242,"Matt Wallner","/api/v1/people/670242","L","Left",671345,"Jason Foley","/api/v1/people/671345","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Detroit Tigers","false",NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",92.1,85.9,14,0.91,0.4068,6.7684,24.3375,-27.6637,-9.2326,2.445,0.4256,0.8527,8.5845,-133.8045,-7.301,-1.599,50.0012,5.5525,-17.0202,28.8,7.2,24,1647,248,NA,NA,NA,NA,NA,NA,FALSE,-28.7,3.2,15.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,668904,"Royce Lewis","/api/v1/people/668904",NA,NA,NA,NA,NA,NA
716976,"2023-08-16",1,"2023-08-16T20:21:34.187Z","2023-08-16T20:21:44.535Z",TRUE,"pitch","0678fe68-71fc-479f-95e5-529e266c3c2f",1,"In play, no out",NA,NA,NA,NA,FALSE,"D","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"D","In play, no out",0,0,0,NA,NA,3.46,1.62,NA,144.73,182.3,"ground_ball","medium","8",104.64,111.71,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Single","single","Royce Lewis singles on a ground ball to center fielder Riley Greene.",0,8,7,79,"bottom",9,"2023-08-16T20:21:31.816Z","2023-08-16T20:21:44.535Z",TRUE,FALSE,FALSE,FALSE,33,0,0,0,668904,"Royce Lewis","/api/v1/people/668904","R","Right",671345,"Jason Foley","/api/v1/people/671345","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Detroit Tigers",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",96.8,90,7,0.9,0.3863,6.7113,27.4394,-26.2668,-9.2684,2.8939,-0.7275,2.0919,5.9793,-140.9504,-5.3903,-1.6555,50.0057,5.6918,-18.9379,33.6,6,24,1982,241,98,5,98,NA,NA,NA,FALSE,-24.4,4.4,15.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,668904,"Royce Lewis","/api/v1/people/668904",NA,NA,NA,NA,NA,NA
716976,"2023-08-16",0,"2023-08-16T20:20:50.256Z","2023-08-16T20:21:34.187Z",FALSE,"action",NA,NA,"Mound Visit.","Mound Visit",8,7,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mound_visit",NA,NA,NA,NA,NA,NA,"79","atBat","Single","single","Royce Lewis singles on a ground ball to center fielder Riley Greene.",0,8,7,79,"bottom",9,"2023-08-16T20:21:31.816Z","2023-08-16T20:21:44.535Z",TRUE,FALSE,FALSE,FALSE,33,0,0,0,668904,"Royce Lewis","/api/v1/people/668904","R","Right",671345,"Jason Foley","/api/v1/people/671345","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Detroit Tigers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,668904,"Royce Lewis","/api/v1/people/668904",NA,NA,NA,NA,NA,NA
716976,"2023-08-16",2,"2023-08-16T20:20:16.360Z","2023-08-16T20:20:38.093Z",TRUE,"pitch","06fda7a8-e3e1-4951-b1de-66538e997cb0",3,"In play, run(s)",NA,NA,NA,NA,FALSE,"E","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"E","In play, run(s)",2,0,0,NA,NA,3.44,1.66,NA,105.59,166.96,"fly_ball","hard","89",197.53,65.14,NA,NA,NA,NA,NA,NA,NA,NA,"78","atBat","Home Run","home_run","Max Kepler homers (20) on a fly ball to right center field.",1,8,7,78,"bottom",9,"2023-08-16T20:19:25.680Z","2023-08-16T20:20:38.093Z",TRUE,TRUE,FALSE,FALSE,38,2,0,0,596146,"Max Kepler","/api/v1/people/596146","L","Left",671345,"Jason Foley","/api/v1/people/671345","R","Right","vs_RHP","vs_LHB","Empty",NA,"Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Detroit Tigers","true",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",97.2,90.5,6,0.9,0.3844,6.5679,26.5243,-26.1288,-9.0272,2.9273,0.2994,2.6601,8.2614,-141.4833,-4.0745,-1.4587,50.0057,5.7561,-18.653,32.4,6,24,1994,239,107.5,22,416,NA,NA,NA,FALSE,-23.8,4.8,15.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,668904,"Royce Lewis","/api/v1/people/668904",NA,NA,NA,NA,NA,NA
716976,"2023-08-16",1,"2023-08-16T20:19:59.821Z","2023-08-16T20:20:04.108Z",TRUE,"pitch","e81020a3-5fed-4179-85f7-824b897a7043",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,0,0,NA,NA,3.4656,1.6277,NA,95.36,205.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"78","atBat","Home Run","home_run","Max Kepler homers (20) on a fly ball to right center field.",1,8,7,78,"bottom",9,"2023-08-16T20:19:25.680Z","2023-08-16T20:20:38.093Z",TRUE,TRUE,FALSE,FALSE,38,2,0,0,596146,"Max Kepler","/api/v1/people/596146","L","Left",671345,"Jason Foley","/api/v1/people/671345","R","Right","vs_RHP","vs_LHB","Empty",NA,"Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Detroit Tigers","false",NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",91.4,85.1,14,0.9,0.41,6.6711,24.5241,-30.7373,-8.7666,0.791,0.5677,1.2238,8.7513,-132.8398,-5.506,-1.6073,50.0033,5.5183,-15.9,24,7.2,24,1484,244,NA,NA,NA,NA,NA,NA,FALSE,-31.9,0.6,14.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,668904,"Royce Lewis","/api/v1/people/668904",NA,NA,NA,NA,NA,NA
716976,"2023-08-16",0,"2023-08-16T20:19:44.659Z","2023-08-16T20:19:47.769Z",TRUE,"pitch","6e40e671-bc9a-4154-bed9-73a51ffe0ef2",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,0,NA,NA,3.3782,1.5987,NA,173.09,165.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"78","atBat","Home Run","home_run","Max Kepler homers (20) on a fly ball to right center field.",1,8,7,78,"bottom",9,"2023-08-16T20:19:25.680Z","2023-08-16T20:20:38.093Z",TRUE,TRUE,FALSE,FALSE,38,2,0,0,596146,"Max Kepler","/api/v1/people/596146","L","Left",671345,"Jason Foley","/api/v1/people/671345","R","Right","vs_RHP","vs_LHB","Empty",NA,"Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Detroit Tigers","false",NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",90.6,84.1,11,0.9,0.4128,6.5147,24.9655,-31.076,-8.7363,0.6114,-1.4716,2.711,4.0088,-132.0815,-1.7261,-1.8642,50,5.6322,-15.6187,25.2,8.4,24,1487,249,NA,NA,NA,NA,NA,NA,FALSE,-31.9,1,15.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,668904,"Royce Lewis","/api/v1/people/668904",NA,NA,NA,NA,NA,NA
716976,"2023-08-16",2,"2023-08-16T20:18:57.888Z","2023-08-16T20:19:23.911Z",TRUE,"pitch","a9fcffa7-49a3-4811-9f5e-e8ae9a589c76",3,"In play, run(s)",NA,NA,NA,NA,FALSE,"E","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"E","In play, run(s)",1,1,0,NA,NA,3.27,1.59,NA,132.66,166.36,"fly_ball","medium","8",135.51,25.52,NA,NA,NA,NA,NA,NA,NA,NA,"77","atBat","Home Run","home_run","Jorge Polanco homers (8) on a fly ball to center field. Edouard Julien scores.",2,8,6,77,"bottom",9,"2023-08-16T20:18:08.064Z","2023-08-16T20:19:23.911Z",TRUE,TRUE,FALSE,FALSE,38,1,1,0,593871,"Jorge Polanco","/api/v1/people/593871","L","Left",671345,"Jason Foley","/api/v1/people/671345","R","Right","vs_RHP","vs_LHB","Empty",NA,"Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Detroit Tigers","true",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",96.4,90.2,4,0.89,0.3864,6.6233,24.5607,-26.2066,-8.9386,2.9148,-0.4109,2.6821,6.7968,-140.4462,-3.736,-1.672,50.0013,5.6869,-18.2893,32.4,6,24,2037,239,107.6,25,429,NA,NA,NA,FALSE,-24,4.9,15.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,668904,"Royce Lewis","/api/v1/people/668904",NA,NA,NA,NA,NA,NA
