"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.disengagementNum","isSubstitution","isBaseRunningPlay","replacedPlayer.id","replacedPlayer.link","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","result.isOut","about.isTopInning","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link"
716953,"2023-08-18",5,"2023-08-19T01:57:11.099Z","2023-08-19T01:57:17.953Z",TRUE,"pitch","f57b33c4-578e-45f5-8fe3-26ed29fad986",5,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",2,2,2,NA,NA,3.14,1.46,NA,106.03,165.26,"fly_ball","medium","7",76.99,111.91,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Flyout","field_out","Ben Rortvedt flies out to left fielder Masataka Yoshida.",0,8,3,74,"bottom",9,"2023-08-19T01:54:47.103Z","2023-08-19T01:57:17.953Z",TRUE,FALSE,FALSE,TRUE,0,2,2,3,666163,"Ben Rortvedt","/api/v1/people/666163","L","Left",455119,"Chris Martin","/api/v1/people/455119","R","Right","vs_RHP","vs_LHB","Empty",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees","Boston Red Sox",NA,NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",92.8,85.2,3,0.91,0.4058,6.6196,28.9541,-25.2828,0.1256,3.7347,0.2878,2.723,8.2272,-134.9018,-3.7412,-2.8161,50.0054,5.9073,0.2297,3.6,6,24,2140,199,81.1,23,262,NA,NA,NA,TRUE,-25.7,6.1,-1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716953,"2023-08-18",4,"2023-08-19T01:56:50.834Z","2023-08-19T01:56:55.870Z",TRUE,"pitch","8ac55998-4784-44fa-b9d5-714b6818a018",4,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,2,2,NA,NA,3.0874,1.4599,NA,170.25,181.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Flyout","field_out","Ben Rortvedt flies out to left fielder Masataka Yoshida.",0,8,3,74,"bottom",9,"2023-08-19T01:54:47.103Z","2023-08-19T01:57:17.953Z",TRUE,FALSE,FALSE,TRUE,0,2,2,3,666163,"Ben Rortvedt","/api/v1/people/666163","L","Left",455119,"Chris Martin","/api/v1/people/455119","R","Right","vs_RHP","vs_LHB","Empty",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees","Boston Red Sox",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",97.1,88.7,13,0.91,0.3885,6.4243,32.8876,-16.5314,-5.8684,7.7756,-1.3969,2.1156,5.4921,-141.1329,-7.6978,-2.6081,50.0065,5.9487,-11.8109,30,4.8,24,2061,216,NA,NA,NA,NA,NA,NA,FALSE,-16.6,12.6,9.5,1,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716953,"2023-08-18",2,"2023-08-19T01:56:09.038Z","2023-08-19T01:56:14.628Z",TRUE,"pitch","cda4ec54-7ea4-429e-9674-d1369458fae3",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,2,2,NA,NA,3.1398,1.4338,NA,165.42,192.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Flyout","field_out","Ben Rortvedt flies out to left fielder Masataka Yoshida.",0,8,3,74,"bottom",9,"2023-08-19T01:54:47.103Z","2023-08-19T01:57:17.953Z",TRUE,FALSE,FALSE,TRUE,0,2,2,3,666163,"Ben Rortvedt","/api/v1/people/666163","L","Left",455119,"Chris Martin","/api/v1/people/455119","R","Right","vs_RHP","vs_LHB","Empty",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees","Boston Red Sox",NA,NA,"rgba(119, 0, 152, 1.0)","FS","Splitter",90.6,83.7,13,0.84,0.4149,6.75,26.8543,-31.6441,-6.7797,0.2996,-1.2702,1.7024,6.2607,-131.7975,-4.8407,-2.7905,50.0028,5.8879,-11.9802,18,8.4,24,1529,228,NA,NA,NA,NA,NA,NA,FALSE,-33.5,-0.2,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716953,"2023-08-18",1,"2023-08-19T01:55:43.537Z","2023-08-19T01:55:46.614Z",TRUE,"pitch","324a2421-5fd1-415f-aabd-9c42f3d27417",2,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,2,2,NA,NA,3.14,1.46,NA,97.11,154.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Flyout","field_out","Ben Rortvedt flies out to left fielder Masataka Yoshida.",0,8,3,74,"bottom",9,"2023-08-19T01:54:47.103Z","2023-08-19T01:57:17.953Z",TRUE,FALSE,FALSE,TRUE,0,2,2,3,666163,"Ben Rortvedt","/api/v1/people/666163","L","Left",455119,"Chris Martin","/api/v1/people/455119","R","Right","vs_RHP","vs_LHB","Empty",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees","Boston Red Sox",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96.4,88.3,3,0.9,0.3907,6.7186,30.9286,-17.881,-5.8902,7.1762,0.5218,3.1047,10.0355,-140.0686,-4.9845,-2.3383,50.0016,6.0723,-11.7311,26.4,4.8,24,2201,212,NA,NA,NA,NA,NA,NA,FALSE,-17.3,12.1,8.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716953,"2023-08-18",0,"2023-08-19T01:55:13.593Z","2023-08-19T01:55:18.364Z",TRUE,"pitch","04fda2b8-d323-4f7f-bb51-7fcd1183cabc",1,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,1,2,NA,NA,3.14,1.46,NA,88.71,157.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Flyout","field_out","Ben Rortvedt flies out to left fielder Masataka Yoshida.",0,8,3,74,"bottom",9,"2023-08-19T01:54:47.103Z","2023-08-19T01:57:17.953Z",TRUE,FALSE,FALSE,TRUE,0,2,2,3,666163,"Ben Rortvedt","/api/v1/people/666163","L","Left",455119,"Chris Martin","/api/v1/people/455119","R","Right","vs_RHP","vs_LHB","Empty",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees","Boston Red Sox",NA,NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",93.5,86.5,3,0.91,0.4015,6.8939,27.2703,-25.6422,0.9474,3.4582,0.7422,2.9933,8.7669,-135.94,-3.5083,-2.6356,50.0035,6.0625,1.7867,7.2,6,24,2179,195,NA,NA,NA,NA,NA,NA,FALSE,-25.3,5.8,-3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716953,"2023-08-18",3,"2023-08-19T01:56:30.554Z","2023-08-19T01:56:35.554Z",FALSE,"stepoff","907b5100-7682-4055-b37b-8d398751db1a",NA,"Pitcher Step Off",NA,NA,NA,NA,FALSE,"PSO",NA,NA,NA,NA,NA,NA,1,2,2,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Flyout","field_out","Ben Rortvedt flies out to left fielder Masataka Yoshida.",0,8,3,74,"bottom",9,"2023-08-19T01:54:47.103Z","2023-08-19T01:57:17.953Z",TRUE,FALSE,FALSE,TRUE,0,2,2,3,666163,"Ben Rortvedt","/api/v1/people/666163","L","Left",455119,"Chris Martin","/api/v1/people/455119","R","Right","vs_RHP","vs_LHB","Empty",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees","Boston Red Sox",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716953,"2023-08-18",6,"2023-08-19T01:54:41.981Z","2023-08-19T01:54:47.355Z",TRUE,"pitch","9c5edf34-e799-4aad-96cd-a6cec322d341",4,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",2,3,1,NA,NA,3.1636,1.602,NA,96.35,190.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Strikeout","strikeout","Anthony Volpe called out on strikes.",0,8,3,73,"bottom",9,"2023-08-19T01:53:07.197Z","2023-08-19T01:54:47.355Z",TRUE,FALSE,FALSE,TRUE,14,2,3,2,683011,"Anthony Volpe","/api/v1/people/683011","R","Right",455119,"Chris Martin","/api/v1/people/455119","R","Right","vs_RHP","vs_RHB","RISP",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees","Boston Red Sox",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",97.6,90.3,9,0.9,0.3848,6.6217,28.8864,-13.6622,-4.0391,8.997,0.5417,1.7865,9.8004,-141.7257,-9.1791,-2.4187,50.0055,5.9161,-8.3138,22.8,3.6,24,2234,218,NA,NA,NA,NA,NA,NA,TRUE,-13.8,14.8,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,643396,"Isiah Kiner-Falefa","/api/v1/people/643396",NA,NA,NA,650402,"Gleyber Torres","/api/v1/people/650402"
716953,"2023-08-18",5,"2023-08-19T01:54:18.032Z","2023-08-19T01:54:22.502Z",TRUE,"pitch","14a15871-ca8a-4097-9c3a-815eeef62b7a",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,2,1,NA,NA,3.1636,1.5499,NA,38.24,195.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Strikeout","strikeout","Anthony Volpe called out on strikes.",0,8,3,73,"bottom",9,"2023-08-19T01:53:07.197Z","2023-08-19T01:54:47.355Z",TRUE,FALSE,FALSE,TRUE,14,2,3,2,683011,"Anthony Volpe","/api/v1/people/683011","R","Right",455119,"Chris Martin","/api/v1/people/455119","R","Right","vs_RHP","vs_RHB","RISP",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees","Boston Red Sox",NA,NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",86.8,79.9,14,0.91,0.4356,6.7257,26.4539,-27.6398,4.7017,2.834,2.0663,1.6032,10.086,-125.9324,-5.275,-2.6073,50.0029,5.9709,7.5233,18,7.2,24,2288,64,NA,NA,NA,NA,NA,NA,FALSE,-32.5,4.1,-10.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,643396,"Isiah Kiner-Falefa","/api/v1/people/643396",NA,NA,NA,NA,NA,NA
716953,"2023-08-18",4,"2023-08-19T01:53:57.639Z","2023-08-19T01:54:00.639Z",TRUE,"pitch","9db0a964-d9ff-41a2-a073-e81ae55bf0fb",2,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,2,1,NA,NA,3.19,1.55,NA,110.34,172.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Strikeout","strikeout","Anthony Volpe called out on strikes.",0,8,3,73,"bottom",9,"2023-08-19T01:53:07.197Z","2023-08-19T01:54:47.355Z",TRUE,FALSE,FALSE,TRUE,14,2,3,2,683011,"Anthony Volpe","/api/v1/people/683011","R","Right",455119,"Chris Martin","/api/v1/people/455119","R","Right","vs_RHP","vs_RHB","RISP",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees","Boston Red Sox",NA,NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",86.5,79.7,5,0.86,0.435,6.8033,25.5386,-25.9737,4.3476,3.8598,0.1748,2.4486,6.1381,-125.9181,-3.6982,-2.859,50.0017,6.0375,6.981,16.8,7.2,24,2117,74,NA,NA,NA,NA,NA,NA,FALSE,-30.1,6.4,-9.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,643396,"Isiah Kiner-Falefa","/api/v1/people/643396",NA,NA,NA,NA,NA,NA
716953,"2023-08-18",3,"2023-08-19T01:53:39.310Z","2023-08-19T01:53:42.974Z",TRUE,"pitch","71aab83d-26fb-4a25-a225-1d52aa34f2cd",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",1,1,1,NA,NA,3.1636,1.5759,NA,103.89,193.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Strikeout","strikeout","Anthony Volpe called out on strikes.",0,8,3,73,"bottom",9,"2023-08-19T01:53:07.197Z","2023-08-19T01:54:47.355Z",TRUE,FALSE,FALSE,TRUE,14,2,3,2,683011,"Anthony Volpe","/api/v1/people/683011","R","Right",455119,"Chris Martin","/api/v1/people/455119","R","Right","vs_RHP","vs_RHB","RISP",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees","Boston Red Sox",NA,NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",93,85.9,9,0.91,0.4044,6.8113,27.6849,-22.9675,0.6307,4.9524,0.3438,1.6775,7.644,-135.1157,-7.2576,-2.5966,50.0067,5.9967,1.1746,6,4.8,24,2171,199,NA,NA,NA,NA,NA,NA,FALSE,-23.9,7.7,-2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,643396,"Isiah Kiner-Falefa","/api/v1/people/643396",NA,NA,NA,NA,NA,NA
