"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isBaseRunningPlay","details.disengagementNum","isSubstitution","reviewDetails.isOverturned.x","reviewDetails.inProgress.x","reviewDetails.reviewType.x","reviewDetails.challengeTeamId.x","replacedPlayer.id","replacedPlayer.link","base","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","reviewDetails.isOverturned.y","reviewDetails.inProgress.y","reviewDetails.reviewType.y","reviewDetails.challengeTeamId.y"
717434,"2023-07-09",1,"2023-07-09T20:05:15.718Z","2023-07-09T20:05:29.339Z",TRUE,"pitch","3721af56-f6a4-49a4-bbd7-f4400676014c",2,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,0,2,NA,NA,3.37,1.58,NA,121.19,194.43,"line_drive","medium","8",158.79,79.42,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Lineout","field_out","Myles Straw lines out to center fielder Kyle Isbel.",0,4,1,70,"bottom",9,"2023-07-09T20:04:58.133Z","2023-07-09T20:05:29.339Z",TRUE,FALSE,FALSE,TRUE,0,1,0,3,664702,"Myles Straw","/api/v1/people/664702","R","Right",605130,"Scott Barlow","/api/v1/people/605130","R","Right","vs_RHP","vs_RHB","Empty",NA,"Cleveland Guardians",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Cleveland Guardians","Kansas City Royals","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",92.9,86.2,8,2,0.4028,7.0695,25.7122,-17.5548,-3.9183,7.7827,-0.1099,1.6426,5.1142,-135.2666,-6.1592,-1.504,50.0029,5.153,-7.3609,19.2,4.8,24,2531,213,97.2,17,310,NA,NA,NA,TRUE,-18.1,13.2,6.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717434,"2023-07-09",0,"2023-07-09T20:04:58.133Z","2023-07-09T20:05:03.806Z",TRUE,"pitch","1a345229-123f-451f-b197-b40efbc0650a",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,2,NA,NA,3.3201,1.4804,NA,96.45,219.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Lineout","field_out","Myles Straw lines out to center fielder Kyle Isbel.",0,4,1,70,"bottom",9,"2023-07-09T20:04:58.133Z","2023-07-09T20:05:29.339Z",TRUE,FALSE,FALSE,TRUE,0,1,0,3,664702,"Myles Straw","/api/v1/people/664702","R","Right",605130,"Scott Barlow","/api/v1/people/605130","R","Right","vs_RHP","vs_RHB","Empty",NA,"Cleveland Guardians",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Cleveland Guardians","Kansas City Royals","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",83,76.9,14,2,0.4526,6.8834,22.9122,-33.0252,6.1084,-0.5688,0.5392,0.7266,4.0002,-120.8812,-3.2232,-1.9293,50.0056,4.9679,9.068,15.6,9.6,24,2584,94,NA,NA,NA,NA,NA,NA,FALSE,-41,-1.6,-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717434,"2023-07-09",3,"2023-07-09T20:04:15.384Z","2023-07-09T20:04:23.005Z",TRUE,"pitch","9845ccd4-d24d-4132-bbe9-5f362f5389a8",4,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,3,2,NA,NA,3.3,1.54,NA,102.23,236.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Strikeout","strikeout","Will Brennan strikes out swinging. Tyler Freeman to 2nd. Will Brennan to 1st. Wild pitch by pitcher Scott Barlow.",0,4,1,69,"bottom",9,"2023-07-09T20:02:40.087Z","2023-07-09T20:04:23.005Z",TRUE,FALSE,FALSE,FALSE,14,1,3,2,686823,"Will Brennan","/api/v1/people/686823","L","Left",605130,"Scott Barlow","/api/v1/people/605130","R","Right","vs_RHP","vs_LHB","RISP",NA,"Cleveland Guardians",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Cleveland Guardians","Kansas City Royals","true",NA,"rgba(0, 34, 255, 1.0)","CU","Curveball",78.8,71.8,14,2,0.4825,7.073,26.0648,-40.4079,8.86,-6.3464,0.3876,0.0742,1.3567,-114.6177,-2.8823,-1.3645,50.0024,5.3902,11.4961,15.6,13.2,24,2706,58,NA,NA,NA,NA,NA,NA,FALSE,-56.9,-12,-16.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,686823,"Will Brennan","/api/v1/people/686823",671289,"Tyler Freeman","/api/v1/people/671289",NA,NA,NA,NA,NA,NA,NA
717434,"2023-07-09",2,"2023-07-09T20:03:44.888Z","2023-07-09T20:03:51.048Z",TRUE,"pitch","7ddde827-dd9f-45d5-af7e-57036572ff80",3,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,2,2,NA,NA,3.3,1.54,NA,104.4,206.87,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,"69","atBat","Strikeout","strikeout","Will Brennan strikes out swinging. Tyler Freeman to 2nd. Will Brennan to 1st. Wild pitch by pitcher Scott Barlow.",0,4,1,69,"bottom",9,"2023-07-09T20:02:40.087Z","2023-07-09T20:04:23.005Z",TRUE,FALSE,FALSE,FALSE,14,1,3,2,686823,"Will Brennan","/api/v1/people/686823","L","Left",605130,"Scott Barlow","/api/v1/people/605130","R","Right","vs_RHP","vs_LHB","RISP",NA,"Cleveland Guardians",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Cleveland Guardians","Kansas City Royals","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",83.8,78,14,2,0.4471,6.8615,22.218,-36.7374,6.3497,-2.9925,0.3307,1.1818,2.8181,-122.1383,-1.7466,-1.6604,50.0049,5.0416,9.6725,15.6,9.6,24,2535,86,NA,NA,NA,NA,NA,NA,FALSE,-44.2,-5.6,-12.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717434,"2023-07-09",1,"2023-07-09T20:03:18.619Z","2023-07-09T20:03:23.986Z",TRUE,"pitch","30bac7d4-8b96-4bfa-bf7d-458f6da1d27c",2,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,1,2,NA,NA,3.3,1.54,NA,77.6,204.36,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,"69","atBat","Strikeout","strikeout","Will Brennan strikes out swinging. Tyler Freeman to 2nd. Will Brennan to 1st. Wild pitch by pitcher Scott Barlow.",0,4,1,69,"bottom",9,"2023-07-09T20:02:40.087Z","2023-07-09T20:04:23.005Z",TRUE,FALSE,FALSE,FALSE,14,1,3,2,686823,"Will Brennan","/api/v1/people/686823","L","Left",605130,"Scott Barlow","/api/v1/people/605130","R","Right","vs_RHP","vs_LHB","RISP",NA,"Cleveland Guardians",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Cleveland Guardians","Kansas City Royals","false",NA,"rgba(0, 34, 255, 1.0)","CU","Curveball",78.3,71.6,14,2,0.4835,7.039,24.0885,-37.7723,9.5023,-4.3252,1.0335,1.275,3.3256,-113.9814,-0.437,-1.6855,50.0024,5.2508,12.301,19.2,12,24,2738,58,NA,NA,NA,NA,NA,NA,FALSE,-52.7,-7.6,-18.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717434,"2023-07-09",0,"2023-07-09T20:03:01.212Z","2023-07-09T20:03:04.562Z",TRUE,"pitch","75ffa813-2e30-4602-854b-6bfd5d25787d",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,2,NA,NA,3.1999,1.4404,NA,42.5,184.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Strikeout","strikeout","Will Brennan strikes out swinging. Tyler Freeman to 2nd. Will Brennan to 1st. Wild pitch by pitcher Scott Barlow.",0,4,1,69,"bottom",9,"2023-07-09T20:02:40.087Z","2023-07-09T20:04:23.005Z",TRUE,FALSE,FALSE,FALSE,14,1,3,2,686823,"Will Brennan","/api/v1/people/686823","L","Left",605130,"Scott Barlow","/api/v1/people/605130","R","Right","vs_RHP","vs_LHB","RISP",NA,"Cleveland Guardians",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Cleveland Guardians","Kansas City Royals","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",92.4,84.4,14,2,0.4084,6.9007,29.554,-15.4572,-3.2439,9.18,1.9546,2.0178,9.7903,-134.2122,-5.5115,-1.3219,50.0006,5.202,-5.9061,13.2,3.6,24,2471,212,NA,NA,NA,NA,NA,NA,FALSE,-16.7,15.6,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717434,"2023-07-09",5,"2023-07-09T20:02:24.707Z","2023-07-09T20:02:33.507Z",TRUE,"pitch","40dc0f0f-3637-4db8-beec-f29f12452986",6,"In play, no out",NA,NA,NA,NA,FALSE,"D","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"D","In play, no out",3,2,2,NA,NA,3.32,1.5,NA,89.42,178.8,"line_drive","hard","8",124.77,78.37,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Single","single","Tyler Freeman singles on a sharp line drive to center fielder Kyle Isbel.",0,4,1,68,"bottom",9,"2023-07-09T20:00:42.022Z","2023-07-09T20:02:33.507Z",TRUE,FALSE,FALSE,FALSE,33,3,2,2,671289,"Tyler Freeman","/api/v1/people/671289","R","Right",605130,"Scott Barlow","/api/v1/people/605130","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Cleveland Guardians",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Cleveland Guardians","Kansas City Royals","true",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",82.7,75.9,6,2,0.4559,6.8768,24.3348,-34.7802,5.5439,-1.7848,0.7236,2.2214,4.4814,-120.3613,0.5683,-1.8856,50.0033,5.0733,8.0961,14.4,9.6,24,2584,97,100.6,11,257,NA,NA,NA,FALSE,-43,-2.8,-11.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,671289,"Tyler Freeman","/api/v1/people/671289",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717434,"2023-07-09",4,"2023-07-09T20:02:07.426Z","2023-07-09T20:02:12.869Z",TRUE,"pitch","68db7490-fe9f-41ac-b302-bed0c91f4f49",5,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",3,2,2,NA,NA,3.3959,1.5507,NA,83,205.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Single","single","Tyler Freeman singles on a sharp line drive to center fielder Kyle Isbel.",0,4,1,68,"bottom",9,"2023-07-09T20:00:42.022Z","2023-07-09T20:02:33.507Z",TRUE,FALSE,FALSE,FALSE,33,3,2,2,671289,"Tyler Freeman","/api/v1/people/671289","R","Right",605130,"Scott Barlow","/api/v1/people/605130","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Cleveland Guardians",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Cleveland Guardians","Kansas City Royals","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",82.9,77,14,2,0.4526,6.8715,21.8512,-32.9757,5.4539,-0.5381,0.892,1.2227,4.8886,-120.6885,-2.2606,-1.863,50.0048,5.0552,8.1045,14.4,9.6,24,2699,83,NA,NA,NA,NA,NA,NA,FALSE,-40.8,-1.2,-10.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717434,"2023-07-09",3,"2023-07-09T20:01:51.121Z","2023-07-09T20:01:55.826Z",TRUE,"pitch","2aad72fe-fd51-42e7-937a-652181fe282c",4,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,2,2,NA,NA,3.2701,1.5006,NA,129.56,118.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Single","single","Tyler Freeman singles on a sharp line drive to center fielder Kyle Isbel.",0,4,1,68,"bottom",9,"2023-07-09T20:00:42.022Z","2023-07-09T20:02:33.507Z",TRUE,FALSE,FALSE,FALSE,33,3,2,2,671289,"Tyler Freeman","/api/v1/people/671289","R","Right",605130,"Scott Barlow","/api/v1/people/605130","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Cleveland Guardians",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Cleveland Guardians","Kansas City Royals","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",91.8,83.7,11,2,0.4103,6.7751,29.1535,-23.8809,-2.0516,4.5943,-0.3295,4.4526,4.5342,-133.5677,2.5378,-1.7835,50.0005,5.2089,-3.702,7.2,4.8,24,2523,210,NA,NA,NA,NA,NA,NA,FALSE,-23.4,9.1,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717434,"2023-07-09",2,"2023-07-09T20:01:30.544Z","2023-07-09T20:01:34.015Z",TRUE,"pitch","85adf229-00b3-4d5e-8a2b-fe56f33d6fff",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,2,2,NA,NA,3.2199,1.4755,NA,71.12,254.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Single","single","Tyler Freeman singles on a sharp line drive to center fielder Kyle Isbel.",0,4,1,68,"bottom",9,"2023-07-09T20:00:42.022Z","2023-07-09T20:02:33.507Z",TRUE,FALSE,FALSE,FALSE,33,3,2,2,671289,"Tyler Freeman","/api/v1/people/671289","R","Right",605130,"Scott Barlow","/api/v1/people/605130","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Cleveland Guardians",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Cleveland Guardians","Kansas City Royals","false",NA,"rgba(0, 34, 255, 1.0)","CU","Curveball",78.4,72.1,14,2,0.4832,7.0952,24.2471,-38.8098,6.4181,-5.1164,1.2037,-0.5701,4.2785,-114.0744,-4.3545,-1.5412,50.0053,5.257,8.318,13.2,13.2,24,2735,55,NA,NA,NA,NA,NA,NA,FALSE,-55.3,-10.2,-12.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
