"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.disengagementNum","isBaseRunningPlay","isSubstitution","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","reviewDetails.isOverturned","reviewDetails.inProgress","reviewDetails.reviewType","reviewDetails.challengeTeamId"
718580,"2023-04-14",2,"2023-04-15T02:08:11.008Z","2023-04-15T02:08:14.345Z",TRUE,"pitch","6d90ed03-60e6-4a3e-9a3b-149a47cc2ca4",3,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,3,2,NA,NA,3.49,1.73,NA,95.09,187.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"80","atBat","Strikeout","strikeout","Hunter Renfroe strikes out swinging.",0,3,5,80,"top",9,"2023-04-15T02:07:14.832Z","2023-04-15T02:08:14.345Z",TRUE,FALSE,FALSE,TRUE,14,0,3,3,592669,"Hunter Renfroe","/api/v1/people/592669","R","Right",445276,"Kenley Jansen","/api/v1/people/445276","R","Right","vs_RHP","vs_RHB","Empty",NA,"Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels","Boston Red Sox","true",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",86.4,79.6,9,0.75,0.4358,6.9475,25.7525,-30.8043,3.2117,0.8575,0.5749,1.9147,4.6507,-125.7298,-4.5124,-1.7168,50.0027,6.2355,5.1364,10.8,8.4,24,2505,75,NA,NA,NA,NA,NA,NA,TRUE,-35.9,0.7,-6.8,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718580,"2023-04-14",1,"2023-04-15T02:07:52.257Z","2023-04-15T02:07:55.552Z",TRUE,"pitch","e305e32f-9bb0-430a-a709-70f6169e25f3",2,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,2,2,NA,NA,3.49,1.73,NA,122.27,176.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"80","atBat","Strikeout","strikeout","Hunter Renfroe strikes out swinging.",0,3,5,80,"top",9,"2023-04-15T02:07:14.832Z","2023-04-15T02:08:14.345Z",TRUE,FALSE,FALSE,TRUE,14,0,3,3,592669,"Hunter Renfroe","/api/v1/people/592669","R","Right",445276,"Kenley Jansen","/api/v1/people/445276","R","Right","vs_RHP","vs_RHB","Empty",NA,"Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels","Boston Red Sox","false",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",96.4,88,5,0.84,0.3913,7.028,32.1576,-9.5842,0.8006,11.3849,-0.1382,2.3126,4.0394,-140.085,-8.8209,-1.7038,50.0009,6.1319,1.5874,12,2.4,24,2605,185,NA,NA,NA,NA,NA,NA,FALSE,-10.6,19,-2.3,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718580,"2023-04-14",0,"2023-04-15T02:07:33.392Z","2023-04-15T02:07:36.728Z",TRUE,"pitch","8cb52421-81aa-49e2-b497-92fa3638aba5",1,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,1,2,NA,NA,3.49,1.73,NA,78.78,155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"80","atBat","Strikeout","strikeout","Hunter Renfroe strikes out swinging.",0,3,5,80,"top",9,"2023-04-15T02:07:14.832Z","2023-04-15T02:08:14.345Z",TRUE,FALSE,FALSE,TRUE,14,0,3,3,592669,"Hunter Renfroe","/api/v1/people/592669","R","Right",445276,"Kenley Jansen","/api/v1/people/445276","R","Right","vs_RHP","vs_RHB","Empty",NA,"Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels","Boston Red Sox","false",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",96.2,87.1,12,0.89,0.3936,6.9736,34.7622,-9.1349,1.3898,11.7804,1.0028,3.1031,7.2174,-139.7422,-6.6592,-1.8058,50.0022,6.134,2.7175,22.8,2.4,24,2724,178,NA,NA,NA,NA,NA,NA,FALSE,-10,19.9,-4.2,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718580,"2023-04-14",1,"2023-04-15T02:06:57.260Z","2023-04-15T02:07:06.075Z",TRUE,"pitch","51463258-3384-4037-b197-643756967db1",2,"In play, no out",NA,NA,NA,NA,FALSE,"D","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"D","In play, no out",0,1,2,NA,NA,3.36,1.62,NA,109.4,166.27,"fly_ball","medium","8",113.33,97.56,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Single","single","Anthony Rendon singles on a fly ball to center fielder Enrique Hernandez.",0,3,5,79,"top",9,"2023-04-15T02:06:28.050Z","2023-04-15T02:07:06.075Z",TRUE,FALSE,FALSE,FALSE,33,0,1,2,543685,"Anthony Rendon","/api/v1/people/543685","R","Right",445276,"Kenley Jansen","/api/v1/people/445276","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels","Boston Red Sox","true",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",94.6,86.2,5,0.9,0.3991,6.8138,32.0296,-11.0593,2.3259,11.0828,0.1993,2.6855,4.3501,-137.5187,-7.3434,-1.7083,50.0003,6.1499,4.4294,22.8,2.4,24,2666,179,72.4,29,243,NA,NA,NA,FALSE,-12.1,18.6,-5.2,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,543685,"Anthony Rendon","/api/v1/people/543685",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718580,"2023-04-14",0,"2023-04-15T02:06:42.387Z","2023-04-15T02:06:45.720Z",TRUE,"pitch","11da81da-bca9-4f33-aeab-8d8619165f78",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,2,NA,NA,3.0572,1.3965,NA,87.47,179.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Single","single","Anthony Rendon singles on a fly ball to center fielder Enrique Hernandez.",0,3,5,79,"top",9,"2023-04-15T02:06:28.050Z","2023-04-15T02:07:06.075Z",TRUE,FALSE,FALSE,FALSE,33,0,1,2,543685,"Anthony Rendon","/api/v1/people/543685","R","Right",445276,"Kenley Jansen","/api/v1/people/445276","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels","Boston Red Sox","false",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",94.3,86,6,0.89,0.4005,7.1663,32.0609,-14.9465,1.3539,9.1049,0.7748,2.192,6.0298,-137.0944,-7.6224,-1.6344,50.0006,6.041,2.5594,13.2,3.6,24,2610,175,NA,NA,NA,NA,NA,NA,FALSE,-16,15,-3.8,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718580,"2023-04-14",3,"2023-04-15T02:06:12.815Z","2023-04-15T02:06:17.652Z",TRUE,"pitch","fdba5cd7-2f28-428b-bbef-292c0c076f8e",4,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",1,3,1,NA,NA,3.4934,1.7002,NA,130.31,154.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"78","atBat","Strikeout","strikeout","Shohei Ohtani called out on strikes.",0,3,5,78,"top",9,"2023-04-15T02:05:02.983Z","2023-04-15T02:06:17.652Z",TRUE,FALSE,FALSE,TRUE,14,1,3,2,660271,"Shohei Ohtani","/api/v1/people/660271","L","Left",445276,"Kenley Jansen","/api/v1/people/445276","R","Right","vs_RHP","vs_LHB","Empty",NA,"Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels","Boston Red Sox","true",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",95.9,87.5,1,0.89,0.3932,6.6543,32.2587,-10.6461,1.7016,10.9616,-0.3492,3.1043,3.8868,-139.4753,-6.6749,-1.9836,50.0056,6.2356,3.3426,19.2,2.4,24,2545,183,NA,NA,NA,NA,NA,NA,TRUE,-11.3,18.6,-4,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718580,"2023-04-14",2,"2023-04-15T02:05:53.751Z","2023-04-15T02:05:59.329Z",TRUE,"pitch","fc7a4c39-32b7-422f-90b5-9ee299e09f21",3,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,2,1,NA,NA,3.49,1.63,NA,115.32,139.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"78","atBat","Strikeout","strikeout","Shohei Ohtani called out on strikes.",0,3,5,78,"top",9,"2023-04-15T02:05:02.983Z","2023-04-15T02:06:17.652Z",TRUE,FALSE,FALSE,TRUE,14,1,3,2,660271,"Shohei Ohtani","/api/v1/people/660271","L","Left",445276,"Kenley Jansen","/api/v1/people/445276","R","Right","vs_RHP","vs_LHB","Empty",NA,"Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels","Boston Red Sox","false",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",94.7,87,12,0.88,0.3967,6.8735,29.6216,-15.3714,1.1248,8.6978,0.044,3.6778,4.6775,-137.882,-4.3579,-1.8182,50.0055,6.3106,2.1743,10.8,3.6,24,2710,171,NA,NA,NA,NA,NA,NA,FALSE,-15.4,15.1,-3,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718580,"2023-04-14",1,"2023-04-15T02:05:35.373Z","2023-04-15T02:05:41.046Z",TRUE,"pitch","1d2bb58a-1fcf-402a-a41a-37aa76dfa156",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,1,NA,NA,3.5561,1.7002,NA,136.26,147.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"78","atBat","Strikeout","strikeout","Shohei Ohtani called out on strikes.",0,3,5,78,"top",9,"2023-04-15T02:05:02.983Z","2023-04-15T02:06:17.652Z",TRUE,FALSE,FALSE,TRUE,14,1,3,2,660271,"Shohei Ohtani","/api/v1/people/660271","L","Left",445276,"Kenley Jansen","/api/v1/people/445276","R","Right","vs_RHP","vs_LHB","Empty",NA,"Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels","Boston Red Sox","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",85.7,79.5,1,0.85,0.437,6.6959,23.3127,-36.3721,5.2059,-2.6328,-0.5053,3.3882,2.3036,-124.9539,-0.1064,-2.1134,50.0032,6.4,8.2973,13.2,9.6,24,2516,77,NA,NA,NA,NA,NA,NA,FALSE,-41.4,-4.6,-10,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718580,"2023-04-14",0,"2023-04-15T02:05:19.277Z","2023-04-15T02:05:22.669Z",TRUE,"pitch","b627c790-e847-4fe5-b491-e4c3164e7f7d",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,1,NA,NA,3.6189,1.6697,NA,90.72,186.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"78","atBat","Strikeout","strikeout","Shohei Ohtani called out on strikes.",0,3,5,78,"top",9,"2023-04-15T02:05:02.983Z","2023-04-15T02:06:17.652Z",TRUE,FALSE,FALSE,TRUE,14,1,3,2,660271,"Shohei Ohtani","/api/v1/people/660271","L","Left",445276,"Kenley Jansen","/api/v1/people/445276","R","Right","vs_RHP","vs_LHB","Empty",NA,"Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels","Boston Red Sox","false",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",94.7,86.9,9,0.91,0.398,6.989,30.2103,-12.1171,3.4697,10.4543,0.6895,1.927,5.5847,-137.5687,-8.881,-1.8171,50.006,6.0165,6.6578,28.8,3.6,24,2634,180,NA,NA,NA,NA,NA,NA,FALSE,-13.3,17.3,-7.4,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718580,"2023-04-14",4,"2023-04-15T02:04:50.726Z","2023-04-15T02:04:56.763Z",TRUE,"pitch","4d6de39b-13cb-44eb-9d70-5f665a148509",4,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,3,0,NA,NA,3.62,1.75,NA,75.35,169.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"77","atBat","Strikeout","strikeout","Mike Trout strikes out swinging.",0,3,5,77,"top",9,"2023-04-15T02:03:51.830Z","2023-04-15T02:04:56.763Z",TRUE,FALSE,FALSE,TRUE,14,1,3,1,545361,"Mike Trout","/api/v1/people/545361","R","Right",445276,"Kenley Jansen","/api/v1/people/445276","R","Right","vs_RHP","vs_RHB","Empty",NA,"Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels","Boston Red Sox",NA,NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",95.8,87.8,14,0.9,0.3932,6.9005,30.8004,-10.6081,2.3364,10.969,1.0928,2.5635,6.7716,-139.2323,-7.7702,-1.6731,50.0067,6.0899,4.5951,26.4,2.4,24,2658,183,NA,NA,NA,NA,NA,NA,TRUE,-11.4,18.5,-5.6,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
