"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.disengagementNum","isBaseRunningPlay","isSubstitution","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","reviewDetails.isOverturned","reviewDetails.inProgress","reviewDetails.reviewType","reviewDetails.challengeTeamId"
718235,"2023-05-10",1,"2023-05-10T22:46:42.259Z","2023-05-10T22:46:50.385Z",TRUE,"pitch","cbbec226-2496-4eef-9af0-12427eed15ae",2,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,1,2,NA,NA,3.32,1.62,NA,93.36,184.82,"ground_ball","medium","6",110.92,157.84,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Groundout","field_out","Gio Urshela grounds out, shortstop Jeremy Pena to first baseman Yainer Diaz.",0,5,4,72,"bottom",9,"2023-05-10T22:46:08.757Z","2023-05-10T22:46:50.385Z",TRUE,FALSE,FALSE,TRUE,0,0,1,3,570482,"Gio Urshela","/api/v1/people/570482","R","Right",519151,"Ryan Pressly","/api/v1/people/519151","R","Right","vs_RHP","vs_RHB","Empty",NA,"Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels","Houston Astros","true",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",91.3,84.3,9,2,0.4112,6.3135,27.1969,-29.168,3.2818,1.6744,0.6203,1.9984,0.9799,-132.951,-4.3349,-0.1792,50.0057,5.7551,5.9048,12,7.2,24,2878,153,74.2,-32,4,NA,NA,NA,TRUE,-30.2,2.4,-6.1,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718235,"2023-05-10",0,"2023-05-10T22:46:18.529Z","2023-05-10T22:46:23.463Z",TRUE,"pitch","489abd80-7fca-4d89-9755-fb7d7239c296",1,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,1,2,NA,NA,3.32,1.62,NA,98.28,162.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Groundout","field_out","Gio Urshela grounds out, shortstop Jeremy Pena to first baseman Yainer Diaz.",0,5,4,72,"bottom",9,"2023-05-10T22:46:08.757Z","2023-05-10T22:46:50.385Z",TRUE,FALSE,FALSE,TRUE,0,0,1,3,570482,"Gio Urshela","/api/v1/people/570482","R","Right",519151,"Ryan Pressly","/api/v1/people/519151","R","Right","vs_RHP","vs_RHB","Empty",NA,"Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels","Houston Astros","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",90.2,83.1,3,2,0.4163,6.2983,26.8781,-29.9323,3.4344,1.2746,0.4911,2.8341,0.1803,-131.387,-2.1471,-0.0247,50.0015,5.8783,6.0254,10.8,7.2,24,2979,111,NA,NA,NA,NA,NA,NA,FALSE,-31.4,2,-6.2,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718235,"2023-05-10",0,"2023-05-10T22:45:34.551Z","2023-05-10T22:45:45.552Z",TRUE,"pitch","dfde608b-4315-4c4d-9e49-01e70b69613b",1,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,0,1,NA,NA,3.22,1.56,NA,91.24,168.15,"popup","medium","6",98.39,129.95,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Pop Out","field_out","Matt Thaiss pops out to shortstop Jeremy Pena on the infield fly rule.",0,5,4,71,"bottom",9,"2023-05-10T22:45:23.738Z","2023-05-10T22:45:45.552Z",TRUE,FALSE,FALSE,TRUE,0,0,0,2,642136,"Matt Thaiss","/api/v1/people/642136","L","Left",519151,"Ryan Pressly","/api/v1/people/519151","R","Right","vs_RHP","vs_LHB","RISP",NA,"Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels","Houston Astros","true",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",90,82.8,6,2,0.4176,6.3357,27.6429,-31.4294,4.5395,0.4251,0.6759,2.6159,0.6813,-131.1524,-2.2977,-0.177,50.0022,5.8466,7.9097,14.4,7.2,24,2848,147,65.7,47,190,NA,NA,NA,TRUE,-33.1,0.5,-8.4,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,592669,"Hunter Renfroe","/api/v1/people/592669",NA,NA,NA,543685,"Anthony Rendon","/api/v1/people/543685",NA,NA,NA,NA
718235,"2023-05-10",7,"2023-05-10T22:45:02.267Z","2023-05-10T22:45:07.285Z",TRUE,"pitch","cfc80f9e-1283-43d6-a1bb-11136b53486a",7,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",3,3,0,NA,NA,3.53,1.72,NA,88.39,184.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Strikeout","strikeout","Brandon Drury strikes out swinging.",0,5,4,70,"bottom",9,"2023-05-10T22:42:18.085Z","2023-05-10T22:45:07.285Z",TRUE,FALSE,FALSE,TRUE,14,3,3,1,592273,"Brandon Drury","/api/v1/people/592273","R","Right",519151,"Ryan Pressly","/api/v1/people/519151","R","Right","vs_RHP","vs_RHB","RISP",NA,"Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels","Houston Astros",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",90.8,83.8,9,2,0.4137,6.3092,27.4285,-33.1436,3.3591,-0.5502,0.7506,1.9971,0.8052,-132.2622,-3.6607,0.0061,50.0005,5.822,5.9672,10.8,8.4,24,2763,22,NA,NA,NA,NA,NA,NA,TRUE,-34.6,-1.6,-6.2,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,592669,"Hunter Renfroe","/api/v1/people/592669",NA,NA,NA,543685,"Anthony Rendon","/api/v1/people/543685",NA,NA,NA,NA
718235,"2023-05-10",6,"2023-05-10T22:44:15.644Z","2023-05-10T22:44:21.053Z",TRUE,"pitch","230244e0-db4d-44f3-8b0d-630e0ef83bfa",6,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",3,2,0,NA,NA,3.53,1.72,NA,102.75,175.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Strikeout","strikeout","Brandon Drury strikes out swinging.",0,5,4,70,"bottom",9,"2023-05-10T22:42:18.085Z","2023-05-10T22:45:07.285Z",TRUE,FALSE,FALSE,TRUE,14,3,3,1,592273,"Brandon Drury","/api/v1/people/592273","R","Right",519151,"Ryan Pressly","/api/v1/people/519151","R","Right","vs_RHP","vs_RHB","RISP",NA,"Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels","Houston Astros",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",89.4,82,6,2,0.4211,6.4552,27.8532,-31.0129,1.0141,0.6746,0.3739,2.3351,0.826,-130.1651,-3.0052,-0.0795,50.0011,5.8579,1.736,3.6,7.2,24,2917,72,NA,NA,NA,NA,NA,NA,FALSE,-33.5,0.7,-2,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718235,"2023-05-10",5,"2023-05-10T22:43:45.258Z","2023-05-10T22:43:49.622Z",TRUE,"pitch","bd018ae2-bb55-4583-82bf-61cb2bd8c1d5",5,"Ball In Dirt",NA,NA,NA,NA,FALSE,"*B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"*B","Ball In Dirt",3,2,0,NA,NA,3.4819,1.6719,NA,45.08,231.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Strikeout","strikeout","Brandon Drury strikes out swinging.",0,5,4,70,"bottom",9,"2023-05-10T22:42:18.085Z","2023-05-10T22:45:07.285Z",TRUE,FALSE,FALSE,TRUE,14,3,3,1,592273,"Brandon Drury","/api/v1/people/592273","R","Right",519151,"Ryan Pressly","/api/v1/people/519151","R","Right","vs_RHP","vs_RHB","RISP",NA,"Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels","Houston Astros",NA,NA,"rgba(0, 34, 255, 1.0)","CU","Curveball",83.9,76.8,14,2,0.4519,6.2864,27.9589,-41.8222,6.4062,-6.5149,1.8869,0.2759,2.7489,-122.0387,-4.4045,-0.0922,50.0002,5.7734,9.4914,13.2,12,24,3312,18,NA,NA,NA,NA,NA,NA,FALSE,-52.1,-12.6,-12.4,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718235,"2023-05-10",4,"2023-05-10T22:43:20.394Z","2023-05-10T22:43:24.437Z",TRUE,"pitch","60d5ba7b-178d-42e3-acde-f460aefcc05a",4,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",2,2,0,NA,NA,3.53,1.72,NA,98.58,179.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Strikeout","strikeout","Brandon Drury strikes out swinging.",0,5,4,70,"bottom",9,"2023-05-10T22:42:18.085Z","2023-05-10T22:45:07.285Z",TRUE,FALSE,FALSE,TRUE,14,3,3,1,592273,"Brandon Drury","/api/v1/people/592273","R","Right",519151,"Ryan Pressly","/api/v1/people/519151","R","Right","vs_RHP","vs_RHB","RISP",NA,"Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels","Houston Astros",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",89.9,82.5,9,2,0.4184,6.4243,28.1173,-28.4297,2.0854,2.1555,0.4832,2.1819,0.6971,-131.0059,-3.8255,-0.0574,50.0005,5.79,3.6179,7.2,7.2,24,2754,100,NA,NA,NA,NA,NA,NA,FALSE,-30.5,3.2,-4,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718235,"2023-05-10",3,"2023-05-10T22:43:01.944Z","2023-05-10T22:43:06.141Z",TRUE,"pitch","1825a8aa-ca05-48cc-969f-8db6f5bf6071",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,1,0,NA,NA,3.5962,1.7175,NA,51.56,169.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Strikeout","strikeout","Brandon Drury strikes out swinging.",0,5,4,70,"bottom",9,"2023-05-10T22:42:18.085Z","2023-05-10T22:45:07.285Z",TRUE,FALSE,FALSE,TRUE,14,3,3,1,592273,"Brandon Drury","/api/v1/people/592273","R","Right",519151,"Ryan Pressly","/api/v1/people/519151","R","Right","vs_RHP","vs_RHB","RISP",NA,"Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels","Houston Astros",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.2,86.3,14,2,0.3973,6.5512,34.0195,-13.7435,0.6582,9.5991,1.7167,2.5625,4.0333,-138.4414,-6.0354,0.1489,50.0059,5.7093,1.2629,8.4,3.6,24,2556,185,NA,NA,NA,NA,NA,NA,FALSE,-14.3,16.2,-2.2,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718235,"2023-05-10",2,"2023-05-10T22:42:37.984Z","2023-05-10T22:42:43.074Z",TRUE,"pitch","c7fc3602-fea1-4aa2-90b4-e09a6e220ec9",2,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,1,0,NA,NA,3.53,1.72,NA,103.6,170.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Strikeout","strikeout","Brandon Drury strikes out swinging.",0,5,4,70,"bottom",9,"2023-05-10T22:42:18.085Z","2023-05-10T22:45:07.285Z",TRUE,FALSE,FALSE,TRUE,14,3,3,1,592273,"Brandon Drury","/api/v1/people/592273","R","Right",519151,"Ryan Pressly","/api/v1/people/519151","R","Right","vs_RHP","vs_RHB","RISP",NA,"Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels","Houston Astros",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.2,86,6,2,0.3976,6.6223,34.5458,-10.1861,-2.9186,11.4737,0.3515,2.535,1.9985,-138.4249,-6.5066,-0.0053,50.0005,5.6178,-5.5917,22.8,2.4,24,2675,193,NA,NA,NA,NA,NA,NA,FALSE,-11.2,19.4,4.8,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718235,"2023-05-10",1,"2023-05-10T22:42:20.425Z","2023-05-10T22:42:25.909Z",TRUE,"pitch","9da1a58e-5933-4993-811e-018d5744c6ca",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,0,NA,NA,3.5733,1.7405,NA,70.53,186.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Strikeout","strikeout","Brandon Drury strikes out swinging.",0,5,4,70,"bottom",9,"2023-05-10T22:42:18.085Z","2023-05-10T22:45:07.285Z",TRUE,FALSE,FALSE,TRUE,14,3,3,1,592273,"Brandon Drury","/api/v1/people/592273","R","Right",519151,"Ryan Pressly","/api/v1/people/519151","R","Right","vs_RHP","vs_RHB","RISP",NA,"Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels","Houston Astros",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96.3,87.2,14,2,0.3931,6.5513,34.565,-10.3537,-3.5788,11.1262,1.2191,1.9205,4.5629,-139.8856,-8.3342,0.0239,50.0069,5.6362,-7.0218,25.2,2.4,24,2706,197,NA,NA,NA,NA,NA,NA,FALSE,-11.4,18.4,5.4,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
