"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.disengagementNum","isSubstitution","isBaseRunningPlay","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link"
717025,"2023-08-12",0,"2023-08-12T22:13:48.781Z","2023-08-12T22:13:56.308Z",TRUE,"pitch","ce9f2b18-7530-4593-9396-c76fab6fe83f",1,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,0,2,NA,NA,3.23,1.47,NA,134.13,154.26,"ground_ball","medium","5",107.32,165.07,NA,NA,NA,NA,NA,NA,NA,NA,"64","atBat","Groundout","field_out","Isiah Kiner-Falefa grounds out, third baseman Jake Burger to first baseman Yuli Gurriel.",0,1,3,64,"top",9,"2023-08-12T22:13:28.628Z","2023-08-12T22:13:56.308Z",TRUE,FALSE,FALSE,TRUE,0,0,0,3,643396,"Isiah Kiner-Falefa","/api/v1/people/643396","R","Right",645261,"Sandy Alcantara","/api/v1/people/645261","R","Right","vs_RHP","vs_RHB","Empty",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees","Miami Marlins","true",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",98.8,89.8,1,0.91,0.3822,6.068,35.3101,-23.8614,-11.2642,4.0037,-0.4494,3.1305,7.3475,-143.6686,-3.2263,-1.5852,50.0033,5.7621,-23.3946,40.8,6,24,2224,233,60.3,-48,4,NA,NA,NA,TRUE,-21.5,6.7,18.8,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA
717025,"2023-08-12",5,"2023-08-12T22:13:10.160Z","2023-08-12T22:13:23.555Z",TRUE,"pitch","8d735f04-6631-4d0a-9dbf-9e58bdce4d86",5,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",2,2,1,NA,NA,3.09,1.44,NA,129.89,156.87,"fly_ball","medium","7",33.35,97.41,NA,NA,NA,NA,NA,NA,NA,NA,"63","atBat","Flyout","field_out","Billy McKinney flies out to left fielder Bryan De La Cruz.",0,1,3,63,"top",9,"2023-08-12T22:11:27.370Z","2023-08-12T22:13:23.555Z",TRUE,FALSE,FALSE,TRUE,0,2,2,2,641856,"Billy McKinney","/api/v1/people/641856","L","Left",645261,"Sandy Alcantara","/api/v1/people/645261","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees","Miami Marlins",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",98.7,89.6,1,0.91,0.3828,6.0627,35.5142,-16.8994,-7.2925,7.379,-0.3382,3.0337,6.3488,-143.4878,-4.7347,-1.6402,50.0023,5.77,-15.0927,37.2,4.8,24,2130,232,94.8,35,339,NA,NA,NA,TRUE,-15.8,12.5,11.8,NA,NA,NA,TRUE,TRUE,650402,"Gleyber Torres","/api/v1/people/650402",NA,NA,NA
717025,"2023-08-12",4,"2023-08-12T22:12:48.663Z","2023-08-12T22:12:52.455Z",TRUE,"pitch","ae1d83db-39e5-4b56-a9a4-bb5bfecf1436",4,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,2,1,NA,NA,3.1169,1.4758,NA,112.37,143.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"63","atBat","Flyout","field_out","Billy McKinney flies out to left fielder Bryan De La Cruz.",0,1,3,63,"top",9,"2023-08-12T22:11:27.370Z","2023-08-12T22:13:23.555Z",TRUE,FALSE,FALSE,TRUE,0,2,2,2,641856,"Billy McKinney","/api/v1/people/641856","L","Left",645261,"Sandy Alcantara","/api/v1/people/645261","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees","Miami Marlins",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",98.5,89.2,12,0.91,0.3838,7.3656,35.7378,-15.6715,-6.709,8.0147,0.1215,3.5342,7.1541,-143.2002,-3.8047,-1.548,50.0022,5.8725,-13.8132,36,3.6,24,2125,231,NA,NA,NA,NA,NA,NA,FALSE,-14.6,13.8,10.6,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA
717025,"2023-08-12",2,"2023-08-12T22:12:08.612Z","2023-08-12T22:12:12.501Z",TRUE,"pitch","ba7ccf8f-2672-4d3c-a8ca-8f4afa0c4323",3,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,2,1,NA,NA,3.09,1.44,NA,125.21,181.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"63","atBat","Flyout","field_out","Billy McKinney flies out to left fielder Bryan De La Cruz.",0,1,3,63,"top",9,"2023-08-12T22:11:27.370Z","2023-08-12T22:13:23.555Z",TRUE,FALSE,FALSE,TRUE,0,2,2,2,641856,"Billy McKinney","/api/v1/people/641856","L","Left",645261,"Sandy Alcantara","/api/v1/people/645261","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees","Miami Marlins",NA,NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",92.5,84.3,5,0.87,0.4084,5.9474,31.1788,-28.1614,-10.5611,2.2088,-0.2155,2.1178,7.4468,-134.4846,-4.0504,-1.6586,50.0043,5.658,-19.2039,31.2,7.2,24,2152,243,NA,NA,NA,NA,NA,NA,FALSE,-28.9,3.2,17.4,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA
717025,"2023-08-12",1,"2023-08-12T22:11:50.537Z","2023-08-12T22:11:54.408Z",TRUE,"pitch","85f3e187-acf4-4f67-addc-512f0923327a",2,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",1,1,1,NA,NA,3.0764,1.4758,NA,89.46,173.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"63","atBat","Flyout","field_out","Billy McKinney flies out to left fielder Bryan De La Cruz.",0,1,3,63,"top",9,"2023-08-12T22:11:27.370Z","2023-08-12T22:13:23.555Z",TRUE,FALSE,FALSE,TRUE,0,2,2,2,641856,"Billy McKinney","/api/v1/people/641856","L","Left",645261,"Sandy Alcantara","/api/v1/people/645261","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees","Miami Marlins",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",98.9,89.2,6,2,0.3838,7.1841,37.1059,-13.247,-9.5095,9.2037,0.7224,2.3999,9.8637,-143.4131,-7.0155,-1.5473,50.003,5.7262,-19.557,48,4.8,24,2429,230,NA,NA,NA,NA,NA,NA,FALSE,-13.3,15.1,14.9,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA
717025,"2023-08-12",0,"2023-08-12T22:11:32.271Z","2023-08-12T22:11:35.908Z",TRUE,"pitch","76fabcfb-c804-46cf-a40d-e60c8201c028",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,1,NA,NA,3.1372,1.4758,NA,164.08,167.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"63","atBat","Flyout","field_out","Billy McKinney flies out to left fielder Bryan De La Cruz.",0,1,3,63,"top",9,"2023-08-12T22:11:27.370Z","2023-08-12T22:13:23.555Z",TRUE,FALSE,FALSE,TRUE,0,2,2,2,641856,"Billy McKinney","/api/v1/people/641856","L","Left",645261,"Sandy Alcantara","/api/v1/people/645261","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees","Miami Marlins",NA,NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",91.5,83.1,11,0.9,0.4133,5.8404,31.3317,-29.0512,-10.2813,1.7639,-1.2351,2.6467,5.1475,-133.0668,-2.3978,-1.8696,50.0066,5.6867,-18.2493,30,8.4,24,1995,244,NA,NA,NA,NA,NA,NA,FALSE,-30.1,2.9,17.3,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA
717025,"2023-08-12",3,"2023-08-12T22:12:29.393Z","2023-08-12T22:12:48.663Z",FALSE,"action",NA,NA,"Batter Timeout.","Batter Timeout",1,3,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,1,2,1,641856,"/api/v1/people/641856",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"batter_timeout",NA,NA,NA,NA,NA,NA,"63","atBat","Flyout","field_out","Billy McKinney flies out to left fielder Bryan De La Cruz.",0,1,3,63,"top",9,"2023-08-12T22:11:27.370Z","2023-08-12T22:13:23.555Z",TRUE,FALSE,FALSE,TRUE,0,2,2,2,641856,"Billy McKinney","/api/v1/people/641856","L","Left",645261,"Sandy Alcantara","/api/v1/people/645261","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees","Miami Marlins",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA
717025,"2023-08-12",2,"2023-08-12T22:11:02.451Z","2023-08-12T22:11:05.573Z",TRUE,"pitch","3a758dfd-53a3-46bf-8a32-397a4958f401",3,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,3,0,NA,NA,3.61,1.76,NA,136.43,203.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"62","atBat","Strikeout","strikeout","Giancarlo Stanton strikes out swinging.",0,1,3,62,"top",9,"2023-08-12T22:10:20.070Z","2023-08-12T22:11:05.573Z",TRUE,FALSE,FALSE,TRUE,14,0,3,1,519317,"Giancarlo Stanton","/api/v1/people/519317","R","Right",645261,"Sandy Alcantara","/api/v1/people/645261","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees","Miami Marlins","true",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",98.9,89.9,13,0.92,0.3827,6.4442,36.5892,-27.0683,-10.5744,2.4666,-0.5098,1.311,7.3197,-143.7104,-7.2943,-1.7299,50.0021,5.5897,-21.8836,34.8,7.2,24,2368,229,NA,NA,NA,NA,NA,NA,TRUE,-25.3,3,17.5,NA,NA,NA,TRUE,TRUE,650402,"Gleyber Torres","/api/v1/people/650402",NA,NA,NA
717025,"2023-08-12",1,"2023-08-12T22:10:46.182Z","2023-08-12T22:10:49.849Z",TRUE,"pitch","16dd16c4-1eae-41d2-8996-760ce0c34c89",2,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,2,0,NA,NA,3.5344,1.7565,NA,124.41,181.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"62","atBat","Strikeout","strikeout","Giancarlo Stanton strikes out swinging.",0,1,3,62,"top",9,"2023-08-12T22:10:20.070Z","2023-08-12T22:11:05.573Z",TRUE,FALSE,FALSE,TRUE,14,0,3,1,519317,"Giancarlo Stanton","/api/v1/people/519317","R","Right",645261,"Sandy Alcantara","/api/v1/people/645261","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees","Miami Marlins","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",98.2,89.4,8,0.84,0.3847,6.561,34.2735,-19.8441,-10.2141,6.0141,-0.1945,2.1228,8.1208,-142.6403,-6.345,-1.7582,50.0051,5.6369,-20.9498,42,6,24,2420,229,NA,NA,NA,NA,NA,NA,FALSE,-18.8,9.7,16.8,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA
717025,"2023-08-12",0,"2023-08-12T22:10:30.350Z","2023-08-12T22:10:34.106Z",TRUE,"pitch","7a9bcc66-a322-4bd4-96f5-131bab7aa1e0",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,0,NA,NA,3.5948,1.7155,NA,108.63,191.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"62","atBat","Strikeout","strikeout","Giancarlo Stanton strikes out swinging.",0,1,3,62,"top",9,"2023-08-12T22:10:20.070Z","2023-08-12T22:11:05.573Z",TRUE,FALSE,FALSE,TRUE,14,0,3,1,519317,"Giancarlo Stanton","/api/v1/people/519317","R","Right",645261,"Sandy Alcantara","/api/v1/people/645261","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees","Miami Marlins","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",98.5,89.4,8,0.91,0.3846,6.6355,35.7438,-22.0967,-11.3288,4.9151,0.2197,1.7557,9.2306,-142.9298,-6.973,-1.5946,50.0026,5.6346,-23.2258,42,6,24,2452,232,NA,NA,NA,NA,NA,NA,FALSE,-21.1,7.4,18.5,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA
