"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isBaseRunningPlay","details.disengagementNum","reviewDetails.isOverturned","reviewDetails.inProgress","reviewDetails.reviewType","reviewDetails.challengeTeamId","isSubstitution","replacedPlayer.id","replacedPlayer.link","result.isOut","about.isTopInning","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link"
717506,"2023-07-04",1,"2023-07-04T04:43:16.350Z","2023-07-04T04:43:25.568Z",TRUE,"pitch","0aade028-e670-4d52-b992-15663b64adc1",2,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,1,2,NA,NA,3.04,1.46,NA,111.02,172.45,"fly_ball","medium","7",66,121.18,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Flyout","field_out","Bryan Reynolds flies out to left fielder David Peralta.",0,2,5,73,"top",9,"2023-07-04T04:42:47.126Z","2023-07-04T04:43:25.568Z",TRUE,FALSE,FALSE,TRUE,0,0,1,3,668804,"Bryan Reynolds","/api/v1/people/668804","L","Left",623465,"Evan Phillips","/api/v1/people/623465","R","Right","vs_RHP","vs_LHB","Empty",NA,"Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Pittsburgh Pirates","Los Angeles Dodgers","true",NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",85.4,78.4,5,0.9,0.4406,6.7874,25.4132,-30.0881,7.605,1.3336,0.1569,2.4566,3.0311,-124.3924,-0.4774,-2.066,50.0018,5.1497,11.894,22.8,8.4,24,2517,61,89.3,52,246,NA,NA,NA,TRUE,-34.9,2.5,-14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717506,"2023-07-04",0,"2023-07-04T04:43:01.874Z","2023-07-04T04:43:05.343Z",TRUE,"pitch","930beb47-0989-402e-b782-7550e1882951",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,2,NA,NA,3.0495,1.5241,NA,110.36,183.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Flyout","field_out","Bryan Reynolds flies out to left fielder David Peralta.",0,2,5,73,"top",9,"2023-07-04T04:42:47.126Z","2023-07-04T04:43:25.568Z",TRUE,FALSE,FALSE,TRUE,0,0,1,3,668804,"Bryan Reynolds","/api/v1/people/668804","L","Left",623465,"Evan Phillips","/api/v1/people/623465","R","Right","vs_RHP","vs_LHB","Empty",NA,"Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Pittsburgh Pirates","Los Angeles Dodgers","false",NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",86.1,79.4,5,0.89,0.4364,6.8843,25.0416,-30.5345,6.4544,1.0313,0.1743,2.0499,3.5383,-125.4432,-1.3415,-2.0926,50.0055,5.0776,10.3025,19.2,8.4,24,2540,57,NA,NA,NA,NA,NA,NA,FALSE,-34.9,1.8,-12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717506,"2023-07-04",4,"2023-07-04T04:42:17.516Z","2023-07-04T04:42:25.453Z",TRUE,"pitch","0bfa2151-2b1b-411a-95c8-900edfe425c6",4,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,2,0,NA,NA,3.43,1.62,NA,108.47,174.66,"ground_ball","medium","4",151.36,157.18,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Grounded Into DP","grounded_into_double_play","Josh Palacios grounds into a double play, second baseman Miguel Vargas to shortstop Miguel Rojas to first baseman Freddie Freeman. Connor Joe out at 2nd. Josh Palacios out at 1st.",0,2,5,72,"top",9,"2023-07-04T04:41:18.559Z","2023-07-04T04:42:25.453Z",TRUE,FALSE,FALSE,TRUE,24,1,2,2,641943,"Joshua Palacios","/api/v1/people/641943","L","Left",623465,"Evan Phillips","/api/v1/people/623465","R","Right","vs_RHP","vs_LHB","Empty",NA,"Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Pittsburgh Pirates","Los Angeles Dodgers",NA,NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",94.1,86.7,5,0.91,0.3989,6.7812,28.4337,-22.9011,-0.8817,4.8483,0.2239,2.3748,6.1843,-136.9801,-3.188,-1.9423,50.0038,5.108,-1.6878,1.2,4.8,24,2521,213,81.5,2,52,NA,NA,NA,TRUE,-22.3,8.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717506,"2023-07-04",3,"2023-07-04T04:41:58.118Z","2023-07-04T04:42:02.557Z",TRUE,"pitch","545c8e02-6d7a-4254-8d5b-258affcc9530",3,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,2,0,NA,NA,3.43,1.62,NA,130.43,139.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Grounded Into DP","grounded_into_double_play","Josh Palacios grounds into a double play, second baseman Miguel Vargas to shortstop Miguel Rojas to first baseman Freddie Freeman. Connor Joe out at 2nd. Josh Palacios out at 1st.",0,2,5,72,"top",9,"2023-07-04T04:41:18.559Z","2023-07-04T04:42:25.453Z",TRUE,FALSE,FALSE,TRUE,24,1,2,2,641943,"Joshua Palacios","/api/v1/people/641943","L","Left",623465,"Evan Phillips","/api/v1/people/623465","R","Right","vs_RHP","vs_LHB","Empty",NA,"Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Pittsburgh Pirates","Los Angeles Dodgers",NA,NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",91.9,84.8,11,0.9,0.4076,6.4822,26.3367,-23.1888,0.5475,4.9023,-0.3524,3.6687,4.0351,-133.9066,-0.0261,-1.9441,50.0037,5.3245,1.0034,4.8,4.8,24,2466,205,NA,NA,NA,NA,NA,NA,FALSE,-22.9,9.1,-1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717506,"2023-07-04",2,"2023-07-04T04:41:40.081Z","2023-07-04T04:41:44.057Z",TRUE,"pitch","09824fef-a039-4fff-a11c-5c806703d9b3",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,0,NA,NA,3.6503,1.7741,NA,164.03,137.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Grounded Into DP","grounded_into_double_play","Josh Palacios grounds into a double play, second baseman Miguel Vargas to shortstop Miguel Rojas to first baseman Freddie Freeman. Connor Joe out at 2nd. Josh Palacios out at 1st.",0,2,5,72,"top",9,"2023-07-04T04:41:18.559Z","2023-07-04T04:42:25.453Z",TRUE,FALSE,FALSE,TRUE,24,1,2,2,641943,"Joshua Palacios","/api/v1/people/641943","L","Left",623465,"Evan Phillips","/api/v1/people/623465","R","Right","vs_RHP","vs_LHB","Empty",NA,"Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Pittsburgh Pirates","Los Angeles Dodgers",NA,NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",84.5,77.7,11,0.9,0.4442,6.6352,23.7727,-29.323,9.6792,1.8469,-1.2339,3.7559,-0.4908,-123.1584,2.426,-2.2902,50.0006,5.2333,14.9101,27.6,8.4,24,2496,63,NA,NA,NA,NA,NA,NA,FALSE,-34,4.2,-17.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717506,"2023-07-04",1,"2023-07-04T04:41:20.777Z","2023-07-04T04:41:24.384Z",TRUE,"pitch","b5d0ba95-adb7-4de5-aa85-5fec5f27f1b9",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,0,NA,NA,3.4166,1.6207,NA,115.01,157.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Grounded Into DP","grounded_into_double_play","Josh Palacios grounds into a double play, second baseman Miguel Vargas to shortstop Miguel Rojas to first baseman Freddie Freeman. Connor Joe out at 2nd. Josh Palacios out at 1st.",0,2,5,72,"top",9,"2023-07-04T04:41:18.559Z","2023-07-04T04:42:25.453Z",TRUE,FALSE,FALSE,TRUE,24,1,2,2,641943,"Joshua Palacios","/api/v1/people/641943","L","Left",623465,"Evan Phillips","/api/v1/people/623465","R","Right","vs_RHP","vs_LHB","Empty",NA,"Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Pittsburgh Pirates","Los Angeles Dodgers",NA,NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",91.9,84.6,2,0.89,0.4083,6.5614,27.6285,-25.3096,0.0445,3.7635,0.0521,2.9947,5.3992,-133.8927,-1.1575,-1.9923,50.0031,5.2358,0.0808,2.4,6,24,2446,195,NA,NA,NA,NA,NA,NA,FALSE,-25.4,6.8,-1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717506,"2023-07-04",0,"2023-07-04T04:41:01.026Z","2023-07-04T04:41:20.777Z",FALSE,"action",NA,NA,"Injury Delay.","Game Advisory",2,5,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,641943,"/api/v1/people/641943",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"game_advisory",NA,NA,NA,NA,NA,NA,"72","atBat","Grounded Into DP","grounded_into_double_play","Josh Palacios grounds into a double play, second baseman Miguel Vargas to shortstop Miguel Rojas to first baseman Freddie Freeman. Connor Joe out at 2nd. Josh Palacios out at 1st.",0,2,5,72,"top",9,"2023-07-04T04:41:18.559Z","2023-07-04T04:42:25.453Z",TRUE,FALSE,FALSE,TRUE,24,1,2,2,641943,"Joshua Palacios","/api/v1/people/641943","L","Left",623465,"Evan Phillips","/api/v1/people/623465","R","Right","vs_RHP","vs_LHB","Empty",NA,"Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Pittsburgh Pirates","Los Angeles Dodgers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717506,"2023-07-04",10,"2023-07-04T04:40:23.069Z","2023-07-04T04:40:29.923Z",TRUE,"pitch","2a2f0d9b-96cf-4336-a80e-953cbf4f602c",8,"Hit By Pitch",NA,NA,NA,NA,FALSE,"H","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"H","Hit By Pitch",4,2,0,NA,NA,3.14,1.45,NA,164.06,148.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Hit By Pitch","hit_by_pitch","Connor Joe hit by pitch.",0,2,5,71,"top",9,"2023-07-04T04:38:09.231Z","2023-07-04T04:40:29.923Z",TRUE,FALSE,FALSE,FALSE,11,4,2,0,656582,"Connor Joe","/api/v1/people/656582","R","Right",623465,"Evan Phillips","/api/v1/people/623465","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Pittsburgh Pirates","Los Angeles Dodgers",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96.6,88.7,11,0.9,0.3884,6.7735,30.6185,-15.5491,-5.1345,8.2465,-1.2345,3.3342,3.5854,-140.7784,-2.4024,-1.8546,50.0026,5.1997,-10.3521,31.2,3.6,24,2396,217,NA,NA,NA,NA,NA,NA,FALSE,-14.4,14.6,8.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,656582,"Connor Joe","/api/v1/people/656582"
717506,"2023-07-04",9,"2023-07-04T04:40:02.860Z","2023-07-04T04:40:08.406Z",TRUE,"pitch","48245e35-9efa-4276-bf85-54738db9e919",7,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",3,2,0,NA,NA,3.14,1.45,NA,142.02,153.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Hit By Pitch","hit_by_pitch","Connor Joe hit by pitch.",0,2,5,71,"top",9,"2023-07-04T04:38:09.231Z","2023-07-04T04:40:29.923Z",TRUE,FALSE,FALSE,FALSE,11,4,2,0,656582,"Connor Joe","/api/v1/people/656582","R","Right",623465,"Evan Phillips","/api/v1/people/623465","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Pittsburgh Pirates","Los Angeles Dodgers",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96.4,88.2,1,0.91,0.39,6.4357,31.5633,-16.9079,-6.2103,7.6436,-0.6565,3.1672,5.43,-140.3937,-2.6041,-1.8081,50.0062,5.2064,-12.4091,32.4,4.8,24,2402,220,NA,NA,NA,NA,NA,NA,FALSE,-15.8,13.4,10.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717506,"2023-07-04",8,"2023-07-04T04:39:43.581Z","2023-07-04T04:39:47.549Z",TRUE,"pitch","b3c566b3-01e4-4275-b512-8906b793b389",6,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",3,2,0,NA,NA,3.14,1.45,NA,117.9,172.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Hit By Pitch","hit_by_pitch","Connor Joe hit by pitch.",0,2,5,71,"top",9,"2023-07-04T04:38:09.231Z","2023-07-04T04:40:29.923Z",TRUE,FALSE,FALSE,FALSE,11,4,2,0,656582,"Connor Joe","/api/v1/people/656582","R","Right",623465,"Evan Phillips","/api/v1/people/623465","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Pittsburgh Pirates","Los Angeles Dodgers",NA,NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",85.2,77.6,5,0.9,0.4435,6.9193,27.2686,-29.9357,9.7206,1.4499,-0.0237,2.4507,2.2507,-124.0169,-0.3641,-2.2075,50.0013,5.1194,14.9773,27.6,8.4,24,2639,57,NA,NA,NA,NA,NA,NA,FALSE,-35.2,2.8,-18.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
