"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.disengagementNum","isBaseRunningPlay","isSubstitution","replacedPlayer.id","replacedPlayer.link","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link"
717860,"2023-06-07",2,"2023-06-08T00:15:02.616Z","2023-06-08T00:15:08.648Z",TRUE,"pitch","6849d477-f535-412b-8c7e-d552b1664d3c",3,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,3,2,NA,NA,3.4303,1.712,NA,129.11,147.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"62","atBat","Strikeout","strikeout","MJ Melendez called out on strikes.",0,1,6,62,"top",9,"2023-06-08T00:14:25.966Z","2023-06-08T00:15:08.648Z",TRUE,FALSE,FALSE,TRUE,14,0,3,3,669004,"MJ Melendez","/api/v1/people/669004","L","Left",640462,"A.J. Puk","/api/v1/people/640462","L","Left","vs_LHP","vs_LHB","Empty",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Miami Marlins","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.5,86.7,1,0.9,0.3961,7.179,32.4281,-16.3113,6.8028,8.2008,-0.3177,3.375,-12.1289,-138.5584,-2.355,3.2428,50.005,5.3324,13.1634,31.2,3.6,24,2147,126,NA,NA,NA,NA,NA,NA,TRUE,-15.8,14.5,-9.6,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA
717860,"2023-06-07",1,"2023-06-08T00:14:45.054Z","2023-06-08T00:14:48.109Z",TRUE,"pitch","2df76997-51da-425f-bdb0-b408a48fa09e",2,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,2,2,NA,NA,3.41,1.69,NA,91.4,136.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"62","atBat","Strikeout","strikeout","MJ Melendez called out on strikes.",0,1,6,62,"top",9,"2023-06-08T00:14:25.966Z","2023-06-08T00:15:08.648Z",TRUE,FALSE,FALSE,TRUE,14,0,3,3,669004,"MJ Melendez","/api/v1/people/669004","L","Left",640462,"A.J. Puk","/api/v1/people/640462","L","Left","vs_LHP","vs_LHB","Empty",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Miami Marlins","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.4,86.7,12,0.9,0.3957,7.3226,32.2277,-15.1568,7.1719,8.7763,0.6716,3.7929,-9.7157,-138.6558,-1.4832,3.2961,50.0004,5.3506,13.9036,37.2,3.6,24,2176,128,NA,NA,NA,NA,NA,NA,FALSE,-14.5,15.7,-10.9,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA
717860,"2023-06-07",0,"2023-06-08T00:14:29.383Z","2023-06-08T00:14:32.540Z",TRUE,"pitch","c2c40b96-c337-4ae6-9a88-f2ddf35fa6ab",1,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,1,2,NA,NA,3.41,1.69,NA,86.75,162.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"62","atBat","Strikeout","strikeout","MJ Melendez called out on strikes.",0,1,6,62,"top",9,"2023-06-08T00:14:25.966Z","2023-06-08T00:15:08.648Z",TRUE,FALSE,FALSE,TRUE,14,0,3,3,669004,"MJ Melendez","/api/v1/people/669004","L","Left",640462,"A.J. Puk","/api/v1/people/640462","L","Left","vs_LHP","vs_LHB","Empty",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Miami Marlins","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.2,86.6,6,0.9,0.3966,7.1312,32.0667,-15.0075,6.8839,8.897,0.7936,2.8353,-9.4519,-138.3244,-3.6228,3.3673,50.0047,5.1741,13.286,34.8,3.6,24,2109,124,NA,NA,NA,NA,NA,NA,FALSE,-14.9,15.5,-10.4,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA
717860,"2023-06-07",2,"2023-06-08T00:14:02.408Z","2023-06-08T00:14:06.311Z",TRUE,"pitch","11a90ffb-4c9a-4410-a335-394316680456",3,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,3,1,NA,NA,3.57,1.72,NA,135.52,148.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"61","atBat","Strikeout","strikeout","Salvador Perez strikes out swinging.",0,1,6,61,"top",9,"2023-06-08T00:13:16.795Z","2023-06-08T00:14:06.311Z",TRUE,FALSE,FALSE,TRUE,14,0,3,2,521692,"Salvador Perez","/api/v1/people/521692","R","Right",640462,"A.J. Puk","/api/v1/people/640462","L","Left","vs_LHP","vs_RHB","RISP",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Miami Marlins","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.3,86.7,1,0.9,0.3968,7.2761,31.6403,-18.2471,6.2452,7.2231,-0.4858,3.3578,-12.6179,-138.1801,-1.8908,3.3344,50.0031,5.2808,12.0434,26.4,4.8,24,2122,126,NA,NA,NA,NA,NA,NA,TRUE,-17.5,12.8,-8.6,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,686469,"Vinnie Pasquantino","/api/v1/people/686469"
717860,"2023-06-07",1,"2023-06-08T00:13:39.807Z","2023-06-08T00:13:44.136Z",TRUE,"pitch","d9073fea-a100-40db-9a4e-140847f1031e",2,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,2,1,NA,NA,3.57,1.72,NA,116.83,166.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"61","atBat","Strikeout","strikeout","Salvador Perez strikes out swinging.",0,1,6,61,"top",9,"2023-06-08T00:13:16.795Z","2023-06-08T00:14:06.311Z",TRUE,FALSE,FALSE,TRUE,14,0,3,2,521692,"Salvador Perez","/api/v1/people/521692","R","Right",640462,"A.J. Puk","/api/v1/people/640462","L","Left","vs_LHP","vs_RHB","RISP",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Miami Marlins","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96.3,88.1,5,0.9,0.3914,7.0474,30.8526,-17.8516,7.3476,7.2194,0.0044,2.6625,-11.8332,-139.8064,-3.772,3.3328,50.0029,5.1973,14.5785,32.4,4.8,24,2276,129,NA,NA,NA,NA,NA,NA,FALSE,-17.2,12.5,-10.9,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA
717860,"2023-06-07",0,"2023-06-08T00:13:22.071Z","2023-06-08T00:13:25.087Z",TRUE,"pitch","eebacf54-fc83-4da3-90f5-74e6a63d470f",1,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,1,1,NA,NA,3.57,1.72,NA,106.62,154.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"61","atBat","Strikeout","strikeout","Salvador Perez strikes out swinging.",0,1,6,61,"top",9,"2023-06-08T00:13:16.795Z","2023-06-08T00:14:06.311Z",TRUE,FALSE,FALSE,TRUE,14,0,3,2,521692,"Salvador Perez","/api/v1/people/521692","R","Right",640462,"A.J. Puk","/api/v1/people/640462","L","Left","vs_LHP","vs_RHB","RISP",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Miami Marlins","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94.9,86.9,2,0.87,0.3969,7.1681,29.8116,-20.4327,7.8425,6.0824,0.2723,3.1245,-11.0377,-137.8662,-2.0715,3.3034,50.0051,5.2605,15.1447,31.2,4.8,24,2142,130,NA,NA,NA,NA,NA,NA,FALSE,-19.7,10.8,-12,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA
717860,"2023-06-07",2,"2023-06-08T00:12:37.351Z","2023-06-08T00:12:48.441Z",TRUE,"pitch","72732fa6-e7ce-4ebe-9ad9-7f9c01cdaa26",3,"In play, no out",NA,NA,NA,NA,FALSE,"D","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"D","In play, no out",0,2,1,NA,NA,3.51,1.66,NA,96.73,187.47,"line_drive","medium","9",215.73,103.59,NA,NA,NA,NA,NA,NA,NA,NA,"60","atBat","Double","double","Vinnie Pasquantino doubles (17) on a line drive to right fielder Jesus Sanchez.",0,1,6,60,"top",9,"2023-06-08T00:11:48.564Z","2023-06-08T00:12:48.441Z",TRUE,FALSE,FALSE,FALSE,34,0,2,1,686469,"Vinnie Pasquantino","/api/v1/people/686469","L","Left",640462,"A.J. Puk","/api/v1/people/640462","L","Left","vs_LHP","vs_LHB","RISP",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Miami Marlins","true",NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",85.3,78.7,9,0.87,0.4408,7.3513,23.7901,-25.824,-2.2631,4.0569,0.5317,1.9005,-6.7897,-124.0532,-2.6474,3.5933,50.003,5.1243,-3.5423,9.6,7.2,24,2317,266,99.8,12,212,NA,NA,NA,FALSE,-30.5,7,5.6,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,686469,"Vinnie Pasquantino","/api/v1/people/686469"
717860,"2023-06-07",1,"2023-06-08T00:12:18.003Z","2023-06-08T00:12:21.312Z",TRUE,"pitch","f6d69caa-f7be-4490-a0d2-54c8c978b220",2,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,2,1,NA,NA,3.51,1.66,NA,109.89,165.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"60","atBat","Double","double","Vinnie Pasquantino doubles (17) on a line drive to right fielder Jesus Sanchez.",0,1,6,60,"top",9,"2023-06-08T00:11:48.564Z","2023-06-08T00:12:48.441Z",TRUE,FALSE,FALSE,FALSE,34,0,2,1,686469,"Vinnie Pasquantino","/api/v1/people/686469","L","Left",640462,"A.J. Puk","/api/v1/people/640462","L","Left","vs_LHP","vs_LHB","RISP",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Miami Marlins","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.4,87,5,0.9,0.3956,7.2937,31.3592,-17.954,7.617,7.3319,0.1866,2.7252,-11.4198,-138.516,-3.6004,3.3761,50.0064,5.2445,14.7824,33.6,4.8,24,2165,127,NA,NA,NA,NA,NA,NA,FALSE,-17.5,12.6,-11.4,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA
717860,"2023-06-07",0,"2023-06-08T00:12:02.967Z","2023-06-08T00:12:06.135Z",TRUE,"pitch","6af0f9d6-132d-4e62-8526-ce75259cfb3f",1,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,1,1,NA,NA,3.51,1.66,NA,135.98,177.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"60","atBat","Double","double","Vinnie Pasquantino doubles (17) on a line drive to right fielder Jesus Sanchez.",0,1,6,60,"top",9,"2023-06-08T00:11:48.564Z","2023-06-08T00:12:48.441Z",TRUE,FALSE,FALSE,FALSE,34,0,2,1,686469,"Vinnie Pasquantino","/api/v1/people/686469","L","Left",640462,"A.J. Puk","/api/v1/people/640462","L","Left","vs_LHP","vs_LHB","RISP",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Miami Marlins","false",NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",84.3,77.1,4,0.91,0.4484,7.1593,25.2797,-23.661,-1.9343,5.6381,-0.4979,2.2538,-8.8777,-122.3968,-2.191,3.4348,50.0015,5.1969,-2.9194,10.8,7.2,24,2340,272,NA,NA,NA,NA,NA,NA,FALSE,-28.9,10,5.6,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA
717860,"2023-06-07",6,"2023-06-08T00:11:35.578Z","2023-06-08T00:11:40.492Z",TRUE,"pitch","559ce754-c17a-41d4-b159-dce739095337",5,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",1,3,0,NA,NA,3.4303,1.6094,NA,124.46,155.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"59","atBat","Strikeout","strikeout","Nick Pratto called out on strikes.",0,1,6,59,"top",9,"2023-06-08T00:10:17.707Z","2023-06-08T00:11:40.492Z",TRUE,FALSE,FALSE,TRUE,14,1,3,1,668472,"Nick Pratto","/api/v1/people/668472","L","Left",640462,"A.J. Puk","/api/v1/people/640462","L","Left","vs_LHP","vs_LHB","Empty",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Miami Marlins",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96.9,88.6,2,0.9,0.389,7.1625,31.1295,-18.2011,6.9695,6.9592,-0.1958,3.0904,-12.0482,-140.6505,-2.8181,3.233,50.0061,5.282,14.0019,31.2,4.8,24,2134,133,NA,NA,NA,NA,NA,NA,TRUE,-17,12.2,-10.2,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA
