"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.disengagementNum","isSubstitution","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","replacedPlayer.id","replacedPlayer.link","base","isBaseRunningPlay","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link"
745362,"2024-04-07",7,"2024-04-07T22:21:33.751Z","2024-04-07T22:21:38.078Z",TRUE,"pitch","abf45039-1361-4d57-a41e-2a7b4635dd16",5,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,3,2,NA,NA,3.45,1.64,NA,79.42,206.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Strikeout","strikeout","Luis Campusano strikes out swinging.",0,2,3,68,"top",9,"2024-04-07T22:19:44.943Z","2024-04-07T22:21:38.078Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,669134,"Luis Campusano","/api/v1/people/669134","R","Right",666808,"Camilo Doval","/api/v1/people/666808","R","Right","vs_RHP","vs_RHB","Empty",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres","San Francisco Giants",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",88.2,81.6,14,0.91,0.4258,6.6236,25.776,-33.3186,3.1431,-0.6808,0.9859,1.1982,4.1291,-128.4635,-4.3143,-1.0486,50.0041,5.4798,5.2709,9.6,8.4,24,2508,67,NA,NA,NA,NA,NA,NA,TRUE,-37,-1.9,-6.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745362,"2024-04-07",5,"2024-04-07T22:20:57.862Z","2024-04-07T22:21:02.079Z",TRUE,"pitch","20c06c8e-e954-47c2-8149-2cb5036d9c5c",4,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,2,2,NA,NA,3.45,1.64,NA,113.88,186.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Strikeout","strikeout","Luis Campusano strikes out swinging.",0,2,3,68,"top",9,"2024-04-07T22:19:44.943Z","2024-04-07T22:21:38.078Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,669134,"Luis Campusano","/api/v1/people/669134","R","Right",666808,"Camilo Doval","/api/v1/people/666808","R","Right","vs_RHP","vs_RHB","Empty",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres","San Francisco Giants",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",98.5,90.9,8,0.89,0.3808,6.3343,31.0626,-28.9008,-4.734,1.5619,0.0818,1.9236,5.7821,-143.4504,-4.4846,-1.3385,50.0048,5.2943,-9.9348,16.8,6,24,2366,226,NA,NA,NA,NA,NA,NA,FALSE,-25.8,2.2,7.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745362,"2024-04-07",4,"2024-04-07T22:20:36.119Z","2024-04-07T22:20:41.059Z",TRUE,"pitch","76910c45-411f-46f9-a3ea-3390bcae3b65",3,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,2,2,NA,NA,3.45,1.64,NA,119.38,164.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Strikeout","strikeout","Luis Campusano strikes out swinging.",0,2,3,68,"top",9,"2024-04-07T22:19:44.943Z","2024-04-07T22:21:38.078Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,669134,"Luis Campusano","/api/v1/people/669134","R","Right",666808,"Camilo Doval","/api/v1/people/666808","R","Right","vs_RHP","vs_RHB","Empty",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres","San Francisco Giants",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",97.5,91,5,0.89,0.3823,7.102,25.9062,-29.0532,-5.2086,1.495,-0.0623,2.751,5.3537,-142.0831,-2.0001,-1.2748,50.0031,5.2711,-10.8815,19.2,6,24,2366,240,NA,NA,NA,NA,NA,NA,FALSE,-25.7,2.5,8.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745362,"2024-04-07",2,"2024-04-07T22:20:05.833Z","2024-04-07T22:20:14.768Z",TRUE,"pitch","2230ccc7-66c8-48ce-83cf-bc2168b7aab4",2,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,1,2,NA,NA,3.45,1.64,NA,120.49,192.3,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,"68","atBat","Strikeout","strikeout","Luis Campusano strikes out swinging.",0,2,3,68,"top",9,"2024-04-07T22:19:44.943Z","2024-04-07T22:21:38.078Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,669134,"Luis Campusano","/api/v1/people/669134","R","Right",666808,"Camilo Doval","/api/v1/people/666808","R","Right","vs_RHP","vs_RHB","Empty",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres","San Francisco Giants",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",96.8,89.8,8,2,0.3865,7.1185,28.1765,-23.0193,-2.9011,4.4865,-0.0915,1.7214,4.226,-141.0217,-5.5037,-1.2236,50.0038,5.157,-5.92,12,4.8,24,2355,218,NA,NA,NA,NA,NA,NA,FALSE,-21.5,7.3,4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745362,"2024-04-07",1,"2024-04-07T22:19:47.024Z","2024-04-07T22:19:51.807Z",TRUE,"pitch","63c9f8c7-592a-4dc2-a024-38541c973e50",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,2,NA,NA,3.4443,1.5602,NA,65.76,199.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Strikeout","strikeout","Luis Campusano strikes out swinging.",0,2,3,68,"top",9,"2024-04-07T22:19:44.943Z","2024-04-07T22:21:38.078Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,669134,"Luis Campusano","/api/v1/people/669134","R","Right",666808,"Camilo Doval","/api/v1/people/666808","R","Right","vs_RHP","vs_RHB","Empty",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres","San Francisco Giants",NA,NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",98.4,91,14,0.85,0.3811,6.5115,29.5152,-18.6412,-4.0365,6.4533,1.3444,1.454,8.5166,-143.1128,-7.1271,-1.1306,50.0058,5.1217,-8.4694,19.2,3.6,24,2451,220,NA,NA,NA,NA,NA,NA,FALSE,-17.5,10.6,5.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745362,"2024-04-07",0,"2024-04-07T22:19:26.526Z","2024-04-07T22:19:47.024Z",FALSE,"action",NA,NA,"Offensive Substitution: Pinch-hitter Luis Campusano replaces Kyle Higashioka.","Offensive Substitution",2,3,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,2,669134,"/api/v1/people/669134",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"offensive_substitution",NA,"11","Pinch Hitter","Hitter","PH","901","68","atBat","Strikeout","strikeout","Luis Campusano strikes out swinging.",0,2,3,68,"top",9,"2024-04-07T22:19:44.943Z","2024-04-07T22:21:38.078Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,669134,"Luis Campusano","/api/v1/people/669134","R","Right",666808,"Camilo Doval","/api/v1/people/666808","R","Right","vs_RHP","vs_RHB","Empty",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres","San Francisco Giants",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,543309,"/api/v1/people/543309",NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745362,"2024-04-07",3,"2024-04-07T22:20:19.125Z","2024-04-07T22:20:36.119Z",FALSE,"action",NA,NA,"Jackson Merrill steals (1) 2nd base.","Stolen Base 2B",2,3,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,1,1,2,701538,"/api/v1/people/701538",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2230ccc7-66c8-48ce-83cf-bc2168b7aab4","stolen_base_2b",NA,NA,NA,NA,NA,NA,"68","atBat","Strikeout","strikeout","Luis Campusano strikes out swinging.",0,2,3,68,"top",9,"2024-04-07T22:19:44.943Z","2024-04-07T22:21:38.078Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,669134,"Luis Campusano","/api/v1/people/669134","R","Right",666808,"Camilo Doval","/api/v1/people/666808","R","Right","vs_RHP","vs_RHB","Empty",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres","San Francisco Giants",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745362,"2024-04-07",6,"2024-04-07T22:21:15.960Z","2024-04-07T22:21:33.751Z",FALSE,"action",NA,NA,"Mound Visit.","Mound Visit",2,3,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mound_visit",NA,NA,NA,NA,NA,NA,"68","atBat","Strikeout","strikeout","Luis Campusano strikes out swinging.",0,2,3,68,"top",9,"2024-04-07T22:19:44.943Z","2024-04-07T22:21:38.078Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,669134,"Luis Campusano","/api/v1/people/669134","R","Right",666808,"Camilo Doval","/api/v1/people/666808","R","Right","vs_RHP","vs_RHB","Empty",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres","San Francisco Giants",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745362,"2024-04-07",3,"2024-04-07T22:19:02.169Z","2024-04-07T22:19:11.798Z",TRUE,"pitch","0842ed04-2b41-4189-9b72-b2a34cd4faf1",4,"In play, no out",NA,NA,NA,NA,FALSE,"D","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"D","In play, no out",2,1,2,NA,NA,3.49,1.601,NA,106.09,166.54,"ground_ball","medium","9",154.34,157.3,NA,NA,NA,NA,NA,NA,NA,NA,"67","atBat","Single","single","Jackson Merrill singles on a ground ball to right fielder Austin Slater.",0,2,3,67,"top",9,"2024-04-07T22:17:52.957Z","2024-04-07T22:19:11.798Z",TRUE,FALSE,FALSE,FALSE,33,2,1,2,701538,"Jackson Merrill","/api/v1/people/701538","L","Left",666808,"Camilo Doval","/api/v1/people/666808","R","Right","vs_RHP","vs_LHB","Men_On",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres","San Francisco Giants","true",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",88.3,81.9,6,0.9,0.4239,6.425,23.9851,-32.688,1.5306,-0.3017,0.2862,2.6756,2.8947,-128.6892,-1.0544,-1.0474,50.0031,5.598,2.5952,4.8,8.4,24,2367,72,104.8,3,82,NA,NA,NA,FALSE,-35.3,-0.6,-3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,701538,"Jackson Merrill","/api/v1/people/701538",NA,NA,NA,NA,NA,NA
745362,"2024-04-07",2,"2024-04-07T22:18:46.357Z","2024-04-07T22:18:50.161Z",TRUE,"pitch","b659fac0-edcb-4168-a627-b57968932234",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,1,2,NA,NA,3.4391,1.562,NA,156.54,139.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"67","atBat","Single","single","Jackson Merrill singles on a ground ball to right fielder Austin Slater.",0,2,3,67,"top",9,"2024-04-07T22:17:52.957Z","2024-04-07T22:19:11.798Z",TRUE,FALSE,FALSE,FALSE,33,2,1,2,701538,"Jackson Merrill","/api/v1/people/701538","L","Left",666808,"Camilo Doval","/api/v1/people/666808","R","Right","vs_RHP","vs_LHB","Men_On",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres","San Francisco Giants","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",97.3,90.9,11,2,0.3824,6.0916,25.2315,-23.7828,-5.5817,4.0161,-1.0373,3.6772,2.7462,-141.9369,-0.7481,-1.2798,50.0008,5.4266,-11.6584,25.2,4.8,24,2268,213,NA,NA,NA,NA,NA,NA,FALSE,-20.9,7.3,9.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
