"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.disengagementNum","isSubstitution","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link"
718254,"2023-05-09",6,"2023-05-09T04:08:41.075Z","2023-05-09T04:08:47.557Z",TRUE,"pitch","a8917dd8-5734-4c60-8507-4c2858801ff1",7,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",2,3,2,NA,NA,3.19,1.48,NA,99.79,178.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Strikeout","strikeout","Chas McCormick strikes out swinging.",0,4,6,69,"top",9,"2023-05-09T04:06:35.069Z","2023-05-09T04:08:47.557Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,676801,"Chas McCormick","/api/v1/people/676801","R","Right",608032,"Carlos Estévez","/api/v1/people/608032","R","Right","vs_RHP","vs_RHB","Empty",NA,"Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros","Los Angeles Angels","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",99.3,90.7,6,0.91,0.3796,6.426,33.8463,-8.0071,-3.3178,11.4633,0.4515,2.2279,6.289,-144.329,-8.361,-1.3255,50.0006,5.6567,-6.9939,28.8,2.4,24,2271,206,NA,NA,NA,NA,NA,NA,TRUE,-8.6,19.2,4.7,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718254,"2023-05-09",5,"2023-05-09T04:08:21.133Z","2023-05-09T04:08:24.944Z",TRUE,"pitch","7dde4fc0-cbf6-48e7-9b30-25f34f6a5635",6,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",2,2,2,NA,NA,3.19,1.48,NA,93.98,178.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Strikeout","strikeout","Chas McCormick strikes out swinging.",0,4,6,69,"top",9,"2023-05-09T04:06:35.069Z","2023-05-09T04:08:47.557Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,676801,"Chas McCormick","/api/v1/people/676801","R","Right",608032,"Carlos Estévez","/api/v1/people/608032","R","Right","vs_RHP","vs_RHB","Empty",NA,"Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros","Los Angeles Angels","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",97.9,89,6,0.91,0.3858,6.6302,34.2744,-10.5993,-5.4921,10.5816,0.6039,2.2443,7.3858,-142.2585,-7.6945,-1.3189,50.0008,5.6652,-11.1958,37.2,3.6,24,2260,196,NA,NA,NA,NA,NA,NA,FALSE,-11,17.6,8.4,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718254,"2023-05-09",4,"2023-05-09T04:08:04.428Z","2023-05-09T04:08:10.071Z",TRUE,"pitch","8258f993-88a1-49e9-88c1-abbc8d7fde92",5,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,2,2,NA,NA,3.0738,1.4967,NA,78.61,191.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Strikeout","strikeout","Chas McCormick strikes out swinging.",0,4,6,69,"top",9,"2023-05-09T04:06:35.069Z","2023-05-09T04:08:47.557Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,676801,"Chas McCormick","/api/v1/people/676801","R","Right",608032,"Carlos Estévez","/api/v1/people/608032","R","Right","vs_RHP","vs_RHB","Empty",NA,"Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros","Los Angeles Angels","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",98.6,89.5,14,0.91,0.3838,6.4848,35.3769,-9.9893,-5.1787,10.773,1.0071,1.7671,8.1589,-143.1332,-9.2525,-1.2175,50.0034,5.6816,-10.6652,34.8,2.4,24,2283,207,NA,NA,NA,NA,NA,NA,FALSE,-10.8,17.6,7.6,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718254,"2023-05-09",3,"2023-05-09T04:07:26.986Z","2023-05-09T04:07:39.879Z",TRUE,"pitch","79ece160-f8c0-491f-9af3-b8a66edffd47",4,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,2,2,NA,NA,3.19,1.48,NA,136.6,157.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Strikeout","strikeout","Chas McCormick strikes out swinging.",0,4,6,69,"top",9,"2023-05-09T04:06:35.069Z","2023-05-09T04:08:47.557Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,676801,"Chas McCormick","/api/v1/people/676801","R","Right",608032,"Carlos Estévez","/api/v1/people/608032","R","Right","vs_RHP","vs_RHB","Empty",NA,"Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros","Los Angeles Angels","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",90.8,83.5,1,0.89,0.4137,6.494,27.4418,-30.2144,1.3393,1.1069,-0.5142,3.0225,2.9425,-132.2594,-1.3529,-1.814,50.0062,5.7506,2.3798,6,7.2,24,2141,96,NA,NA,NA,NA,NA,NA,FALSE,-31.1,1.9,-3,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718254,"2023-05-09",2,"2023-05-09T04:07:09.880Z","2023-05-09T04:07:14.415Z",TRUE,"pitch","bd25bf50-dd50-4a74-b012-b331b97a66a7",3,"Foul Tip",NA,NA,NA,NA,FALSE,"T","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"T","Foul Tip",1,2,2,NA,NA,3.19,1.48,NA,115.27,192.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Strikeout","strikeout","Chas McCormick strikes out swinging.",0,4,6,69,"top",9,"2023-05-09T04:06:35.069Z","2023-05-09T04:08:47.557Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,676801,"Chas McCormick","/api/v1/people/676801","R","Right",608032,"Carlos Estévez","/api/v1/people/608032","R","Right","vs_RHP","vs_RHB","Empty",NA,"Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros","Los Angeles Angels","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",88.7,82.2,8,0.91,0.4227,6.1555,25.197,-27.0649,2.2711,2.9998,0.0453,1.7155,3.7284,-129.2516,-4.6856,-1.7071,50.0044,5.6132,3.8686,9.6,7.2,24,2013,72,NA,NA,NA,NA,NA,NA,FALSE,-29.8,4.7,-4.9,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718254,"2023-05-09",1,"2023-05-09T04:06:56.265Z","2023-05-09T04:07:01.045Z",TRUE,"pitch","39186646-36e3-4f43-824f-2d188d5c75d1",2,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,1,2,NA,NA,3.19,1.48,NA,117.82,167.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Strikeout","strikeout","Chas McCormick strikes out swinging.",0,4,6,69,"top",9,"2023-05-09T04:06:35.069Z","2023-05-09T04:08:47.557Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,676801,"Chas McCormick","/api/v1/people/676801","R","Right",608032,"Carlos Estévez","/api/v1/people/608032","R","Right","vs_RHP","vs_RHB","Empty",NA,"Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros","Los Angeles Angels","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96.5,88.3,5,2,0.3899,6.5308,31.3199,-11.1118,-4.4002,10.5356,-0.0214,2.6265,5.6955,-140.3939,-6.6528,-1.5032,50.0064,5.7478,-8.7998,31.2,2.4,24,2197,212,NA,NA,NA,NA,NA,NA,FALSE,-11.4,17.9,6.8,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718254,"2023-05-09",0,"2023-05-09T04:06:42.082Z","2023-05-09T04:06:46.060Z",TRUE,"pitch","4c5a43cd-2c11-493f-83b2-318ed1d43603",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,2,NA,NA,3.1411,1.4967,NA,144.97,129.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Strikeout","strikeout","Chas McCormick strikes out swinging.",0,4,6,69,"top",9,"2023-05-09T04:06:35.069Z","2023-05-09T04:08:47.557Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,676801,"Chas McCormick","/api/v1/people/676801","R","Right",608032,"Carlos Estévez","/api/v1/people/608032","R","Right","vs_RHP","vs_RHB","Empty",NA,"Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros","Los Angeles Angels","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",88.5,81.7,11,0.91,0.4232,6.1657,24.9154,-28.6649,2.9682,2.0672,-0.7338,4.0306,1.9821,-129.0376,0.8312,-1.8956,50.0055,5.8998,5.0438,10.8,7.2,24,2121,134,NA,NA,NA,NA,NA,NA,FALSE,-30.5,4.1,-5.8,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718254,"2023-05-09",2,"2023-05-09T04:06:08.529Z","2023-05-09T04:06:18.753Z",TRUE,"pitch","8c8b95c1-7960-48e7-b4c0-d6a8df61d8a6",3,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",2,0,1,NA,NA,3.56,1.76,NA,139.67,158.76,"ground_ball","medium","5",111.15,179.04,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Groundout","field_out","Jeremy Pena grounds out, third baseman Anthony Rendon to first baseman Gio Urshela.",0,4,6,68,"top",9,"2023-05-09T04:05:25.369Z","2023-05-09T04:06:18.753Z",TRUE,FALSE,FALSE,TRUE,0,2,0,2,665161,"Jeremy Peña","/api/v1/people/665161","R","Right",608032,"Carlos Estévez","/api/v1/people/608032","R","Right","vs_RHP","vs_RHB","Empty",NA,"Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros","Los Angeles Angels","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96.8,88.5,4,2,0.3887,6.4139,31.7535,-10.2229,-5.3919,10.9133,-0.5948,2.9639,4.2988,-140.863,-5.9918,-1.4395,50.0002,5.7782,-10.8429,40.8,3.6,24,2173,205,65,-7,19,NA,NA,NA,TRUE,-10.4,18.7,8.9,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718254,"2023-05-09",1,"2023-05-09T04:05:50.026Z","2023-05-09T04:05:54.229Z",TRUE,"pitch","72fa2144-a376-4c0b-ba12-4649809421fc",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,0,1,NA,NA,3.5789,1.7771,NA,166.51,137.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Groundout","field_out","Jeremy Pena grounds out, third baseman Anthony Rendon to first baseman Gio Urshela.",0,4,6,68,"top",9,"2023-05-09T04:05:25.369Z","2023-05-09T04:06:18.753Z",TRUE,FALSE,FALSE,TRUE,0,2,0,2,665161,"Jeremy Peña","/api/v1/people/665161","R","Right",608032,"Carlos Estévez","/api/v1/people/608032","R","Right","vs_RHP","vs_RHB","Empty",NA,"Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros","Los Angeles Angels","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96.3,87.8,11,2,0.3909,6.5168,32.2658,-10.3386,-5.0555,10.9846,-1.2988,3.7424,2.5419,-140.2297,-4.0739,-1.5611,50.0041,5.8907,-10.0499,39.6,3.6,24,2335,207,NA,NA,NA,NA,NA,NA,FALSE,-10.3,19.2,8.6,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718254,"2023-05-09",0,"2023-05-09T04:05:33.677Z","2023-05-09T04:05:38.671Z",TRUE,"pitch","b0b991ae-a465-4c4b-aa7e-55d7f04b5b30",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,1,NA,NA,3.6014,1.7771,NA,156.64,136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Groundout","field_out","Jeremy Pena grounds out, third baseman Anthony Rendon to first baseman Gio Urshela.",0,4,6,68,"top",9,"2023-05-09T04:05:25.369Z","2023-05-09T04:06:18.753Z",TRUE,FALSE,FALSE,TRUE,0,2,0,2,665161,"Jeremy Peña","/api/v1/people/665161","R","Right",608032,"Carlos Estévez","/api/v1/people/608032","R","Right","vs_RHP","vs_RHB","Empty",NA,"Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros","Los Angeles Angels","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",88.3,81.9,11,0.9,0.4231,6.0961,23.3796,-27.3503,2.8555,2.83,-1.0401,3.8067,1.4782,-128.7935,0.2078,-1.9899,50.0003,5.8173,4.86,10.8,7.2,24,2302,134,NA,NA,NA,NA,NA,NA,FALSE,-29.2,5.4,-5.5,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
