"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.disengagementNum","isSubstitution","replacedPlayer.id","replacedPlayer.link","isBaseRunningPlay","reviewDetails.isOverturned.x","reviewDetails.inProgress.x","reviewDetails.reviewType","reviewDetails.challengeTeamId","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","reviewDetails.isOverturned.y","reviewDetails.inProgress.y"
717318,"2023-07-21",2,"2023-07-22T01:30:54.243Z","2023-07-22T01:31:01.924Z",TRUE,"pitch","016a0808-c2a7-460b-82c0-20812c9be9e5",3,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,2,2,NA,NA,3.55,1.69,NA,106.13,134.3,"ground_ball","medium","6",103.53,151.62,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Fielders Choice Out","fielders_choice_out","Umpire reviewed (tag play), call on the field was overturned: Bobby Witt Jr. reaches on a fielder's choice out, shortstop Anthony Volpe to third baseman DJ LeMahieu. Drew Waters out at 3rd.",0,4,5,70,"top",9,"2023-07-22T01:30:00.545Z","2023-07-22T01:31:01.924Z",TRUE,FALSE,TRUE,TRUE,8,0,2,3,677951,"Bobby Witt Jr.","/api/v1/people/677951","R","Right",605280,"Clay Holmes","/api/v1/people/605280","R","Right","vs_RHP","vs_RHB","Empty",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","New York Yankees","true",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",88.4,82.1,9,0.9,0.4241,5.8718,25.2708,-35.1538,0.7991,-1.7581,0.6747,2.2211,2.1605,-128.8439,-4.4418,-0.2766,50.0045,6.6661,1.3518,2.4,8.4,24,2703,45,83.1,6,92,NA,NA,NA,TRUE,-38.6,-4,-1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
717318,"2023-07-21",1,"2023-07-22T01:30:30.660Z","2023-07-22T01:30:34.110Z",TRUE,"pitch","c88218b9-ff9a-458e-8ca9-7ad1d5999442",2,"Foul Tip",NA,NA,NA,NA,FALSE,"T","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"T","Foul Tip",0,2,2,NA,NA,3.55,1.69,NA,123.23,119.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Fielders Choice Out","fielders_choice_out","Umpire reviewed (tag play), call on the field was overturned: Bobby Witt Jr. reaches on a fielder's choice out, shortstop Anthony Volpe to third baseman DJ LeMahieu. Drew Waters out at 3rd.",0,4,5,70,"top",9,"2023-07-22T01:30:00.545Z","2023-07-22T01:31:01.924Z",TRUE,FALSE,TRUE,TRUE,8,0,2,3,677951,"Bobby Witt Jr.","/api/v1/people/677951","R","Right",605280,"Clay Holmes","/api/v1/people/605280","R","Right","vs_RHP","vs_RHB","Empty",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","New York Yankees","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",88.7,82.6,14,0.9,0.4221,6.0305,24.3725,-32.6194,0.5063,-0.2609,1.2876,2.1303,3.7486,-129.255,-4.8543,-0.2412,50.004,6.5086,0.8644,2.4,8.4,24,2595,36,NA,NA,NA,NA,NA,NA,FALSE,-35.6,-1.2,-1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717318,"2023-07-21",0,"2023-07-22T01:30:00.545Z","2023-07-22T01:30:04.240Z",TRUE,"pitch","18a8f426-4dee-4141-a560-8ebc48f68495",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,2,NA,NA,3.5514,1.6735,NA,127.61,115.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Fielders Choice Out","fielders_choice_out","Umpire reviewed (tag play), call on the field was overturned: Bobby Witt Jr. reaches on a fielder's choice out, shortstop Anthony Volpe to third baseman DJ LeMahieu. Drew Waters out at 3rd.",0,4,5,70,"top",9,"2023-07-22T01:30:00.545Z","2023-07-22T01:31:01.924Z",TRUE,FALSE,TRUE,TRUE,8,0,2,3,677951,"Bobby Witt Jr.","/api/v1/people/677951","R","Right",605280,"Clay Holmes","/api/v1/people/605280","R","Right","vs_RHP","vs_RHB","Empty",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","New York Yankees","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",87.7,80.9,3,0.9,0.4283,5.8931,25.7582,-34.7572,1.2067,-1.5564,0.3026,3.2319,1.4754,-127.777,-1.8544,-0.4386,50.0052,6.6922,1.9998,3.6,8.4,24,2606,60,NA,NA,NA,NA,NA,NA,FALSE,-38.4,-3,-2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717318,"2023-07-21",7,"2023-07-22T01:29:16.797Z","2023-07-22T01:29:24.921Z",TRUE,"pitch","0179d05b-55be-4c3d-b2a4-2aa7e10f1e4b",6,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",3,2,1,NA,NA,3.48,1.7,NA,111.51,178.52,"line_drive","medium","4",132.06,145.41,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Lineout","field_out","Maikel Garcia lines out to second baseman Oswald Peraza.",0,4,5,69,"top",9,"2023-07-22T01:25:19.227Z","2023-07-22T01:29:24.921Z",TRUE,FALSE,FALSE,TRUE,0,3,2,2,672580,"Maikel Garcia","/api/v1/people/672580","R","Right",605280,"Clay Holmes","/api/v1/people/605280","R","Right","vs_RHP","vs_RHB","RISP",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","New York Yankees",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",89.1,82.5,8,0.91,0.4214,5.8549,26.3809,-37.911,0.9349,-3.3499,0.144,2.2318,1.1226,-129.8084,-3.7496,-0.4151,50.0045,6.572,1.6002,2.4,9.6,24,2574,40,101.8,9,182,NA,NA,NA,TRUE,-40.9,-6.7,-1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,671221,"Drew Waters","/api/v1/people/671221",NA,NA,NA,NA,NA
717318,"2023-07-21",6,"2023-07-22T01:28:55.714Z","2023-07-22T01:29:00.120Z",TRUE,"pitch","1fa2a927-5788-42f7-aebe-0c8cbc900af2",5,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",3,2,1,NA,NA,3.4702,1.5918,NA,81.97,197.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Lineout","field_out","Maikel Garcia lines out to second baseman Oswald Peraza.",0,4,5,69,"top",9,"2023-07-22T01:25:19.227Z","2023-07-22T01:29:24.921Z",TRUE,FALSE,FALSE,TRUE,0,3,2,2,672580,"Maikel Garcia","/api/v1/people/672580","R","Right",605280,"Clay Holmes","/api/v1/people/605280","R","Right","vs_RHP","vs_RHB","RISP",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","New York Yankees",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",98,90,14,0.9,0.3847,5.9807,32.9855,-26.7688,-8.9968,2.6329,0.9189,1.5233,6.7859,-142.429,-8.7684,-0.3267,50.0028,6.337,-18.4677,31.2,6,24,2191,229,NA,NA,NA,NA,NA,NA,FALSE,-25.4,3.1,14.9,1,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717318,"2023-07-21",5,"2023-07-22T01:28:35.050Z","2023-07-22T01:28:38.850Z",TRUE,"pitch","87add53b-6a05-414a-afb2-76e45ac6b82b",4,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",3,1,1,NA,NA,3.4814,1.6735,NA,41.9,182.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Lineout","field_out","Maikel Garcia lines out to second baseman Oswald Peraza.",0,4,5,69,"top",9,"2023-07-22T01:25:19.227Z","2023-07-22T01:29:24.921Z",TRUE,FALSE,FALSE,TRUE,0,3,2,2,672580,"Maikel Garcia","/api/v1/people/672580","R","Right",605280,"Clay Holmes","/api/v1/people/605280","R","Right","vs_RHP","vs_RHB","RISP",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","New York Yankees",NA,NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",85.6,78.8,14,0.66,0.4405,5.7849,26.1066,-33.1342,5.6223,-0.6151,1.9702,2.0663,4.2032,-124.5647,-4.1316,-0.4722,50.0031,6.4999,8.7926,15.6,9.6,24,2752,33,NA,NA,NA,NA,NA,NA,FALSE,-39.4,-1.9,-11.2,1,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717318,"2023-07-21",4,"2023-07-22T01:28:13.384Z","2023-07-22T01:28:17.470Z",TRUE,"pitch","d2e59367-2a60-4da7-aaf6-71db516c4416",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,1,1,NA,NA,3.4814,1.6999,NA,58.81,204.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Lineout","field_out","Maikel Garcia lines out to second baseman Oswald Peraza.",0,4,5,69,"top",9,"2023-07-22T01:25:19.227Z","2023-07-22T01:29:24.921Z",TRUE,FALSE,FALSE,TRUE,0,3,2,2,672580,"Maikel Garcia","/api/v1/people/672580","R","Right",605280,"Clay Holmes","/api/v1/people/605280","R","Right","vs_RHP","vs_RHB","RISP",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","New York Yankees",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",96.3,88.6,14,0.9,0.3916,5.9968,30.792,-24.8673,-8.9561,3.6858,1.5265,1.2715,8.2225,-139.7529,-9.5981,-0.2868,50.0053,6.3775,-17.7609,31.2,6,24,2131,226,NA,NA,NA,NA,NA,NA,FALSE,-24.7,4.8,14.5,1,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717318,"2023-07-21",2,"2023-07-22T01:27:32.308Z","2023-07-22T01:27:36.013Z",TRUE,"pitch","d874f6be-a599-40f6-b829-cd23589f9a20",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,1,NA,NA,3.4814,1.6735,NA,56.74,169.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Lineout","field_out","Maikel Garcia lines out to second baseman Oswald Peraza.",0,4,5,69,"top",9,"2023-07-22T01:25:19.227Z","2023-07-22T01:29:24.921Z",TRUE,FALSE,FALSE,TRUE,0,3,2,2,672580,"Maikel Garcia","/api/v1/people/672580","R","Right",605280,"Clay Holmes","/api/v1/people/605280","R","Right","vs_RHP","vs_RHB","RISP",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","New York Yankees",NA,NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",85.1,78.6,14,0.8,0.4417,5.9077,24.5291,-31.4253,6.1011,0.4836,1.5809,2.5729,3.4276,-123.9488,-3.443,-0.6123,50.006,6.6013,9.5035,18,8.4,24,2551,39,NA,NA,NA,NA,NA,NA,FALSE,-37.3,0.4,-11.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717318,"2023-07-21",0,"2023-07-22T01:25:32.237Z","2023-07-22T01:25:38.869Z",TRUE,"pitch","7ec0c2ea-4e5b-45ff-8337-47e434f0c944",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,1,NA,NA,3.6313,1.6999,NA,103.95,180.03,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,"69","atBat","Lineout","field_out","Maikel Garcia lines out to second baseman Oswald Peraza.",0,4,5,69,"top",9,"2023-07-22T01:25:19.227Z","2023-07-22T01:29:24.921Z",TRUE,FALSE,FALSE,TRUE,0,3,2,2,672580,"Maikel Garcia","/api/v1/people/672580","R","Right",605280,"Clay Holmes","/api/v1/people/605280","R","Right","vs_RHP","vs_RHB","RISP",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","New York Yankees",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",94.9,86.6,9,0.9,0.3982,5.8874,32.5753,-27.3597,-9.2714,2.5126,0.3423,2.1761,5.4,-137.9171,-6.4938,-0.4434,50.0017,6.4234,-17.7405,30,7.2,24,2119,219,NA,NA,NA,NA,NA,NA,FALSE,-27.4,3.2,15.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717318,"2023-07-21",1,"2023-07-22T01:25:48.641Z","2023-07-22T01:27:32.308Z",FALSE,"action",NA,NA,"Yankees challenged (tag play), call on the field was upheld: Drew Waters steals (5) 2nd base.","Stolen Base 2B",4,5,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,0,1,1,671221,"/api/v1/people/671221",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7ec0c2ea-4e5b-45ff-8337-47e434f0c944","stolen_base_2b",NA,NA,NA,NA,NA,NA,"69","atBat","Lineout","field_out","Maikel Garcia lines out to second baseman Oswald Peraza.",0,4,5,69,"top",9,"2023-07-22T01:25:19.227Z","2023-07-22T01:29:24.921Z",TRUE,FALSE,FALSE,TRUE,0,3,2,2,672580,"Maikel Garcia","/api/v1/people/672580","R","Right",605280,"Clay Holmes","/api/v1/people/605280","R","Right","vs_RHP","vs_RHB","RISP",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","New York Yankees",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,"MA",147,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
