"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isBaseRunningPlay","details.disengagementNum","isSubstitution","reviewDetails.isOverturned.x","reviewDetails.inProgress.x","reviewDetails.reviewType.x","reviewDetails.challengeTeamId","replacedPlayer.id","replacedPlayer.link","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","reviewDetails.isOverturned.y","reviewDetails.inProgress.y","reviewDetails.reviewType.y"
745839,"2024-04-13",4,"2024-04-13T20:37:17.713Z","2024-04-13T20:37:26.470Z",TRUE,"pitch","b84e37dd-2d46-4bb7-b7d0-31ea096bebac",4,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,2,2,NA,NA,3.32,1.53,NA,127.4,199.73,"ground_ball","medium","4",143.57,166.01,NA,NA,NA,NA,NA,NA,NA,NA,"85","atBat","Groundout","field_out","Francisco Lindor grounds out, second baseman Nick Loftin to first baseman Salvador Perez.",0,11,7,85,"bottom",9,"2024-04-13T20:36:05.604Z","2024-04-13T20:37:26.470Z",TRUE,FALSE,FALSE,TRUE,0,1,2,3,596019,"Francisco Lindor","/api/v1/people/596019","L","Left",663704,"James McArthur","/api/v1/people/663704","R","Right","vs_RHP","vs_LHB","Empty",NA,"New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","New York Mets","Kansas City Royals",NA,NA,"rgba(0, 34, 255, 1.0)","CU","Curveball",82.9,75.8,8,0.89,0.4565,6.703,26.906,-41.3714,6.3998,-6.3351,-0.2729,1.4464,3.1843,-120.6972,-1.3866,-2.4473,50.002,5.7232,9.2936,13.2,12,24,2853,43,80.5,-25,4,NA,NA,NA,TRUE,-51.7,-11.5,-12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
745839,"2024-04-13",3,"2024-04-13T20:37:01.394Z","2024-04-13T20:37:05.341Z",TRUE,"pitch","94e379c7-40c6-470c-ba09-deeba28b80c3",3,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,2,2,NA,NA,3.32,1.53,NA,137.7,201.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"85","atBat","Groundout","field_out","Francisco Lindor grounds out, second baseman Nick Loftin to first baseman Salvador Perez.",0,11,7,85,"bottom",9,"2024-04-13T20:36:05.604Z","2024-04-13T20:37:26.470Z",TRUE,FALSE,FALSE,TRUE,0,1,2,3,596019,"Francisco Lindor","/api/v1/people/596019","L","Left",663704,"James McArthur","/api/v1/people/663704","R","Right","vs_RHP","vs_LHB","Empty",NA,"New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","New York Mets","Kansas City Royals",NA,NA,"rgba(0, 34, 255, 1.0)","CU","Curveball",82,74.2,13,0.89,0.4641,6.7378,28.5977,-41.1152,5.7564,-6.3803,-0.5429,1.3664,2.5902,-119.2315,-1.3188,-2.4002,50.0029,5.7273,8.067,12,12,24,2778,44,NA,NA,NA,NA,NA,NA,FALSE,-53.2,-11.5,-11.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
745839,"2024-04-13",2,"2024-04-13T20:36:45.011Z","2024-04-13T20:36:51.677Z",TRUE,"pitch","6eec95eb-65d3-4dcf-928f-1f115e8e20f1",2,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",1,1,2,NA,NA,3.3071,1.4683,NA,149.18,157.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"85","atBat","Groundout","field_out","Francisco Lindor grounds out, second baseman Nick Loftin to first baseman Salvador Perez.",0,11,7,85,"bottom",9,"2024-04-13T20:36:05.604Z","2024-04-13T20:37:26.470Z",TRUE,FALSE,FALSE,TRUE,0,1,2,3,596019,"Francisco Lindor","/api/v1/people/596019","L","Left",663704,"James McArthur","/api/v1/people/663704","R","Right","vs_RHP","vs_LHB","Empty",NA,"New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","New York Mets","Kansas City Royals",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",86.9,80.2,11,2,0.4316,6.7674,23.9863,-28.773,-4.2679,2.0797,-0.8443,3.0258,5.558,-126.5496,-0.5069,-2.5068,50.0018,5.5184,-6.975,12,7.2,24,2213,40,NA,NA,NA,NA,NA,NA,FALSE,-32,3.8,6.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
745839,"2024-04-13",0,"2024-04-13T20:36:27.375Z","2024-04-13T20:36:34.083Z",TRUE,"pitch","b4762ae5-b07d-48e1-b935-4c1712d4b4a6",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,2,NA,NA,3.3197,1.4936,NA,71.86,204.52,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,"85","atBat","Groundout","field_out","Francisco Lindor grounds out, second baseman Nick Loftin to first baseman Salvador Perez.",0,11,7,85,"bottom",9,"2024-04-13T20:36:05.604Z","2024-04-13T20:37:26.470Z",TRUE,FALSE,FALSE,TRUE,0,1,2,3,596019,"Francisco Lindor","/api/v1/people/596019","L","Left",663704,"James McArthur","/api/v1/people/663704","R","Right","vs_RHP","vs_LHB","Empty",NA,"New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","New York Mets","Kansas City Royals",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",94.9,86.1,14,2,0.3999,7.0267,32.0316,-18.8268,-15.0588,7.0351,1.1843,1.2689,13.5596,-137.2659,-7.9483,-1.8771,50.0022,5.4972,-28.5687,51.6,7.2,24,2244,225,NA,NA,NA,NA,NA,NA,FALSE,-19.9,11,24.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
745839,"2024-04-13",1,"2024-04-13T20:36:39.444Z","2024-04-13T20:36:45.011Z",FALSE,"action",NA,NA,"Starling Marte advances to 2nd on defensive indifference.","Defensive Indiff",11,7,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,1,0,2,516782,"/api/v1/people/516782",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"b4762ae5-b07d-48e1-b935-4c1712d4b4a6","defensive_indiff",NA,NA,NA,NA,NA,NA,"85","atBat","Groundout","field_out","Francisco Lindor grounds out, second baseman Nick Loftin to first baseman Salvador Perez.",0,11,7,85,"bottom",9,"2024-04-13T20:36:05.604Z","2024-04-13T20:37:26.470Z",TRUE,FALSE,FALSE,TRUE,0,1,2,3,596019,"Francisco Lindor","/api/v1/people/596019","L","Left",663704,"James McArthur","/api/v1/people/663704","R","Right","vs_RHP","vs_LHB","Empty",NA,"New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","New York Mets","Kansas City Royals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
745839,"2024-04-13",0,"2024-04-13T20:35:46.745Z","2024-04-13T20:35:57.513Z",TRUE,"pitch","f7372db1-3f07-48c4-b226-fcf13887454c",1,"In play, no out",NA,NA,NA,NA,FALSE,"D","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"D","In play, no out",0,0,2,NA,NA,3.51,1.58,NA,133.26,156.37,"line_drive","medium","7",83.43,92,NA,NA,NA,NA,NA,NA,NA,NA,"84","atBat","Single","single","Starling Marte singles on a line drive to left fielder Dairon Blanco. Joey Wendle to 3rd.",0,11,7,84,"bottom",9,"2024-04-13T20:35:46.745Z","2024-04-13T20:35:57.513Z",TRUE,FALSE,FALSE,FALSE,33,0,0,2,516782,"Starling Marte","/api/v1/people/516782","R","Right",663704,"James McArthur","/api/v1/people/663704","R","Right","vs_RHP","vs_RHB","RISP",NA,"New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","New York Mets","Kansas City Royals","true",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",94.2,86.6,1,2,0.3987,6.7996,28.5028,-19.583,-9.6329,6.5777,-0.4267,3.0521,7.9786,-137.0488,-3.8953,-2.1151,50.0019,5.8186,-18.4386,39.6,6,24,2202,220,99.1,17,288,NA,NA,NA,FALSE,-19.3,11.3,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,516782,"Starling Marte","/api/v1/people/516782",NA,NA,NA,621563,"Joey Wendle","/api/v1/people/621563",NA,NA,NA
745839,"2024-04-13",6,"2024-04-13T20:35:16.381Z","2024-04-13T20:35:21.168Z",TRUE,"pitch","18eb5f22-b05a-49f7-a76b-e8f714877a85",6,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",3,3,1,NA,NA,3.282,1.6453,NA,140.52,176.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"83","atBat","Strikeout","strikeout","Brandon Nimmo called out on strikes.",0,11,7,83,"bottom",9,"2024-04-13T20:32:47.459Z","2024-04-13T20:35:21.168Z",TRUE,FALSE,FALSE,TRUE,14,3,3,2,607043,"Brandon Nimmo","/api/v1/people/607043","L","Left",663704,"James McArthur","/api/v1/people/663704","R","Right","vs_RHP","vs_LHB","Men_On",NA,"New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","New York Mets","Kansas City Royals",NA,NA,"rgba(0, 34, 255, 1.0)","CU","Curveball",82.7,76.2,4,0.86,0.4552,6.7706,23.8989,-39.6329,5.6769,-5.0917,-0.6171,2.3214,2.253,-120.4386,0.0026,-2.3028,50.0016,5.8322,8.319,12,10.8,24,2793,42,NA,NA,NA,NA,NA,NA,TRUE,-49,-8.9,-10.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,621563,"Joey Wendle","/api/v1/people/621563",NA,NA,NA,NA,NA,NA,NA,NA,NA
745839,"2024-04-13",5,"2024-04-13T20:34:57.794Z","2024-04-13T20:35:02.060Z",TRUE,"pitch","7642a79c-0fc1-4e3a-b218-0ae0c09cb46f",5,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",3,2,1,NA,NA,3.3575,1.6706,NA,141.31,160.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"83","atBat","Strikeout","strikeout","Brandon Nimmo called out on strikes.",0,11,7,83,"bottom",9,"2024-04-13T20:32:47.459Z","2024-04-13T20:35:21.168Z",TRUE,FALSE,FALSE,TRUE,14,3,3,2,607043,"Brandon Nimmo","/api/v1/people/607043","L","Left",663704,"James McArthur","/api/v1/people/663704","R","Right","vs_RHP","vs_LHB","Men_On",NA,"New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","New York Mets","Kansas City Royals",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",93.5,84.5,1,2,0.4051,6.7271,32.7394,-19.3819,-14.5704,6.9302,-0.6377,2.9093,9.0207,-135.7606,-3.7748,-2.1293,50.0043,5.6855,-26.9044,50.4,7.2,24,2167,225,NA,NA,NA,NA,NA,NA,FALSE,-19.9,11.8,24.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
745839,"2024-04-13",4,"2024-04-13T20:34:40.530Z","2024-04-13T20:34:44.832Z",TRUE,"pitch","3459c84c-0026-415f-8d5f-343a817f84fd",4,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",3,1,1,NA,NA,3.3071,1.5947,NA,157.04,168.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"83","atBat","Strikeout","strikeout","Brandon Nimmo called out on strikes.",0,11,7,83,"bottom",9,"2024-04-13T20:32:47.459Z","2024-04-13T20:35:21.168Z",TRUE,FALSE,FALSE,TRUE,14,3,3,2,607043,"Brandon Nimmo","/api/v1/people/607043","L","Left",663704,"James McArthur","/api/v1/people/663704","R","Right","vs_RHP","vs_LHB","Men_On",NA,"New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","New York Mets","Kansas City Royals",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",93.1,84.8,11,2,0.4055,6.4841,31.197,-22.2035,-11.4727,5.4049,-1.0503,2.6,6.8848,-135.3667,-4.1862,-2.144,50.0035,5.7326,-21.1651,40.8,7.2,24,2045,230,NA,NA,NA,NA,NA,NA,FALSE,-22.7,9,19.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
745839,"2024-04-13",2,"2024-04-13T20:33:55.301Z","2024-04-13T20:34:02.613Z",TRUE,"pitch","d9599f79-3326-42c0-87f6-0ddb0fc07316",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",3,0,1,NA,NA,3.2568,1.6706,NA,97,227.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"83","atBat","Strikeout","strikeout","Brandon Nimmo called out on strikes.",0,11,7,83,"bottom",9,"2024-04-13T20:32:47.459Z","2024-04-13T20:35:21.168Z",TRUE,FALSE,FALSE,TRUE,14,3,3,2,607043,"Brandon Nimmo","/api/v1/people/607043","L","Left",663704,"James McArthur","/api/v1/people/663704","R","Right","vs_RHP","vs_LHB","Men_On",NA,"New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","New York Mets","Kansas City Royals",NA,NA,"rgba(0, 34, 255, 1.0)","CU","Curveball",83.5,76.5,14,0.85,0.454,6.9224,27.1373,-41.882,4.5737,-6.6049,0.5247,0.4336,5.239,-121.3503,-3.6394,-2.2692,50.0056,5.6583,6.7178,9.6,12,24,2764,39,NA,NA,NA,NA,NA,NA,FALSE,-52.4,-12.6,-9.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
