"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isSubstitution","replacedPlayer.id","replacedPlayer.link","base","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","result.isOut","about.isTopInning","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link"
717794,"2023-06-12",1,"2023-06-13T03:46:18.411Z","2023-06-13T03:46:26.070Z",TRUE,"pitch","c7ddf61d-97e0-4f5e-a1f4-8a22a3ae1aa3",2,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,1,1,NA,NA,3.48,1.53,NA,137.02,194.51,"ground_ball","medium","5",109.5,175.03,NA,NA,NA,NA,NA,NA,NA,NA,"80","atBat","Grounded Into DP","grounded_into_double_play","Alex Verdugo grounds into a double play, third baseman Ryan McMahon to shortstop Ezequiel Tovar to first baseman Mike Moustakas. Rob Refsnyder out at 2nd. Alex Verdugo out at 1st.",0,4,3,80,"bottom",10,"2023-06-13T03:45:54.650Z","2023-06-13T03:46:26.070Z",TRUE,FALSE,FALSE,TRUE,24,0,1,3,657077,"Alex Verdugo","/api/v1/people/657077","L","Left",571539,"Matt Carasiti","/api/v1/people/571539","R","Right","vs_RHP","vs_LHB","Empty",NA,"Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","Boston Red Sox","Colorado Rockies","true",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",94,85.7,7,2,0.4018,6.3147,32.1441,-24.6392,-10.6524,4.0105,-0.5252,1.6396,5.9425,-136.6998,-5.9807,-1.3514,50.005,5.5642,-20.0187,36,7.2,24,2028,237,94.1,-4,18,NA,NA,NA,TRUE,-25.1,6.1,17.9,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717794,"2023-06-12",0,"2023-06-13T03:45:59.259Z","2023-06-13T03:46:03.485Z",TRUE,"pitch","b586b565-6429-4383-966b-a9331159635b",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,1,NA,NA,3.4801,1.6276,NA,117.69,184.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"80","atBat","Grounded Into DP","grounded_into_double_play","Alex Verdugo grounds into a double play, third baseman Ryan McMahon to shortstop Ezequiel Tovar to first baseman Mike Moustakas. Rob Refsnyder out at 2nd. Alex Verdugo out at 1st.",0,4,3,80,"bottom",10,"2023-06-13T03:45:54.650Z","2023-06-13T03:46:26.070Z",TRUE,FALSE,FALSE,TRUE,24,0,1,3,657077,"Alex Verdugo","/api/v1/people/657077","L","Left",571539,"Matt Carasiti","/api/v1/people/571539","R","Right","vs_RHP","vs_LHB","Empty",NA,"Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","Boston Red Sox","Colorado Rockies","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",94.7,86.6,8,2,0.398,6.2532,31.0769,-22.6028,-9.9221,4.9935,-0.018,2.0271,6.4618,-137.7026,-5.9511,-1.108,50.0037,5.7493,-19.0225,36,6,24,2024,229,NA,NA,NA,NA,NA,NA,FALSE,-22.7,7.9,16.6,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717794,"2023-06-12",3,"2023-06-13T03:45:07.520Z","2023-06-13T03:45:16.051Z",TRUE,"pitch","52c5ff1e-bf32-41c0-85d7-bbd2d9e14bdd",4,"In play, run(s)",NA,NA,NA,NA,FALSE,"E","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"E","In play, run(s)",2,1,0,NA,NA,3.37,1.63,NA,116.22,185.15,"ground_ball","medium","5",110.01,171.97,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Forceout","force_out","Rob Refsnyder grounds into a force out, third baseman Ryan McMahon to second baseman Coco Montes. Connor Wong scores. Masataka Yoshida out at 2nd. Rob Refsnyder to 1st.",1,4,3,79,"bottom",10,"2023-06-13T03:43:41.121Z","2023-06-13T03:45:16.051Z",TRUE,TRUE,FALSE,TRUE,0,2,1,1,608701,"Rob Refsnyder","/api/v1/people/608701","R","Right",571539,"Matt Carasiti","/api/v1/people/571539","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","Boston Red Sox","Colorado Rockies","true",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",94.2,85.9,8,2,0.4008,6.0782,31.8588,-23.5234,-9.9916,4.5795,0.0203,1.9864,6.7428,-136.9614,-5.4586,-1.1825,50.0035,5.6265,-18.8748,34.8,6,24,1970,231,77.4,-36,3,NA,NA,NA,TRUE,-23.8,7.2,16.6,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,608701,"Rob Refsnyder","/api/v1/people/608701"
717794,"2023-06-12",2,"2023-06-13T03:44:46.113Z","2023-06-13T03:44:49.769Z",TRUE,"pitch","411faeb2-f873-43a8-a08c-42f5e31972d7",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,1,0,NA,NA,3.4294,1.6301,NA,121.09,211.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Forceout","force_out","Rob Refsnyder grounds into a force out, third baseman Ryan McMahon to second baseman Coco Montes. Connor Wong scores. Masataka Yoshida out at 2nd. Rob Refsnyder to 1st.",1,4,3,79,"bottom",10,"2023-06-13T03:43:41.121Z","2023-06-13T03:45:16.051Z",TRUE,TRUE,FALSE,TRUE,0,2,1,1,608701,"Rob Refsnyder","/api/v1/people/608701","R","Right",571539,"Matt Carasiti","/api/v1/people/571539","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","Boston Red Sox","Colorado Rockies","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",94.4,86.2,13,2,0.4003,6.1873,31.9991,-22.8138,-10.6154,4.9457,-0.1072,1.0076,6.3155,-137.1303,-7.983,-1.068,50.0068,5.5282,-20.1019,37.2,7.2,24,1974,234,NA,NA,NA,NA,NA,NA,FALSE,-23.6,7.3,17.8,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717794,"2023-06-12",1,"2023-06-13T03:44:25.451Z","2023-06-13T03:44:30.458Z",TRUE,"pitch","8ae77929-5689-44a7-9ea8-fe88118dfa8e",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,0,NA,NA,3.3985,1.6301,NA,78.5,174.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Forceout","force_out","Rob Refsnyder grounds into a force out, third baseman Ryan McMahon to second baseman Coco Montes. Connor Wong scores. Masataka Yoshida out at 2nd. Rob Refsnyder to 1st.",1,4,3,79,"bottom",10,"2023-06-13T03:43:41.121Z","2023-06-13T03:45:16.051Z",TRUE,TRUE,FALSE,TRUE,0,2,1,1,608701,"Rob Refsnyder","/api/v1/people/608701","R","Right",571539,"Matt Carasiti","/api/v1/people/571539","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","Boston Red Sox","Colorado Rockies","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",94.6,86.4,14,2,0.3988,6.2276,31.2371,-22.1404,-10.3396,5.2544,1.0099,2.38,8.7331,-137.4816,-4.9724,-0.8686,50.0012,5.72,-19.7385,37.2,6,24,1907,234,NA,NA,NA,NA,NA,NA,FALSE,-22.1,8.6,16.8,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717794,"2023-06-12",0,"2023-06-13T03:44:06.110Z","2023-06-13T03:44:10.448Z",TRUE,"pitch","2a5333e1-3abb-4eb4-8bc6-0b5de9f728d8",1,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,1,0,NA,NA,3.37,1.63,NA,115.97,173.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Forceout","force_out","Rob Refsnyder grounds into a force out, third baseman Ryan McMahon to second baseman Coco Montes. Connor Wong scores. Masataka Yoshida out at 2nd. Rob Refsnyder to 1st.",1,4,3,79,"bottom",10,"2023-06-13T03:43:41.121Z","2023-06-13T03:45:16.051Z",TRUE,TRUE,FALSE,TRUE,0,2,1,1,608701,"Rob Refsnyder","/api/v1/people/608701","R","Right",571539,"Matt Carasiti","/api/v1/people/571539","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","Boston Red Sox","Colorado Rockies","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",93.4,85.2,5,2,0.4039,6.2369,30.968,-21.7333,-10.418,5.6132,0.027,2.4301,6.6528,-135.8263,-4.7857,-1.1061,50.003,5.7348,-19.3805,38.4,6,24,1887,232,NA,NA,NA,NA,NA,NA,FALSE,-22.2,9.2,17.4,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717794,"2023-06-12",6,"2023-06-13T03:43:11.972Z","2023-06-13T03:43:23.227Z",TRUE,"pitch","9dc78e89-d0fc-43fb-8311-e60d7ed77dd3",4,"In play, no out",NA,NA,NA,NA,FALSE,"D","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"D","In play, no out",1,2,0,NA,NA,3.21,1.41,NA,160.4,163.86,"line_drive","medium","7",59.79,120.33,NA,NA,NA,NA,NA,NA,NA,NA,"78","atBat","Single","single","Masataka Yoshida singles on a line drive to left fielder Jurickson Profar. Connor Wong to 3rd.",0,4,2,78,"bottom",10,"2023-06-13T03:42:15.325Z","2023-06-13T03:43:23.227Z",TRUE,FALSE,FALSE,FALSE,33,1,2,0,807799,"Masataka Yoshida","/api/v1/people/807799","L","Left",571539,"Matt Carasiti","/api/v1/people/571539","R","Right","vs_RHP","vs_LHB","RISP",NA,"Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","Boston Red Sox","Colorado Rockies",NA,NA,"rgba(85, 0, 187, 1.0)","FO","Forkball",80.4,74,11,2,0.4677,6.2832,22.2958,-33.5835,-3.3981,-1.0166,-1.1386,2.775,1.0989,-117.1481,0.1153,-1.1725,50.0017,5.8664,-4.7189,7.2,9.6,24,691,289,91.2,13,217,NA,NA,NA,FALSE,-43.8,-1.6,5.9,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,657136,"Connor Wong","/api/v1/people/657136",807799,"Masataka Yoshida","/api/v1/people/807799"
717794,"2023-06-12",5,"2023-06-13T03:42:51.863Z","2023-06-13T03:42:57.649Z",TRUE,"pitch","5796b04b-1b86-4205-9ba8-7ba7c61f003b",3,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",1,2,0,NA,NA,3.2746,1.4102,NA,117.73,192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"78","atBat","Single","single","Masataka Yoshida singles on a line drive to left fielder Jurickson Profar. Connor Wong to 3rd.",0,4,2,78,"bottom",10,"2023-06-13T03:42:15.325Z","2023-06-13T03:43:23.227Z",TRUE,FALSE,FALSE,FALSE,33,1,2,0,807799,"Masataka Yoshida","/api/v1/people/807799","L","Left",571539,"Matt Carasiti","/api/v1/people/571539","R","Right","vs_RHP","vs_LHB","RISP",NA,"Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","Boston Red Sox","Colorado Rockies",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",93.3,85.4,8,2,0.4043,6.2121,30.1052,-24.6717,-10.4519,4.0397,-0.019,1.7325,6.7385,-135.5677,-5.6613,-1.181,50.0062,5.5741,-19.4255,34.8,7.2,24,1926,234,NA,NA,NA,NA,NA,NA,FALSE,-25.3,6.2,17.5,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717794,"2023-06-12",4,"2023-06-13T03:42:32.940Z","2023-06-13T03:42:36.975Z",TRUE,"pitch","4f328135-723f-44ff-a9da-7517bbbde5de",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,0,NA,NA,3.1198,1.4102,NA,234,125.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"78","atBat","Single","single","Masataka Yoshida singles on a line drive to left fielder Jurickson Profar. Connor Wong to 3rd.",0,4,2,78,"bottom",10,"2023-06-13T03:42:15.325Z","2023-06-13T03:43:23.227Z",TRUE,FALSE,FALSE,FALSE,33,1,2,0,807799,"Masataka Yoshida","/api/v1/people/807799","L","Left",571539,"Matt Carasiti","/api/v1/people/571539","R","Right","vs_RHP","vs_LHB","RISP",NA,"Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","Boston Red Sox","Colorado Rockies",NA,NA,"rgba(85, 0, 187, 1.0)","FO","Forkball",80.3,73,11,2,0.4708,6.3241,24.0512,-33.3926,-3.2606,-0.8905,-3.0695,4.1988,-3.1336,-116.7848,3.1011,-1.2817,50.0026,6.0153,-4.4587,8.4,9.6,24,669,298,NA,NA,NA,NA,NA,NA,FALSE,-43.2,-0.5,6.7,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717794,"2023-06-12",3,"2023-06-13T03:42:17.708Z","2023-06-13T03:42:22.522Z",TRUE,"pitch","5bcf450c-5188-49cc-8c70-6b07911bc47e",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,0,NA,NA,3.2746,1.4102,NA,108.28,190.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"78","atBat","Single","single","Masataka Yoshida singles on a line drive to left fielder Jurickson Profar. Connor Wong to 3rd.",0,4,2,78,"bottom",10,"2023-06-13T03:42:15.325Z","2023-06-13T03:43:23.227Z",TRUE,FALSE,FALSE,FALSE,33,1,2,0,807799,"Masataka Yoshida","/api/v1/people/807799","L","Left",571539,"Matt Carasiti","/api/v1/people/571539","R","Right","vs_RHP","vs_LHB","RISP",NA,"Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","Boston Red Sox","Colorado Rockies",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",94.1,86,8,2,0.401,6.174,31.138,-23.5087,-10.5345,4.5893,0.2289,1.7722,7.2458,-136.7646,-5.9176,-1.0909,50.0029,5.5842,-19.8873,36,7.2,24,1971,235,NA,NA,NA,NA,NA,NA,FALSE,-23.9,7.2,17.5,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
