"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.disengagementNum","isSubstitution","base","replacedPlayer.id","replacedPlayer.link","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link"
717528,"2023-07-02",0,"2023-07-02T20:34:08.762Z","2023-07-02T20:34:18.271Z",TRUE,"pitch","0d1e14f8-f8dd-433c-9b97-a50d53eeec24",1,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,0,2,NA,NA,3.67,1.75,NA,113.77,145.9,"fly_ball","medium","9",213.39,101.46,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Flyout","field_out","Nick Castellanos flies out to right fielder Lane Thomas.",0,5,4,73,"bottom",9,"2023-07-02T20:34:06.642Z","2023-07-02T20:34:18.271Z",TRUE,FALSE,FALSE,TRUE,0,0,0,3,592206,"Nick Castellanos","/api/v1/people/592206","R","Right",640451,"Hunter Harvey","/api/v1/people/640451","R","Right","vs_RHP","vs_RHB","Empty",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Washington Nationals",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies","Washington Nationals","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",98.9,91,2,0.9,0.3793,6.2159,30.6526,-11.081,-5.0954,9.9673,0.0848,3.4401,7.0334,-143.9254,-4.7957,-1.7186,50.0046,5.8031,-10.7855,37.2,2.4,24,1905,211,96,42,323,NA,NA,NA,TRUE,-10.4,17.4,7.9,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717528,"2023-07-02",7,"2023-07-02T20:33:28.619Z","2023-07-02T20:33:36.976Z",TRUE,"pitch","1e46aec8-9afa-4726-9f23-5b0d78d0e33e",8,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",3,2,1,NA,NA,3.18,1.59,NA,106.6,189.91,"ground_ball","medium","6",110.5,153.73,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Groundout","field_out","Trea Turner grounds out, shortstop Ildemaro Vargas to first baseman Dominic Smith.",0,5,4,72,"bottom",9,"2023-07-02T20:31:10.885Z","2023-07-02T20:33:36.976Z",TRUE,FALSE,FALSE,TRUE,0,3,2,2,607208,"Trea Turner","/api/v1/people/607208","R","Right",640451,"Hunter Harvey","/api/v1/people/640451","R","Right","vs_RHP","vs_RHB","Empty",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Washington Nationals",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies","Washington Nationals","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",98,90.3,8,0.88,0.3832,6.1631,30.0482,-14.4603,-6.8747,8.5456,0.2728,1.8101,8.2958,-142.4459,-8.1787,-1.7721,50.0049,5.6159,-14.2533,38.4,3.6,24,2057,216,98.7,-9,13,NA,NA,NA,TRUE,-14.3,14.2,10.9,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717528,"2023-07-02",6,"2023-07-02T20:33:06.760Z","2023-07-02T20:33:09.760Z",TRUE,"pitch","61afd0fa-6dcb-4706-9e0e-f9cef93a17d1",7,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",3,2,1,NA,NA,3.18,1.59,NA,105.26,161.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Groundout","field_out","Trea Turner grounds out, shortstop Ildemaro Vargas to first baseman Dominic Smith.",0,5,4,72,"bottom",9,"2023-07-02T20:31:10.885Z","2023-07-02T20:33:36.976Z",TRUE,FALSE,FALSE,TRUE,0,3,2,2,607208,"Trea Turner","/api/v1/people/607208","R","Right",640451,"Hunter Harvey","/api/v1/people/640451","R","Right","vs_RHP","vs_RHB","Empty",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Washington Nationals",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies","Washington Nationals","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",98.9,91.3,3,0.9,0.379,6.1811,29.7161,-11.311,-5.7469,9.8359,0.3079,2.8714,8.1658,-143.8666,-6.0963,-1.8052,50,5.7018,-12.187,39.6,3.6,24,1955,217,NA,NA,NA,NA,NA,NA,FALSE,-10.8,16.9,9,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717528,"2023-07-02",5,"2023-07-02T20:32:46.443Z","2023-07-02T20:32:49.443Z",TRUE,"pitch","9e09889a-479c-4423-8625-5105b6f5ace1",6,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",3,2,1,NA,NA,3.18,1.59,NA,110.32,160.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Groundout","field_out","Trea Turner grounds out, shortstop Ildemaro Vargas to first baseman Dominic Smith.",0,5,4,72,"bottom",9,"2023-07-02T20:31:10.885Z","2023-07-02T20:33:36.976Z",TRUE,FALSE,FALSE,TRUE,0,3,2,2,607208,"Trea Turner","/api/v1/people/607208","R","Right",640451,"Hunter Harvey","/api/v1/people/640451","R","Right","vs_RHP","vs_RHB","Empty",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Washington Nationals",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies","Washington Nationals","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",97.7,90,2,0.88,0.3839,6.1011,29.7982,-13.8999,-6.2028,8.8473,0.1752,2.883,7.6519,-142.1662,-5.754,-1.7338,50.0064,5.8012,-12.8168,37.2,3.6,24,1996,213,NA,NA,NA,NA,NA,NA,FALSE,-13.3,15.1,9.8,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717528,"2023-07-02",4,"2023-07-02T20:32:25.915Z","2023-07-02T20:32:28.915Z",TRUE,"pitch","03d71f75-8df9-4176-aedf-c80b40588206",5,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",3,2,1,NA,NA,3.18,1.59,NA,125.6,145.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Groundout","field_out","Trea Turner grounds out, shortstop Ildemaro Vargas to first baseman Dominic Smith.",0,5,4,72,"bottom",9,"2023-07-02T20:31:10.885Z","2023-07-02T20:33:36.976Z",TRUE,FALSE,FALSE,TRUE,0,3,2,2,607208,"Trea Turner","/api/v1/people/607208","R","Right",640451,"Hunter Harvey","/api/v1/people/640451","R","Right","vs_RHP","vs_RHB","Empty",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Washington Nationals",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies","Washington Nationals","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",98.1,89.9,11,0.89,0.3833,6.18,31.6427,-13.1516,-5.8368,9.1925,-0.2255,3.4548,6.6702,-142.6778,-4.3633,-1.831,50.0045,5.8276,-12.0814,37.2,3.6,24,2052,214,NA,NA,NA,NA,NA,NA,FALSE,-12.4,16,9.2,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717528,"2023-07-02",3,"2023-07-02T20:32:06.631Z","2023-07-02T20:32:10.632Z",TRUE,"pitch","a9af0f39-27ab-48ee-96f4-58afb46fb752",4,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",3,1,1,NA,NA,3.1322,1.59,NA,71.02,184.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Groundout","field_out","Trea Turner grounds out, shortstop Ildemaro Vargas to first baseman Dominic Smith.",0,5,4,72,"bottom",9,"2023-07-02T20:31:10.885Z","2023-07-02T20:33:36.976Z",TRUE,FALSE,FALSE,TRUE,0,3,2,2,607208,"Trea Turner","/api/v1/people/607208","R","Right",640451,"Hunter Harvey","/api/v1/people/640451","R","Right","vs_RHP","vs_RHB","Empty",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Washington Nationals",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies","Washington Nationals","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",97.9,90,14,0.88,0.3844,6.2115,30.5807,-13.0003,-6.321,9.3106,1.2062,1.9993,10.4443,-142.1372,-8.1536,-1.6837,50.005,5.7184,-13.0208,36,3.6,24,1965,218,NA,NA,NA,NA,NA,NA,FALSE,-13.1,15.5,9.5,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717528,"2023-07-02",2,"2023-07-02T20:31:49.047Z","2023-07-02T20:31:53.043Z",TRUE,"pitch","cc0462fa-3cb2-4c5a-a562-feafd5b86771",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,1,1,NA,NA,3.3239,1.5659,NA,86.53,162.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Groundout","field_out","Trea Turner grounds out, shortstop Ildemaro Vargas to first baseman Dominic Smith.",0,5,4,72,"bottom",9,"2023-07-02T20:31:10.885Z","2023-07-02T20:33:36.976Z",TRUE,FALSE,FALSE,TRUE,0,3,2,2,607208,"Trea Turner","/api/v1/people/607208","R","Right",640451,"Hunter Harvey","/api/v1/people/640451","R","Right","vs_RHP","vs_RHB","Empty",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Washington Nationals",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies","Washington Nationals","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",97.3,89.4,3,0.87,0.3864,6.1373,30.5961,-14.0567,-5.207,8.8924,0.7995,2.8343,9.1292,-141.4406,-5.7569,-1.7854,50.004,5.7887,-10.6106,30,3.6,24,1917,213,NA,NA,NA,NA,NA,NA,FALSE,-13.7,15.1,7.7,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717528,"2023-07-02",1,"2023-07-02T20:31:31.608Z","2023-07-02T20:31:36.629Z",TRUE,"pitch","81f284ec-967c-48b5-9cf0-03a663ea38d3",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,1,NA,NA,3.1562,1.566,NA,59.44,175.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Groundout","field_out","Trea Turner grounds out, shortstop Ildemaro Vargas to first baseman Dominic Smith.",0,5,4,72,"bottom",9,"2023-07-02T20:31:10.885Z","2023-07-02T20:33:36.976Z",TRUE,FALSE,FALSE,TRUE,0,3,2,2,607208,"Trea Turner","/api/v1/people/607208","R","Right",640451,"Hunter Harvey","/api/v1/people/640451","R","Right","vs_RHP","vs_RHB","Empty",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Washington Nationals",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies","Washington Nationals","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",97.7,89.9,14,0.88,0.385,6.1569,30.2097,-13.3842,-5.0856,9.1482,1.51,2.3355,10.489,-141.8722,-7.2836,-1.5619,50.0005,5.7759,-10.4438,28.8,3.6,24,2024,210,NA,NA,NA,NA,NA,NA,FALSE,-13.3,15.4,7.2,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717528,"2023-07-02",0,"2023-07-02T20:31:12.213Z","2023-07-02T20:31:15.348Z",TRUE,"pitch","683fa961-60c0-4990-8367-7543f8adb7f4",1,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,1,1,NA,NA,3.18,1.59,NA,110.91,165.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Groundout","field_out","Trea Turner grounds out, shortstop Ildemaro Vargas to first baseman Dominic Smith.",0,5,4,72,"bottom",9,"2023-07-02T20:31:10.885Z","2023-07-02T20:33:36.976Z",TRUE,FALSE,FALSE,TRUE,0,3,2,2,607208,"Trea Turner","/api/v1/people/607208","R","Right",640451,"Hunter Harvey","/api/v1/people/640451","R","Right","vs_RHP","vs_RHB","Empty",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Washington Nationals",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies","Washington Nationals","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",98.5,90.8,2,0.89,0.381,6.1132,30.2105,-13.7273,-6.2426,8.7917,0.1597,2.717,7.8701,-143.2637,-6.3802,-1.8,50.0026,5.8157,-13.0979,37.2,3.6,24,2042,213,NA,NA,NA,NA,NA,NA,FALSE,-13.1,14.9,10,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717528,"2023-07-02",4,"2023-07-02T20:30:31.701Z","2023-07-02T20:30:39.056Z",TRUE,"pitch","604b8465-1fec-4608-a3da-5c033f848f04",4,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",2,1,0,NA,NA,3.23,1.5,NA,101.25,193.25,"ground_ball","medium","3",167.39,155.13,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Groundout","field_out","Kyle Schwarber grounds out to first baseman Dominic Smith.",0,5,4,71,"bottom",9,"2023-07-02T20:29:41.438Z","2023-07-02T20:30:39.056Z",TRUE,FALSE,FALSE,TRUE,0,2,1,1,656941,"Kyle Schwarber","/api/v1/people/656941","L","Left",640451,"Hunter Harvey","/api/v1/people/640451","R","Right","vs_RHP","vs_LHB","Empty",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Washington Nationals",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies","Washington Nationals",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",98.4,89.8,9,0.9,0.384,6.2091,33.1882,-11.4693,-6.9125,10.0497,0.4132,1.6862,9.0559,-142.7118,-9.3245,-1.9047,50.004,5.7207,-14.2437,42,3.6,24,2134,214,112.4,-7,15,NA,NA,NA,TRUE,-12.1,16.4,10.7,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
