"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isBaseRunningPlay","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","isSubstitution","details.disengagementNum","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","reviewDetails.isOverturned","reviewDetails.inProgress","reviewDetails.reviewType","reviewDetails.challengeTeamId"
718297,"2023-05-06",1,"2023-05-06T04:33:49.470Z","2023-05-06T04:34:03.042Z",TRUE,"pitch","c0f9b306-8a53-4891-afe2-b63dee3f8cc6",2,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,1,1,NA,NA,3.54,1.67,NA,117.5,170.18,"ground_ball","medium","3",154.55,170.84,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Grounded Into DP","grounded_into_double_play","Taylor Trammell grounds into a double play, first baseman Jose Abreu to shortstop Jeremy Pena to first baseman Jose Abreu to third baseman Alex Bregman. J.P. Crawford out at 2nd. Taylor Trammell out at 1st.",0,6,4,70,"bottom",9,"2023-05-06T04:33:20.578Z","2023-05-06T04:34:03.042Z",TRUE,FALSE,FALSE,TRUE,24,0,1,3,666211,"Taylor Trammell","/api/v1/people/666211","L","Left",519151,"Ryan Pressly","/api/v1/people/519151","R","Right","vs_RHP","vs_LHB","Empty",NA,"Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners","Houston Astros","true",NA,"rgba(0, 34, 255, 1.0)","CU","Curveball",81.8,74.8,5,2,0.4621,5.9595,25.3482,-42.1742,9.2214,-7.0414,-0.0132,2.5408,-1.7526,-119.0679,0.6757,-0.4598,50.005,6.1054,13.0879,16.8,12,24,3254,28,93.8,-9,16,NA,NA,NA,TRUE,-53.4,-12.2,-16.2,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718297,"2023-05-06",0,"2023-05-06T04:33:26.504Z","2023-05-06T04:33:30.296Z",TRUE,"pitch","0cab4203-d521-443a-a510-49770150362c",1,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,1,1,NA,NA,3.32,1.61,NA,110.36,189.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Grounded Into DP","grounded_into_double_play","Taylor Trammell grounds into a double play, first baseman Jose Abreu to shortstop Jeremy Pena to first baseman Jose Abreu to third baseman Alex Bregman. J.P. Crawford out at 2nd. Taylor Trammell out at 1st.",0,6,4,70,"bottom",9,"2023-05-06T04:33:20.578Z","2023-05-06T04:34:03.042Z",TRUE,FALSE,FALSE,TRUE,24,0,1,3,666211,"Taylor Trammell","/api/v1/people/666211","L","Left",519151,"Ryan Pressly","/api/v1/people/519151","R","Right","vs_RHP","vs_LHB","Empty",NA,"Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners","Houston Astros","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",88.9,83,8,2,0.42,6.1837,23.1569,-27.9003,3.6969,2.4759,0.1742,1.819,-0.0819,-129.6403,-5.1151,-0.2756,50.0052,5.9074,6.3915,12,7.2,24,2734,142,NA,NA,NA,NA,NA,NA,FALSE,-30.4,3.7,-6.7,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718297,"2023-05-06",0,"2023-05-06T04:32:53.618Z","2023-05-06T04:33:03.463Z",TRUE,"pitch","27bbc73a-5b13-4635-94da-fb49d40b1c8a",1,"In play, no out",NA,NA,NA,NA,FALSE,"D","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"D","In play, no out",0,0,1,NA,NA,3.32,1.61,NA,125.15,192.53,"line_drive","hard","8",114.12,78.77,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Single","single","J.P. Crawford singles on a sharp line drive to center fielder Jake Meyers.",0,6,4,69,"bottom",9,"2023-05-06T04:32:53.618Z","2023-05-06T04:33:03.463Z",TRUE,FALSE,FALSE,FALSE,33,0,0,1,641487,"J.P. Crawford","/api/v1/people/641487","L","Left",519151,"Ryan Pressly","/api/v1/people/519151","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners","Houston Astros","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94.2,86.7,8,2,0.3987,6.4498,28.7503,-12.3945,-2.3958,10.3336,-0.2138,1.713,0.8327,-137.087,-8.6274,-0.2092,50.0006,5.7358,-4.5842,16.8,3.6,24,2475,205,102.4,9,251,NA,NA,NA,FALSE,-13.4,17.3,4.2,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,641487,"J.P. Crawford","/api/v1/people/641487",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718297,"2023-05-06",2,"2023-05-06T04:30:53.220Z","2023-05-06T04:31:07.210Z",TRUE,"pitch","073658d8-50f5-4c57-8cfb-de5acab2f8dd",2,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,1,0,NA,NA,3.46,1.65,NA,107.81,169.98,"line_drive","hard","8",115.01,91.76,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Single","single","Astros challenged (tag play), call on the field was overturned: Teoscar Hernandez singles on a sharp line drive to center fielder Jake Meyers. Teoscar Hernandez out at 2nd on the throw, center fielder Jake Meyers to second baseman Mauricio Dubon.",0,6,4,68,"bottom",9,"2023-05-06T04:30:36.217Z","2023-05-06T04:31:07.210Z",TRUE,FALSE,TRUE,TRUE,33,0,1,1,606192,"Teoscar Hernández","/api/v1/people/606192","R","Right",519151,"Ryan Pressly","/api/v1/people/519151","R","Right","vs_RHP","vs_RHB","Empty",NA,"Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners","Houston Astros",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",88.4,81.8,5,2,0.4241,6.1759,24.9531,-28.8624,3.0949,1.9594,0.241,2.5481,0.2917,-128.7987,-3.159,-0.276,50.0059,6.0057,5.2376,9.6,7.2,24,2713,122,108.8,6,130,NA,NA,NA,TRUE,-31.6,3.1,-5.6,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,"MA",117
718297,"2023-05-06",1,"2023-05-06T04:30:38.527Z","2023-05-06T04:30:42.125Z",TRUE,"pitch","b0683170-d725-4b66-afd2-9ae13f976e46",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,0,NA,NA,3.4917,1.7508,NA,84.12,186.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Single","single","Astros challenged (tag play), call on the field was overturned: Teoscar Hernandez singles on a sharp line drive to center fielder Jake Meyers. Teoscar Hernandez out at 2nd on the throw, center fielder Jake Meyers to second baseman Mauricio Dubon.",0,6,4,68,"bottom",9,"2023-05-06T04:30:36.217Z","2023-05-06T04:31:07.210Z",TRUE,FALSE,TRUE,TRUE,33,0,1,1,606192,"Teoscar Hernández","/api/v1/people/606192","R","Right",519151,"Ryan Pressly","/api/v1/people/519151","R","Right","vs_RHP","vs_RHB","Empty",NA,"Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners","Houston Astros",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",88.2,82,14,2,0.4244,6.1139,23.8058,-28.531,3.0055,2.1529,0.8626,1.9376,1.6449,-128.5074,-4.8952,-0.174,50.0026,6.0538,5.0831,10.8,7.2,24,2690,159,NA,NA,NA,NA,NA,NA,FALSE,-31.7,3.1,-5.8,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718297,"2023-05-06",0,"2023-05-06T04:29:46.289Z","2023-05-06T04:30:38.527Z",FALSE,"action",NA,NA,"Pitching Change: Ryan Pressly replaces Bryan Abreu.","Pitching Substitution",6,4,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,519151,"/api/v1/people/519151",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pitching_substitution",NA,"1","Pitcher","Pitcher","P",NA,"68","atBat","Single","single","Astros challenged (tag play), call on the field was overturned: Teoscar Hernandez singles on a sharp line drive to center fielder Jake Meyers. Teoscar Hernandez out at 2nd on the throw, center fielder Jake Meyers to second baseman Mauricio Dubon.",0,6,4,68,"bottom",9,"2023-05-06T04:30:36.217Z","2023-05-06T04:31:07.210Z",TRUE,FALSE,TRUE,TRUE,33,0,1,1,606192,"Teoscar Hernández","/api/v1/people/606192","R","Right",519151,"Ryan Pressly","/api/v1/people/519151","R","Right","vs_RHP","vs_RHB","Empty",NA,"Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners","Houston Astros",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718297,"2023-05-06",11,"2023-05-06T04:27:16.519Z","2023-05-06T04:27:22.250Z",TRUE,"pitch","88aee9de-3b4b-4e73-a9fe-22736e2b165e",7,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",3,3,2,NA,NA,3.14,1.49,NA,78.86,161.58,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,"67","atBat","Strikeout","strikeout","Martin Maldonado strikes out swinging.",0,6,4,67,"top",9,"2023-05-06T04:25:10.137Z","2023-05-06T04:27:22.250Z",TRUE,FALSE,FALSE,TRUE,14,3,3,3,455117,"Martín Maldonado","/api/v1/people/455117","R","Right",642048,"Tayler Saucedo","/api/v1/people/642048","L","Left","vs_LHP","vs_RHB","Empty",NA,"Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros","Seattle Mariners",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",92,84.2,12,2,0.4093,6.6261,29.2443,-28.706,10.5964,1.9144,1.0007,2.8593,-5.8499,-133.8844,-1.4913,1.8386,50.004,5.4803,19.2141,31.2,7.2,24,2369,125,NA,NA,NA,NA,NA,NA,TRUE,-29,3.4,-17.9,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718297,"2023-05-06",10,"2023-05-06T04:26:58.704Z","2023-05-06T04:27:01.704Z",TRUE,"pitch","6eb07549-7fa6-43ef-9c40-b50727111574",6,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",3,2,2,NA,NA,2.9922,1.4894,NA,45.22,139.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"67","atBat","Strikeout","strikeout","Martin Maldonado strikes out swinging.",0,6,4,67,"top",9,"2023-05-06T04:25:10.137Z","2023-05-06T04:27:22.250Z",TRUE,FALSE,FALSE,TRUE,14,3,3,3,455117,"Martín Maldonado","/api/v1/people/455117","R","Right",642048,"Tayler Saucedo","/api/v1/people/642048","L","Left","vs_LHP","vs_RHB","Empty",NA,"Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros","Seattle Mariners",NA,NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",85.3,77.9,12,2,0.4418,6.7919,25.613,-32.9576,10.9635,-0.5014,1.8831,3.6728,-3.7586,-124.1443,2.3876,1.9951,50.0046,5.4481,17.0581,26.4,9.6,24,1930,114,NA,NA,NA,NA,NA,NA,FALSE,-37.8,-0.1,-19,NA,NA,NA,NA,NA,NA,1,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718297,"2023-05-06",9,"2023-05-06T04:26:36.900Z","2023-05-06T04:26:42.540Z",TRUE,"pitch","6bd98963-b124-4dc7-af1a-927163b72a29",5,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",2,2,2,NA,NA,3.14,1.49,NA,141.51,184.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"67","atBat","Strikeout","strikeout","Martin Maldonado strikes out swinging.",0,6,4,67,"top",9,"2023-05-06T04:25:10.137Z","2023-05-06T04:27:22.250Z",TRUE,FALSE,FALSE,TRUE,14,3,3,3,455117,"Martín Maldonado","/api/v1/people/455117","R","Right",642048,"Tayler Saucedo","/api/v1/people/642048","L","Left","vs_LHP","vs_RHB","Empty",NA,"Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros","Seattle Mariners",NA,NA,"rgba(0, 34, 255, 1.0)","CU","Curveball",76.9,70.7,4,2,0.491,6.633,21.5586,-37.1927,-6.3264,-3.9908,-0.643,2.0026,-4.1015,-111.8776,0.4813,2.0405,50.0024,5.6194,-7.9592,13.2,12,24,2452,295,NA,NA,NA,NA,NA,NA,FALSE,-53.3,-6.7,12.6,NA,NA,NA,NA,NA,NA,1,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718297,"2023-05-06",7,"2023-05-06T04:26:12.017Z","2023-05-06T04:26:15.017Z",TRUE,"pitch","96e5b532-5d80-491e-9dee-f3577866a702",4,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",2,2,2,NA,NA,3.14,1.49,NA,160.26,203.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"67","atBat","Strikeout","strikeout","Martin Maldonado strikes out swinging.",0,6,4,67,"top",9,"2023-05-06T04:25:10.137Z","2023-05-06T04:27:22.250Z",TRUE,FALSE,FALSE,TRUE,14,3,3,3,455117,"Martín Maldonado","/api/v1/people/455117","R","Right",642048,"Tayler Saucedo","/api/v1/people/642048","L","Left","vs_LHP","vs_RHB","Empty",NA,"Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros","Seattle Mariners",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",82.4,75.9,13,2,0.4573,6.5611,23.7854,-34.1445,-2.1613,-1.3628,-1.135,1.3,-6.043,-119.9066,-2.2979,1.7012,50.0003,5.3255,-3.1358,7.2,9.6,24,2375,271,NA,NA,NA,NA,NA,NA,FALSE,-43.1,-2.8,5.4,NA,NA,NA,NA,NA,NA,1,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
